"","Table 6#16B# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 17, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/25/2011 10:25:36 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",30.9,28.7,35.6,40.8,38.8,39.1,38.3,49,48,47.6,42.5,53.8,53.1,54.2,62.3,68.3,75.5,86.5,92.5,90.2,97.3,94.5
"9","2","Domestic industries","A445RC1",29.6,27.6,34.4,39.1,37,37.3,36.4,46.6,45.2,44.5,39.9,51.1,50,50.9,58.6,64.3,71.1,81.8,88,85.4,91.6,87.9
"10","3","  Financial","A587RC1",2.5,3.1,3.1,3.4,4.1,4.6,4.8,5.1,5.4,5.7,6.1,7.3,8.2,8.2,8.5,8.1,8.7,9.2,10.5,11,12.7,13.5
"11","4","  Nonfinancial","A463RC1",27.1,24.5,31.3,35.6,32.8,32.8,31.6,41.6,39.8,38.8,33.8,43.8,41.7,42.7,50.1,56.1,62.4,72.7,77.5,74.4,78.9,74.4
"12","5","Rest of the world","B394RC1",1.3,1.1,1.3,1.7,1.9,1.8,2,2.4,2.8,3.1,2.5,2.7,3.1,3.3,3.8,4.1,4.5,4.7,4.5,4.8,5.6,6.6
"13","6","  Receipts from the rest of the world","B933RC1",1.7,1.6,1.8,2.2,2.3,2.3,2.4,2.9,3.4,3.6,3.1,3.4,3.8,4,4.5,4.9,5.4,5.8,5.7,6,7,8
"14","7","  Less:  Payments to the rest of the world","B934RC1",0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.9,1.1,1.1,1.2,1.4,1.5
"15","8","    Corporate profits with inventory valuation adjustment","A052RC1",33.7,31.5,38.3,43.6,41.2,40.7,39,48.1,47.8,47.5,42.7,53.5,51.5,51.8,57,62.1,68.6,78.9,84.6,82,88.8,85.5
"16","9","Domestic industries","A390RC1",32.5,30.3,37,41.8,39.3,38.9,37.1,45.8,44.9,44.4,40.2,50.8,48.3,48.5,53.3,58.1,64.1,74.2,80.1,77.2,83.2,78.9
"17","10","  Financial","A392RC1",2.7,3.3,3.3,3.7,4.4,4.8,5.1,5.3,5.7,6,6.5,7.6,8.4,8.3,8.6,8.3,8.8,9.3,10.7,11.2,12.8,13.6
"18","11","    Federal Reserve banks","B397RC1",0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.5,0.6,0.6,0.7,0.9,0.8,0.9,1,1.1,1.3,1.7,2,2.5,3.1
"19","12","    Other","B398RC1",2.5,3.1,3.1,3.4,4.1,4.4,4.8,5,5.2,5.4,5.9,6.9,7.5,7.6,7.7,7.3,7.6,8,9.1,9.2,10.3,10.5
"20","13","  Nonfinancial","A399RC1",29.7,27,33.7,38.1,34.9,34,32,40.5,39.3,38.5,33.7,43.2,39.9,40.2,44.7,49.8,55.4,64.9,69.3,66,70.4,65.3
"21","14","    Manufacturing","A400RC1",17.5,16.2,21,24.7,21.7,22,19.9,26.1,24.8,24.1,19.5,26.5,23.8,23.4,26.3,29.7,32.6,39.8,42.6,39.2,41.9,37.3
"22","15","      Durable goods","A406RC1",7.5,8.1,12,13.2,11.7,12,10.5,14.2,12.8,13.3,9.3,13.7,11.6,11.3,14.1,16.4,18.1,23.3,24.1,21.3,22.5,19.2
"23","16","        Primary metal industries","A407RC1",1.6,1.5,2.3,3.1,1.9,2.5,1.7,2.9,3,3.1,1.9,2.3,2,1.6,1.6,2,2.5,3.1,3.6,2.7,1.9,1.4
"24","17","        Fabricated metal products","A408RC1",0.8,0.7,1.1,1.3,1,1,0.9,1.1,1.1,1.1,0.9,1.1,0.8,1,1.2,1.3,1.5,2.1,2.4,2.5,2.3,2
"25","18","        Machinery,except electrical","A409RC1",1.3,1.3,1.6,2.3,2.3,1.9,1.7,1.7,2.1,2,1.5,2.2,1.8,1.9,2.4,2.6,3.3,4,4.6,4.2,4.2,3.8
"26","19","        Electric and electronic equipment","A410RC1",0.6,0.8,1.2,1.3,1.5,1.4,1.2,1.1,1.2,1.5,1.3,1.7,1.3,1.3,1.5,1.6,1.7,2.7,3,3,2.9,2.3
"27","20","        Motor vehicles and equipment","A411RC1",1.4,2.1,3.1,2.4,2.4,2.6,2.1,4.1,2.2,2.6,0.9,3,3,2.5,4,4.9,4.6,6.2,5.2,4,5.5,4.8
"28","21","        Other","A412RC1",1.8,1.7,2.6,2.8,2.6,2.6,2.9,3.5,3.1,3.1,2.9,3.5,2.7,2.9,3.4,4,4.4,5.2,5.2,4.9,5.6,4.9
"29","22","      Nondurable goods","A401RC1",10,8.1,9,11.4,10,10,9.5,11.8,12,10.8,10.2,12.9,12.2,12.1,12.3,13.3,14.5,16.5,18.6,18,19.4,18.1
"30","23","        Food and kindred products","A402RC1",1.9,1.6,1.6,1.4,1.8,1.8,1.6,2.2,1.8,1.8,2.1,2.5,2.2,2.4,2.4,2.7,2.7,2.9,3.3,3.3,3.2,3.1
"31","24","        Chemicals and allied products","A403RC1",1.7,1.8,2.3,2.8,2.3,2.2,2.2,3,2.8,2.8,2.5,3.5,3.1,3.3,3.2,3.7,4.1,4.6,4.9,4.3,5.3,4.6
"32","25","        Petroleum and coal products","A404RC1",2.8,1.9,2.3,2.8,2.3,2.7,2.8,3,3.3,2.6,2.1,2.6,2.6,2.3,2.2,2.2,2.4,2.9,3.4,4,3.8,3.4
"33","26","        Other","A405RC1",3.7,2.8,2.7,4.4,3.6,3.3,2.9,3.6,4.1,3.6,3.4,4.3,4.2,4.2,4.4,4.7,5.3,6.1,6.9,6.4,7.1,7
"34","27","    Transportation and public utilities","A416RC1",3,3,4.1,4.7,5,5,4.7,5.7,5.9,5.9,5.9,7.1,7.5,7.9,8.5,9.5,10.2,11,12,10.9,11,10.7
"35","28","      Transportation","A417RC1",1.5,1.2,1.9,1.9,1.9,1.6,1,1.5,1.4,1.1,0.9,1.1,0.9,1,1,1.4,1.6,2.1,2.3,1.3,1,0.7
"36","29","      Communication","A418RC1",0.4,0.5,0.7,1,1.1,1.2,1.3,1.7,1.8,2,2.3,2.8,3,3.2,3.6,3.9,4,4.3,4.8,4.8,5.1,5.4
"37","30","      Electric, gas, and sanitary services","A419RC1",1.1,1.4,1.5,1.8,2,2.2,2.4,2.5,2.7,2.7,2.7,3.1,3.6,3.7,3.9,4.2,4.6,4.6,4.9,4.8,4.9,4.6
"38","31","    Wholesale trade","A414RC1",2.4,1.9,2.1,2.6,2.3,1.8,1.7,2.4,2.2,2.2,2.2,2.9,2.5,2.5,2.8,2.8,3.4,3.8,4,4.1,4.6,4.9
"39","32","    Retail trade","A415RC1",3.2,2.8,3,2.6,2.7,2.3,2.3,2.9,2.6,2.6,2.6,3.3,2.8,3,3.4,3.6,4.5,4.9,4.9,5.7,6.4,6.4
"40","33","    Other","A420RC1",3.5,3.1,3.5,3.6,3.3,3,3.3,3.5,3.9,3.8,3.5,3.4,3.3,3.4,3.6,4.1,4.7,5.4,5.9,6.1,6.6,6.1
