"","Table 1#15# Price, Costs, and Profit Per Unit of Real Gross Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 26, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/25/2011 10:17:53 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Price per unit of real gross value added of nonfinancial corporate business \1\","A455RD3",0.156,0.149,0.129,0.11,0.11,0.122,0.124,0.125,0.131,0.124,0.123,0.125,0.136,0.151,0.161,0.163,0.165,0.177,0.201,0.214,0.21,0.211,0.23,0.232,0.231,0.23,0.231,0.24,0.247,0.251,0.253,0.254,0.255,0.257,0.258,0.26,0.264,0.27,0.276,0.286,0.299
"9","2","Compensation of employees (unit labor cost)","A460RD3",0.099,0.096,0.086,0.076,0.074,0.077,0.077,0.077,0.083,0.08,0.078,0.077,0.082,0.092,0.101,0.103,0.106,0.119,0.131,0.135,0.133,0.13,0.144,0.149,0.151,0.15,0.147,0.155,0.161,0.164,0.162,0.166,0.166,0.165,0.164,0.165,0.165,0.172,0.178,0.185,0.197
"10","3","Unit nonlabor cost","A467RD3",0.029,0.031,0.035,0.039,0.041,0.038,0.036,0.031,0.031,0.033,0.03,0.027,0.026,0.024,0.023,0.024,0.027,0.031,0.035,0.036,0.039,0.038,0.039,0.041,0.04,0.043,0.04,0.044,0.047,0.051,0.049,0.05,0.05,0.05,0.05,0.05,0.05,0.049,0.053,0.056,0.061
