"","Table 7#1# Selected Per Capita Product and Income Series in Curr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174"
"11","2","  Gross national product","A791RC0",4789,4853,4938,4963,5015,5079,5146,5136,5347,5434,5511,5556,5730,5885,5986,6148,6372,6534,6619,6799,6867,7028,7140,7294,7348,7497,7746,7977,8226,8361,8495,8690,8929,9211,9461,9627,9792,10318,10569,10916,11104,11373,11693,11923,12181,12155,12363,12873,13453,13560,13937,13998,13920,14152,14234,14359,14622,15037,15451,15853,16317,16705,16958,17144,17434,17652,17934,18154,18369,18470,18716,18859,19112,19401,19672,20118,20368,20769,21047,21445,21845,22171,22440,22600,23051,23341,23453,23444,23460,23666,23850,24031,24342,24667,24931,25252,25406,25606,25794,26134,26481,26875,27111,27467,27655,27768,27989,28283,28592,29080,29317,29723,30033,30488,30846,31075,31373,31633,32025,32585,32978,33280,33709,34367,34626,35402,35531,35917,35906,36327,36164,36527,36747,36959,37260,37455,37745,38136,38876,39420,40006,40424,40951,41400,42238,42580,43280,43657,44442,44892,45071,45487,45956,46603,47191,47669,47571,47945,47822,46420,45764,45569,45755,46220,46737,47345,47716,48015,48428,48917,NA
"12","3","  Personal income","A792RC0",3719,3799,3889,3949,3991,4083,4128,4153,4233,4331,4380,4447,4572,4639,4750,4952,5040,5172,5289,5457,5526,5637,5799,5902,5968,6093,6249,6409,6559,6674,6831,6982,7109,7302,7489,7741,7894,8148,8368,8588,8818,8987,9256,9532,9772,9864,10168,10618,10856,11040,11443,11565,11678,11852,11988,12139,12266,12455,12674,12995,13371,13703,14012,14223,14452,14584,14687,14917,15128,15269,15443,15583,15798,15986,16247,16607,16859,17109,17403,17690,18163,18322,18483,18719,19059,19340,19524,19566,19587,19781,19897,20115,20426,20694,20866,21260,20925,21359,21453,21829,21761,22219,22442,22770,23012,23151,23335,23541,23939,24374,24588,24851,25231,25434,25756,26164,26724,27130,27445,27699,27907,28084,28369,28920,29788,30164,30567,30706,31167,31169,31083,31113,31273,31489,31456,31558,31725,32090,32345,32814,33097,33595,34028,34704,34684,35111,35665,36126,37007,37519,37864,38322,38929,39252,39531,40049,40866,41294,41003,40341,39036,38893,38576,38695,39265,39795,40115,40424,41216,41611,41620
"13","4","  Disposable personal income","A229RC0",3211,3277,3376,3430,3478,3567,3638,3661,3757,3846,3889,3942,3999,4050,4159,4348,4442,4562,4657,4799,4856,4940,5076,5168,5233,5532,5543,5678,5813,5898,6026,6149,6250,6414,6590,6800,6939,7145,7309,7483,7688,7822,8037,8272,8519,8582,8846,9227,9414,9551,9896,10041,10158,10304,10484,10612,10766,10921,11204,11485,11840,12136,12391,12556,12636,12955,12923,13128,13353,13485,13622,13698,13937,13879,14238,14529,14807,15079,15342,15591,15927,16035,16182,16391,16727,16966,17135,17184,17294,17474,17582,17775,18131,18335,18481,18794,18553,18891,18933,19255,19202,19576,19817,20114,20299,20362,20534,20682,20972,21275,21485,21683,21932,22092,22335,22656,23123,23443,23695,23870,24046,24173,24379,24823,25506,25817,26170,26282,26602,26591,27200,26827,27552,27856,27829,27957,28201,28585,29099,29330,29646,30093,30405,31001,30740,31080,31538,31909,32572,33031,33341,33680,34081,34344,34579,35042,35810,36854,36311,35690,35127,35245,34935,35044,35557,36001,36208,36436,36834,37123,37102
"14","5","  Personal consumption expenditures","A794RC0",2914,2963,3006,3056,3103,3142,3189,3211,3293,3351,3400,3468,3542,3622,3701,3809,3917,3982,4059,4121,4197,4322,4446,4480,4593,4715,4858,4979,5123,5203,5324,5464,5613,5727,5852,6009,6130,6373,6494,6651,6793,6956,7176,7347,7532,7520,7755,8031,8258,8377,8525,8567,8713,8808,8992,9235,9387,9641,9917,10118,10295,10522,10660,10842,11122,11283,11541,11629,11787,11895,12162,12296,12416,12666,12908,13019,13323,13538,13778,14040,14232,14452,14642,14790,15099,15265,15464,15492,15499,15661,15784,15848,16199,16353,16581,16828,16928,17135,17323,17515,17733,17907,18139,18349,18421,18627,18812,18968,19206,19494,19637,19870,20121,20199,20532,20777,20940,21292,21579,21911,22141,22556,22873,23254,23757,24027,24335,24619,24831,24983,25030,25370,25459,25729,25967,26117,26382,26603,27067,27274,27688,27955,28302,28766,29106,29512,29995,30258,30629,30973,31301,31500,31909,32229,32465,32816,32976,33262,33213,32238,31915,31852,32198,32380,32685,32883,33103,33480,33917,34191,34529
"15","6","    Goods","AGDSRC0",1480,1495,1511,1526,1539,1551,1566,1561,1615,1639,1653,1682,1711,1757,1797,1858,1928,1950,1983,2002,2043,2100,2167,2133,2175,2233,2324,2366,2442,2475,2521,2581,2645,2696,2738,2822,2838,2974,3016,3094,3158,3213,3342,3398,3493,3421,3516,3618,3753,3761,3826,3779,3830,3829,3879,3952,3965,4113,4223,4320,4405,4505,4507,4580,4672,4728,4845,4834,4881,4887,5050,5052,5024,5160,5270,5238,5359,5422,5466,5580,5636,5753,5821,5811,5984,5924,5972,5963,5890,5916,5941,5879,6001,6037,6112,6187,6204,6289,6326,6420,6504,6565,6666,6781,6738,6778,6840,6885,6969,7116,7129,7225,7312,7246,7390,7458,7439,7583,7672,7868,7936,8160,8273,8421,8595,8662,8754,8818,8819,8838,8834,9031,8950,9033,9123,9125,9226,9240,9510,9541,9705,9758,9862,10088,10166,10307,10543,10528,10676,10755,10875,10827,10956,11104,11173,11318,11265,11387,11325,10401,10214,10236,10544,10599,10799,10784,10909,11196,11525,11602,11703
"16","7","      Durable goods","A795RC0",446,447,446,446,439,445,448,424,474,487,497,514,529,544,559,586,624,620,616,603,594,611,637,592,613,634,679,707,751,762,778,801,838,860,879,907,894,973,972,994,996,988,1024,1013,1023,932,988,1033,1074,1049,1094,1026,1065,1075,1084,1134,1151,1237,1289,1358,1407,1446,1445,1492,1548,1567,1660,1603,1633,1694,1850,1826,1729,1811,1894,1846,1926,1934,1917,1977,1974,1997,2041,1980,2070,1996,1970,1912,1870,1878,1907,1874,1941,1954,1990,2025,2038,2109,2135,2194,2245,2276,2309,2387,2341,2356,2407,2435,2458,2512,2515,2545,2597,2556,2644,2688,2684,2792,2842,2979,2953,3071,3121,3131,3283,3209,3236,3243,3275,3242,3251,3497,3418,3428,3502,3424,3386,3482,3583,3575,3616,3626,3661,3718,3744,3836,3852,3737,3861,3837,3864,3886,3907,3935,3950,3948,3828,3766,3626,3332,3328,3287,3411,3367,3423,3460,3503,3615,3704,3663,3688
"17","8","      Nondurable goods","A796RC0",1034,1048,1064,1079,1100,1107,1118,1138,1141,1152,1156,1168,1181,1213,1237,1272,1304,1329,1366,1399,1449,1489,1530,1541,1563,1599,1646,1659,1691,1713,1743,1780,1807,1835,1858,1915,1944,2001,2044,2099,2162,2225,2317,2385,2469,2489,2528,2585,2680,2712,2732,2753,2765,2754,2795,2818,2813,2876,2934,2962,2998,3060,3062,3089,3124,3161,3185,3231,3249,3193,3200,3225,3295,3349,3376,3392,3433,3488,3549,3603,3662,3756,3780,3830,3913,3928,4003,4051,4020,4038,4034,4005,4060,4084,4122,4161,4166,4181,4191,4226,4259,4289,4357,4394,4397,4422,4433,4449,4511,4604,4614,4680,4715,4690,4747,4770,4755,4791,4830,4889,4983,5089,5152,5290,5312,5453,5518,5575,5544,5596,5583,5534,5532,5605,5621,5701,5840,5758,5927,5966,6090,6132,6201,6370,6422,6471,6691,6790,6815,6918,7011,6941,7049,7169,7223,7370,7437,7621,7699,7068,6886,6949,7132,7232,7376,7324,7406,7581,7821,7939,8015
"18","9","    Services","A797RC0",1434,1468,1495,1530,1564,1590,1623,1649,1678,1712,1747,1786,1832,1865,1904,1951,1989,2033,2077,2118,2154,2222,2279,2346,2417,2482,2533,2613,2681,2728,2803,2883,2968,3031,3114,3186,3292,3400,3478,3557,3635,3742,3835,3948,4039,4100,4239,4413,4505,4616,4700,4788,4883,4979,5113,5283,5422,5528,5694,5798,5889,6017,6153,6261,6450,6556,6696,6795,6905,7008,7113,7244,7392,7507,7638,7780,7963,8117,8311,8460,8597,8699,8821,8980,9115,9341,9492,9529,9609,9746,9844,9969,10197,10316,10469,10641,10724,10846,10997,11095,11229,11341,11473,11568,11683,11849,11972,12083,12237,12378,12507,12645,12809,12953,13142,13319,13502,13709,13907,14044,14205,14395,14600,14833,15162,15365,15581,15801,16012,16145,16196,16339,16508,16696,16844,16992,17156,17364,17557,17733,17983,18197,18440,18678,18940,19204,19452,19730,19953,20218,20426,20674,20953,21125,21293,21498,21711,21875,21888,21838,21700,21615,21654,21782,21887,22099,22195,22285,22392,22589,22826
"19",NA,"Chained (2005) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","10","  Gross domestic product","A939RX0",20997,21010,21084,20923,20839,20812,20926,20633,21137,21195,21299,21292,21621,22082,22236,22542,23069,23284,23102,23266,23015,23024,22738,22591,22271,22387,22697,22934,23405,23531,23586,23694,23914,24330,24696,24621,24647,25552,25727,25992,25969,25926,26033,26024,26034,25430,25307,25705,26186,25918,26162,25768,25292,25373,25210,25168,25429,25947,26394,26877,27346,27762,27963,28123,28335,28515,28886,29032,29253,29309,29519,29590,29697,29949,30135,30575,30671,31001,31080,31417,31648,31813,31977,31960,32220,32248,32134,31740,31489,31601,31621,31637,31890,32122,32334,32561,32525,32634,32694,33020,33253,33609,33716,33987,33979,33955,34131,34263,34412,34908,35097,35367,35545,35969,36300,36465,36715,36944,37315,37846,38087,38280,38644,39220,39223,39888,39811,39937,39711,39874,39657,39693,39942,40064,40163,40078,40160,40409,40971,41242,41433,41608,41813,42051,42395,42494,42723,42835,43282,43361,43253,43431,43388,43676,43881,43956,43668,43720,43211,42118,41316,41163,41241,41532,41853,42162,42326,42476,42438,42505,42677
"21","11","  Gross national product","A791RX0",21152,21159,21226,21065,20984,20961,21073,20767,21294,21361,21449,21450,21785,22243,22409,22714,23267,23494,23345,23510,23300,23294,22984,22802,22448,22565,22889,23162,23626,23760,23816,23930,24181,24592,24955,24850,24912,25772,25967,26266,26249,26239,26405,26393,26409,25775,25631,25968,26466,26181,26440,26081,25587,25703,25490,25436,25694,26229,26681,27173,27619,28036,28234,28363,28526,28718,29053,29218,29417,29426,29649,29679,29796,30074,30255,30706,30836,31151,31215,31564,31793,31952,32127,32142,32392,32424,32282,32011,31693,31745,31747,31802,32053,32282,32477,32708,32709,32783,32872,33122,33387,33724,33820,34087,34124,34112,34222,34406,34583,35038,35212,35505,35645,36102,36399,36536,36824,37042,37357,37896,38184,38397,38748,39365,39349,40028,39933,40155,39873,40068,39762,40038,40138,40190,40344,40323,40353,40652,41212,41576,41830,41912,42154,42300,42763,42821,43081,43094,43545,43605,43451,43660,43609,43925,44331,44566,44211,44266,43802,42472,41716,41585,41729,42045,42356,42743,42936,43016,43094,43249,NA
"22","12","  Disposable personal income","A229RX0",14468,14581,14836,14901,14938,15153,15305,15202,15457,15644,15665,15782,15843,15954,16238,16840,16994,17124,17167,17334,17034,16851,16861,16741,16642,17378,17092,17221,17437,17543,17656,17736,17709,17867,18085,18397,18467,18632,18728,18820,18978,18796,18847,18938,18938,18621,18756,19092,19009,18969,19337,19326,19307,19399,19434,19455,19568,19670,19917,20280,20684,20997,21273,21423,21331,21708,21519,21687,21902,22104,22165,22125,22218,21930,22268,22528,22766,22932,23048,23198,23415,23266,23352,23467,23590,23672,23605,23364,23363,23466,23432,23504,23789,23891,23924,24181,23756,24052,24022,24298,24136,24476,24577,24827,24921,24852,24958,25029,25232,25431,25565,25623,25784,25903,26113,26393,26924,27234,27435,27553,27669,27657,27747,28098,28616,28837,29062,29026,29174,29024,29683,29261,29982,30079,29898,29895,29942,30326,30674,30776,30852,31089,31219,31577,31127,31279,31386,31479,32000,32211,32281,32617,32688,32661,32703,32801,33203,33794,32944,32848,32467,32423,31901,31782,32099,32473,32581,32628,32670,32661,32452
"23","13","  Personal consumption expenditures","A794RX0",13130,13184,13210,13277,13325,13345,13416,13333,13546,13631,13698,13883,14034,14269,14451,14751,14989,14948,14964,14884,14724,14743,14766,14513,14605,14813,14979,15099,15368,15476,15599,15761,15904,15953,16060,16256,16313,16620,16641,16726,16767,16714,16827,16820,16744,16318,16444,16618,16675,16637,16659,16490,16561,16584,16669,16930,17062,17365,17629,17866,17985,18205,18301,18497,18776,18907,19217,19211,19333,19498,19789,19861,19792,20015,20188,20187,20483,20589,20698,20889,20924,20970,21129,21175,21294,21298,21304,21063,20939,21031,21037,20955,21253,21308,21464,21651,21675,21817,21978,22103,22290,22389,22496,22649,22614,22735,22865,22955,23107,23302,23366,23481,23655,23683,24006,24205,24383,24735,24985,25292,25477,25807,26034,26322,26654,26837,27025,27189,27233,27269,27315,27671,27704,27782,27898,27928,28010,28224,28532,28618,28815,28880,29060,29301,29472,29701,29850,29850,30091,30205,30306,30506,30604,30650,30705,30718,30575,30501,30133,29671,29498,29302,29402,29366,29507,29662,29787,29981,30083,30082,30202
"24","14","    Goods","AGDSRX0",4441,4434,4429,4432,4428,4427,4439,4376,4503,4527,4542,4607,4639,4751,4821,4949,5057,4997,4986,4924,4834,4809,4812,4605,4629,4716,4818,4839,4970,5019,5050,5098,5141,5167,5194,5289,5247,5384,5373,5418,5400,5340,5413,5373,5331,5097,5134,5178,5242,5188,5227,5120,5160,5147,5162,5253,5270,5414,5520,5637,5702,5818,5807,5884,5963,6005,6150,6098,6178,6274,6453,6433,6290,6397,6477,6403,6541,6561,6543,6630,6626,6649,6726,6685,6760,6666,6627,6500,6424,6440,6455,6362,6487,6498,6545,6609,6615,6701,6747,6811,6908,6949,6991,7103,7049,7076,7139,7184,7224,7344,7372,7437,7518,7491,7661,7742,7782,7964,8061,8282,8364,8538,8613,8737,8848,8874,8944,8999,9001,9005,9049,9354,9314,9338,9433,9437,9480,9633,9865,9902,9986,9986,10083,10192,10282,10402,10456,10404,10561,10574,10636,10748,10793,10818,10871,10871,10694,10684,10446,10075,10058,9978,10138,10128,10266,10341,10439,10625,10730,10669,10685
