"","Table 7#1# Selected Per Capita Product and Income Series in Curr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"13","5","  Personal consumption expenditures","A794RC0",2985,3161,3378,3669,4020,4362,4786,5279,5801,6413,7069,7710,8432,8938,9766,10580,11394,12036,12753,13670,14530,15331,15699,16491,17226,18033,18708,19553,20408,21432,22707,24185,25054,25819,26833,28179,29719,31102,32356,32922,32087,33039
"14","6","    Goods","AGDSRC0",1503,1554,1647,1781,1966,2111,2275,2505,2725,2981,3278,3512,3780,3873,4156,4500,4770,4968,5173,5457,5755,5961,5906,6085,6310,6629,6810,7110,7352,7641,8198,8707,8881,9058,9380,9854,10386,10783,11138,11094,10399,10922
"15","7","      Durable goods","A795RC0",446,439,493,555,616,609,658,773,871,958,1005,994,1061,1090,1259,1447,1595,1751,1820,1939,1998,1987,1882,1978,2119,2305,2385,2507,2621,2825,3069,3243,3317,3443,3507,3655,3792,3862,3935,3638,3349,3500
"16","8","      Nondurable goods","A796RC0",1057,1116,1154,1226,1350,1502,1617,1732,1854,2022,2273,2518,2719,2783,2897,3052,3175,3217,3353,3519,3757,3974,4024,4107,4191,4325,4426,4603,4731,4816,5129,5465,5564,5615,5873,6198,6594,6921,7203,7456,7050,7422
"17","9","    Services","A797RC0",1482,1607,1731,1888,2054,2251,2512,2774,3075,3432,3790,4198,4653,5065,5611,6080,6625,7068,7580,8213,8774,9370,9792,10406,10916,11403,11898,12443,13056,13791,14509,15478,16173,16760,17453,18325,19332,20318,21218,21828,21688,22117
"18",NA,"Chained (2005) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","10","  Gross domestic product","A939RX0",21003,20802,21231,22121,23180,22841,22573,23555,24391,25481,25988,25618,26008,25260,26163,27799,28693,29418,30090,31043,31850,32085,31587,32228,32719,33642,34082,34948,36071,37207,38559,39716,39734,40062,40697,41727,42612,43332,43726,43178,41313,42205
"20","11","  Gross national product","A791RX0",21150,20946,21389,22289,23404,23094,22767,23783,24645,25730,26322,25945,26292,25554,26446,28064,28880,29543,30209,31192,32004,32276,31747,32381,32872,33755,34216,35086,36172,37281,38675,39867,39935,40249,40949,42049,42940,43565,44109,43686,41769,42763
"21","12","  Disposable personal income","A229RX0",14699,15151,15637,16221,17159,16871,17083,17592,18017,18662,18888,18855,19164,19397,19859,21096,21561,22073,22236,22986,23374,23557,23442,23947,24033,24505,24939,25463,26049,27287,27792,28886,29286,29962,30430,31185,31318,32278,32713,33197,32141,32446
"22","13","  Personal consumption expenditures","A794RX0",13200,13355,13690,14377,14946,14686,14874,15551,16044,16575,16782,16531,16615,16686,17481,18247,19028,19621,20046,20665,21050,21240,20991,21420,21894,22456,22793,23315,23888,24850,25911,26927,27372,27828,28347,29014,29719,30277,30669,30219,29392,29735
"23","14","    Goods","AGDSRX0",4434,4418,4545,4790,4991,4765,4751,5034,5198,5356,5382,5185,5194,5181,5461,5803,6054,6335,6392,6569,6671,6638,6420,6535,6719,6988,7112,7344,7603,8023,8563,8917,9103,9381,9721,10062,10386,10630,10838,10474,10076,10418
"24","15","      Durable goods","A795RX0",814,783,851,946,1036,960,953,1062,1144,1191,1172,1066,1066,1055,1194,1353,1475,1602,1619,1696,1717,1690,1578,1647,1747,1864,1915,2034,2174,2410,2692,2896,3022,3220,3401,3615,3792,3926,4081,3844,3604,3832
"25","16","      Nondurable goods","A796RX0",4026,4068,4092,4213,4292,4150,4145,4300,4354,4464,4529,4469,4480,4483,4588,4736,4836,4963,5003,5088,5176,5178,5095,5125,5188,5325,5393,5484,5579,5722,5945,6071,6117,6178,6329,6449,6594,6705,6764,6624,6450,6583
"26","17","    Services","A797RX0",8560,8792,8982,9400,9752,9848,10119,10452,10775,11158,11372,11414,11504,11616,12114,12478,13007,13273,13679,14131,14422,14684,14707,15030,15311,15578,15787,16060,16359,16882,17374,18036,18291,18458,18629,18953,19332,19648,19833,19739,19303,19322
"27","18","Population (midperiod, thousands)","B230RC0",202736,205089,207692,209924,211939,213898,215981,218086,220289,222629,225106,227726,230008,232218,234333,236394,238506,240683,242843,245061,247387,250181,253530,256922,260282,263455,266588,269714,272958,276154,279328,282418,285335,288133,290845,293502,296229,299052,302025,304831,307483,310106
