"","Table 2#3#2# Contributions to Percent Change in Real Personal Co","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 27, 2011  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/27/2011 9:16:02 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Personal consumption expenditures (PCE)","DPCERL1",3.7,2.3,3.8,6.1,5,-0.8,2.3,5.6,4.2,4.4,2.4,-0.4,1.5,1.4,5.7,5.3,5.2,4.1,3.1,4,2.8,2,0.2,3.4,3.6,3.8,2.7,3.5,3.7,5.2,5.5,5.1,2.7,2.7,2.8,3.3,3.4,2.9,2.3,-0.6,-1.9,2
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Goods","DGDSRZ2",1.55,0.4,2.05,3.18,2.52,-1.8,0.33,3.3,2.03,1.93,0.75,-1.18,0.53,0.31,2.72,3.04,2.22,2.31,0.74,1.5,1,0.25,-0.77,1.18,1.52,1.92,1.09,1.62,1.72,2.41,2.83,1.9,1.12,1.42,1.6,1.55,1.46,1.15,1.02,-0.85,-0.99,1.39
"12","3","  Durable goods","DDURRZ2",0.56,-0.39,1.39,1.79,1.55,-0.96,0.03,1.71,1.28,0.78,-0.07,-1.12,0.13,-0.02,1.72,1.82,1.35,1.33,0.28,0.81,0.31,-0.06,-0.69,0.68,0.89,0.98,0.5,0.94,1.03,1.54,1.68,1.16,0.72,0.99,0.86,0.93,0.75,0.57,0.6,-0.58,-0.59,0.74
"13","4","    Motor vehicles and parts","DMOTRZ2",0.23,-0.64,1.04,0.84,0.6,-1.03,-0.03,1.04,0.62,0.28,-0.37,-0.72,0.11,0.13,0.92,0.88,0.76,0.46,-0.26,0.35,-0.01,-0.09,-0.64,0.38,0.27,0.32,-0.08,0.25,0.35,0.54,0.49,0.17,0.27,0.28,0.14,0.07,-0.03,-0.15,0.07,-0.54,-0.24,0.08
"14","5","    Furnishings and durable household equipment","DFDHRZ2",0.1,-0.01,0.19,0.44,0.46,-0.02,-0.23,0.25,0.37,0.22,0.17,-0.16,-0.07,-0.16,0.29,0.35,0.19,0.28,0.15,0.13,0.17,-0.05,-0.07,0.1,0.15,0.16,0.13,0.13,0.13,0.24,0.33,0.29,0.15,0.22,0.17,0.23,0.17,0.13,0.02,-0.11,-0.22,0.19
"15","6","    Recreational goods and vehicles","DREQRZ2",0.18,0.19,0.09,0.43,0.3,0.01,0.2,0.26,0.2,0.19,0.15,-0.11,0.07,0.01,0.38,0.43,0.3,0.42,0.34,0.28,0.13,0.07,0.09,0.17,0.39,0.43,0.41,0.46,0.47,0.61,0.66,0.56,0.33,0.39,0.42,0.49,0.47,0.47,0.43,0.13,-0.05,0.38
"16","7","    Other durable goods","DODGRZ2",0.06,0.07,0.07,0.08,0.19,0.07,0.09,0.16,0.09,0.09,-0.02,-0.14,0.02,0,0.13,0.17,0.11,0.17,0.06,0.06,0.02,0.01,-0.07,0.03,0.08,0.07,0.04,0.1,0.08,0.15,0.19,0.14,-0.03,0.1,0.13,0.13,0.14,0.12,0.08,-0.06,-0.08,0.1
"17","8","  Nondurable goods","DNDGRZ2",0.99,0.79,0.66,1.38,0.97,-0.84,0.3,1.59,0.75,1.15,0.82,-0.06,0.41,0.33,1,1.22,0.87,0.97,0.46,0.69,0.7,0.3,-0.08,0.49,0.63,0.94,0.59,0.68,0.69,0.87,1.15,0.74,0.41,0.44,0.74,0.62,0.71,0.59,0.42,-0.26,-0.39,0.65
"18","9","    Food and beverages purchased for off-premises consumption","DFXARZ2",0.44,0.44,0.19,0.31,-0.27,-0.31,0.28,0.73,0.21,-0.06,0.19,0.14,-0.05,0.25,0.32,0.24,0.34,0.23,-0.07,0.28,0.13,0.21,-0.01,-0.04,0.08,0.26,0.05,0.09,0.08,0.1,0.32,0.18,0.09,0.02,0.1,0.09,0.24,0.21,0.11,-0.08,-0.1,0.18
"19","10","    Clothing and footwear","DCLORZ2",0.14,-0.08,0.29,0.49,0.49,-0.13,0.17,0.29,0.33,0.64,0.35,0.18,0.36,0.1,0.38,0.45,0.24,0.4,0.2,0.16,0.28,-0.04,0,0.26,0.21,0.27,0.19,0.22,0.15,0.27,0.28,0.2,0.04,0.12,0.19,0.17,0.22,0.16,0.12,-0.02,-0.15,0.18
"20","11","    Gasoline and other energy goods","DGOERZ2",0.18,0.16,0.14,0.2,0.22,-0.37,0.11,0.25,0.08,0.07,-0.14,-0.5,-0.08,0.01,0.11,0.12,0.08,0.18,0.06,0.09,0.05,-0.06,-0.03,0.12,0.07,0.04,0.05,0.04,0.05,0.09,0.07,-0.05,0.02,0.04,0.07,0.04,-0.02,-0.08,-0.03,-0.19,0.01,0
