"","Table 5#2#5# Gross and Net Domestic Investment by Major Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","Gross private domestic investment","A006RC1",16.5,10.8,5.9,1.3,1.7,3.7,6.7,8.6,12.2,7.1,9.3,13.6,18.1,10.4,6.1,7.8,10.8,31.1,35,48.1,36.9,54.1,60.2,54,56.4,53.8,69,72,70.5,64.5,78.5,78.9,78.2,88.1,93.8,102.1,118.2,131.3,128.6,141.2,156.4
"12","5","Less: Consumption of fixed capital","A024RC1",8.7,8.5,7.9,6.9,6.5,6.7,6.7,6.9,7.7,7.8,7.8,8.1,9,10.1,10.3,10.7,11,12.3,16.1,18.9,20.5,22,25.2,26.7,28.2,29.5,31.1,34.3,37.2,39.4,41,41.6,42.6,44.1,45.9,48.3,51.9,56.5,61.6,67.4,74.5
"13","6","Equals: Net private domestic investment","A557RC1",7.8,2.3,-2,-5.6,-4.8,-3,0,1.8,4.5,-0.8,1.5,5.5,9.1,0.3,-4.1,-2.9,-0.2,18.8,18.9,29.2,16.4,32,35,27.3,28.2,24.3,38,37.7,33.2,25.1,37.6,37.3,35.5,44.1,47.9,53.8,66.4,74.8,67,73.8,82
"14","7","  Fixed investment","A007RC1",14.9,11,7,3.6,3.1,4.3,5.6,7.5,9.5,7.7,9.1,11.2,13.8,8.5,6.9,8.7,12.3,25.1,35.5,42.4,39.6,48.3,50.3,50.5,54.5,55.8,64,68.1,69.7,64.9,74.6,75.7,75.2,82,88.1,97.2,109,117.7,118.7,132.1,147.3
"15","8","  Less: Consumption of fixed capital","A024RC1",8.7,8.5,7.9,6.9,6.5,6.7,6.7,6.9,7.7,7.8,7.8,8.1,9,10.1,10.3,10.7,11,12.3,16.1,18.9,20.5,22,25.2,26.7,28.2,29.5,31.1,34.3,37.2,39.4,41,41.6,42.6,44.1,45.9,48.3,51.9,56.5,61.6,67.4,74.5
"16","9","  Equals: Net fixed investment","A560RC1",6.2,2.5,-0.8,-3.3,-3.4,-2.4,-1.2,0.6,1.9,-0.2,1.3,3.1,4.8,-1.6,-3.4,-1.9,1.3,12.8,19.5,23.6,19.1,26.3,25.1,23.8,26.3,26.3,33,33.7,32.4,25.5,33.7,34.1,32.6,38,42.3,48.9,57.1,61.2,57.2,64.7,72.8
"17","10","    Nonresidential","A008RC1",11,8.6,5.3,2.9,2.5,3.3,4.3,5.8,7.5,5.5,6.1,7.7,9.7,6.3,5.4,7.4,10.6,17.3,23.5,26.8,24.9,27.8,31.8,31.9,35.1,34.7,39,44.5,47.5,42.5,46.5,49.4,48.8,53.1,56,63,74.8,85.4,86.4,93.4,104.7
"18","11","    Less: Consumption of fixed capital","A753RC1",7.2,7,6.5,5.7,5.4,5.5,5.5,5.6,6.2,6.3,6.3,6.5,7.2,8.2,8.2,8.4,8.6,9.6,12.7,15,16.4,17.6,20.2,21.4,22.6,23.6,24.8,27.7,30.3,32.2,33.4,33.6,34.4,35.5,37,38.9,41.8,45.6,49.9,54.8,60.4
"19","12","    Equals: Net nonresidential","A593RC1",3.8,1.7,-1.2,-2.9,-2.8,-2.1,-1.2,0.2,1.3,-0.8,-0.2,1.2,2.5,-1.9,-2.7,-1,2,7.7,10.8,11.8,8.5,10.1,11.6,10.5,12.5,11.1,14.2,16.9,17.2,10.4,13.1,15.7,14.4,17.6,19,24.1,33,39.7,36.4,38.7,44.2
"20","13","      Structures","B009RC1",5.5,4.4,2.6,1.4,1.1,1.2,1.4,1.9,2.7,2.1,2.2,2.6,3.3,2.2,1.8,2.4,3.3,7.4,8.1,9.5,9.2,10,12,12.2,13.6,13.9,15.2,18.2,19,17.6,18.1,19.6,19.7,20.8,21.2,23.7,28.3,31.3,31.5,33.6,37.7
"21","14","      Less: Consumption of fixed capital","B188RC1",2.6,2.5,2.3,2,2,2,2.1,2.1,2.4,2.4,2.3,2.4,2.6,2.9,3.1,3.1,3.3,3.7,4.5,5.2,5.3,5.4,6.2,6.6,6.9,7,7.4,8.3,8.9,9.1,9.4,9.7,9.9,10.2,10.5,11,11.6,12.5,13.4,14.5,16
"22","15","      Equals: Net structures","A594RC1",2.9,2,0.3,-0.6,-0.9,-0.8,-0.7,-0.2,0.3,-0.2,-0.1,0.2,0.7,-0.7,-1.3,-0.8,0.1,3.7,3.6,4.4,3.9,4.6,5.8,5.7,6.7,6.9,7.8,9.9,10,8.5,8.7,9.9,9.9,10.6,10.7,12.8,16.7,18.8,18.1,19,21.7
"23","16","      Equipment and software","B010RC1",5.5,4.2,2.6,1.5,1.4,2.1,2.8,3.9,4.8,3.4,3.9,5.2,6.4,4.1,3.7,5,7.3,9.9,15.3,17.3,15.7,17.8,19.9,19.7,21.5,20.8,23.9,26.3,28.6,24.9,28.4,29.8,29.1,32.3,34.8,39.2,46.5,54,54.9,59.9,67
"24","17","      Less: Consumption of fixed capital","B189RC1",4.6,4.5,4.2,3.7,3.4,3.4,3.4,3.4,3.8,4,3.9,4.1,4.6,5.3,5.1,5.3,5.4,6,8.2,9.8,11.2,12.2,14,14.9,15.7,16.6,17.5,19.4,21.3,23.1,24,24,24.5,25.3,26.4,27.9,30.1,33.1,36.6,40.2,44.5
"25","18","      Equals: Net equipment and software","A747RC1",0.9,-0.3,-1.5,-2.2,-1.9,-1.3,-0.6,0.4,1,-0.6,-0.1,1,1.8,-1.2,-1.4,-0.3,1.9,4,7.1,7.4,4.6,5.6,5.9,4.8,5.8,4.2,6.4,7,7.2,1.8,4.4,5.8,4.6,7,8.4,11.3,16.3,20.9,18.3,19.6,22.5
"26","19","    Residential","A011RC1",4,2.4,1.8,0.8,0.6,0.9,1.3,1.7,2.1,2.1,3,3.5,4.1,2.2,1.4,1.4,1.7,7.8,12.1,15.6,14.6,20.5,18.4,18.6,19.4,21.1,25,23.6,22.2,22.3,28.1,26.3,26.4,29,32.1,34.3,34.2,32.3,32.4,38.7,42.6
"27","20","    Less: Consumption of fixed capital","A754RC1",1.6,1.6,1.4,1.1,1.1,1.2,1.2,1.3,1.5,1.5,1.5,1.6,1.8,2,2.1,2.3,2.4,2.7,3.4,3.9,4.1,4.4,5,5.3,5.6,5.8,6.2,6.7,7,7.2,7.6,7.9,8.3,8.6,8.9,9.4,10.1,10.8,11.6,12.7,14.1
"28","21","    Equals: Net residential","A748RC1",2.4,0.8,0.4,-0.4,-0.5,-0.3,0.1,0.4,0.6,0.6,1.5,1.9,2.3,0.3,-0.7,-0.9,-0.7,5.1,8.7,11.8,10.6,16.1,13.4,13.3,13.8,15.2,18.8,16.9,15.2,15.1,20.5,18.3,18.1,20.4,23.2,24.9,24.1,21.4,20.7,26.1,28.6
"29","22","  Change in private inventories","A014RC1",1.5,-0.2,-1.1,-2.4,-1.4,-0.6,1.1,1.2,2.6,-0.6,0.2,2.4,4.3,1.9,-0.7,-0.9,-1.5,6,-0.6,5.7,-2.7,5.8,9.9,3.5,1.9,-1.9,5,4,0.8,-0.4,3.9,3.2,3,6.1,5.6,4.8,9.2,13.6,9.9,9.1,9.2
"30","23","Gross government investment \1\","A782RC1",2.8,3.2,3,2.1,1.9,2.7,2.8,4.1,3.8,4.2,4.5,4.4,10.8,28.5,39.1,36.6,24.1,3.5,4.6,7,9.7,9.8,17.6,22.3,24,22.5,21,22.9,24.4,26.5,29.3,28.3,31.3,33.3,33.6,34.6,35.6,39.8,43,43.6,43.3
"31","24","Less: Consumption of fixed capital","A264RC1",1,1,0.9,0.8,0.9,1.1,1.1,1.2,1.3,1.4,1.4,1.5,2,3.5,6.2,8.9,10.1,10.8,10.6,9.6,8.7,7.9,8.6,9.5,10.4,11.1,11.7,12.8,13.6,13.9,14.5,15,15.6,16.5,17.5,18.1,18.9,20,21.4,23,24.7
"32","25","Equals: Net government investment","A889RC1",1.9,2.2,2.1,1.3,1,1.6,1.7,2.9,2.5,2.8,3.1,2.8,8.8,25,32.8,27.8,14,-7.3,-6,-2.6,1,1.9,9,12.8,13.6,11.4,9.2,10.1,10.8,12.6,14.8,13.3,15.8,16.8,16.2,16.6,16.7,19.8,21.6,20.6,18.6
"33","26","          Federal","A890RC1",0,0.1,0.1,0.2,0.4,0.7,0.9,0.9,0.9,0.8,0.7,1.2,7.7,24.9,33.5,28.5,14.6,-7.3,-7,-4.5,-2.2,-1.8,4.6,8.2,8.5,5.1,2.3,2.4,2.1,3.1,5.2,3.8,5.4,6,4,3.3,2.1,3.6,3.8,1.3,-0.4
"34","27","            National defense","B891RC1",-0.1,-0.1,-0.1,-0.1,0,0,0,0.1,0.1,0.1,0.1,0.6,6.7,24.3,33,28.4,14.4,-7.2,-7.2,-5,-3,-2.8,3.7,7.3,7.8,4.6,2.1,2,1.5,2.2,4.3,2.6,3.8,4,1.6,0.3,-1.2,0.3,1.5,-0.5,-1.8
"35","28","            Nondefense","B892RC1",0.1,0.2,0.2,0.3,0.5,0.7,1,0.8,0.7,0.7,0.6,0.6,1,0.6,0.5,0,0.2,-0.1,0.2,0.4,0.8,1,0.9,0.9,0.7,0.5,0.2,0.4,0.6,0.9,0.9,1.2,1.6,2,2.4,3,3.3,3.3,2.4,1.8,1.4
"36","29","          State and local","A893RC1",1.9,2.2,1.9,1.1,0.6,0.9,0.8,2,1.6,2,2.3,1.7,1,0.1,-0.6,-0.7,-0.6,0.1,1,1.9,3.2,3.7,4.4,4.6,5.1,6.3,7,7.7,8.7,9.5,9.7,9.5,10.4,10.9,12.2,13.2,14.6,16.2,17.8,19.3,19
"37","30","  Structures","A760RC1",2.6,2.9,2.7,1.9,1.7,2.3,2.3,3.7,3.3,3.6,3.9,3.7,6.3,12.1,7,3.3,2.5,1.7,3,4.6,6.3,7,9.5,11.1,11.7,12.1,12,13.4,14.9,16.5,16.9,16.6,18,18.6,19.9,21.1,22.8,25.1,26.5,28.5,29
"38","31","  Less: Consumption of fixed capital","A894RC1",0.7,0.7,0.7,0.6,0.7,0.8,0.8,0.9,1,1,1.1,1.1,1.3,1.7,2,2,2,2.3,2.7,3,3,2.9,3.5,3.7,3.9,3.9,4.1,4.6,5,5.2,5.4,5.5,5.7,6.1,6.4,6.8,7.2,7.8,8.4,9.2,10.2
"39","32","  Equals: Net structures","A895RC1",1.8,2.2,2.1,1.3,1,1.4,1.5,2.8,2.3,2.6,2.9,2.6,5,10.5,5,1.3,0.5,-0.6,0.3,1.6,3.3,4.1,6.1,7.4,7.8,8.2,7.9,8.8,9.9,11.3,11.5,11.1,12.3,12.6,13.5,14.3,15.6,17.3,18,19.4,18.8
"40","33","            Federal","A896RC1",0,0.1,0.2,0.3,0.4,0.5,0.7,0.8,0.8,0.7,0.6,1,3.9,10.3,5.6,1.9,1.1,-0.7,-0.6,-0.1,0.3,0.5,1.8,3,2.9,2.1,1.2,1.3,1.6,2.1,2.1,2,2.3,2.1,1.9,1.7,1.7,1.8,1,0.7,0.6
"41","34","              National defense","B897RC1",0,0,0,0,0,0,0,0.1,0.2,0.1,0.1,0.5,3.4,10,5.3,1.9,1.1,-0.4,-0.7,-0.5,-0.5,-0.4,1,2.2,2.2,1.6,0.9,0.8,0.9,1.2,1.1,0.8,0.9,0.5,0.1,-0.3,-0.4,-0.3,-0.5,-0.5,-0.4
"42","35","              Nondefense","B898RC1",0.1,0.1,0.2,0.3,0.4,0.5,0.7,0.7,0.6,0.6,0.5,0.4,0.5,0.3,0.2,0,0,-0.2,0.1,0.4,0.8,0.9,0.8,0.8,0.7,0.6,0.3,0.5,0.7,1,1,1.2,1.4,1.6,1.7,1.9,2.1,2.1,1.4,1.3,1
"43","36","            State and local","B899RC1",1.8,2.1,1.9,1.1,0.6,0.9,0.8,2,1.6,1.9,2.3,1.7,1.1,0.2,-0.5,-0.6,-0.5,0.1,0.9,1.8,3.1,3.6,4.2,4.4,4.9,6.1,6.8,7.5,8.3,9.2,9.3,9.1,10,10.5,11.6,12.6,14,15.5,17.1,18.6,18.2
"44","37","  Equipment and software","A871RC1",0.3,0.2,0.3,0.2,0.2,0.4,0.5,0.4,0.5,0.5,0.6,0.6,4.5,16.4,32.1,33.4,21.6,1.8,1.6,2.4,3.4,2.8,8.1,11.2,12.3,10.4,9,9.5,9.5,10,12.4,11.7,13.3,14.7,13.7,13.6,12.7,14.7,16.5,15.1,14.3
"45","38","  Less: Consumption of fixed capital","A900RC1",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.7,1.9,4.3,6.9,8.1,8.5,7.9,6.6,5.7,5,5.1,5.8,6.6,7.2,7.6,8.2,8.6,8.7,9.1,9.5,9.8,10.4,11,11.3,11.7,12.1,13,13.8,14.5
"46","39","  Equals: Net equipment and software","A901RC1",0,0,0,0,0,0.1,0.2,0.1,0.1,0.2,0.2,0.2,3.8,14.6,27.8,26.5,13.5,-6.7,-6.3,-4.2,-2.3,-2.2,2.9,5.4,5.8,3.2,1.3,1.3,0.9,1.3,3.4,2.2,3.5,4.2,2.7,2.3,1.1,2.6,3.6,1.3,-0.2
"47","40","            Federal","A902RC1",-0.1,-0.1,0,-0.1,0,0.1,0.2,0.1,0.1,0.1,0.1,0.2,3.8,14.6,27.9,26.5,13.6,-6.7,-6.4,-4.4,-2.5,-2.4,2.8,5.2,5.6,2.9,1.1,1.1,0.5,1,3,1.8,3.1,3.8,2.2,1.6,0.4,1.8,2.8,0.6,-1
"48","41","              National defense","B905RC1",-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,0,0,0.1,3.3,14.3,27.7,26.5,13.4,-6.8,-6.5,-4.4,-2.5,-2.4,2.7,5.1,5.6,3,1.2,1.1,0.6,1.1,3.2,1.8,2.9,3.5,1.5,0.6,-0.8,0.6,1.9,0,-1.4
"49","42","              Nondefense","B906RC1",0,0,0,0,0,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.6,0.3,0.2,0,0.2,0.1,0.2,0,0,0.1,0.1,0.1,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,0,0.2,0.4,0.7,1,1.2,1.2,0.9,0.5,0.4
"50","43","            State and local","B907RC1",0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0,-0.1,-0.1,-0.1,-0.1,0,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.8
"51",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","44","  Gross domestic fixed investment","W172RC1",17.8,14.2,10,5.8,5.1,6.9,8.3,11.6,13.3,11.8,13.6,15.6,24.6,37.1,45.9,45.4,36.4,28.6,40.1,49.5,49.3,58.1,67.9,72.8,78.5,78.3,85,91,94.1,91.3,103.9,103.9,106.5,115.3,121.8,131.9,144.5,157.5,161.7,175.8,190.5
"53","45","  Less: Consumption of fixed capital","A262RC1",9.7,9.5,8.8,7.7,7.4,7.8,7.8,8.1,9,9.2,9.3,9.7,11.1,13.7,16.5,19.5,21.1,23.1,26.6,28.5,29.2,29.9,33.8,36.3,38.6,40.6,42.8,47.1,50.8,53.3,55.4,56.6,58.2,60.6,63.3,66.4,70.7,76.5,82.9,90.4,99.2
"54","46","  Equals: Net domestic fixed investment","W173RC1",8.1,4.7,1.2,-1.9,-2.3,-0.8,0.5,3.5,4.3,2.6,4.4,5.9,13.5,23.4,29.4,25.8,15.3,5.5,13.5,21,20.1,28.2,34.1,36.5,39.8,37.7,42.2,43.9,43.2,38.1,48.5,47.3,48.3,54.8,58.4,65.5,73.8,81,78.8,85.3,91.3
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Gross government investment consists of general government and government enterprise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","expenditures for fixed assets; change in inventories is included in government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
