"","Table 1#1#11# Real Gross Domestic Product: Percent Change From Q","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89"
"1","[Percent];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 26, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/25/2011 10:14:43 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9","1","    Gross domestic product","A191RO1",2.9,4.9,5.6,4.2,1.1,-1.1,-0.5,-1.6,3.8,7.4,10.4,13.4,10.3,8.9,6.8,5.2,4.9,3.3,2,5.2,6.1,6.7,5.4,0.4,-1.9,-2.5,-0.8,2.8,6.3,7.9,8.1,6.6,3.1,2.2,0.8,1.8,2.9,1.9,3,0.3,-3,-2.2,-0.9,2.5,7.5,9.5,6.9,4.8,5.1,2,2.3,0.6,-1,1.3,2.8,6.2,7.5,6.7,6,4.1,3.6,3.8,4.8,5.3,6.3,6.2,5.6,5.1,5.3,5.5,6.2,8.5,8.5,7.4,6,4.3,2.7,2.4,2.5,2.5,3.7,5.4,5.3,5,4.5,3
"10","2","Personal consumption expenditures","DPCERO1",2.5,2,1.8,2.6,2.3,2.6,2.7,3.4,5,5.1,10.2,5.4,6.1,1.5,-2.3,1.3,-0.9,4,3.3,6.3,7.3,5.9,5.2,0.9,0.1,0.8,2.4,5.2,7.2,7.8,7.7,6.8,4.6,3,2,2.1,2.6,2.5,3.1,1.7,-0.3,0.3,1.1,2.4,5.7,6.5,5.9,4.6,3.7,3.4,1.9,2,1,1.2,2.1,4,5.1,4.9,5.2,4.6,4.2,3.9,4.5,3.9,5.2,6.1,6.6,6,6.2,5.5,5.4,8.1,7.3,6.4,5.8,3.3,2.4,3.5,2.9,3.1,5,5.1,6.6,6.4,5.1,4.2
"11","3","  Goods","DGDSRO1",3,2.1,1.3,1.6,1.3,2.6,3.2,4.8,7,5.9,13.2,4.9,5.2,-1.2,-7.1,-1.1,-3.7,3.7,2.5,6.8,8.7,6.5,5.7,0,-1.3,-0.5,1.4,4.8,8.1,10.1,10.4,8.2,4.5,1.5,-0.3,0.4,1.8,1.6,2.9,0.6,-2.7,-2,-1,1.7,6.6,7.9,6.8,3.9,2.6,2.4,0.9,1.1,-0.8,-0.7,0.6,3.5,5.7,5.1,5.2,4.6,4.3,4.2,4.4,3.1,4.5,5.9,7.3,6.1,7.1,5.6,5.4,10.2,8.8,7.4,6.8,2.6,1,3.3,1.5,2.1,5.1,4.8,7.7,7.1,5.2,3.7
"12","4","    Durable goods","DDURRO1",9.7,8.2,8.5,0.4,-0.9,6.9,10.2,16.2,22.9,14.1,34.7,13.5,12.8,-4.2,-24,-13.5,-15.7,0.3,-3.9,13.1,16.2,13.3,19.7,-0.7,-7,-1.9,-0.8,8.3,21.8,22.5,25.9,15.5,1.1,-3.9,-8.6,-3.1,3.4,0.8,1.9,-2.4,-10.5,-9.8,-7.3,-2.7,9.8,15.8,15.6,6.2,4,2.5,-0.3,2.1,-6.5,-6.7,-3.7,3.6,12,12.7,10.8,10.3,10.1,9.6,10.1,7.1,9.1,9.6,11.9,6.7,12.3,9.6,9.7,18,13.1,8.4,8.3,3.8,-2.8,5.6,1.5,1.8,10.2,7.9,13.6,12.7,8.1,5.6
"13","5","    Nondurable goods","DNDGRO1",1.2,0.4,-0.6,2,2.1,1.3,1.1,1.4,2.3,3.2,5.9,1.9,2.5,-0.2,0.2,3.7,0.9,4.8,4.5,4.8,6.3,4.4,1.6,0.3,0.6,-0.1,2.1,3.7,3.8,6,5.3,5.7,5.8,3.6,3,1.7,1.2,1.9,3.2,1.7,0.2,0.7,1.2,3.2,5.5,5.4,3.9,3.2,2.1,2.4,1.4,0.8,1.2,1.4,2.1,3.4,3.6,2.7,3.4,2.6,2.3,2.2,2.4,1.7,2.9,4.5,5.5,5.9,5.1,4.1,3.6,7.3,7,7,6.2,2.1,2.5,2.3,1.5,2.2,3.1,3.6,5.3,4.9,4,3
"14","6","  Services","DSERRO1",1.8,1.9,2.7,4.2,3.8,2.7,1.9,1.2,1.9,3.9,5.7,6.1,7.6,5.7,5.4,5,3.5,4.4,4.4,5.7,5.4,5.1,4.3,2.1,2,2.5,3.7,5.7,6,4.9,4.2,5,4.8,5,5.1,4.3,3.7,3.6,3.3,3.1,2.6,3.2,3.8,3.3,4.8,4.8,4.8,5.4,5,4.6,3.1,2.9,3,3.3,3.8,4.6,4.5,4.6,5.2,4.6,4.1,3.7,4.6,4.7,5.9,6.3,5.8,5.8,5.3,5.4,5.5,5.8,5.7,5.3,4.7,4.1,4,3.9,4.4,4.2,4.8,5.5,5.4,5.7,5,4.6
"15","7","Gross private domestic investment","B006RO1",19.1,38.1,44.2,13.5,-13.6,-30.2,-24.9,-25.3,10.6,43,43.3,71.8,22.8,13.2,-4.2,-22.6,-11.5,-20.8,-9.6,5.9,5.6,15.5,7.1,-7.9,-10.5,-11.1,-4.3,8.7,21.3,29.4,24.8,21.9,6.5,-1,-3.5,-6.7,-5,-4,-0.6,-7.8,-13.3,-15.2,-10.3,6.7,21.7,35.1,16.1,10.2,15.6,-4.1,2.5,-13.2,-19.7,-4,4.7,21.4,25.5,15.7,8.6,3.2,2.8,5.3,6.9,11.9,10.4,8.3,7.4,7,13.1,13.6,14.9,14.5,12.8,10.8,5.9,5.9,-5,-7.4,-3.8,-2.1,2.8,11.7,5.1,3.9,8.4,3.4
"16","8","  Fixed investment","A007RO1",13.2,16.2,11.2,1,-7.9,-10.7,-10,-5.7,6.4,20.1,29.4,22.3,10.7,-3.3,-11.5,-10.6,-6,-0.1,-4.7,3.6,6.5,5.6,12.6,3.5,-2,-1,2.9,6.4,12.4,15.4,13.4,11,4.4,0.9,-1.4,-2.2,-0.1,-1.8,-0.7,-1.8,-7.9,-9.6,-9.2,-1.9,11,18,17.7,9.4,6.7,1.3,-2.6,-1.7,-6.2,-2.9,2.2,6.1,9.7,11.4,9.7,5.6,4.6,6.2,8.1,12.1,15,9.6,8.5,6,6.7,10,11.2,12.9,12,7.5,4.7,-0.7,-6.6,-2.9,-1.9,4.3,9.4,6.1,6.6,5.9,6.7,7.7
"17","9","    Nonresidential","A008RO1",5.8,3.7,6.1,5.4,-5.5,-5.9,-10.8,-14.5,-7.7,4.6,20,21.9,15.5,7.5,-0.3,-2.2,0.8,0.5,-9.6,0.7,5.8,5.3,18.4,7.3,-1.3,-3,-2.6,-1.7,3.2,10.8,13.4,16.8,12.7,7.7,3.2,0.2,2.9,1,2.3,-0.1,-8,-11.7,-14.8,-9.3,0.8,8.6,13.7,9.2,10,8.4,2.4,2.3,-3.6,-3.1,0.2,4.2,8.9,9.8,10.3,6,3.4,3.7,5.4,9.6,12.5,11.8,12.2,10.9,15.5,16.9,17.3,19.8,17.2,14.7,11.8,7,0.4,-1.5,-3.2,-1,4.4,2.9,4.8,5.7,5.6,8.6
