"","Table 3#10#1# Percent Change From Preceding Period in Real Gover","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 27, 2011  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/26/2011 8:12:49 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","      Government consumption expenditures \1\","A955RL1",1.5,-1.3,-0.2,0.5,-1,2,2.3,0.2,1.9,2,1,1.7,1.8,2.4,2.9,1.6,5.6,5.4,1.7,1.7,2.5,2.4,1.2,0.4,-0.2,0.3,0.2,0.4,1.7,1.8,2.8,1.8,3.7,4.5,2.2,1.4,0.6,1,1.3,2.2,2,0.9
"9","2","        Gross output of general government","W101RL1",1.6,-1,0.3,1.2,-0.6,2,2,0.4,2.1,2.3,1.4,1.7,1.8,2.3,2.8,1.5,5.4,5.2,1.7,1.8,2.5,2.4,1.5,0.7,0.3,0.8,0.4,0.6,1.8,2.1,2.6,2.3,3.9,4,1.9,1.4,0.6,0.9,1.3,2,2,1.1
"10","3","          Value added","W102RL1",2.5,0.4,0.2,-0.2,0.4,2,1.6,0.9,1,1.9,1.1,1.4,0.6,1,0.6,1.2,2.9,2.5,2.2,2.6,2.4,2.6,1,0.3,0.2,0,0.1,0.2,0.8,1.1,0.9,1.7,1.8,2,1.2,0.6,0.7,0.6,1.2,2,1.9,0.5
"11","4","            Compensation of general government employees","A194RL1",2.7,0.3,0.4,0.1,0.7,2.4,1.7,0.8,1,2,0.9,1.2,0.2,0.7,0.1,0.6,2.3,1.8,1.5,2.1,1.9,2.2,0.5,-0.2,-0.1,-0.2,-0.2,-0.1,0.6,0.9,0.6,1.5,1.7,2,1,0.2,0.3,0.2,0.9,1.9,1.6,0.1
"12","5","            Consumption of general government fixed capital \2\","A265RL1",1.9,0.9,-0.8,-1.5,-1,0.1,1,1.5,1.5,1.6,2,2.6,2.7,2.9,3.7,4.9,6.1,6.4,6,5.1,4.8,4.8,4,3.1,2.2,1.5,1.3,1.5,1.8,2.2,2.8,2.8,2.4,2.3,2.3,2.8,2.7,3,3.2,3,3.2,2.9
"13","6","          Intermediate goods and services purchased \3\","W104RL1",-0.3,-4,0.6,4.7,-3,2,2.8,-0.8,4.6,3.2,2.3,2.2,4.5,5.1,7.3,2.1,10.4,10.6,0.9,0.2,2.8,2.2,2.4,1.5,0.4,2.5,1.2,1.6,3.8,3.9,5.9,3.2,7.8,7.5,3,2.7,0.6,1.5,1.5,1.8,2.2,2.1
"14","7","            Durable goods","W105RL1",-12.6,-7,-18.6,22.3,-3.9,-7.8,3.5,-4.8,17.8,9.1,6.7,3.5,11.9,7.4,15.6,2.3,6.7,7,5.8,2.8,-1.6,-1.5,-2.1,-5.7,-5,-7.7,-2.8,1.3,3.4,5.3,7.7,3,4.2,3.5,3.9,6.4,1.5,5.5,6.7,10.2,4,2.6
"15","8","            Nondurable goods","W106RL1",3.9,-13.4,-0.2,4.7,-8.8,1.6,2.5,4.3,6.2,2.6,-0.3,1.5,7.1,-2.3,5.4,-3.4,9.4,15.6,-6.1,-6.9,12.9,0.6,4.7,3.5,4.2,2.3,3.9,2,5.6,7.4,4.1,5,8.2,4.2,-0.2,2,1,-0.1,2.2,-1.1,1,0.3
"16","9","            Services","W107RL1",0.8,1.7,5,1.9,-0.4,3.9,2.8,-2.4,1.8,2.4,2.7,2.3,1.7,8.7,6.4,4.6,11.7,9.6,2.4,1.9,0.8,3.5,2.6,2.2,0.1,4.1,0.8,1.4,3.3,2.6,6.3,2.6,8,9,4,2.6,0.4,1.7,0.8,2.2,2.4,2.7
"17","10","        Less: Own-account investment \4\","W108RL1",-1,1.4,1,-0.5,-4,3,-4.3,-9.3,-9.3,8.4,14.8,5,-3,3.3,1.9,11.1,9.5,5.5,4.3,4.2,11.4,4.6,3.9,-0.7,-1.3,-1.8,0.8,-0.8,5.6,1.6,0.3,0.4,11.3,0.7,-3.2,0.6,0.6,2.1,0.5,2.5,-0.4,-5.5
