"","Table 5#8#5A# Gross Government Fixed Investment by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/26/2011 8:22:22 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
"8","1","      Gross government fixed investment \1\","A782RC1",43.3,43.6,41.8,42.6,46.8,56.3,63.1,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.9,139.4,158.8,173.2,184.3,186.1,197.7,215.7,220.3,223.1,219.4,220.9,232.6,244.2,252.4
"9","2","        Federal","A787RC1",15,14.8,11.7,12,13.6,16.6,19.5,22.6,24.7,27.6,31.6,36.3,41.9,47.5,56.4,64.4,74.4,80.4,85.8,79.8,83,88.5,88.2,88.8,83.8,77.9,78.6,80.4,73.4
"10","3","          National defense","A788RC1",11.3,11.1,7.5,7.5,8.7,11.1,13,15.3,16.7,17.8,21.4,24.3,28.9,34.7,41.9,48.7,57.5,62.9,66.4,61.3,62.7,65.9,63.4,61.6,55.5,53,51.8,51.6,45.3
"11","4","          Nondefense","A798RC1",3.6,3.8,4.2,4.5,4.9,5.6,6.5,7.3,8,9.8,10.2,12,13,12.7,14.5,15.7,16.9,17.5,19.4,18.6,20.3,22.6,24.8,27.2,28.3,24.9,26.8,28.8,28.1
"12","5","        State and local","A799RC1",28.3,28.7,30.1,30.6,33.2,39.6,43.6,43.8,42.8,49.5,56.8,64,65,64.8,66.4,75,84.4,92.8,98.4,106.3,114.7,127.2,132.1,134.3,135.7,143,154,163.8,178.9
"13","6","Structures \2\","A760RC1",29,29.2,31.2,31.6,34.4,40.3,44.5,44.9,44.3,51.5,57.8,65.3,66.4,65,65.7,72.5,81.1,89,95.5,99,102,112.6,117,119.7,121.1,124.7,134.7,144.4,155.6
"14","7","  Federal","A801RC1",3.4,3.4,4.3,4.5,5.2,5.6,6.4,6.7,7.4,8.6,8.8,10.3,10.9,10.7,11.5,12,13.6,14.8,16.7,14.2,13.2,14.1,13.8,15.5,16.6,16,17.5,17.5,16
"15","8","    National defense","A808RC1",1.5,1.3,1.8,1.8,2.1,2.2,2.3,2.1,2.4,2.5,2.5,3.2,3.2,4,4.8,4.9,6.2,6.8,7.7,7.4,6.4,6.1,4.6,5.2,5.3,5.8,6.7,6.3,6.1
"16","9","      New","A814RC1",1.6,1.3,1.6,1.5,1.8,2,2.6,2.4,2.4,2.5,2.5,3.2,3.2,4,4.8,4.9,6.2,6.8,7.7,7.4,6.4,6.1,4.6,5.2,5.4,5.8,6.7,6.3,6.1
"17","10","        Buildings","A815RC1",0.4,0.3,0.4,0.5,0.5,0.6,0.8,0.7,0.7,0.7,0.8,1.1,1.3,1.6,2,2,2.6,2.5,2.7,2.5,2.4,2.6,2.3,2,1.9,2,2.1,2,1.9
"18","11","          Residential","B816RC1",0.2,0.1,0.1,0.3,0.4,0.5,0.6,0.6,0.5,0.5,0.5,0.7,0.7,0.9,1.2,1.2,1.5,1.6,1.9,1.7,1.7,1.8,1.2,1.1,1.2,1.4,1.5,1.4,1.4
"19","12","          Industrial","B817RC1",0.2,0.2,0.3,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.7,0.8,0.8,1.1,1,0.8,0.8,0.7,0.8,1.1,0.9,0.7,0.6,0.6,0.6,0.5
"20","13","        Military facilities \3\","B818RC1",1.2,1,1.1,1,1.3,1.4,1.8,1.7,1.7,1.8,1.8,2.2,2,2.3,2.8,3,3.6,4.3,5,4.9,4,3.5,2.4,3.2,3.4,3.7,4.6,4.3,4.2
"21","14","      Net purchases of used structures","B819RC1",-0.1,0,0.2,0.3,0.3,0.2,-0.3,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","15","    Nondefense","A830RC1",1.9,2.1,2.5,2.7,3.1,3.4,4.1,4.6,5,6.1,6.3,7.1,7.7,6.8,6.7,7,7.3,8,9,6.8,6.9,8,9.2,10.3,11.2,10.2,10.8,11.3,9.9
"23","16","      New","A831RC1",1.9,2,2.5,2.7,3.1,3.4,4.1,4.6,5.1,6.1,6.4,7.1,7.6,6.8,6.8,7,7.1,6.9,8.1,7.4,7.3,8.2,9.5,10.6,10.9,10.9,11.4,11.3,10.2
"24","17","        Buildings","A832RC1",0.4,0.4,0.4,0.5,0.7,0.8,1,1.3,1.4,1.6,1.8,2.1,2.3,1.9,2.1,2.4,2.5,2.4,3.1,2.7,2.6,3.4,4.4,4.6,4.5,3.8,4.6,4.7,4.7
"25","18","          Residential","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","19","          Industrial","B834RC1",0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,1,1.1,0.9,1,0.9,0.8,0.6,0.5,0.5,0.5,0.5,0.7,0.9,0.9,0.8,0.9,0.7,0.4
"27","20","          Educational \4\","B835RC1",0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
