"","Table 6#8B# Persons Engaged in Production by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Thousands]                                                                                                                                                                                                                                               ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/25/2011 10:25:19 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Persons engaged in production \1\","A4601C0",58240,56833,58523,62236,63310,64087,62111,63137,64284,64545,62530,64002,64886,64656,66043,66629,67860,70159,73342,75180,76974,78917
"9","2","Domestic industries","A4602C0",58233,56848,58527,62291,63378,64165,62238,63275,64426,64678,62658,64136,65029,64781,66134,66701,67923,70180,73357,75195,76990,78939
"10","3","  Private industries","A4603C0",51489,49641,51095,53024,53335,54152,52383,53530,54586,54643,52581,53793,54408,53798,54743,55102,55984,57864,60064,61189,62534,64223
"11","4","    Agriculture, forestry, and fishing","J4604C0",6625,6440,6402,6022,5879,5696,5713,5525,5251,5010,4848,4704,4531,4442,4310,4079,3862,3713,3432,3338,3303,3193
"12","5","      Farms","B4605C0",6350,6171,6127,5735,5580,5402,5420,5237,4962,4724,4567,4426,4243,4144,4001,3762,3532,3366,3077,2973,2929,2810
"13","6","      Agricultural services, forestry, and fishing","J4606C0",275,269,275,287,299,294,293,288,289,286,281,278,288,298,309,317,330,347,355,365,374,383
"14","7","    Mining","J4607C0",1028,956,957,972,949,908,833,835,873,869,775,742,721,685,666,647,642,644,640,624,618,626
"15","8","      Metal mining","J4608C0",105,98,100,107,108,112,106,109,116,117,95,86,98,92,87,83,83,87,90,82,84,92
"16","9","      Coal mining","J4609C0",544,485,479,451,407,352,277,259,270,264,223,197,183,163,155,150,147,144,140,140,134,135
"17","10","      Oil and gas extraction","J4610C0",277,271,274,302,320,328,334,347,360,362,335,335,319,311,306,297,295,291,287,282,282,284
"18","11","      Nonmetallic minerals, except fuels","B4611C0",102,102,104,112,114,116,116,120,127,126,122,124,121,119,118,117,117,122,123,120,118,115
"19","12","    Construction","J4612C0",3305,3155,3415,3628,3601,3528,3394,3463,3580,3525,3397,3533,3491,3461,3541,3619,3728,3903,3985,3965,4084,4256
"20","13","    Manufacturing","J4613C0",15961,14777,15508,16665,16904,17652,16378,16852,17121,17077,15606,16371,16498,16075,16658,16776,17006,17902,19112,19335,19642,20057
"21","14","      Durable goods","J4614C0",8591,7727,8317,9336,9645,10300,9319,9709,9954,9935,8783,9351,9436,9094,9539,9649,9821,10458,11389,11504,11672,11952
"22","15","        Lumber and wood products","J4615C0",964,847,911,965,907,878,801,837,824,747,697,740,719,671,679,684,704,719,730,714,727,745
