"","Table 5#6#6BU# Real Change in Private Inventories by Industry   ","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"1","[Millions of chained (2000) dollars; seasonally adjusted at annual rates]                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 30, 2004   ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/27/2004 2:11:11 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003
"8","1","B     Nonfarm industries","KCNF0",68496,71193,71516,57827,-31839,13500,-1064
"9","2","B Construction, mining, and utilities","KCCMU0",2486,7237,-553,-1673,10588,-4154,259
"10","3","B Manufacturing industries","KC300",20743,18637,16952,7882,-21324,-7466,-15173
"11",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA
"12","4","B     Durable goods industries","KC30D0",13619,17922,8549,7257,-18204,-9477,-11401
"13","5","D       Wood product manufacturing","KC3210",346,471,534,289,-374,-49,-204
"14","6","D       Nonmetallic mineral product manufacturing","KC3270",186,51,334,150,-470,-265,-436
"15","7","D       Primary metal manufacturing","KC3310",412,1607,461,-410,-1816,-592,-2651
"16","8","D       Fabricated metal product manufacturing","KC3320",1293,1262,952,636,-1105,-1124,-1333
"17","9","D       Machinery manufacturing","KC3330",1495,1168,454,2647,-4190,-2233,-2140
"18","10","D       Computer and electronic product manufacturing","KC3340",6827,730,4768,11175,-7200,-2671,-2084
"19","11","D       Electrical equipment, appliance, and component manufacturing","KC3350",481,501,-10,808,-943,-1281,-443
"20","12","D       Transportation equipment manufacturing","KC3360",1346,11792,-227,-9125,-1819,-1995,-1763
"21","13","D         Motor vehicle and parts manufacturing","KC3MV0",533,1158,1654,-180,-2472,673,-949
"22","14","D         Other transportation equipment manufacturing","KC3OT0",808,10685,-1888,-8945,635,-2645,-821
"23","15","D       Furniture and related product manufacturing","KC3370",144,157,345,234,-406,-173,-512
"24","16","D       Miscellaneous durable goods manufacturing","KC3390",243,476,778,853,46,903,281
"25","17","B     Nondurable goods industries","KC30N0",7077,349,8489,625,-3134,1995,-3864
"26","18","D       Food manufacturing","KC3110",790,112,1630,480,-311,477,-1581
