"","Table 5#4#6BU# Real Private Fixed Investment in Structures by Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"1","[Millions of chained (2000) dollars; quarters seasonally adjusted at annual rates]                                                                                                                                                                        ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 30, 2004   ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/27/2004 2:05:23 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003
"8","1","    Private fixed investment in structures","A349RX0",662633,706389,729731,752727,747194,713849,740269
"9","2","Nonresidential","B009RX0",280087,294452,293200,313184,306097,251631,237425
"10","3","  Commercial and health care","W001RX0",118602,125425,129422,137551,130277,109751,102100
"11","4","    Office\1\","W031RX0",43363,50786,53974,60228,55494,38456,32201
"12","5","    Health care","W032RX0",22098,21739,21612,21892,21017,23740,24352
"13","6","      Hospitals and special care","C311RX0",17039,16781,15875,16225,16050,18563,18349
"14","7","        Hospitals","W033RX0",12685,11627,11178,11482,12212,14813,15298
"15","8","        Special care","W034RX0",4354,5154,4696,4743,3837,3750,3051
"16","9","      Medical buildings","W035RX0",5060,4959,5738,5668,4968,5178,6003
"17","10","    Multimerchandise shopping","W036RX0",13028,13566,15018,14156,14973,13789,13356
"18","11","    Food and beverage establishments","W037RX0",9182,9333,8160,8341,8015,7005,7233
"19","12","    Warehouses","W038RX0",13463,12997,13508,14071,14349,10538,10607
"20","13","    Other commercial\2\","W039RX0",17388,16994,17148,18863,16422,16122,14220
"21","14","  Manufacturing","C307RX0",42255,43679,33851,31800,28530,15382,13119
"22","15","  Power and communication","W003RX0",30131,34741,40795,46807,48233,46669,37376
"23","16","    Power","W028RX0",17629,22287,21998,28008,29206,29427,25850
"24","17","      Electric","C571RX0",12139,13009,15165,22038,23092,22064,18234
"25","18","      Other power","W029RX0",5482,9308,6837,5970,6114,7382,7648
"26","19","    Communication","C314RX0",12491,12553,18773,18799,19027,17238,11509
"27","20","  Mining exploration, shafts, and wells","E318RX0",25273,23307,21266,27169,32003,23593,29034
"28","21","    Petroleum and natural gas","C319RX0",23691,22129,20233,25843,30767,22508,27628
"29","22","    Mining","C320RX0",1599,1180,1033,1326,1209,1097,1430
"30","23","  Other structures","W004RX0",63924,67365,67888,69857,66576,56382,54875
"31","24","    Religious","C309RX0",6346,6994,7488,7809,7814,7618,7547
"32","25","    Educational and vocational","W044RX0",11085,11889,11338,13041,13750,13692,13427
"33","26","    Lodging","W045RX0",18020,19975,20630,20182,17206,12179,11266
"34","27","    Amusement and recreation","W046RX0",11496,11224,11971,10522,8993,8435,8665
"35","28","    Transportation","W047RX0",6583,7528,6532,6627,6592,6179,5749
"36","29","      Air","W048RX0",1131,1261,1397,1938,2047,1338,1013
"37","30","      Land\3\","W049RX0",5439,6252,5130,4688,4544,4841,4736
"38","31","    Farm","C316RX0",4306,4665,5284,5988,4916,5437,4827
"39","32","    Other\4\","W050RX0",4133,4151,3754,4643,3500,2456,3067
"40","33","    Brokers' commissions on sale of structures","C321RX0",2098,2250,2294,2416,2274,1956,1813
"41","34","    Net purchases of used structures","E322RX0",-160,-1338,-1400,-1370,1544,-1574,-1485
"42","35","Residential","A012RX0",382446,411856,436563,439543,441108,462470,502951
"43","36","  Permanent site","A943RX0",223511,244734,262919,265047,266603,277337,306339
"44","37","    Single-family structures","A944RX0",196629,218104,234177,236788,237131,246318,274190
"45","38","    Multifamily structures","C292RX0",26932,26630,28742,28259,29483,31039,32121
"46","39","  Other structures","A863RX0",158826,167090,173644,174496,174505,185140,196568
"47","40","    Manufactured homes","A945RX0",14690,15987,15153,11460,9155,8248,6736
"48","41","    Dormitories","C295RX0",887,1046,1335,1358,1482,1417,1564
"49","42","    Improvements","A946RX0",100124,100680,104273,107137,108624,114747,119645
"50","43","    Brokers' commissions on sale of structures","A758RX0",45719,52648,56424,56050,56906,63264,70784
"51","44","    Net purchases of used structures","A759RX0",-2644,-3357,-3586,-1508,-1695,-2657,-2473
"52","45","Residual","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA
"54","46","  Private fixed investment in new structures\5\","W040RX0",617658,656189,676002,697139,688174,652731,671401
"55","47","    Nonresidential structures","A771RX0",278156,293541,292305,312138,302303,251221,237069
"56","48","    Residential structures","A756RX0",339417,362567,383727,385001,385894,401806,434551
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","NOTE. Chained (2000) dollar series are calculated as the product of the chain-type quantity index and the 2000 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","than one period, the corresponding chained-dollar estimates are usually not additive. The residual line is the difference between",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA
