"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 30, 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/28/2010 3:57:24 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","    Gross domestic income","A261RC1",981.6,1031.4,1115.8,1228.9,1374.3,1489.6,1621.4,1801.1,2008.9,2267.7,2515.3,2742.9,3090.3,3248.4,3484.9,3899.4,4175.2,4392.3,4703.5,5110,5426,5716.3,5912.4,6232.3,6531.6,6976.4,7362.1,7812.5,8346.3,8878.8,9424.6,10085.5,10389.5,10664.4,11125.5,11875.6,12718,13619.5,14040.7,14232.5,13939.9
"9","2","Compensation of employees, paid","A4002C1",577.6,617.2,658.9,725.1,811.2,890.3,949.2,1059.4,1180.6,1335.6,1498.4,1647.7,1819.8,1919.8,2035.7,2245.7,2412,2559.4,2737,2955,3132.6,3328.6,3441.1,3634.4,3800.4,4002.5,4199.3,4395.5,4670,5027.8,5359.2,5793.5,5984.5,6116.4,6388.3,6699.6,7071.5,7483.6,7863,8068.1,7819.5
"10","3","  Wage and salary accruals","A4102C1",518.3,551.5,584.5,638.8,708.8,772.3,814.9,899.8,994.2,1120.7,1253.4,1373.5,1511.5,1587.7,1677.7,1845.1,1982.8,2104.1,2257.6,2440.6,2584.3,2743.5,2817.2,2960.8,3086.4,3252.5,3438.5,3624.1,3878,4185.5,4470.4,4832.4,4957.4,5002.9,5160.3,5416.8,5712.4,6076.8,6422.6,6561.4,6286.9
