"","Table 1#1#8# Contributions to Percent Change in the Gross Domest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"1","; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2010     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2010 11:49:54 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","    Gross domestic product","A191RV1",NA,5.9,6.9,8.4,4.6,4.5,7.3,-0.1,-1.1,-2.5,-3.3,-0.1,-1.5,1.7,8.4,7,14.5,2.3,1.3,5.3,0.4,1.7,3.1,1.4,0.4,0.9,1.3,1.3,1.7,0.6,-0.2,0.5,1.6,2.2,2.9,2.7,4,3.8,4.6,2.4,4.7,2.8,3.2,2.2,3.4,1.7,1,0.4,1.5,0.9,1.3,1.7,0.8,1.7,1.8,1.7,0.5,0.8,1,1,2.3,1,1.1,1.4,1.1,0.4,0.7,2.4,1.5,1.4,2,1.8,1.7,1.8,1.8,2.5,2.5,3.9,3.8,3.6,2,2.5,3.7,4.5,4.4,4.5,3.9,5.7,4.1,5.4
"11",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2","Personal consumption expenditures","DPCERJ2",NA,2.14,4.99,6.67,2.88,2.7,4.08,-0.78,-1.95,-1.43,-1.24,0.13,0,1.6,5.78,4.71,8.29,1.91,0.31,3.29,1.2,0.04,1.69,0.43,0.94,0.42,1.43,1.22,1.45,-0.21,-0.75,-0.19,0.8,0.28,1.01,0.69,1.06,1.68,2.43,1.45,2.23,1.56,2.01,1.3,3.15,0.42,0.09,-0.23,1.5,0.84,1.4,1.35,0.38,1.34,0.99,1.14,0.46,-0.03,0.91,0.28,1.09,0.86,0.63,0.74,0.71,0.36,1.18,0.93,1.19,0.57,0.86,0.86,0.81,1.25,0.92,0.75,1.89,2.02,1.9,1.92,0.73,1.17,2.28,2.11,2.59,2.51,2.55,2.79,2.44,3.2
"13","3","  Goods","DGDSRJ2",NA,1.54,2.46,4.24,2.18,1.63,2.47,-1.19,-1.9,-1.68,-1.62,-0.63,-0.45,1.14,4.09,3.28,6.25,1.09,-0.29,1.75,0.48,-0.76,0.61,-0.36,-0.09,-0.35,0.1,0.19,0.82,-0.46,-0.97,-0.69,0.14,-0.11,0.5,0.07,0.47,1.08,1.54,0.81,1.25,1.04,1.04,0.42,2.21,0.04,-0.33,-0.58,1.02,0.25,0.47,0.37,-0.23,0.65,0.18,0.51,0.17,-0.54,0.33,-0.23,0.38,0.29,0.2,0.36,0.15,0.02,0.78,0.3,0.6,-0.04,0.25,0.31,0.29,0.75,0.31,0,1.15,0.92,0.8,0.73,-0.1,0.3,1.34,0.97,1.16,1.07,1.16,1.29,0.88,1.52
"14","4","    Durable goods","DDURRJ2",NA,0.32,0.19,0.47,0.26,0.43,1.21,-0.03,-0.23,-0.24,-0.35,0.22,0.3,0.55,0.71,0.62,1.3,0.07,-0.05,0.39,0.39,-0.32,0.44,-0.78,0.39,0.11,-0.15,0.18,0.42,-0.86,-0.56,-0.18,0.12,0.17,0.37,0.08,0.14,0.09,0.54,0.49,0.32,0.51,-0.01,0.05,0.59,-0.15,-0.02,-0.08,0.66,0.18,0.02,-0.01,-0.06,-0.05,-0.11,-0.06,0.01,0.15,0.15,-0.04,0,0.04,0.11,-0.14,0.01,0.11,0.1,0.11,0.05,-0.02,-0.04,-0.07,0.01,-0.11,-0.18,-0.21,-0.05,0.16,0.16,0.17,-0.07,0.16,0.4,0.36,0.24,0.23,0.31,0.35,0.22,0.29
