"","Table 1#7#4# Price Indexes for Gross Domestic Product, Gross Nat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169"
"11","3","Less: Income payments to the rest of the world","A655RG3",21.681,22.016,22.355,22.603,22.871,23.222,23.363,23.601,24.017,24.377,24.659,24.824,25.178,25.392,25.571,25.932,26.188,26.687,27.226,27.948,28.502,29.098,29.934,30.586,31.37,31.713,32.292,32.718,32.993,33.329,33.795,34.346,34.813,35.528,36.178,36.811,37.367,38.369,39.124,39.984,40.753,41.602,42.511,43.354,44.352,45.364,46.382,47.635,48.994,49.785,50.919,51.966,52.691,53.253,53.949,54.502,54.781,55.267,55.713,56.09,56.674,57.132,57.588,58.07,58.656,58.94,59.027,59.766,60.202,60.491,61.133,61.751,62.216,62.586,63.194,63.808,64.32,64.976,65.696,66.249,66.989,67.697,68.056,68.639,69.561,70.396,71.271,72.256,72.824,73.221,73.831,74.406,75.19,75.765,76.209,76.604,76.993,77.264,77.456,77.885,78.346,78.817,79.543,80.015,80.405,80.774,81.092,81.442,81.886,82.089,82.501,83,83.539,83.771,83.967,84.317,84.364,84.546,84.791,85.029,85.371,85.803,86.208,86.655,87.498,87.976,88.4,88.86,89.429,89.939,90.109,90.213,90.553,91.207,91.614,92.125,93.045,93.197,93.712,94.151,95.164,96.155,96.839,97.701,98.593,99.334,100.561,101.512,102.209,103.109,103.825,103.989,105.053,105.875,106.417,107.4,108.45,109.704,110.753,109.56,109.032,109.232,109.582,110.173,110.709,110.712
"12","4","Equals: Gross national product","A001RG3",22.627,22.929,23.261,23.553,23.879,24.223,24.414,24.724,25.097,25.434,25.688,25.892,26.315,26.468,26.71,27.025,27.379,27.837,28.368,28.855,29.447,30.105,31.041,31.998,32.738,33.215,33.836,34.434,34.823,35.191,35.664,36.275,36.884,37.475,37.994,38.637,39.273,40.033,40.726,41.557,42.32,43.348,44.244,45.118,46.105,47.134,48.208,49.567,50.873,51.781,52.735,53.658,54.411,55.083,55.848,56.441,56.927,57.345,57.931,58.351,59.075,59.607,60.093,60.446,61.135,61.455,61.756,62.133,62.445,62.752,63.145,63.6,64.104,64.47,64.977,65.442,65.967,66.604,67.392,67.939,68.65,69.337,69.811,70.253,71.107,71.931,72.6,73.203,73.984,74.5,75.061,75.485,75.908,76.358,76.698,77.136,77.616,78.042,78.411,78.82,79.253,79.637,80.082,80.506,80.988,81.352,81.698,82.118,82.562,82.868,83.276,83.656,84.08,84.452,84.689,85.007,85.133,85.342,85.66,85.887,86.25,86.614,86.917,87.275,87.937,88.383,88.907,89.358,89.975,90.601,90.89,91.143,91.466,91.868,92.277,92.822,93.497,93.775,94.3,94.809,95.621,96.438,97.142,97.861,98.771,99.442,100.471,101.316,102.075,102.983,103.766,104.237,105.37,106.19,106.709,106.947,107.466,108.305,109.499,109.151,109.456,109.547,109.753,109.691,109.957,110.478
"13","5","Less: Consumption of fixed capital","A262RG3",29.203,29.571,29.909,30.32,30.765,31.122,31.382,31.577,32.191,32.698,33.093,33.432,33.75,34.01,34.332,34.699,35.063,35.578,36.216,36.971,37.97,39.214,40.655,42.097,43.507,44.604,45.506,46.202,46.679,47.245,47.906,48.694,49.662,50.563,51.438,52.416,53.424,54.475,55.577,56.664,57.825,59.138,60.525,61.945,63.402,65.016,66.634,68.354,70.123,71.729,73.173,74.472,75.656,76.535,77.062,77.21,77.092,77.046,77.179,77.292,77.563,77.798,77.975,78.169,78.305,78.453,78.744,79.081,79.418,79.822,80.124,80.359,80.522,80.737,81.131,81.617,82.309,82.915,83.462,83.989,84.428,84.861,85.298,85.734,86.17,86.594,87.053,87.507,87.937,88.222,88.425,88.471,88.365,88.322,88.196,88.113,88.701,89.127,89.451,89.701,89.895,90.198,90.559,91.044,91.546,91.868,92.015,92.064,91.914,91.785,91.739,91.725,91.762,91.757,91.636,91.528,91.258,91.092,91.005,90.973,90.987,91.118,91.293,91.579,92.085,92.269,92.438,92.62,92.751,92.924,93.097,93.218,93.143,93.206,93.235,93.324,93.466,93.76,94.106,94.466,95.005,95.817,96.693,97.566,98.359,99.37,100.521,101.75,102.744,103.629,104.304,104.899,105.822,106.265,106.577,107.016,107.085,107.616,108.275,108.453,108.092,106.805,105.863,105.901,105.561,105.524
"14","6","        Private","A024RG3",30.298,30.646,31.029,31.442,31.885,32.193,32.372,32.428,33.08,33.624,34.066,34.408,34.655,34.92,35.204,35.504,35.822,36.311,36.962,37.767,38.717,39.839,41.131,42.594,44.226,45.548,46.571,47.301,47.749,48.344,49.081,49.954,50.956,51.972,52.999,54.037,55.08,56.189,57.357,58.579,59.851,61.19,62.596,64.066,65.599,67.203,68.877,70.623,72.441,74.101,75.603,76.947,78.136,78.958,79.428,79.56,79.362,79.278,79.304,79.435,79.669,79.884,80.076,80.243,80.385,80.607,80.907,81.285,81.743,82.115,82.401,82.602,82.724,83.003,83.438,84.024,84.76,85.425,86.021,86.549,87.009,87.457,87.894,88.322,88.74,89.158,89.577,90.001,90.431,90.728,90.893,90.929,90.838,90.695,90.501,90.256,90.788,91.208,91.521,91.73,91.838,92.046,92.349,92.743,93.222,93.518,93.637,93.586,93.37,93.215,93.118,93.076,93.084,93.015,92.87,92.651,92.362,92.139,91.978,91.877,91.832,91.879,92.014,92.231,92.69,92.798,92.899,93.063,93.183,93.348,93.537,93.669,93.546,93.588,93.594,93.658,93.756,94.091,94.483,94.901,95.43,96.14,96.863,97.585,98.372,99.371,100.487,101.77,102.818,103.526,104.114,104.57,105.321,105.669,105.894,106.229,106.125,106.544,107.092,107.069,106.614,105.216,104.236,104.322,103.862,103.756
"15","7","        Government","A264RG3",25.079,25.479,25.686,26.07,26.496,26.963,27.422,27.975,28.466,28.855,29.11,29.428,29.927,30.159,30.576,31.129,31.623,32.206,32.782,33.357,34.471,36.07,37.953,39.292,39.937,40.261,40.737,41.303,41.863,42.314,42.701,43.183,44.011,44.495,44.818,45.568,46.426,47.25,48.09,48.669,49.403,50.594,51.891,53.101,54.252,55.882,57.265,58.869,60.43,61.806,63.017,64.124,65.277,66.371,67.112,67.319,67.515,67.618,68.162,68.205,68.614,68.925,69.044,69.335,69.448,69.311,69.566,69.738,69.618,70.137,70.495,70.851,71.171,71.14,71.371,71.481,71.999,72.379,72.736,73.254,73.607,73.979,74.406,74.868,75.361,75.802,76.394,76.952,77.375,77.615,77.949,78.028,77.873,78.19,78.31,78.812,79.594,80.031,80.388,80.787,81.293,81.94,82.511,83.33,83.916,84.337,84.586,85.027,85.139,85.116,85.276,85.378,85.531,85.791,85.775,86.14,85.953,86.036,86.278,86.552,86.831,87.347,87.708,88.318,89.043,89.588,90.084,90.357,90.544,90.763,90.851,90.919,91.082,91.251,91.397,91.617,91.983,92.066,92.177,92.242,92.835,94.164,95.816,97.465,98.291,99.366,100.695,101.648,102.358,104.162,105.287,106.611,108.435,109.377,110.146,111.132,112.112,113.23,114.47,115.701,115.829,115.116,114.365,114.152,114.424,114.741
"16","8","          General government","A265RG3",25.865,26.282,26.483,26.866,27.307,27.785,28.26,28.834,29.341,29.719,29.952,30.239,30.759,30.985,31.425,32.005,32.502,33.1,33.691,34.277,35.416,37.031,38.892,40.224,40.8,41.078,41.561,42.135,42.735,43.174,43.583,44.075,44.966,45.446,45.677,46.477,47.394,48.184,48.996,49.532,50.252,51.449,52.737,53.923,55.063,56.767,58.117,59.775,61.417,62.857,64.076,65.31,66.621,67.742,68.464,68.683,68.88,68.975,69.583,69.643,70.079,70.351,70.414,70.712,70.77,70.595,70.896,71.039,70.837,71.347,71.706,72.031,72.394,72.293,72.481,72.571,73.107,73.421,73.725,74.239,74.609,74.927,75.304,75.797,76.319,76.707,77.287,77.941,78.415,78.654,78.983,79.1,78.939,79.229,79.299,79.807,80.609,81.011,81.442,81.808,82.257,82.943,83.549,84.451,85.03,85.425,85.621,86.034,86.155,86.116,86.264,86.343,86.472,86.69,86.632,86.98,86.719,86.815,87.059,87.31,87.584,88.125,88.488,89.053,89.775,90.254,90.739,90.963,91.141,91.362,91.421,91.447,91.531,91.648,91.766,92.005,92.375,92.424,92.512,92.488,93.027,94.267,95.867,97.455,98.327,99.352,100.673,101.648,102.363,104.119,105.245,106.539,108.443,109.344,110.013,110.936,111.822,112.936,114.136,115.326,115.442,114.829,114.17,114.026,114.297,114.57
"17","9","          Government enterprises","A266RG3",20.505,20.797,21.063,21.482,21.816,22.22,22.588,23.013,23.413,23.913,24.342,24.896,25.262,25.535,25.811,26.204,26.687,27.194,27.694,28.209,29.189,30.721,32.771,34.175,35.249,35.852,36.293,36.819,37.142,37.664,37.929,38.363,38.831,39.341,40.194,40.665,41.188,42.212,43.214,44.036,44.848,46.014,47.369,48.714,49.926,51.154,52.719,54.025,55.148,56.184,57.351,57.777,58.087,59.037,59.88,60.024,60.213,60.355,60.561,60.515,60.78,61.3,61.715,61.97,62.384,62.448,62.455,62.789,63.115,63.691,64.042,64.572,64.65,65.011,65.494,65.716,66.136,66.896,67.564,68.098,68.365,69.047,69.772,70.051,70.382,71.138,71.808,71.802,71.931,72.181,72.549,72.409,72.283,72.762,73.177,73.644,74.317,74.956,74.892,75.484,76.308,76.739,77.115,77.483,78.11,78.678,79.221,79.816,79.882,79.945,80.167,80.397,80.682,81.175,81.38,81.834,82.041,82.052,82.284,82.683,82.988,83.375,83.721,84.571,85.313,86.207,86.756,87.283,87.516,87.726,87.962,88.246,88.817,89.253,89.547,89.666,90.016,90.271,90.5,91.009,91.876,93.645,95.564,97.513,98.113,99.436,100.802,101.649,102.332,104.378,105.496,106.975,108.391,109.539,110.819,112.124,113.586,114.722,116.175,117.62,117.808,116.579,115.348,114.777,115.052,115.598
"18","10","Equals: Net national product","A027RG3",21.84,22.133,22.461,22.741,23.054,23.393,23.576,23.893,24.242,24.561,24.8,24.99,25.418,25.561,25.794,26.101,26.451,26.899,27.416,27.875,28.426,29.026,29.91,30.814,31.487,31.902,32.493,33.077,33.455,33.802,34.254,34.843,35.414,35.973,36.455,37.062,37.66,38.386,39.037,39.838,40.558,41.551,42.395,43.213,44.149,45.114,46.129,47.445,48.698,49.533,50.434,51.314,52.019,52.667,53.453,54.092,54.64,55.105,55.736,56.185,56.953,57.513,58.028,58.396,59.138,59.474,59.775,60.155,60.463,60.759,61.16,61.637,62.176,62.556,63.073,63.535,64.041,64.679,65.49,66.037,66.776,67.488,67.965,68.406,69.303,70.168,70.859,71.476,72.296,72.837,73.437,73.903,74.385,74.891,75.282,75.778,76.246,76.671,77.044,77.471,77.93,78.323,78.776,79.193,79.672,80.041,80.408,80.871,81.384,81.74,82.202,82.628,83.096,83.513,83.793,84.161,84.335,84.589,84.957,85.215,85.621,86.014,86.334,86.7,87.381,87.861,88.43,88.916,89.597,90.283,90.589,90.859,91.236,91.685,92.145,92.753,93.502,93.778,94.326,94.856,95.705,96.523,97.204,97.902,98.827,99.452,100.464,101.256,101.984,102.895,103.692,104.142,105.305,106.181,106.73,106.941,107.525,108.408,109.679,109.249,109.654,109.956,110.34,110.261,110.619,111.225
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Net domestic product","A362RG3",21.855,22.149,22.477,22.757,23.07,23.408,23.592,23.909,24.257,24.575,24.814,25.005,25.434,25.576,25.808,26.114,26.462,26.91,27.427,27.886,28.441,29.043,29.928,30.835,31.504,31.919,32.508,33.091,33.467,33.812,34.263,34.852,35.425,35.981,36.462,37.07,37.669,38.393,39.043,39.843,40.562,41.558,42.402,43.221,44.159,45.126,46.142,47.457,48.707,49.542,50.439,51.317,52.025,52.675,53.463,54.101,54.647,55.111,55.742,56.19,56.959,57.52,58.038,58.407,59.153,59.483,59.774,60.155,60.467,60.768,61.173,61.651,62.186,62.56,63.079,63.541,64.048,64.686,65.499,66.043,66.78,67.489,67.962,68.4,69.296,70.165,70.854,71.468,72.289,72.832,73.437,73.904,74.391,74.898,75.29,75.783,76.244,76.665,77.036,77.46,77.921,78.313,78.769,79.184,79.663,80.028,80.395,80.857,81.37,81.725,82.189,82.616,83.087,83.506,83.786,84.158,84.332,84.588,84.957,85.214,85.621,86.013,86.333,86.698,87.381,87.861,88.429,88.915,89.597,90.285,90.588,90.859,91.239,91.689,92.15,92.759,93.506,93.783,94.331,94.861,95.71,96.527,97.209,97.905,98.831,99.455,100.463,101.252,101.979,102.891,103.687,104.142,105.301,106.179,106.73,106.932,107.512,108.397,109.669,109.255,109.666,109.971,110.353,110.27,110.63,111.244
"21","12","  Net domestic purchases","W367RG3",21.3,21.59,21.901,22.177,22.498,22.816,23.033,23.352,23.686,23.998,24.257,24.456,24.857,25.025,25.272,25.571,25.915,26.414,26.902,27.397,28.123,28.917,29.785,30.632,31.256,31.685,32.222,32.789,33.165,33.519,34.003,34.562,35.209,35.807,36.343,36.962,37.551,38.274,38.924,39.666,40.427,41.472,42.539,43.585,44.807,45.905,46.935,48.183,49.456,50.311,51.054,51.934,52.596,53.151,53.909,54.527,54.928,55.367,55.972,56.327,57.095,57.649,58.085,58.414,59.034,59.399,59.724,60.228,60.569,60.667,61.123,61.627,62.301,62.779,63.339,63.813,64.35,64.984,65.616,66.224,67.009,67.786,68.156,68.653,69.66,70.35,71.201,72.168,72.683,73.025,73.548,74.036,74.573,75.105,75.611,76.049,76.45,76.881,77.175,77.563,77.973,78.416,78.988,79.379,79.838,80.279,80.597,81.001,81.502,81.828,82.243,82.763,83.168,83.342,83.567,83.883,83.863,84.019,84.303,84.581,84.959,85.464,85.897,86.376,87.22,87.621,88.235,88.761,89.346,89.779,89.906,89.961,90.315,90.963,91.41,92.053,93.058,93.098,93.66,94.173,95.17,96.026,96.776,97.696,98.587,99.328,100.544,101.542,102.217,103.116,103.858,104.059,105.225,106.099,106.666,107.733,108.92,110.208,111.33,109.89,109.3,109.681,110.257,110.898,111.608,111.63
