"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169"
"11","3","Less: Income payments to the rest of the world","A655RX1",21.9,24.5,27.4,28.4,28.8,28.1,27.5,26.2,24.5,25,27.2,28.2,27.9,30.1,30.4,32.7,36.7,40.5,41.8,42.7,44.3,48,50.8,50.7,49.5,46.9,46.7,44.5,47.4,46.8,45.7,44.8,43.2,45.7,47.7,52.2,54.7,62.3,65,73,78.6,83.5,87.9,96.2,102.8,96.6,87.2,104.5,110.9,120,124.2,113.7,118.3,124.4,123.1,115.4,109.1,112.3,121,124.9,137.3,150,156.2,153.1,146.6,145.2,145,144.6,153.8,157.7,147.8,154.1,157.3,163.7,170,177.2,186.1,188.9,200.8,209.7,219.9,230.7,224.3,216.8,220.3,217.4,221.4,210.6,204,192.2,186.5,168.8,164.8,167,159.4,154.9,149.4,160.2,155.6,175.8,174.6,192.1,212.1,229.6,235.4,243.5,257.4,250.3,246.1,254.3,265,274.6,295.1,300.3,312.4,312.9,312.8,319.2,320.7,317.4,316.8,327.7,352.3,359.6,377.8,397.5,392.4,387.1,355.2,317.8,311.8,221.2,272.4,305.8,306.2,273.1,300.4,297.3,308.5,311.1,323.4,362.8,371.6,424,435.3,458.5,473,536.7,566.4,621.9,654.9,668.9,692.4,739.6,714.8,669.7,643.1,642.9,588.1,551.2,452.2,441.3,419.9,453.1,454,452.3
"12","4","Equals: Gross national product","A001RX1",4275.4,4286.6,4312.3,4292.1,4286.2,4294.9,4332.4,4284.3,4406.6,4433.2,4465.1,4479.1,4560,4666.8,4714,4790.8,4917.9,4977,4957.9,5005.1,4970.5,4979.8,4926,4899.7,4833.4,4870.4,4954.8,5026.9,5138.6,5178.8,5204.4,5243,5310.6,5413.8,5509,5501.5,5528.1,5733.5,5793.7,5877.5,5888.8,5901.8,5957.3,5972.9,5993.4,5865.8,5850.6,5943.7,6069.9,6018.3,6094.4,6027.2,5925.6,5965.7,5931.4,5933.6,6005.9,6143.5,6264.6,6395.3,6512.8,6624.4,6687.5,6734.4,6785.7,6845.8,6943.5,7000.5,7061.9,7079,7150.4,7174.6,7217,7299.6,7361.9,7490.1,7536.7,7629.6,7665.1,7770.3,7842.3,7899.3,7964.5,7990.1,8070.3,8103.5,8096.5,8057,8001.5,8040.2,8069.5,8111.2,8199.3,8285.3,8366.1,8455,8480,8525.2,8577.4,8670.4,8763.3,8877.5,8931.5,9029.7,9063.8,9086.4,9145,9222.5,9292.9,9442.1,9520,9629.6,9693.2,9845.8,9959.7,10028.3,10133.3,10221.2,10340.3,10521.2,10628,10716.6,10848.9,11055,11078.6,11297.8,11302.4,11396.4,11343.3,11426.4,11369.9,11479,11534,11575.1,11648.5,11669.9,11701.8,11809.3,12005.6,12140.2,12243.7,12303,12403.5,12483.7,12642.6,12684.5,12789.5,12825.6,12994.2,13035.4,13025.1,13129.5,13155.8,13269,13404.4,13548.5,13516.8,13519.7,13408.7,13109.5,12945.5,12929.4,13013.8,13170.1,13313,13372.7
"13","5","Less: Consumption of fixed capital","A262RX1",327.8,331.6,335.6,339.5,343.5,346.6,348.9,350.1,353.9,357.3,360.5,363.2,366.1,369.6,373.8,378.7,384.2,389.4,394.4,399.2,403.6,407.8,411.8,415.4,418.8,422.2,425.4,428.7,431.9,435.3,439.1,443.1,447.5,452.1,456.9,461.8,466.8,472.3,478,484,490.4,496.7,502.8,508.8,514.6,520.3,525.7,530.8,535.8,540.9,546.4,552.2,558.3,563.9,569,573.7,577.8,582.4,587.3,592.8,598.7,605.3,612.8,621.2,630.4,639.2,647.5,655.4,662.6,670.1,677.9,685.8,693.9,701.8,709.4,716.8,724,731.3,738.8,746.5,754.3,762.2,770.1,778,786,793.4,800.2,806.5,812.3,818.2,824.1,830.2,836.5,842,846.8,850.8,859.6,868.2,876.6,884.9,893,901.7,910.8,920.5,930.6,941.2,952.3,963.8,975.7,988,1001,1014.4,1028.2,1043.1,1058.8,1075.4,1092.8,1110.9,1129.5,1148.7,1168.5,1188.8,1209.5,1230.8,1250.6,1272.9,1293.7,1312.3,1329.9,1345.2,1358.2,1370,1383.1,1394.2,1405.6,1416.2,1426.4,1435.5,1445.7,1457.5,1470.2,1481.6,1494,1507.3,1520.8,1534,1548.2,1562.5,1575,1590.6,1606.2,1622,1638.6,1654.1,1668.5,1682.3,1694.9,1708.4,1721.6,1733.1,1740.7,1743.7,1745.9,1749,1754.8,1762.9
"14","6","        Private","A024RX1",236.3,239.7,243.1,246.6,250.1,252.9,255,256.3,259.9,263.4,266.7,269.7,272.6,276.2,280.4,285.3,290.7,295.9,300.7,305.2,309.5,313.4,317.1,320.4,323.4,326.3,329.2,331.9,334.6,337.6,340.8,344.4,348.4,352.4,356.7,361.1,365.6,370.5,375.6,381,386.7,392.2,397.5,402.7,407.7,412.5,417.1,421.4,425.5,429.9,434.5,439.4,444.6,449.2,453.4,457.1,460.2,463.7,467.4,471.6,476,481.2,487.1,493.7,501.1,507.9,514.3,520.2,525.5,531.1,536.8,542.7,548.9,554.8,560.6,566.2,571.6,577.2,582.9,588.9,595,601.1,607.1,613.2,619.2,624.8,629.9,634.5,638.6,642.8,647.3,651.9,656.7,660.9,664.4,667.3,674.8,682.3,689.7,697.1,704.3,712.1,720.4,729.3,738.6,748.4,758.6,769.1,780,791.4,803.3,815.7,828.6,842.3,856.9,872.2,888.4,905.1,922.2,939.8,957.9,976.5,995.5,1015.1,1033.3,1053.9,1073.2,1090.4,1106.7,1120.5,1132.2,1142.6,1154.4,1164,1174,1183.2,1191.9,1199.5,1208.2,1218.4,1229.1,1238.6,1249.1,1260.8,1272.8,1284.4,1296.8,1309.3,1320.4,1334.1,1347.8,1361.7,1376.4,1389.9,1402.2,1413.8,1424.1,1435.3,1446.3,1455.5,1460.6,1461.2,1461.2,1462.2,1466.1,1472.1
"15","7","        Government","A264RX1",96.3,96.7,97.1,97.6,97.8,98.1,98.3,98.3,98.2,98,97.9,97.4,97.2,97,97,96.9,96.7,96.7,96.7,96.9,97,97.2,97.5,97.8,98.2,98.6,99,99.5,100,100.4,100.9,101.2,101.7,102.2,102.6,103.1,103.5,104,104.5,105,105.6,106.2,107,107.6,108.4,109.2,110,110.8,111.6,112.4,113.2,114.1,114.9,115.8,116.8,117.8,118.8,120,121.2,122.5,124,125.5,127.2,128.9,130.8,132.7,134.7,136.9,138.9,140.9,143,145.1,147.2,149.1,151,152.9,154.7,156.6,158.4,160.2,162,163.8,165.7,167.6,169.6,171.5,173.4,175.2,176.9,178.6,180.2,181.7,183.2,184.5,185.8,187,188.3,189.3,190.3,191.1,191.9,192.7,193.4,194.1,194.7,195.4,196.2,197,197.9,198.7,199.6,200.5,201.3,202.3,203.4,204.5,205.6,206.9,208.3,209.7,211.4,213,214.6,216.2,217.8,219.3,220.8,222.2,223.4,224.8,226.1,227.5,228.9,230.2,231.7,233.1,234.5,236,237.5,239.1,241.1,243.1,244.9,246.5,248.1,249.7,251.4,253.2,254.6,256.5,258.4,260.3,262.3,264.3,266.4,268.6,270.8,273.1,275.4,277.7,280,282.2,284.3,286.2,288.1,290.2
"16","8","          General government","A265RX1",85,85.3,85.6,85.9,86.1,86.3,86.3,86.2,86.1,85.7,85.5,84.9,84.6,84.3,84.1,83.9,83.6,83.5,83.3,83.4,83.3,83.4,83.6,83.7,83.9,84.2,84.4,84.8,85.2,85.5,85.8,86.1,86.4,86.8,87.1,87.5,87.7,88.1,88.5,88.9,89.3,89.8,90.4,90.9,91.5,92.1,92.8,93.4,94,94.6,95.3,95.9,96.6,97.3,98.1,98.9,99.8,100.8,101.8,103,104.2,105.5,107,108.5,110.1,111.8,113.6,115.5,117.2,119.1,120.9,122.8,124.6,126.4,128.1,129.7,131.3,132.9,134.5,136.1,137.6,139.2,140.9,142.6,144.3,146,147.6,149.1,150.6,152,153.4,154.6,155.9,156.9,158,158.9,159.8,160.6,161.4,162,162.5,163.1,163.6,164.1,164.5,165.1,165.7,166.2,166.9,167.5,168.2,168.9,169.6,170.4,171.3,172.1,173,174,175.1,176.3,177.6,178.9,180.1,181.4,182.7,183.9,185.1,186.2,187.2,188.3,189.4,190.5,191.6,192.7,193.8,194.9,196,197.1,198.2,199.4,201.1,202.6,204,205.4,206.6,207.9,209.4,210.9,212.4,214.1,215.7,217.3,219,220.8,222.6,224.6,226.5,228.6,230.6,232.6,234.7,236.7,238.5,240.2,241.9,243.7
"17","9","          Government enterprises","A266RX1",10.4,10.6,10.7,10.9,11,11.1,11.3,11.4,11.5,11.6,11.8,11.9,12.1,12.2,12.4,12.5,12.7,12.9,13,13.2,13.4,13.5,13.7,13.9,14.1,14.2,14.3,14.5,14.6,14.8,14.9,15,15.1,15.3,15.4,15.5,15.6,15.8,15.9,16,16.2,16.4,16.5,16.7,16.9,17.1,17.3,17.4,17.6,17.8,18,18.2,18.4,18.5,18.7,18.9,19.1,19.2,19.4,19.6,19.8,20,20.2,20.4,20.6,20.9,21.1,21.3,21.6,21.8,22,22.2,22.4,22.6,22.9,23.1,23.3,23.5,23.7,23.9,24.2,24.4,24.6,24.8,25.1,25.3,25.6,25.8,26.1,26.3,26.6,26.8,27.1,27.4,27.7,27.9,28.2,28.5,28.7,29,29.2,29.4,29.7,29.9,30,30.2,30.5,30.7,30.9,31.1,31.3,31.5,31.6,31.8,32,32.3,32.5,32.8,33.1,33.4,33.7,34.1,34.4,34.7,35.1,35.4,35.7,35.9,36.2,36.4,36.7,37,37.2,37.5,37.8,38.2,38.5,38.9,39.3,39.7,40.1,40.5,40.8,41.2,41.5,41.7,42,42.3,42.2,42.4,42.7,43,43.2,43.5,43.8,44,44.3,44.6,44.8,45.1,45.3,45.5,45.8,46,46.2,46.5
"18","10","Equals: Net national product","A027RX1",3991,3997.6,4018.9,3992.7,3981.3,3986.1,4022,3970.6,4092.2,4115.2,4144,4154.8,4234.8,4340.8,4383.9,4457,4581.3,4635.5,4609.1,4651.6,4609.9,4614,4552.8,4520.4,4446.8,4480.5,4563.9,4634.3,4746.2,4783.2,4804.6,4839.2,4903.4,5004.4,5096.9,5082.1,5102.7,5309.2,5363.9,5442.7,5445.4,5450.1,5499.2,5506.9,5519.9,5378.6,5355,5444.8,5569.6,5508.2,5579.8,5501.1,5386,5419.8,5376.7,5372.5,5442.2,5579.1,5698.2,5826.4,5940.2,6046.9,6102,6139.3,6180.2,6230.7,6320.7,6369.1,6423,6430.8,6494.4,6509.1,6542.2,6617.3,6671.6,6794.2,6833,6919.2,6946.2,7044.6,7108.7,7157.3,7214.3,7230.7,7303.1,7327.9,7312.3,7264.1,7200.4,7232.9,7255.6,7291,7373.4,7454.7,7531.5,7617.3,7632.5,7668.4,7711.7,7796.8,7881.9,7988.1,8032.5,8121.2,8144.1,8155,8201.9,8267.5,8325.5,8462.9,8527.3,8623.4,8672.4,8810.4,8908.3,8959.6,9046.7,9115.8,9216,9377.7,9464.2,9531.9,9643.2,9828.2,9831,10028.2,10011,10086,10014.4,10082.1,10012,10109.2,10151,10181,10242.9,10253.6,10275.4,10373.8,10559.9,10682.7,10773.4,10821.4,10909.6,10976.4,11121.8,11150.5,11241.3,11263,11419.1,11444.5,11418.8,11507.8,11517.2,11614.8,11735.6,11865.8,11821.4,11810.9,11687.1,11377.2,11206.3,11187.6,11269.7,11422.3,11558.8,11610.4
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross domestic income \1\","A261RX1",4214.8,4242.2,4273.2,4266.6,4235.3,4233.5,4270.1,4227.8,4314.1,4345.4,4382.6,4437.6,4499.1,4559.3,4635.9,4761.3,4848.6,4874.8,4887.2,4942.5,4899.8,4879.8,4859,4794.8,4737,4779.8,4878.8,4927.8,5029.1,5060.7,5096.9,5114.1,5163,5293.7,5397.4,5430.1,5457.8,5625,5662.3,5710.1,5759.1,5725.9,5734,5773.8,5773.9,5663.9,5694.7,5840.2,5890.7,5888.5,5980.8,5906.7,5862.9,5890.2,5862.6,5834.6,5903.2,6000.7,6085,6211.8,6378.4,6498.5,6573,6647,6701.1,6741.9,6819.3,6860.4,6932.9,6950.1,6991.7,7041.1,7099.9,7210,7317.8,7421.6,7507.1,7592.6,7654.3,7758.1,7800.7,7780.8,7815.1,7825.8,7891.1,7945.2,7936.4,7895.9,7879,7899.6,7914.9,7941,8063.5,8126.1,8151,8233.6,8235.4,8326.8,8350.2,8486.8,8583.7,8688.2,8780.3,8885.2,8931.1,8973.9,9078.2,9133.7,9219,9362.8,9453.8,9575.2,9677.2,9789.2,9948.9,10067.8,10174.9,10318.4,10469,10570.9,10712.3,10784.1,10881.8,11069.1,11294.3,11356.9,11440.6,11418,11532.4,11491.6,11438.7,11383.7,11525.2,11588,11574.2,11620.8,11653.5,11770.2,11870.4,11998.8,12096.4,12213.8,12343.4,12433.3,12563.5,12655.6,12750.4,12901.3,13104.3,13147.6,13210.1,13296.6,13218.1,13223.3,13158.2,13238.8,13266.7,13184.5,13096.8,12864.8,12704.5,12652.9,12652.3,12859.3,12989.5,13031.3
