"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 30, 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/28/2010 4:06:26 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","    Exports of goods and services","B020RC1",51.9,59.7,63,70.8,95.3,126.7,138.7,149.5,159.4,186.9,230.1,280.8,305.2,283.2,277,302.4,302,320.3,363.8,443.9,503.1,552.1,596.6,635,655.6,720.7,811.9,867.7,954.4,953.9,989.3,1093.2,1027.7,1003,1041,1180.2,1305.1,1471,1661.7,1843.4,1578.4
"9","2","Exports of goods \1\","A253RC1",38.3,44.5,45.6,51.8,73.9,101,109.6,117.8,123.7,145.4,184,225.8,239.1,215,207.3,225.6,222.2,226,257.5,325.8,369.4,396.6,423.6,448,459.9,510.1,583.3,618.3,687.7,680.9,697.2,784.3,731.2,700.3,726.8,817,906.1,1024.4,1162,1295.1,1063.1
"10","3","  Foods, feeds, and beverages","B638RC1",4.7,5.9,6.1,7.5,15.2,18.6,19.2,19.8,19.7,25.7,30.5,36.3,38.8,32.2,32.1,32.2,24.6,23.5,25.2,33.8,36.3,35.1,35.7,40.3,40.5,42.4,50.8,56,52,46.8,46,47.9,49.4,49.6,55,56.6,59,66,84.3,108.3,93.9
