"","Table 5#3#4# Price Indexes for Private Fixed Investment by Type ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169"
"11","3","  Structures","B009RG3",14.174,14.408,14.607,14.885,15.034,15.504,15.547,15.805,16.132,16.499,16.865,17.161,17.497,17.714,17.946,18.294,18.566,18.963,19.49,19.966,20.504,21.399,22.397,23.341,24.025,24.461,24.68,24.971,25.124,25.576,25.951,26.311,27.145,27.634,28.259,28.854,29.474,30.297,31.041,31.887,32.776,33.781,34.827,35.567,36.182,36.917,37.704,38.883,40.552,41.961,43.149,44.609,45.576,46.028,46.155,45.95,45.162,44.708,44.613,44.546,44.598,45.047,45.338,45.606,45.953,46.059,46.299,46.566,46.76,47,47.21,47.455,47.467,47.668,47.925,48.392,49.151,49.64,50.127,50.663,51.095,51.697,52.099,52.501,52.942,53.312,53.753,54.08,54.562,54.654,54.64,54.109,54.108,54.323,54.584,54.994,55.392,55.869,56.326,56.824,57.267,57.618,58.325,59.147,59.853,60.243,60.899,61.406,61.466,61.697,62.486,62.916,63.525,64.106,64.827,65.605,66.531,67.246,67.796,68.346,68.829,69.276,69.763,70.369,71.213,71.866,72.626,73.485,74.521,75.648,76.854,77.323,78.054,78.912,79.628,80.572,81.545,81.599,82.214,83.339,85.083,87.025,89.449,92.209,95.042,97.673,101.447,105.838,108.823,111.791,113.962,117.111,118.548,119.067,120.038,121.466,122.516,123.978,126.424,128.922,127.071,123.006,119.654,119.017,119.291,119.887
"12","4","    Commercial and health care","W001RG3",15.051,15.321,15.532,15.833,15.932,16.488,16.382,16.702,17.173,17.603,18.029,18.386,18.787,18.983,19.281,19.793,20.068,20.486,21.052,21.409,21.816,22.542,23.478,24.402,25.009,25.319,25.391,25.558,25.613,26.131,26.463,26.718,27.145,27.659,28.317,28.917,29.608,30.342,30.988,31.778,32.45,33.579,34.631,35.495,36.47,37.308,38.263,39.341,40.144,40.884,41.562,42.24,42.934,43.542,44.025,44.351,44.638,44.887,45.182,45.611,46.128,46.557,47.109,47.495,47.856,48.122,48.454,48.869,49.249,49.748,50.244,50.797,51.217,51.67,52.051,52.531,53.173,53.557,53.963,54.463,54.933,55.587,55.955,56.353,56.928,57.305,57.73,57.941,58.128,58.286,58.487,58.273,58.204,58.466,58.782,59.292,59.901,60.336,60.931,61.54,62.047,62.493,63.308,64.235,65.027,65.383,65.723,66.052,66.369,66.673,67.36,67.732,68.243,68.689,69.469,70.211,71.146,71.89,72.796,73.691,74.467,75.226,75.88,76.531,77.629,78.313,78.954,79.623,80.298,80.906,81.923,82.62,82.852,83.367,83.671,84.634,85.813,85.626,85.782,86.761,88.391,90.238,92.384,94.604,96.526,98.634,101.3,103.54,105.545,107.267,109.213,111.96,113.363,113.737,114.884,116.752,117.072,117.63,119.069,122.554,123.347,121.36,117.356,116.716,116.128,115.56
"13","5","    Manufacturing","C307RG3",15.695,15.968,16.184,16.509,16.618,17.216,17.114,17.453,17.955,18.394,18.829,19.199,19.633,19.842,20.151,20.681,20.945,21.366,21.955,22.33,22.762,23.531,24.519,25.484,26.124,26.452,26.528,26.71,26.773,27.318,27.653,27.909,28.342,28.863,29.528,30.129,30.798,31.546,32.221,33.051,33.828,35.034,36.18,37.13,38.181,39.104,40.113,41.224,42.013,42.765,43.466,44.229,45.038,45.729,46.275,46.621,46.905,47.146,47.429,47.858,48.393,48.824,49.411,49.829,50.203,50.501,50.866,51.311,51.72,52.243,52.745,53.309,53.738,54.182,54.57,55.075,55.766,56.169,56.593,57.118,57.595,58.282,58.651,59.062,59.683,60.092,60.553,60.78,60.978,61.137,61.348,61.116,61.04,61.292,61.592,62.147,62.792,63.228,63.822,64.42,64.937,65.366,66.202,67.189,68.04,68.46,68.83,69.144,69.422,69.775,70.524,70.937,71.508,71.977,72.753,73.454,74.126,74.929,75.862,76.738,77.522,78.201,78.781,79.366,80.347,81.003,81.654,82.365,83.067,83.724,84.828,85.62,86.001,86.598,86.877,87.722,88.553,87.992,87.841,88.569,90.053,91.694,93.6,95.533,97.198,98.943,101.058,102.751,104.461,105.84,106.856,108.641,109.986,111.057,112.671,114.619,115.059,115.474,118.41,123.676,124.851,122.111,117.771,117.989,117.803,117.989
"14","6","    Power and communication","W003RG3",18.806,19.011,19.268,19.672,20.038,20.507,20.923,21.199,21.467,21.895,22.308,22.564,22.883,23.213,23.357,23.48,23.879,24.488,25.26,26.33,27.365,28.527,29.702,30.94,31.968,32.731,33.231,33.657,34.201,34.721,35.221,35.767,37.397,37.481,37.731,38.223,38.776,39.555,40.448,41.386,42.534,43.611,44.959,46.149,46.993,48.169,49.2,50.268,50.903,51.739,52.48,53.131,53.933,54.274,54.774,54.98,55.24,55.121,55.138,55.209,55.169,55.546,55.585,55.71,56.093,56.186,56.269,56.261,56.152,56.152,56.132,56.169,56.245,56.392,56.846,57.344,57.9,58.683,59.663,60.65,61.293,62.193,63.081,63.902,64.17,64.389,64.629,64.8,64.852,64.944,65.254,65.226,65.564,65.753,65.993,66.238,66.642,67.563,67.897,68.488,69.217,69.791,70.277,71.148,71.873,72.527,73.43,74.009,74.295,74.585,74.998,75.585,75.771,76.445,76.775,76.946,77.249,77.265,77.383,77.479,77.193,77.231,77.767,78.306,79.04,79.915,80.399,81.153,81.619,82.128,82.897,83.125,83.564,83.947,84.712,85.042,85.432,85.913,86.572,87.377,88.701,91.644,94.064,96.313,97.316,98.962,100.534,103.188,106.166,108.604,110.691,112.81,112.967,113.761,114.999,116.272,117.906,120.456,124.653,126.183,124.24,121.34,119.005,118.579,119.713,121.865
"15","7","    Mining exploration, shafts, and wells","E318RG3",6.866,6.979,7.09,7.137,7.244,7.475,7.538,7.486,7.411,7.599,7.788,7.906,8.029,8.207,8.357,8.418,8.529,8.655,8.821,9.074,9.458,10.611,11.52,12.163,12.791,13.201,13.492,13.948,13.944,14.206,14.661,15.116,15.824,16.68,17.531,18.209,18.728,19.765,20.562,21.445,22.494,23.114,23.82,23.874,23.349,23.506,23.758,24.902,28.136,30.751,32.877,35.65,36.909,37.081,36.369,34.94,31.603,29.658,28.724,27.643,26.813,27.185,26.956,26.954,27.214,26.904,26.995,26.988,26.824,26.412,25.646,24.734,22.82,21.95,21.551,21.922,23.3,24.031,24.558,24.976,25.137,25.295,25.512,25.619,25.58,26.008,26.605,27.46,29.179,28.949,27.918,25.798,25.691,25.749,25.883,26.118,25.812,25.908,26.075,26.215,26.198,26.065,26.556,26.927,27.248,27.38,29.211,30.508,29.099,28.933,30.521,31.073,32.399,33.415,34.245,35.646,37.989,39.374,38.846,38.326,38.041,37.322,36.962,37.523,37.433,37.737,39.416,41.202,44.27,47.996,50.284,49.952,53.31,56.623,59.273,60.952,61.992,62.54,64.854,66.917,69.571,71.515,75.344,80.911,88.518,93.837,102.668,114.978,121.043,127.854,131.484,137.216,139.168,139.604,139.892,140.849,143.486,146.816,150.744,152.26,143.165,131.328,127.83,126.324,127.72,129.287
"16","8","    Other structures \1\","W004RG3",15.764,16.08,16.296,16.62,16.741,17.255,17.269,17.657,18.077,18.449,18.841,19.224,19.635,19.851,20.114,20.594,20.907,21.318,21.878,22.307,22.918,23.906,25.114,26.205,26.79,27.209,27.371,27.561,27.725,28.17,28.396,28.66,29.721,30.022,30.581,31.052,31.618,32.295,32.945,33.666,34.455,35.519,36.659,37.582,38.746,39.617,40.546,41.69,42.651,43.64,44.404,45.193,45.973,46.687,47.25,47.639,48.067,48.337,48.597,48.848,49.215,49.739,50.237,50.625,50.928,51.193,51.441,51.811,52.154,52.527,52.943,53.451,53.9,54.409,54.843,55.392,55.977,56.344,56.716,57.171,57.598,58.256,58.649,59.112,59.718,60.104,60.552,60.782,61.029,61.325,61.553,61.405,61.394,61.667,61.942,62.375,62.924,63.523,64.015,64.522,65.056,65.477,66.231,67.1,67.857,68.339,68.793,69.194,69.627,69.941,70.581,70.999,71.488,72.005,72.712,73.458,73.831,74.402,75.128,75.871,76.601,77.313,77.97,78.664,79.702,80.474,81.21,82.106,83.037,83.801,84.85,85.532,85.53,85.857,86.07,86.966,88.13,88.079,88.304,89.245,90.744,92.319,94.115,95.836,97.231,98.859,100.997,102.913,104.668,106.44,107.8,109.901,111.889,112.432,113.384,114.349,114.75,115.349,116.166,117.358,117.22,114.929,112.41,111.674,111.291,110.679
"17","9","  Equipment and software","B010RG3",57.387,57.688,58.183,58.681,59.314,59.868,60.305,60.988,61.609,61.967,62.037,62.005,62.404,62.679,62.828,62.696,62.965,63.582,64.08,64.236,65.032,66.645,69.327,72.654,75.907,78.221,79.38,80.583,81.752,82.506,83.525,84.791,86.139,87.359,88.707,90.128,91.109,92.167,93.275,94.371,96.116,97.828,99.403,101.094,103.602,106.162,108.4,109.965,112.137,114.214,115.525,116.85,117.687,119.009,119.717,120.206,120.085,119.617,119.054,118.87,118.629,118.538,118.249,118.038,117.934,117.988,118.243,118.718,118.778,119.705,120.678,121.214,121.195,120.664,120.145,120.994,121.673,121.974,122.11,123.268,123.506,123.487,123.851,124.299,124.638,124.755,125.542,126.62,127.728,127.326,126.861,126.797,126.571,125.847,125.485,124.822,124.962,124.627,124.197,123.844,124.042,124.133,123.774,122.832,122.496,122.684,122.28,121.599,120.606,119.489,118.948,118.248,117.208,116.306,115.43,114.209,112.414,111.046,110.023,109.08,108.599,107.781,106.84,106.405,106.309,106.146,106.25,105.75,104.496,103.985,103.304,102.626,102.257,101.567,101.042,101.11,100.625,100.201,100.117,100.205,99.926,100.106,99.887,99.669,100.114,100.234,99.812,99.84,99.977,100.042,100.285,100.472,100.659,100.728,100.22,99.696,99.476,99.668,100.32,100.868,100.461,99.953,99.344,98.721,97.954,97.764
"18","10","    Information processing equipment and software","B679RG3",258.723,258.677,259.373,260.416,262.423,262.904,261.399,260.315,258.967,256.638,254.411,252.863,251.372,250.091,249.399,249.491,252.237,253.594,252.194,249.772,249.4,254.105,258.947,264.254,269.986,272.948,272.999,273.766,274.814,275.295,275.27,273.783,274.799,273.611,270.6,266.374,263.631,262.057,260.356,258.755,259.943,260.407,259.015,257.91,259.267,260.479,261.731,263.014,266.121,267.779,267.826,267.528,267.38,269.936,270.733,271.541,268.036,264.057,260.758,258.395,255.182,252.742,250.17,248.406,246.202,243.529,241.113,238.877,235.199,234.172,235.974,235.271,232.116,228.771,225.999,227.476,227.949,225.633,224.167,224.298,223.538,221.308,219.739,217.672,215.865,214.687,214.732,214.581,214.983,212.966,209.796,207.048,204.354,200.87,198.633,196.197,195.476,193.393,191.376,189.198,187.618,185.979,183.811,181.137,179.51,177.877,174.926,171.408,167.508,163.016,160.13,157.337,154.138,151.289,148.071,144.783,140.152,136.472,133.298,130.31,128.272,126.244,124.585,123.387,122.845,122.208,122.05,121.086,118.43,117.14,114.918,113.455,112.364,110.957,110.11,109.204,107.956,107.208,105.947,104.484,103.767,103.136,102.591,101.543,101.031,100.359,99.617,98.992,98.611,98.349,98.026,97.61,97.209,96.678,95.224,93.845,93.224,92.852,92.339,91.464,90.149,89.161,88.653,88.285,87.923,87.583
"19","11","      Computers and peripheral equipment","B935RG3",42262.8,41354.674,40227.01,39553.72,39380.108,38302.1,35708.689,33380.125,31439.921,28777.99,26564.717,24970.195,23535.558,22805.507,22050.823,21747.82,22450.904,22314.665,21072.496,19623.504,18507.814,17613.629,17004.15,16650.675,16693.948,16584.449,16007.899,15260.104,14449.075,13699.697,13085.038,12674.767,12780.354,12387.447,11470.855,10274.186,9095.239,8155.926,7473.712,7007.466,7016.77,6836.016,6449.255,5991.507,5694.385,5268.593,4897.181,4661.285,4649.738,4623.609,4496.997,4264.558,4149.792,4058.274,3975.453,3955.196,3655.894,3441.829,3241.873,3115.507,2914.164,2762.047,2642.999,2566.318,2453.333,2353.884,2272.556,2174.331,2024.94,1971.256,1995.042,1980.555,1817.699,1705.65,1630.376,1636.443,1620.735,1580.112,1558.867,1547.452,1533.145,1479.232,1460.559,1416.654,1355.733,1338.487,1335.551,1314.025,1278.836,1237.63,1164.257,1119.912,1095.828,1045.105,994.542,961.456,930.463,885.498,849.679,815.756,798.426,783.13,757.743,722.377,689.746,661.856,624.165,586.509,542.763,498.082,470.203,442.897,413.177,388.354,363.364,341.394,312.728,289.328,268.131,248.906,233.97,221.272,211.457,204.688,198.989,192.716,188.002,182.854,168.008,161.835,154.403,147.106,142.54,139.655,135.181,130.99,126.472,123.637,121.203,118.889,117.226,115.345,112.415,109.481,105.517,101.827,98.091,94.565,91.746,88.544,85.664,83.626,81.772,79.596,77.317,75.638,72.85,71.287,69.954,68.465,66.754,65.059,64.049,63.072,62.638,61.989
"20","12","      Software \2\","B985RG3",128.608,128.482,129.209,129.902,131.275,131.27,131.279,130.942,129.356,128.351,127.726,126.835,126.036,125.722,125.676,125.739,127.105,128.083,128.633,129.065,129.694,131.925,134.524,136.74,138.633,138.601,138.74,139.299,138.919,138.81,139.184,139.605,140.75,140.896,140.55,139.734,137.733,137.249,137.049,137.472,139.712,140.763,142.003,143.252,143.663,144.81,145.338,145.894,148.106,149.388,150.881,152.201,153.456,153.981,154.491,154.613,153.839,153.069,152.147,151.312,150.674,150.665,149.714,148.941,148.934,147.812,147.045,145.68,143.543,142.159,141.291,141.008,141.26,141.082,141.013,140.676,140.715,140.273,139.124,137.626,135.227,133.472,131.666,129.835,128.723,127.913,127.52,127.617,129.401,128.495,127.012,124.705,119.749,117.138,115.592,114.671,116.279,116.375,116.095,115.397,113.585,112.472,111.653,111.127,111.635,111.881,111.608,111.018,110.259,109.316,108.375,107.53,106.756,106.418,105.37,104.372,102.994,102.598,102.499,102.196,103.066,103.661,104.192,104.486,105.283,106.426,108,108.158,107.781,108.199,106.782,106.967,106.558,105.211,105.324,105.042,103.989,103.931,102.98,101.378,101.017,100.675,100.703,99.68,100.051,100.106,99.919,99.923,100.411,101.203,101.565,101.504,101.611,101.709,101.718,101.859,101.712,102.149,102.198,101.605,101.154,100.574,99.755,99.973,99.7,99.538
