"","Table 7#16# Relation of Corporate Profits, Taxes, and Dividends ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/28/2010 4:13:24 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,"2008","2009"
"8","1","Total receipts less total deductions, IRS","B1174C1",82.1,68,81.9,99.5,122.6,148.2,146,186.6,219.5,247.4,283,235.9,212.5,154.8,190,232.5,240.1,274.4,336.8,412.1,391.6,378.8,352.1,415,507.9,585.1,717.8,797.6,905.5,834.5,925.4,914.2,590,550.5,749,1075.7,1892,1900.3,1788.7,".....","....."
"9","2","Plus: Adjustment for misreporting on income tax returns","B1633C1",6.5,7.6,7.3,7.2,9.6,10.4,10,11.6,12.2,14.8,16.5,20.1,26.3,29.8,41.4,41.2,48.8,53.8,56.6,60.9,66.7,65.2,67.6,70.7,72.5,78.1,85.7,94.1,107.7,119.5,136.1,146.8,168.2,186.5,187.1,217.1,264.9,300,287.5,".....","....."
"10","3","      Posttabulation amendments and revisions \1\","B1175C1",1,1,1.8,1.8,1.5,2.6,3,2.4,0.6,-0.9,1.6,4.8,7.9,18.1,16,8.9,5.1,4.9,-15.7,-15,-12.6,-11.7,2.1,6.8,10.8,0.7,7.8,9.7,23.9,31,52,70.2,65.8,42,22,34.1,10.7,18.5,74.2,".....","....."
