"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169"
"11","3","  Goods","DGDSRX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1873.2,1885.8,1908.7,1926.7,1942.1,1980,1994.1,2018.3,2045.5,2043.9,2097.4,2126,2142.5,2198.9,2232.4,2300.6,2329.1,2384.2,2412.9,2454.9,2492.4,2506.1,2532.8,2555.4,2562.1,2569.5,2588.8,2683.1,2677.8,2690.6,2725.1,2732.8,2752.4,2800,2876.4,2890.6,2919.4,2931.8,2966.4,3003.6,3032.6,3075.1,3098.4,3089.5,3145.7,3150.8,3176.4,3222.5,3241.1,3252.4,3271.9,3281,3232.6,3235.2,3171.4,3082.3,3095.7,3084,3138.2,3151.8,3195.4,3222.6
"12","4","    Durable goods","DDURRX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,498.5,503.6,517.8,526.8,532.5,549.4,553.3,564.1,579.4,577.5,603.3,618.7,623.9,655.7,674.6,714.6,716.4,750.9,769.1,778.7,822.5,807.7,821.7,827.7,841.8,841.3,851.5,923.1,912.5,922.1,949.1,936.6,937.5,974.1,1013.2,1019.8,1031,1038.3,1058.7,1076.1,1083.3,1113.6,1126.7,1098.4,1142.3,1139.4,1152.1,1167.9,1181.2,1194.5,1205.7,1212.9,1178.6,1170,1133.2,1063.9,1076.6,1068.2,1118.3,1115.1,1138.9,1157.8
"13","5","    Nondurable goods","DNDGRX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1428.1,1435.2,1440.3,1447.7,1457.1,1475.8,1486.3,1498.3,1507.4,1508.3,1532.5,1543.3,1554.7,1573.9,1585.5,1607.2,1636.9,1652.3,1660.1,1694.1,1679.5,1713.1,1724.7,1741.6,1731.4,1739.7,1748.1,1763.2,1770.4,1772.7,1777.7,1800.2,1819.5,1828,1863.8,1871.3,1888.9,1894,1907.8,1927.6,1949.6,1961.5,1971.8,1990.7,2003.7,2011.6,2024.5,2054.7,2060.2,2059,2067.7,2070.3,2054.5,2064.6,2035.6,2010.1,2012,2008.3,2016.9,2032.3,2053.5,2063.4
"14","6","  Services","DSERRX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4159.1,4196.7,4226.6,4250.5,4292.1,4320.6,4343.7,4369.3,4404.8,4434.7,4487.4,4533.1,4583.5,4639.4,4695.8,4728.5,4768.5,4822.4,4880.3,4940.1,5014.8,5073.1,5120.1,5165.1,5189.3,5211.4,5225.4,5248.6,5282.7,5310.5,5329.2,5350.1,5371.8,5398.7,5435.7,5467.5,5518.3,5551.7,5589.6,5650.8,5686.4,5727.9,5767.1,5798.9,5841,5884.2,5914.3,5959.4,5994.4,6018.3,6038.7,6061.7,6090.6,6090.2,6070,6078.5,6053.6,6027.7,6020.7,6028.7,6029.6,6053.4
"15","7","Gross private domestic investment","A006RX1",512.7,508.6,520.4,492.3,476.9,478.4,486.6,458.4,517.9,534,541,524.1,561.1,595.5,604,607.1,645.7,675.8,649.4,674.3,631.2,628.1,592.7,598.3,493.2,476.1,516.4,530.6,585.5,610.5,611.6,615.9,646.2,696.1,734.1,713.4,727.5,777.5,801.5,819.7,819.6,817.7,801.7,786.8,781.1,710.6,656.5,723.2,795.1,757.2,804.2,773.1,692.5,691.9,683.8,622.9,645.1,707.4,754.9,834.4,921.8,952.8,975,959,927.4,943.4,933,969.4,967.4,946,916.3,917.7,945.8,947.1,948.1,1022,964.4,987.9,994.2,1007.4,1046,1033.8,1021.6,1011.1,1021.1,1021.4,997.3,934.2,896.2,891.7,913.9,948.9,927.8,988.9,999.1,1030.8,1055,1063.3,1062.5,1118.6,1166.8,1234.9,1212.7,1269.2,1282.1,1247.6,1235.6,1270.4,1287.1,1353.8,1422.1,1418.2,1451.3,1544,1571.4,1596.5,1672.7,1652.7,1700.1,1754.7,1810,1803.7,1848.9,1914.6,1887.8,2018.5,1987,1987.8,1882.7,1876.7,1837.1,1731.2,1789.3,1810.8,1814.5,1813.2,1813.1,1823.7,1889.9,1959.8,1970,2055.6,2082.2,2125.2,2170.3,2131.5,2154.9,2232.2,2264.7,2261.2,2229.6,2166,2146.1,2195.1,2178.9,2126.1,2074.3,2033.8,1967.2,1753.8,1529.5,1453.2,1494.5,1585.7,1690.2,1791.5
"16","8","  Fixed investment","A007RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1224.7,1220.1,1236.2,1261.9,1293.8,1335.9,1366.8,1389.6,1416.8,1447.3,1503.1,1516,1561.6,1616,1646.8,1697.1,1728.6,1769,1810.2,1820.4,1873.7,1920.8,1927.5,1933.3,1921.8,1891.7,1871.9,1824.9,1808.7,1801.5,1798.4,1783.9,1784.1,1829.7,1888.7,1922.4,1918.6,1977.7,2019.7,2053.9,2079.2,2116,2143,2151,2200.2,2189.9,2162.2,2132.9,2127.7,2147.2,2140.8,2114.9,2081.6,2057.3,1993.3,1855.6,1663.4,1619.6,1622.4,1617.1,1630.5,1702.5
"17","9","    Nonresidential","A008RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,781.5,787,792.2,808.2,828.2,852.1,880.4,904.2,927.3,950.3,998.8,1006.8,1041.6,1079.7,1096,1132.2,1158.4,1190.9,1225.1,1229,1274.7,1321.7,1336.3,1341.5,1328.7,1293.8,1272.5,1232.2,1203.4,1183.9,1177.8,1155.6,1150.4,1181.4,1208.3,1224,1214.3,1247,1281.2,1309.6,1321.5,1340.8,1359.7,1367.3,1424.9,1450.3,1466,1474.5,1499,1539.1,1574.1,1595.9,1603.7,1597,1561.5,1464.2,1313.7,1288.3,1282.9,1278.3,1302.6,1355.3
"18","10","      Structures","B009RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336.5,343.2,345.7,342.8,348.9,356.5,360.9,379.3,382.6,379.2,393.5,396.2,392,413.1,413.2,412.6,410.9,405.9,405.6,410.4,418.4,435.7,452.1,454,441.5,443,445.5,403.2,381.4,360.7,344.7,339.6,336.2,346.3,345.6,343.9,341.9,345.9,349.4,349.7,356,354.6,347.2,349.3,364.8,383.7,393.2,394.6,404.8,430.6,454.6,462.9,462.7,471.2,466.9,456.1,399.7,377.8,365.5,335.3,319.3,318.9
"19","11","      Equipment and software","B010RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,486.8,488,491.2,506,519.8,536,557.7,568.2,586,607.6,641.3,646.7,679.6,700.4,714.6,747,771.3,803.4,834.3,834.6,870.7,901.6,903.7,907.1,904.2,870.9,849.2,843.3,832.9,830.5,837.3,820.4,818.3,839.5,865.7,882,874.4,902.5,932.5,959.8,965.6,986,1012.5,1018.2,1060.7,1066.3,1072,1079.3,1093,1104.6,1112.6,1125.7,1134,1116.5,1084.1,993.3,903.4,903.8,913.1,944.7,989.7,1046
"20","12","    Residential","A011RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,457.7,443,456.7,467,479.3,499.5,498.2,493,494.7,500.9,503.2,508.4,517.5,533,549,562.2,565.5,571.6,576.4,583.4,588,584,573.7,574.2,576.8,584.9,588.1,583.1,598.7,613.4,616.9,626.4,632.4,646.8,679.8,698.2,704.5,731,738.4,744.2,757.7,775.3,783.3,783.5,775.2,740.1,697.4,660.2,631.3,611.4,570.6,523.3,482.2,464.4,435.6,394.7,352.7,333.9,342.4,341.7,330.7,350.1
"21","13","  Change in private inventories","A014RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.9,37.7,8.2,16.5,3.2,26.8,62,32.8,43.2,103.9,75.4,87,117.2,43.2,60.6,65.5,89.4,41.1,44.6,99.1,18.7,101,63.1,58.1,-34.8,-10.7,-30.8,-90.7,-15.1,13.4,19.8,32.9,31.5,-3.5,3,38.3,52.4,78.7,62.7,71.6,91.4,15.5,11.8,81,65.8,72.5,67.5,31.8,17.3,44.9,36.1,12.6,-8.2,-20.6,-27.4,-94.3,-125.8,-161.8,-128.2,-36.7,44.1,68.8
