"","Table 1#8#3# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169"
"11","3","Plus: Imports of goods and services","B021RA3",9.841,11.783,11.63,11.502,11.465,11.691,11.664,11.845,11.706,12.589,12.867,11.995,13.748,13.259,13.535,14.145,14.799,14.372,13.975,14.079,13.602,14.322,14.072,13.932,12.534,11.531,12.49,13.157,13.981,14.586,15.182,15.684,16.427,16.578,16.347,16.579,17.691,17.747,17.979,18.225,18.176,18.274,17.995,18.388,18.402,17.066,15.839,16.689,17.402,17.428,17.229,17.724,17.218,16.937,17.723,17.027,17.417,18.756,20.217,21.209,22.914,23.874,24.491,25.209,24.653,25.864,25.614,26.618,26.594,27.727,28.495,28.714,28.543,29.254,29.823,30.509,30.366,30.017,30.726,31.662,31.809,31.96,31.916,32.494,33.524,33.468,33.333,32.439,32.07,32.64,33.558,34.3,34.549,35.117,35.671,36.525,37.316,38.087,38.588,40.139,41.074,42.604,43.803,45.035,46.023,46.46,46.62,47.216,48.751,49.842,51.458,52.473,54.714,56.551,58.635,59.9,62.147,63.571,64.428,66.512,68.206,70.38,72.933,74.682,77.711,80.08,82.877,82.815,81.607,79.177,77.26,76.339,78.252,80.894,82.229,83.707,82.696,83.881,84.856,87.996,90.235,93.849,95.213,97.626,98.187,99.266,99.874,102.673,104.613,105.774,107.04,106.917,108.133,109.354,110.69,107.624,107.24,108.019,107.988,101.204,90.78,88.266,92.752,93.874,96.401,103.613
"12","4","Equals: Gross domestic purchases","B712RA3",32.526,32.581,32.808,32.573,32.501,32.513,32.806,32.467,33.337,33.665,33.899,34.023,34.709,35.512,35.779,36.377,37.254,37.498,37.217,37.455,36.983,37.084,36.833,36.579,35.797,35.944,36.827,37.289,38.343,38.731,38.959,39.318,39.988,40.723,41.367,41.513,41.824,43.123,43.553,44.036,44.093,44.146,44.259,44.232,44.265,42.938,42.54,43.585,44.595,44.224,44.801,44.349,43.682,43.827,44.02,44.067,44.646,45.93,47.093,48.192,49.397,50.341,50.864,51.339,51.697,52.379,53.18,53.663,54.043,54.434,55.005,55.162,55.422,55.978,56.385,57.3,57.311,57.827,58.172,58.969,59.391,59.629,60.027,60.183,60.766,60.917,60.849,60.101,59.702,60.006,60.296,60.533,61.132,61.884,62.488,63.267,63.512,63.978,64.422,65.341,66.074,67.024,67.409,68.214,68.424,68.548,68.827,69.299,69.943,71.2,72.028,72.495,73.27,74.323,75.388,76.179,77.203,78.205,79.389,80.743,81.771,82.627,83.815,85.326,85.856,87.581,87.856,88.42,88.075,88.563,88.496,88.899,89.786,90.409,90.981,91.298,91.58,92.478,93.883,94.759,95.518,96.559,97.368,98.321,99.161,99.519,100.324,100.996,102.153,102.503,102.707,102.953,103.182,103.967,104.301,104.201,103.786,103.66,102.815,100.765,98.889,98.373,99.092,99.829,100.797,102.07
"13","5","Plus: Exports of goods and services, command basis \1\","C020RA3",15.242,18.44,17.989,18.802,18.682,19.616,19.333,19.332,19.679,19.426,19.914,18.204,20.408,19.83,20.895,22.004,23.953,25.74,26.829,29.049,30.688,32.378,31.404,32.91,33.334,31.784,30.619,31.991,31.867,32.191,32.85,33.235,32.469,33.269,32.854,31.398,32.224,35.766,36.116,38.052,38.468,39.149,40.487,42.791,44.083,44.447,44.6,44.646,45.425,45.059,43.494,43.087,40.923,40.7,38.109,35.787,36.294,36.288,36.684,37.576,37.943,38.792,38.977,39.135,38.363,37.861,36.723,37.472,38.247,38.441,38.895,40.391,40.193,42.083,43.681,45.727,48.415,50.316,51.408,52.409,53.885,55.714,55.666,55.972,57.698,58.101,58.431,59.062,59.272,60.814,61.418,62.573,63.214,62.88,63.864,63.725,63.556,64.115,63.589,65.261,65.857,67.918,70.392,72.056,73.763,74.976,77.766,78.177,78.602,79.388,79.105,82.749,83.737,86.844,88.434,87.627,87.211,85.647,84.336,86.957,85.793,86.447,88.482,90.627,91.919,94.691,96.669,95.516,93.689,89.825,84.649,81.45,82.301,84.508,85.363,84.131,83.343,83.201,85.161,89.373,91.719,93.462,93.88,96.177,98.154,100.176,99.712,101.959,105.952,108.15,108.854,113.167,114.667,116.929,121.454,125.433,128.317,134.272,133.116,118.804,106.793,106.56,110.525,117.45,121.536,125.674
"14","6","Less: Imports of goods and services, command basis \1\","C021RA3",9.773,11.595,11.367,11.388,11.308,11.505,11.651,11.798,11.779,12.542,12.836,12.04,13.812,13.573,13.946,14.733,15.675,16.126,16.13,17.143,18.671,21.287,21.327,21.179,18.955,17.232,17.939,18.598,19.848,20.791,21.713,22.298,23.736,24.21,23.829,23.999,25.617,25.819,26.135,26.449,26.885,27.73,28.622,30.454,32.159,30.179,28.157,29.394,30.604,30.274,28.697,29.077,27.804,26.588,27.132,25.605,25.481,27.253,29.148,30.213,32.344,33.589,33.611,33.987,32.124,33.652,33.124,34.822,34.676,34.966,35.927,36.369,36.709,38.332,39.145,40.377,40.428,40.294,40.415,41.612,42.005,42.21,41.209,41.882,43.299,42.078,42.646,43.264,41.179,40.571,40.815,41.658,41.89,42.477,43.444,43.909,44.355,45.181,45.196,46.595,47.411,49.367,51.253,52.638,53.939,54.952,54.6,54.557,55.914,56.679,57.673,58.464,60.238,60.855,62.543,63.184,63.969,64.54,64.371,66.217,67.433,70.021,73.086,75.491,79.279,81.342,84.24,84.153,82.041,77.724,74.543,71.963,73.378,77.003,78.413,79.828,80.325,80.253,81.108,84.187,87.358,91.302,92.846,96.575,97.085,98.756,100.194,103.965,105.617,106.975,108.317,106.672,107.777,109.231,110.759,112.618,116.11,120.179,119.612,102.923,85.717,83.713,89.503,94.678,99.586,104.892
"15","7","Equals: Command-basis gross domestic product \1,2\","C191RA3",34.39,34.47,34.693,34.539,34.474,34.534,34.791,34.414,35.373,35.561,35.816,35.9,36.536,37.368,37.72,38.397,39.328,39.653,39.482,39.905,39.272,39.189,38.757,38.631,38.21,38.496,39.194,39.72,40.604,40.901,41.069,41.434,41.833,42.544,43.175,43.364,43.441,45.111,45.521,46.212,46.223,46.23,46.389,46.321,46.178,45.134,45.056,45.943,46.853,46.522,47.191,46.647,45.9,46.212,46.077,46.142,46.806,47.879,48.843,49.932,50.915,51.777,52.337,52.821,53.4,53.852,54.631,54.968,55.474,55.878,56.339,56.559,56.841,57.368,57.832,58.841,59.132,59.882,60.307,61.031,61.619,62.019,62.582,62.693,63.255,63.652,63.518,62.679,62.616,63.202,63.543,63.786,64.413,65.093,65.691,66.427,66.586,67.01,67.417,68.356,69.045,69.943,70.326,71.119,71.292,71.383,72.057,72.6,73.134,74.433,74.986,75.8,76.543,77.715,78.788,79.43,80.359,81.159,82.309,83.747,84.535,85.034,86.027,87.41,87.527,89.306,89.348,89.857,89.633,90.427,90.328,90.861,91.652,91.963,92.425,92.404,92.538,93.486,95.041,95.892,96.443,97.082,97.723,98.382,99.387,99.709,100.28,100.624,101.998,102.371,102.445,103.403,103.625,104.454,105.043,105.055,104.311,104.21,103.302,102.344,101.842,101.579,101.81,102.457,103.134,104.065
"16","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RA3",8.753,8.987,9.266,9.437,9.627,9.718,9.518,8.845,9.443,9.871,9.68,10.136,10.291,10.594,11.116,11.518,13.182,14.305,15.807,16.13,17.774,17.662,17.211,15.821,14.465,14.04,14.612,15.624,15.869,16.134,16.053,16.136,17.037,17.3,17.583,17.197,18.944,18.634,19.889,22.669,23.857,25.884,28.905,30.035,31.261,29.068,26.725,27.228,29.049,29.87,31.435,31.156,31.267,33.723,31.501,29.819,28.655,29.972,31.62,32.768,33.885,36.035,36.973,35.285,32.134,32.501,31.086,31.864,32.453,31.169,30.134,29.423,30.461,32.66,33.586,35.349,38.233,38.128,39.574,41.687,43.338,44.963,44.464,44.729,44.839,44.622,44.176,47.807,43.834,39.241,37.482,36.259,35.491,35.785,33.721,33.206,34.036,34.392,34.92,35.021,36.339,38.489,41.456,44.429,47.514,49.492,48.918,50.109,50.691,50.253,51.398,54.111,55.968,58.518,59.027,57.775,59.648,60.248,57.8,57.597,59.782,62.678,66.32,69.659,71.908,76.062,74.273,78.114,69.831,64.998,59.586,55.964,57.342,59.649,62.483,59.997,62.142,64.201,66.084,71.284,76.735,79.004,82.329,86.767,94.871,96.904,101.145,107.08,112.504,121.24,124.613,128.598,132.262,141.924,148.253,148.903,142.965,139.983,134.679,116.163,98.467,97.695,99.851,105.247,109.285,109.642
"17","9","Less: Income payments to the rest of the world, command basis \1\","C655RA3",4.518,5.043,5.657,5.868,5.932,5.809,5.669,5.385,5.027,5.153,5.593,5.805,5.725,6.183,6.232,6.716,7.525,8.296,8.569,8.834,9.094,9.772,10.334,10.237,10.049,9.481,9.456,8.986,9.524,9.405,9.168,8.99,8.612,9.138,9.579,10.466,10.949,12.563,13.134,14.805,15.929,16.854,17.699,19.281,20.539,19.266,17.394,20.849,22.175,23.947,24.957,22.925,23.876,25.11,24.843,23.296,21.986,22.676,24.383,25.192,27.65,30.18,31.465,30.94,29.647,29.326,29.193,29.231,31.157,32.035,30.135,31.478,32.059,33.323,34.638,36.189,37.999,38.585,41.1,42.9,45,47.199,45.902,44.437,45.137,44.664,45.547,43.374,42.073,39.682,38.566,34.964,34.268,34.779,33.2,32.263,31.101,33.287,32.284,36.487,36.263,39.91,44.177,47.886,49.065,50.716,53.646,52.149,51.276,52.937,55.2,57.215,61.627,62.779,65.321,65.483,65.538,66.929,67.244,66.545,66.406,68.663,73.815,75.336,79.194,83.414,82.224,81.108,74.473,66.72,65.489,46.475,57.233,64.292,64.381,57.387,63.146,62.536,64.884,65.366,67.985,76.364,78.13,89.093,91.481,96.351,99.427,112.741,118.959,130.645,137.566,140.423,145.28,155.202,150.032,140.557,134.986,135.026,123.498,115.767,94.998,92.723,88.213,95.2,95.359,95.007
"18","10","Equals: Command-basis gross national product \1,3\","CB22RA3",34.352,34.422,34.633,34.48,34.422,34.491,34.742,34.348,35.34,35.541,35.769,35.865,36.506,37.328,37.699,38.371,39.34,39.683,39.572,39.996,39.432,39.319,38.85,38.665,38.194,38.479,39.199,39.784,40.652,40.964,41.135,41.507,41.958,42.656,43.278,43.416,43.553,45.135,45.578,46.326,46.348,46.411,46.674,46.599,46.465,45.378,45.264,46.038,46.973,46.616,47.313,46.836,46.064,46.439,46.214,46.261,46.916,48.014,48.982,50.084,51.017,51.875,52.425,52.849,53.33,53.807,54.522,54.89,55.347,55.657,56.139,56.275,56.58,57.154,57.607,58.63,58.982,59.699,60.091,60.838,61.417,61.805,62.39,62.566,63.104,63.505,63.32,62.731,62.538,63.002,63.304,63.625,64.237,64.907,65.467,66.208,66.447,66.802,67.267,68.047,68.798,69.65,70.004,70.786,71.052,71.17,71.703,72.352,72.941,74.148,74.664,75.519,76.174,77.409,78.402,78.976,79.981,80.75,81.769,83.213,84.099,84.64,85.597,87.063,87.136,88.931,88.936,89.655,89.308,90.168,89.873,90.949,91.394,91.543,92.125,92.254,92.269,93.325,94.864,95.925,96.619,97.042,97.762,98.206,99.479,99.708,100.351,100.462,101.837,102.164,102.131,103.153,103.358,104.244,105.306,105.702,104.904,104.668,103.959,102.465,101.946,101.735,102.229,102.854,103.701,104.654
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Command-basis net domestic product \4\","C362RA3",36.607,36.654,36.869,36.638,36.513,36.546,36.822,36.361,37.448,37.629,37.889,37.956,38.672,39.612,39.975,40.715,41.748,42.067,41.807,42.248,41.447,41.297,40.738,40.543,40.002,40.298,41.085,41.666,42.674,42.984,43.135,43.516,43.934,44.719,45.407,45.568,45.595,47.508,47.921,48.665,48.596,48.524,48.634,48.477,48.232,46.921,46.759,47.746,48.763,48.303,49.028,48.305,47.339,47.638,47.412,47.432,48.167,49.381,50.461,51.681,52.771,53.708,54.278,54.748,55.321,55.749,56.567,56.871,57.38,57.765,58.217,58.384,58.622,59.15,59.606,60.704,60.964,61.758,62.17,62.931,63.53,63.91,64.479,64.52,65.089,65.47,65.239,64.193,64.057,64.675,65.008,65.225,65.886,66.618,67.262,68.072,68.164,68.566,68.95,69.952,70.665,71.615,71.964,72.781,72.877,72.874,73.539,74.051,74.547,75.922,76.43,77.235,77.946,79.149,80.229,80.805,81.705,82.447,83.587,85.052,85.764,86.143,87.089,88.482,88.423,90.248,90.099,90.507,90.089,90.856,90.622,91.12,91.904,92.161,92.585,92.468,92.533,93.53,95.211,96.075,96.591,97.216,97.834,98.465,99.489,99.735,100.258,100.518,101.966,102.25,102.196,103.146,103.248,104.054,104.595,104.488,103.535,103.305,102.162,100.965,100.327,100.011,100.26,100.97,101.691,102.675
"21","12","  Net domestic product","A362RA3",35.679,35.748,35.952,35.716,35.607,35.642,35.969,35.528,36.578,36.769,37.058,37.141,37.848,38.808,39.171,39.832,40.901,41.365,41.06,41.439,40.981,41.048,40.544,40.319,39.723,40.025,40.747,41.308,42.33,42.646,42.834,43.135,43.645,44.566,45.406,45.332,45.443,47.396,47.846,48.483,48.493,48.464,48.779,48.854,48.957,47.744,47.573,48.513,49.6,49.081,49.691,48.907,47.906,48.133,47.853,47.838,48.473,49.67,50.731,51.863,52.937,53.895,54.399,54.801,55.278,55.705,56.595,56.989,57.525,57.699,58.24,58.467,58.741,59.36,59.857,60.936,61.211,62.02,62.297,63.154,63.737,64.189,64.676,64.747,65.425,65.637,65.56,64.839,64.419,64.85,65.096,65.32,66.068,66.807,67.538,68.299,68.349,68.753,69.075,70.021,70.709,71.713,72.14,72.946,73.043,73.111,73.693,74.158,74.611,75.947,76.564,77.374,77.909,79.068,80.034,80.565,81.255,81.905,82.948,84.387,85.046,85.604,86.639,88.2,88.272,90.015,89.903,90.332,89.829,90.357,89.954,90.207,90.969,91.418,91.834,91.76,92.092,92.847,94.528,95.389,96.039,96.712,97.41,98.252,99.246,99.609,100.342,100.803,102.197,102.475,102.366,103.082,103.188,103.992,104.53,105.261,104.928,104.985,103.649,101.481,99.967,99.74,100.177,101.57,102.593,103.025
