"","Table 5#8#4B# Price Indexes for Gross Government Fixed Investmen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 01, 2007   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/30/2007 11:39:28 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"8","1","      Gross government fixed investment \1\","B782RG3",95.336,95.886,97.547,100,101.46,102.61,103.817,107.732,114.263,120.128
"9","2","        Federal","B787RG3",99.897,98.78,99.688,100,99.337,98.416,98.488,99.954,101.983,103.99
"10","3","          National defense","B788RG3",99.599,98.703,100.16,100,98.763,97.835,98.033,99.711,101.698,103.76
"11","4","          Nondefense","B798RG3",100.298,98.848,98.965,100,100.272,99.364,99.211,100.268,102.378,104.273
"12","5","        State and local","B799RG3",93.616,94.813,96.763,100,102.199,104.081,105.711,110.597,119.042,126.623
"13","6","Structures \2\","B760RG3",89.567,92.262,95.623,100,103.449,106.387,108.894,115.258,126.068,136.047
"14","7","  Federal","B801RG3",89.843,92.451,95.852,100,103.742,106.03,109.067,115.288,124.976,134.009
"15","8","    National defense","B808RG3",89.931,92.46,96.057,100,103.91,106.463,110.094,116.89,126.707,136.013
"16","9","      New","B814RG3",89.931,92.46,96.057,100,103.909,106.463,110.092,116.889,126.706,136.012
"17","10","        Residential","B816RG3",89.105,91.46,95.576,100,104.825,107.563,113.574,123.161,131.422,136.963
"18","11","        Industrial","B817RG3",88.563,92.129,95.696,100,103.084,106.288,109.213,116.192,125.558,135.808
"19","12","        Military facilities \3\","B818RG3",90.376,92.872,96.266,100,103.595,105.957,108.405,113.827,124.326,134.891
"20","13","      Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","    Nondefense","B830RG3",89.777,92.427,95.735,100,103.647,105.8,108.553,114.465,124.084,132.964
