"","Table 3#15#6# Real Government Consumption Expenditures and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Billions of chained (2000) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1990 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 10, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/30/2007 11:29:36 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"8","1","      Government","A822RX1",1530,1547.2,1555.3,1541.1,1541.3,1549.7,1564.9,1594,1624.4,1686.9,1721.6,1780.3,1858.8,1904.8,1931.8,1946.3,1981.4
"9","2","General public service","W575RX1",131.8,134.2,139.8,140.3,140.9,142.8,140.1,146.7,154.8,164.2,164.5,170,176.6,175.5,178.6,174.1,173.3
"10","3","National defense","A824RX1",479.4,474.2,450.7,425.3,404.6,389.2,383.8,373,365.3,372.2,370.3,384.9,413.2,449,475,482.4,491.5
"11","4","Public order and safety","W579RX1",138.8,144.4,148.6,152.9,157.6,163.7,170.7,177,185.2,192.6,196.2,202.9,211.8,210.8,212.3,217.4,224.7
"12","5","Economic affairs","W584RX1",233.2,233.1,242.8,245.2,246.2,242.3,243.5,248.6,250.2,263.8,273.2,280.2,290.8,293.1,285.9,282.8,286.2
"13","6","  Transportation","W589RX1",136.8,139.2,141.6,145,150.4,146.8,148,152.5,156.6,163.7,168.6,176.4,182.3,185.6,181.1,178.2,179.5
"14","7","  Space","W595RX1",18.7,19,18.8,18.8,17.6,17.3,18.3,18.1,17.2,16.4,16.3,16.6,15.8,16,16.5,16.1,15.7
"15","8","  Other economic affairs","W596RX1",77.2,74.5,82,81,78.1,78.1,77.1,77.9,76.5,83.8,88.3,87.3,92.6,91.5,88.3,88.5,91.1
"16","9","Housing and community services","W597RX1",34,35.2,35,33.5,30.8,31.3,33.1,34.1,34.5,36.4,33.8,36.4,38.8,40,38.3,39.5,40.3
"17","10","Health","W598RX1",78,81.9,84.8,85.7,86,83.6,83.6,81.8,79.6,82.4,83.4,82.8,88.4,94.7,95.6,101.8,107.7
"18","11","Recreation and culture","W599RX1",20.2,20.6,20.8,20.5,20.8,21.5,22.4,23.8,24.6,25.1,26.8,28.2,29.6,29.2,28.9,28.6,29
"19","12","Education","W600RX1",369.9,377.1,383.6,388.4,402.4,422.5,435,454.1,471.4,489.5,510.7,528.8,536.6,540.1,546.3,545.1,547.3
"20","13","Income security","W605RX1",42.5,44.5,48,48.7,51.6,52.1,52.2,54.7,58.7,60.8,62.8,66.1,73,72.4,70.7,74.5,81.4
"21","14","      Federal","A823RX1",659.1,658,646.6,619.6,596.4,580.3,573.5,567.6,561.2,573.7,578.8,601.4,643.4,687.1,715.9,726.5,742.3
"22","15","General public service","W611RX1",33.1,34.4,34.7,32.3,31.3,33.2,29.1,31.4,29.6,30.9,29.7,32.6,31.7,32.1,37.6,37.8,38.8
"23","16","National defense","A824RX1",479.4,474.2,450.7,425.3,404.6,389.2,383.8,373,365.3,372.2,370.3,384.9,413.2,449,475,482.4,491.5
"24","17","Public order and safety","W615RX1",13.6,15.2,16.6,17.2,17.1,17.6,19.1,20,21.5,22.6,24.9,26.6,30.6,32.6,33.8,34.4,35.7
"25","18","Economic affairs","W620RX1",78.7,77.6,84.6,83,80.8,78.4,79.2,79.3,77.5,81.6,84.2,83.9,89.9,90.4,89.1,88.1,89.5
