"","Table 6#4D# Full-Time and Part-Time Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"1","[Thousands]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 01, 2007   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/30/2007 11:41:43 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006
"8","1","      Full-time and part-time employees","A4201C0",132748,135833,138678,138407,137306,136921,138403,140471,144335
"9","2","Domestic industries","A4202C0",133216,136347,139131,139033,137932,137612,139136,141235,143543
"10","3","  Private industries","A4203C0",110892,113734,116036,115605,114135,113684,115102,117114,119271
"11","4","    Agriculture, forestry, fishing, and hunting","N4204C0",1436,1498,1480,1580,1564,1578,1508,1473,1440
"12","5","      Farms \1\","N4205C0",870,913,893,870,870,886,825,780,752
"13","6","      Forestry, fishing, and related activities","N4206C0",566,585,587,710,694,692,683,693,688
"14","7","    Mining","N4207C0",565,517,522,540,511,506,526,564,620
"15","8","      Oil and gas extraction","N4208C0",143,135,128,126,124,122,123,128,136
"16","9","      Mining, except oil and gas","N4209C0",244,235,229,224,213,204,208,215,222
"17","10","      Support activities for mining","N4210C0",178,148,165,190,175,180,195,222,262
"18","11","    Utilities","N4211C0",608,603,607,604,594,573,565,554,550
"19","12","    Construction","N4212C0",6301,6729,6991,7071,6978,6996,7241,7566,7896
"20","13","    Manufacturing","N4213C0",17490,17262,17460,16528,15349,14602,14401,14328,14246
"21","14","      Durable goods","N4214C0",10857,10784,10989,10374,9528,9007,8961,9003,9025
"22","15","        Wood products","N4215C0",621,632,633,591,574,554,568,579,576
"23","16","        Nonmetallic mineral products","N4216C0",532,539,562,546,520,500,502,508,514
"24","17","        Primary metals","N4217C0",630,617,624,571,506,475,467,465,464
"25","18","        Fabricated metal products","N4218C0",1729,1720,1777,1677,1552,1485,1497,1525,1554
"26","19","        Machinery","N4219C0",1515,1460,1471,1370,1229,1154,1146,1166,1187
"27","20","        Computer and electronic products","N4220C0",1809,1757,1813,1752,1500,1354,1318,1311,1307
"28","21","        Electrical equipment, appliances, and components","N4221C0",586,582,595,554,498,460,446,436,434
"29","22","        Motor vehicles, bodies and trailers, and parts","N4222C0",1259,1303,1319,1210,1153,1116,1116,1100,1066
"30","23","        Other transportation equipment","N4223C0",799,770,742,720,679,648,654,673,694
"31","24","        Furniture and related products","N4224C0",637,658,690,647,607,576,573,569,561
"32","25","        Miscellaneous manufacturing","N4225C0",740,745,765,736,708,685,674,670,668
"33","26","      Nondurable goods","N4226C0",6633,6478,6470,6154,5822,5595,5440,5324,5220
"34","27","        Food and beverage and tobacco products","N4227C0",1756,1754,1781,1780,1760,1732,1703,1687,1683
"35","28","        Textile mills and textile product mills","N4228C0",638,609,600,538,487,446,417,389,358
"36","29","        Apparel and leather and allied products","N4229C0",722,635,584,502,419,367,342,312,289
"37","30","        Paper products","N4230C0",621,611,608,579,542,516,495,484,470
"38","31","        Printing and related support activities","N4231C0",835,828,830,784,724,695,678,664,650
"39","32","        Petroleum and coal products","N4232C0",131,124,122,120,117,115,111,111,112
"40","33","        Chemical products","N4233C0",986,978,986,959,928,907,888,876,865
"41","34","        Plastics and rubber products","N4234C0",943,939,959,893,845,817,806,802,795
"42","35","    Wholesale trade","N4235C0",5867,5955,5872,5829,5711,5683,5742,5850,5978
"43","36","      Durable goods","N4236C0",3496,3553,3514,3469,3355,3318,3348,3423,3516
