"","Table 6#16D# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2001 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 31, 2007  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/30/2007 11:43:53 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",778.7,783.1,714.5,793,829.4,864.3,895.4,956.1,923.6,956.2,1016.2,1076.5,1184,1227.4,1218.7,1294.8,1376.7,1404,1297.9,1412.5,1515.5,1575.5,1592.5,1531.2,1547.7,1642.4,NA
"10","2","Domestic industries","A445RC1",618.6,612.1,567.9,591.8,674.4,717.1,740.8,789.6,774.4,797.3,853.1,885.9,982.1,1039.6,1013.8,1115.8,1172.7,1192.4,1057.5,1195.9,1273.4,1316.1,1342.8,1253.5,1249.8,1327.8,NA
"11","3","  Financial \1\","N587RC1",234.4,232.4,226.8,268.1,303.8,303.6,299.3,297.8,321,327.5,344.6,349.2,358.8,358.7,297.5,409.8,449.3,412.3,345.3,415.1,458.1,498.6,476.3,495.6,468.7,521.4,NA
"12","4","  Nonfinancial","N463RC1",384.2,379.7,341.1,323.7,370.6,413.5,441.5,491.8,453.4,469.8,508.6,536.6,623.3,681,716.3,706,723.4,780.2,712.2,780.8,815.3,817.5,866.4,757.9,781.1,806.4,NA
"13","5","Rest of the world","B394RC1",160.1,171,146.6,201.2,155,147.1,154.6,166.5,149.2,158.9,163.1,190.6,201.9,187.7,205,179,204,211.6,240.4,216.6,242.1,259.4,249.8,277.8,297.9,314.6,NA
"14","6","  Receipts from the rest of the world","B933RC1",191.2,186.3,176.1,176.8,191.6,202.5,217.3,206.2,229.5,236.3,250.3,280.2,303.3,313.4,322.3,326.6,339.8,349.9,363.8,381.4,394,420.6,425.9,438.7,448.7,482.6,NA
"15","7","  Less: Payments to the rest of the world","B934RC1",31.1,15.3,29.5,-24.4,36.6,55.4,62.8,39.7,80.3,77.4,87.2,89.5,101.3,125.7,117.3,147.6,135.8,138.3,123.4,164.9,151.8,161.2,176.1,160.9,150.8,168,NA
"16","8","    Corporate profits with inventory valuation adjustment","A052RC1",750.5,756,689.1,681.3,707,740.5,774.5,842.7,833.6,847.8,912.9,983.6,1094.6,1147.7,1159.7,1244.3,1513,1559.3,1495.4,1605.9,1708.8,1784.6,1816.2,1768.2,1775.6,1876.8,NA
"17","9","Domestic industries","A390RC1",590.4,585,542.5,480.2,552,593.3,620,676.2,684.4,688.9,749.8,793,892.7,959.9,954.7,1065.4,1309,1347.6,1255,1389.3,1466.7,1525.2,1566.4,1490.4,1477.7,1562.1,NA
"18","10","  Financial","N392RC1",230.8,224,211.8,243.7,277.9,277.7,274.6,275.3,301.6,307.3,326.4,333.8,347.3,350.2,292.4,405.7,464.8,429.3,364.8,435.6,478.7,521,500.3,521,493,546.4,NA
"19","11","    Federal Reserve banks","B397RC1",31.1,29.1,27.6,25.5,24.2,24.5,23.6,22.4,21.8,20.8,19.5,18.2,19,19.1,20.1,21.9,23.1,25.9,26.9,30.4,30.9,33.8,35.9,34.8,38.5,39.2,NA
"20","12","    Other financial \2\","N398RC1",199.7,194.9,184.2,218.2,253.6,253.3,251,252.9,279.8,286.5,306.9,315.5,328.3,331.1,272.3,383.8,441.8,403.3,338,405.1,447.8,487.3,464.4,486.2,454.5,507.2,NA
"21","13","  Nonfinancial","N399RC1",359.6,361,330.8,236.5,274.2,315.6,345.4,400.9,382.8,381.6,423.5,459.2,545.4,609.7,662.4,659.6,844.2,918.4,890.2,953.8,987.9,1004.2,1066.1,969.5,984.7,1015.7,NA
"22","14","    Utilities","N419RC1",27.2,29.3,26.1,16.2,7.1,10.1,12.6,12.8,11.5,10.5,11,13.2,15.2,17.8,18.6,22.8,30.2,30.4,19.9,32.9,31.7,35.3,37.8,37.8,36.4,41.2,NA
"23","15","    Manufacturing","N400RC1",87.8,79.8,49.1,-6.3,27.8,40,55,70,63.6,55.2,77,108.2,134.2,148.3,158.4,170,244.2,244.9,252.5,263.1,276.1,298,319.5,280.2,298.9,347,NA
"24","16","      Durable goods","N406RC1",17.1,-5.1,-38.3,-75.5,-30.6,-13.9,-0.2,5.3,-6.8,-13.3,-11.6,8.1,27.5,37.2,42.8,45.6,80.2,89.8,87,83.7,93,81.8,101.8,107.2,113,117.2,NA
"25","17","        Fabricated metal products","N408RC1",12.1,10.7,9.6,7.1,8.4,8.9,8.6,9.8,7.1,8.8,6.9,9.1,9.5,11.6,12.2,14.4,16.3,17.6,19.1,16.2,20.4,18.9,19.3,22.5,23.3,22.2,NA
"26","18","        Machinery","N409RC1",12.1,4.2,-6.7,1.1,2,1.3,1.9,1.5,-0.3,1.6,1.4,3.4,5,6.5,9.5,7.9,12.1,15.2,17,19.9,20.7,19.5,18.3,18.7,21.8,22.5,NA
"27","19","        Computer and electronic products","N501RC1",-18.7,-37.2,-59.3,-78.6,-49.2,-39.7,-28.4,-23.9,-20.5,-19,-16.4,-6.5,-6.3,-5.7,-4.6,-2.9,5.5,10.4,11.7,12.8,9.8,7.8,7.1,6.2,9,7.7,NA
"28","20","        Electrical equipment, appliances, and components","N410RC1",4.3,2.1,1.1,0,0.3,-1.3,0,0.5,1.6,1.9,2.3,2.6,2,1.9,-0.3,-2.3,-3.7,-4.3,-3.1,-3.9,-3.4,-2.9,-1.6,0.2,1.3,0.7,NA
"29","21","        Motor vehicles, bodies and trailers, and parts","N411RC1",-7.7,-9.9,-6.1,-13.2,-10.5,-1.1,-2.9,-5.5,-6,-13.5,-15.5,-14.1,-1,-9,-10.6,-9.9,2.7,2.9,-0.9,-4.3,-1.4,-2.8,-1.4,1.3,4.6,12.3,NA
"30","22","        Other durable goods \3\","N412RC1",15,25,23.1,8.3,18.4,17.9,20.7,22.9,11.5,6.9,9.7,13.7,18.3,31.8,36.6,38.4,47.3,47.9,43.1,42.9,47,41.4,60.1,58.3,52.9,51.8,NA
"31","23","      Nondurable goods","N401RC1",70.7,84.9,87.4,69.2,58.4,54,55.2,64.8,70.3,68.6,88.6,100.1,106.7,111.1,115.6,124.4,164,155.1,165.5,179.4,183.1,216.1,217.6,173,185.9,229.8,NA
