"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of chained (2009) dollars; quarters and months are seasonally adjusted at annual rates]                                                                                                                                                         ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 04, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/1/2014 4:41:57 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8",NA,"Personal consumption expenditures by major type of product (From NIPA table 2.3.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","      Personal consumption expenditures (PCE)","DPCERX0",7775909,8170682,8382636,8598775,8867559,9208180,9531811,9821691,10041554,10007182,9846969,10036322,10263452,10449674,10699696
"10","2","Goods","DGDSRX0",2460874,2588250,2666644,2770177,2904451,3051921,3177160,3292529,3381763,3297792,3198444,3308651,3411777,3506529,3625973
"11","3","  Durable goods","DDURRX0",698312,758332,798016,856587,917639,992924,1046946,1091545,1141662,1083235,1023318,1085658,1151531,1235721,1319021
"12","4","    Motor vehicles and parts","DMOTRX0",335750,346435,364142,383313,394574,405492,399996,385132,392789,340814,317058,323406,333773,357896,376036
"13","5","    Furnishings and durable household equipment","DFDHRX0",171234,187747,197294,211699,226793,248326,264837,278298,280443,267670,244311,261502,276600,288422,305105
"14","6","    Recreational goods and vehicles","DREQRX0",113096,132046,144203,160652,181585,209327,237637,268788,298972,308742,303775,336804,370162,410834,452048
"15","7","    Other durable goods","DODGRX0",105980,115397,112918,119881,131131,142773,153326,164427,172196,166497,158174,164876,173942,183537,194432
"16","8","  Nondurable goods","DNDGRX0",1805974,1863598,1896024,1931107,1998542,2063650,2132331,2202167,2239326,2214659,2175126,2223535,2263186,2280135,2322600
"17","9","    Food and beverages purchased for off-premises consumption","DFXARX0",668124,684549,693975,697031,713257,729766,757613,780821,791281,781866,769958,786471,795145,801642,809410
"18","10","    Clothing and footwear","DCLORX0",243190,254958,257369,265228,278318,291162,306770,317445,323901,322312,306499,322664,335293,337715,341166
"19","11","    Gasoline and other energy goods","DGOERX0",302321,294435,294152,296443,296758,299290,297997,297429,296838,283403,284500,282220,274345,269173,271670
"20","12","    Other nondurable goods","DONGRX0",605825,636117,656047,675748,709548,740594,765910,803343,825151,828317,814169,832974,863208,879722,909858
"21","13","Services","DSERRX0",5331616,5599291,5730960,5838171,5966894,6156565,6353416,6526598,6656427,6708594,6648525,6727642,6851401,6942399,7073065
"22","14","  Household consumption expenditures (for services)","DHCERX0",5192523,5446959,5562791,5648037,5762973,5949126,6147337,6291789,6415226,6435098,6372509,6449344,6575943,6653367,6772457
"23","15","    Housing and utilities","DHUTRX0",1550457,1600525,1643038,1653822,1675982,1717906,1788366,1823187,1840778,1860103,1880993,1904255,1927997,1940358,1965710
"24","16","    Health care","DHLCRX0",1178313,1218812,1279578,1355577,1392522,1442266,1490444,1525245,1563233,1598825,1627380,1649189,1690339,1745024,1781075
"25","17","    Transportation services","DTRSRX0",317464,332782,330532,320820,322948,331523,334702,335529,339008,321283,289695,287109,294129,299586,307600
"26","18","    Recreation services","DRCARX0",316826,325956,325423,327300,338353,355787,364675,377427,392074,388972,376000,380956,389590,396109,405675
"27","19","    Food services and accommodations","DFSARX0",511361,534650,533653,541717,561600,584207,605102,624667,632592,626109,600334,609606,625260,641136,655364
"28","20","    Financial services and insurance","DIFSRX0",598668,659236,645974,641679,643080,668733,704086,720065,742536,737423,718955,733929,747155,713749,728518
"29","21","    Other services","DOTSRX0",719665,770591,804408,808726,831251,850815,860530,886194,904678,902244,879152,884257,901168,918099,928943
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX0",150098,162643,176070,194166,206318,210320,209946,236607,242909,273598,276017,278284,275181,289251,301228
"31","23","    Gross output of nonprofit institutions \2\","DNPERX0",777738,807254,845853,896040,914422,938378,961660,999078,1022197,1055206,1072564,1086020,1097052,1131214,1151408
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX0",638548,653495,676959,706713,710687,730999,755626,764112,780883,781544,796547,807713,821586,842016,850758
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  PCE excluding food and energy \4\","DPCCRX0",6626329,6996934,7199143,7402246,7646723,7963121,8253924,8528058,8734152,8730507,8577378,8746089,8980371,9175743,9411578
