"","Table 6#19B# Corporate Profits After Tax by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 16, 2004  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/27/2007 8:52:11 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Corporate profits after tax","A055RC0",23455,19404,25308,22229,20831,21396,21719,27843,28470,27657,23999,30029,28849,28679,32911,35708,40941,49085,52819,50648,52811,51394,46235,54698,65469,84876,94974,93896,114415,135973,161278,181905,166306,159403,132043,153250,171077,158029,136286,187164
"9","2","Domestic industries","A3202C0",22194,18279,24039,20485,18943,19598,19757,25489,25649,24565,21476,27311,25712,25363,29139,31627,36472,44379,48291,45873,47175,44799,39135,46843,55935,69978,77505,79265,97867,116860,138409,147294,130835,129724,99460,118191,134511,119924,96812,139152
"10","3","  Agriculture, forestry, and fishing","A3203C0",91,67,86,64,14,-9,30,2,3,5,18,-5,22,23,74,20,47,133,150,57,123,115,-13,87,322,593,211,537,457,342,887,833,229,2,-58,-308,-143,-402,1103,1349
"11","4","    Farms","B3204C0",90,71,87,61,11,-12,28,-2,-1,0,-7,-51,-26,-32,6,-30,5,80,87,17,65,42,-62,3,187,484,93,418,252,149,638,553,67,-175,-162,-310,-321,-535,540,500
"12","5","    Agricultural services, forestry, and fishing","B3205C0",1,-4,-1,3,3,3,2,4,4,5,25,46,48,55,68,50,42,53,63,40,58,73,49,84,135,109,118,119,205,193,249,280,162,177,104,2,178,133,563,849
"13","6","  Mining","A3206C0",1146,814,1117,1047,861,797,863,1032,1088,963,791,542,651,721,579,788,823,679,675,545,562,477,660,646,426,1061,2458,2626,2353,1434,585,1568,4377,519,-3243,-4259,-3526,-6043,-5627,-2509
"14","7","    Metal mining","B3207C0",205,102,198,184,109,143,142,190,203,123,113,-28,64,108,55,103,151,103,177,-92,32,15,101,-14,-39,219,275,-11,136,-62,-163,203,125,-48,-553,-371,-385,-870,-688,-667
"15","8","    Coal mining","B3208C0",312,116,167,138,94,59,29,86,160,139,105,61,69,95,72,111,150,150,130,138,119,106,311,193,139,253,1350,1215,890,560,204,269,371,539,386,109,220,-113,186,285
"16","9","    Oil and gas extraction","B3209C0",535,507,646,611,545,487,565,600,573,578,501,413,378,404,346,387,282,245,170,285,228,151,104,277,132,239,405,1044,944,510,-83,378,3120,-562,-3333,-4205,-3855,-5396,-5414,-2771
"17","10","    Nonmetallic minerals, except fuels","B3210C0",94,89,106,114,113,108,127,156,152,123,72,96,140,114,106,187,240,181,198,214,183,205,144,190,194,350,428,378,383,426,627,718,761,590,257,208,494,336,289,644
"18","11","  Construction","B3211C0",431,404,363,311,354,290,313,265,432,471,448,406,223,329,518,570,823,1045,1092,1263,1323,1280,1233,1441,1345,1380,1441,1643,2084,3234,4156,4153,3846,2330,1542,1041,1818,3225,5368,8460
"19","12","  Manufacturing","A3212C0",11991,9476,13299,10956,9591,10355,10517,14334,13956,13305,10451,14110,12699,11829,14161,15853,18412,23336,25111,23156,23437,21101,16062,20005,24599,32262,36118,34848,43891,49157,58835,65411,55217,62889,42454,44136,52176,49424,19599,47442
"20","13","    Durable goods","A3213C0",5594,4649,6957,5652,4977,5239,5140,7584,6960,6801,4647,6820,5611,5108,7085,8355,9796,13141,13778,12208,12282,10522,5966,9053,12861,16099,14964,13760,18870,23180,28552,26707,12879,11601,-93,9010,21008,17689,12775,24381
"21","14","      Lumber and wood products","B3214C0",369,203,417,331,249,217,237,359,280,171,242,375,242,251,349,445,546,672,538,556,899,927,469,731,1048,1669,1129,844,1712,2194,3008,2980,1222,-218,-112,1503,1749,1050,1713,3630
"22","15","      Furniture and fixtures","B3215C0",108,82,134,97,94,79,75,131,137,112,80,98,79,91,127,147,180,245,235,244,259,240,171,195,282,272,229,225,332,432,523,518,452,483,509,714,686,904,944,1036
"23","16","      Stone, clay, and glass products","B3216C0",336,320,451,380,316,378,457,654,637,576,561,701,550,495,519,615,680,693,616,502,585,601,451,666,840,974,825,811,1205,1503,1697,1931,1146,527,-1238,533,1369,1640,2299,1399
"24","17","      Primary metal industries","B3217C0",1164,877,1342,1246,908,1175,873,1576,1608,1522,951,1221,1061,732,834,1110,1527,1927,2179,1724,1259,1021,582,616,1057,1865,4290,1929,1812,854,2685,3597,2093,2057,-4797,-4515,-1022,-1285,242,2718
"25","18","      Fabricated metal products","B3218C0",637,421,671,605,480,491,467,599,612,599,467,542,409,488,641,718,832,1202,1472,1420,1288,1196,711,855,1309,1856,2230,1975,2464,2966,3359,3872,2932,3068,1121,1400,2538,2707,2642,3585
"26","19","      Machinery, except electrical","B3219C0",1009,762,1011,1007,933,850,821,941,1171,1049,668,1047,858,869,1209,1320,1747,2258,2526,2425,2169,2003,1643,1706,2421,3041,3273,3670,3908,5313,6696,6612,5687,6068,1688,1477,2686,2978,-1936,2246
"27","20","      Electric and electronic equipment","B3220C0",502,398,713,522,557,542,561,571,595,700,613,806,568,535,667,727,772,1381,1678,1568,1363,1021,459,796,1409,1705,934,1498,1765,3310,4081,3672,3769,3453,-271,1365,2094,363,137,2966
"28","21","      Motor vehicles and equipment","B3221C0",991,1212,1606,948,931,949,906,1972,1105,1229,375,1397,1393,1156,1901,2319,2369,3231,2794,2122,2705,2375,843,2681,3170,3135,567,1020,3917,4877,4619,2619,-3570,19,-120,3743,6105,5858,2641,1356
"29","22","      Other transportation equipment","B3222C0",142,122,216,172,203,254,386,364,378,427,303,119,14,42,280,354,477,628,675,620,729,114,-133,56,292,376,424,453,167,-40,-140,-1070,-2590,-6097,2048,2166,3055,2432,3761,4442
