"","Table 6#5C# Full-Time Equivalent Employees by Industry          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Thousands]                                                                                                                                                                                                                                               ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February  13, 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/27/2007 8:49:42 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Full-time equivalent employees \1\","A4301C0",98163,101039,103720,104865,103306,103394,104918,107691,110708,112917,115697,118823,121656,124319
"9","2","Domestic industries","A4302C0",98229,101114,103803,104947,103388,103472,105283,108102,111117,113294,116101,119224,122097,124707
"10","3","  Private industries \2\","A4303C0",80992,83472,85758,86575,84966,85134,87000,89810,92718,94885,97570,100521,103248,105579
"11","4","    Agriculture, forestry, and fishing","A4304C0",1564,1665,1625,1619,1609,1575,1620,1663,1750,1773,1815,1952,2057,2058
"12","5","      Farms","B4305C0",826,859,795,788,779,742,735,719,743,712,750,753,790,762
"13","6","      Agricultural services, forestry, and fishing","B4306C0",738,806,830,831,830,833,885,944,1007,1061,1065,1199,1267,1296
"14","7","    Mining","A4307C0",699,709,684,701,681,627,601,593,577,572,587,581,529,530
"15","8","      Metal mining","B4308C0",44,51,57,59,56,54,51,49,52,54,53,49,43,39
"16","9","      Coal mining","B4309C0",157,148,143,144,134,124,110,110,103,96,94,90,84,77
"17","10","      Oil and gas extraction","B4310C0",390,398,374,388,388,348,339,332,317,316,333,333,291,303
"18","11","      Nonmetallic minerals, except fuels","B4311C0",108,112,110,110,103,101,101,102,105,106,107,109,111,111
"19","12","    Construction","B4312C0",4853,5014,5092,5040,4574,4382,4556,4871,5165,5412,5691,5998,6402,6701
"20","13","    Manufacturing","A4313C0",18589,18935,18989,18675,18003,17670,17663,18014,18191,18169,18334,18480,18276,18170
"21","14","      Durable goods","A4314C0",10992,11233,11240,10953,10414,10130,10080,10345,10568,10670,10874,11079,11001,11011
"22","15","        Lumber and wood products","B4315C0",743,760,747,719,666,672,703,752,765,776,787,810,838,824
"23","16","        Furniture and fixtures","B4316C0",502,512,511,493,457,459,472,493,501,497,502,522,538,546
"24","17","        Stone, clay, and glass products","B4317C0",545,559,562,550,514,502,510,527,530,533,543,558,561,572
"25","18","        Primary metal industries","B4318C0",732,762,764,749,716,681,673,692,697,703,706,710,692,694
"26","19","        Fabricated metal products","B4319C0",1375,1404,1414,1398,1327,1308,1318,1371,1422,1428,1464,1493,1509,1524
"27","20","        Industrial machinery and equipment","B4320C0",2013,2076,2091,2053,1978,1897,1906,1965,2052,2075,2135,2175,2103,2082
"28","21","        Electronic and other electric equipment","B4321C0",1756,1748,1730,1663,1581,1518,1512,1563,1606,1644,1675,1687,1647,1699
"29","22","        Motor vehicles and equipment","B4322C0",844,843,844,815,775,812,827,891,960,958,973,987,1015,1012
"30","23","        Other transportation equipment","B4323C0",1160,1177,1188,1171,1089,1009,909,844,810,816,850,891,866,829
"31","24","        Instruments and related products","B4324C0",957,1012,1004,975,947,905,872,846,827,842,851,858,836,831
"32","25","        Miscellaneous manufacturing industries","B4325C0",365,380,385,367,364,367,378,401,398,398,388,388,396,398
"33","26","      Nondurable goods","A4326C0",7597,7702,7749,7722,7589,7540,7583,7669,7623,7499,7460,7401,7275,7159
"34","27","        Food and kindred products","B4327C0",1555,1571,1577,1596,1605,1594,1612,1637,1644,1661,1653,1650,1661,1665
"35","28","        Tobacco products","B4328C0",54,54,51,51,49,47,45,43,41,40,40,39,36,34
"36","29","        Textile mill products","B4329C0",712,713,705,682,652,657,664,669,655,625,612,592,553,529
"37","30","        Apparel and other textile products","B4330C0",1060,1053,1043,1001,968,962,953,960,920,848,805,747,678,602
"38","31","        Paper and allied products","B4331C0",669,676,684,687,680,679,683,685,685,677,675,671,661,649
"39","32","        Printing and publishing","B4332C0",1392,1441,1469,1474,1439,1400,1406,1438,1439,1428,1447,1463,1461,1456
"40","33","        Chemicals and allied products","B4333C0",1009,1047,1058,1071,1066,1062,1057,1037,1027,1021,1017,1021,1023,1024
"41","34","        Petroleum and coal products","B4334C0",159,156,153,155,156,154,149,145,142,139,135,134,130,125
"42","35","        Rubber and miscellaneous plastics products","B4335C0",844,849,869,872,852,867,897,942,963,965,985,999,995,1003
"43","36","        Leather and leather products","B4336C0",143,142,140,133,122,118,117,113,107,95,91,85,77,72
