"","Table 3#10#1# Percent Change From Preceding Period in Real Gover","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 28, 2007     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/27/2007 8:33:02 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"8","1","      Government consumption expenditures \1\","A955RL1",6.5,3.8,0.3,2.3,10.4,1.7,8.6,-1.2,6.3,8.6,5.5,41.7,117.6,59.5,20.8,-4.5,-58.7,-18,2.5,6.5,-0.6,29.9,19.2,6.4,-7.3,-2,0,5.4,1.4,1.2,1.3,3.3,6.7,3.5,2.3,3.5,8.8,8.5,4.7,1.4,-1.3,-0.2,0.5,-1,2,2.3,0.2,2,2,1,1.8,1.8,2.4,2.9,1.6,5.6,5.4,1.7,1.7,2.3,2.5,1.3,0.4,-0.3,0.3,0.2,0.4,1.8,1.6,3.1,1.7,3.1,4.3,2.5,2.1,0.9,1.6
"9","2","        Gross output of general government","W101RL1",7.3,4.1,-0.2,9.3,17,2.2,18.7,-6.2,10.8,4.5,1.1,32,100.1,55.5,20.9,-2,-55.7,-23.7,1.9,6.4,0.2,28.9,17.8,6.2,-6.7,-0.7,-0.5,5.8,1.7,1.4,1.2,3.4,6.9,3.9,2.6,3.9,9,8,4.9,1.6,-1,0.3,1.2,-0.6,2,2,0.4,2.1,2.3,1.4,1.7,1.8,2.4,2.8,1.5,5.4,5.2,1.8,1.8,2.4,2.5,1.5,0.8,0.2,0.8,0.4,0.6,1.9,2,2.9,2.2,3.6,4.1,2.1,2,1.1,1.7
"10","3","          Value added","W102RL1",4.7,1.8,-1.3,5.5,12.9,6.6,17.1,-4.6,7.9,1.9,4.7,22.9,53,64.3,21.2,0.4,-45.7,-21.2,-4.2,-0.3,1.4,19.5,8.4,1.8,0.1,0.4,1.8,2.1,1,1.3,3.4,3.5,3.9,3,3.4,3.4,6.2,5.3,3.9,2.5,0.4,0.2,-0.2,0.4,2,1.6,0.9,1,1.9,1.1,1.4,0.5,1,0.6,1.2,2.9,2.5,2.2,2.6,2.4,2.6,1,0.3,0.2,0,0.1,0.2,0.8,1.1,1,1.7,1.8,1.9,1.2,0.6,0.9,0.7
