"","Table 2#3#2# Contributions to Percent Change in Real Personal Co","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 07, 2013 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/7/2013 10:33:49 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Personal consumption expenditures (PCE)","DPCERL1",3.7,2.4,3.8,6.1,5,-0.8,2.3,5.6,4.2,4.4,2.4,-0.3,1.5,1.4,5.7,5.3,5.3,4.2,3.4,4.2,2.9,2.1,0.2,3.7,3.5,3.9,3,3.5,3.8,5.3,5.5,5.1,2.5,2.5,3.1,3.8,3.5,3,2.2,-0.4,-1.6,2,2.5,2.2
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Goods","DGDSRZ2",1.56,0.4,2.05,3.18,2.53,-1.8,0.33,3.31,2.03,1.94,0.75,-1.18,0.54,0.31,2.73,3.04,2.22,2.31,0.74,1.5,1.01,0.25,-0.77,1.18,1.53,1.93,1.09,1.62,1.72,2.39,2.8,1.87,1.08,1.36,1.69,1.77,1.44,1.26,0.94,-0.86,-1,1.12,1.12,1.12
"12","3","  Durable goods","DDURRZ2",0.56,-0.39,1.39,1.8,1.55,-0.97,0.03,1.72,1.28,0.78,-0.07,-1.12,0.13,-0.02,1.72,1.82,1.35,1.33,0.28,0.81,0.31,-0.06,-0.69,0.69,0.9,0.98,0.5,0.94,1.03,1.53,1.66,1.14,0.69,0.96,0.93,1.05,0.7,0.54,0.56,-0.61,-0.6,0.62,0.68,0.81
"13","4","    Motor vehicles and parts","DMOTRZ2",0.23,-0.64,1.04,0.84,0.6,-1.03,-0.03,1.05,0.63,0.28,-0.37,-0.72,0.11,0.13,0.92,0.88,0.76,0.46,-0.26,0.35,-0.01,-0.09,-0.64,0.38,0.27,0.32,-0.08,0.25,0.35,0.55,0.5,0.17,0.27,0.28,0.16,0.14,-0.07,-0.17,0.08,-0.53,-0.24,0.07,0.17,0.25
"14","5","    Furnishings and durable household equipment","DFDHRZ2",0.1,-0.01,0.19,0.44,0.46,-0.02,-0.23,0.25,0.37,0.22,0.17,-0.16,-0.07,-0.16,0.29,0.35,0.19,0.28,0.15,0.13,0.17,-0.05,-0.07,0.1,0.15,0.16,0.13,0.13,0.14,0.24,0.34,0.29,0.15,0.22,0.21,0.28,0.2,0.15,0.02,-0.13,-0.23,0.17,0.13,0.15
