"","Table 5#8#6B# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74"
"1","[Billions of chained (2009) dollars]; Seasonally adjusted quarterly totals                                                                ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1996 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 07, 2013 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/6/2013 2:44:55 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","    Private inventories \1\","A371RX1",NA,NA,NA,1517.3,1530.2,1558.4,1578.6,1602.2,1634.1,1646.5,1663.4,1681.1,1705.5,1716.8,1729.7,1756.6,1762.5,1789.7,1806.8,1822.8,1813.3,1810.1,1800.9,1776.6,1775.6,1782.2,1790.3,1799.1,1808.2,1808.1,1810,1821.7,1835.8,1856.2,1874,1893.1,1920.9,1929.2,1933.7,1957.4,1977.1,1998.2,2018.7,2029,2033.9,2046.3,2058.8,2064.6,2059.5,2052.9,2047.7,2030.9,1994.8,1947.2,1895.7,1883.3,1885.8,1898,1927,1941.5,1947,1957.8,1955,1975.2,1997.5,2011.7,2031,2032.8,2043.3,2057.5,2079
"10","2","Farm","B372RX1",NA,NA,NA,176.3,174,176.2,178.7,180.4,181.9,181.3,182,182.2,181.8,182,179,178,172.9,174.6,174.1,176,177.7,176.9,177.3,176.2,176.8,174.1,173.2,172.7,173.5,173.3,173.3,172.8,174.3,178.2,180.3,181.8,180.5,180.7,181.6,182,182.5,180.6,179.1,177.9,178.7,177.7,177.2,177,175.7,176.3,177.4,178.1,177.9,177.7,176.6,176.5,175.7,174.3,171.8,169.4,168.1,166.6,165.6,165,164.8,163.5,160.1,157.7,161.8,166.6,172.2
"11","3","Mining, utilities, and construction","N238RX1",NA,NA,NA,50.3,50.3,51.7,53.1,52.8,55.3,57.6,59.2,62,62.1,62.1,61.3,60,60.9,59.9,59.6,57,60.1,63.9,65.8,68.4,68.4,67.3,65.5,64.3,66.5,67.4,69.4,72,71.2,71.5,73,73.3,74.2,76.7,76.1,76.5,80.1,85.5,89.3,92.6,92.9,93.3,93,89.5,86.7,83.9,85.4,82.8,85.9,88.3,86,80.3,76.8,79.1,80,81.7,79.6,77.8,76.8,78,84.7,86.5,85.7,85,82.6,82.7,83.8
