"","Table 6#17B# Corporate Profits Before Tax by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 3:07:24 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Corporate profits before tax","A053RC0",36502,30042,43781,45380,41282,43149,40793,51441,52625,51194,45030,55954,53853,53904,59204,64416,71446,83110,90384,87604,97906,96652
"9","2","Domestic industries","E561RC0",35243,28916,42512,43636,39395,41353,38831,49086,49805,48103,42506,53235,50716,50587,55433,60335,66974,78403,85856,82829,92270,90057
"10","3","  Agriculture, forestry, and fishing","A3003C0",163,125,177,155,72,47,79,53,55,48,73,41,73,91,148,106,136,231,249,130,230,233
"11","4","    Farms","B3004C0",159,121,175,149,65,40,73,46,49,42,48,-6,22,30,60,35,75,161,162,71,141,129
"12","5","    Agricultural services, forestry, and fishing","B3005C0",4,4,2,6,7,7,6,7,6,6,25,47,51,61,88,71,61,70,87,59,89,105
"13","6","  Mining","A3006C0",1517,1036,1502,1460,1188,1028,1137,1442,1526,1297,1004,746,863,967,787,1085,1109,945,961,739,843,777
"14","7","    Metal mining","B3007C0",282,139,297,309,188,239,233,369,387,229,162,15,130,185,108,177,217,181,279,-65,80,101
"15","8","    Coal mining","J3008C0",444,166,247,201,131,90,48,120,216,194,138,86,91,124,92,146,196,187,181,171,166,131
"16","9","    Oil and gas extraction","B3009C0",653,601,789,765,702,534,666,718,693,700,568,502,463,507,431,505,394,344,258,367,349,269
"17","10","    Nonmetallic minerals, except fuels","B3010C0",138,129,169,185,167,165,189,235,230,174,136,143,179,151,156,256,301,233,243,266,249,277
"18","11","  Construction","B3011C0",684,636,661,658,707,606,636,564,828,928,850,818,560,702,920,984,1283,1578,1701,1975,2032,1964
"19","12","  Manufacturing","E563RC0",19514,15411,24608,25773,21926,23896,21411,28543,28183,26741,21394,28556,26025,24917,28216,31423,34885,42680,46492,43186,48093,45312
"20","13","    Durable goods","E565RC0",9456,7874,13557,14265,12412,13520,11482,16280,15392,14974,10731,15085,13088,12288,15256,17517,19493,24992,26697,24179,27033,24895
"21","14","      Lumber and wood products","J3014C0",576,315,701,579,421,360,388,575,440,279,370,549,335,342,452,576,694,844,695,715,1235,1245
"22","15","      Furniture and fixtures","J3015C0",180,137,247,221,206,174,166,260,271,230,169,219,184,201,254,282,323,434,437,428,500,513
