"","Table 7#5# Consumption of Fixed Capital by Legal Form of Organiz","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 07, 2013 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/6/2013 2:53:19 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","      Consumption of fixed capital","A262RC1",124.9,136.8,148.9,160.9,178.1,206.2,237.5,259.2,288.3,325.1,371.1,426,485,534.3,560.5,594.3,636.7,682.2,728,782.4,836.1,886.8,931.1,959.7,1003.6,1055.6,1122.8,1176,1240,1310.3,1400.9,1514.2,1604,1662.1,1727.2,1831.7,1982,2136,2264.4,2363.4,2368.4,2381.6,2452.6,2542.9
"9","2","Private","A024RC1",89.4,98.3,107.6,117.5,131.5,153.2,178.8,196.5,221.1,252.1,290.7,335,381.9,420.4,438.8,463.5,496.4,531.6,566.3,608.3,650.1,689,722.4,744.2,780,824.3,882.6,931,990.1,1054.9,1135.9,1236.6,1317.7,1368,1422.4,1509.3,1635.3,1765,1865,1936.9,1925.7,1923.5,1974.4,2049.3
"10","3","  Domestic business","W276RC1",74.2,81.8,89.4,97.2,108.2,126.1,147.9,162.2,181.5,205.5,236.4,272.8,313.5,347.5,362.8,382.7,410.3,438.1,464.5,498.4,531.8,563.9,591.8,607.9,634.2,669,717.8,758.4,807.9,860.4,925,1006.5,1067.5,1101.4,1131.6,1185.9,1273.2,1368.8,1451.2,1522.3,1522.4,1523,1571.6,1639.4
"11","4","    Corporate business","A438RC1",55.7,61.8,67.6,73.4,82,96,113.5,125,140.5,159.3,183.4,212.1,244.9,272.5,285.9,303.2,326.9,349.9,371.3,399.4,427.2,455.3,480.9,496.2,519.8,550.4,593.6,629.8,674,719.3,774.6,844.5,894.9,920.5,941.5,982.7,1051.6,1128.6,1197.5,1259.2,1260.6,1262.5,1306,1365.7
"12","5","      Financial","B580RC1",2.2,2.5,2.9,3.3,3.8,4.7,5.8,6.8,7.9,9.1,10.9,13.2,15.8,18.6,21.3,24.2,27.9,32,36.6,41.7,47.1,52.3,56.4,58.5,61.8,65.7,69.9,72.4,75.6,81.1,91.2,102.6,109.5,115.9,123.5,132.5,141.7,149.2,157.2,165.3,168.6,167.9,170.2,177.5
"13","6","      Nonfinancial","B456RC1",53.5,59.3,64.7,70.2,78.2,91.4,107.7,118.3,132.6,150.2,172.4,198.9,229.1,253.9,264.6,279,299,317.9,334.7,357.7,380.1,403,424.5,437.8,457.9,484.8,523.7,557.4,598.4,638.2,683.4,741.9,785.3,804.7,818,850.2,909.9,979.4,1040.3,1093.9,1092,1094.6,1135.8,1188.2
"14","7","    Noncorporate business","W277RC1",18.5,20,21.8,23.7,26.2,30.1,34.4,37.2,41.1,46.2,53,60.7,68.6,75,76.9,79.5,83.4,88.3,93.2,99,104.6,108.6,110.9,111.6,114.5,118.6,124.1,128.6,133.9,141.1,150.4,162,172.7,180.9,190.1,203.2,221.6,240.2,253.7,263.1,261.8,260.6,265.6,273.7
"15","8","      Sole proprietorships and partnerships","A1615C1",14.9,16.2,17.7,19.2,21.2,24.4,28,30.3,33.4,37.5,43,49.3,56.1,61.8,63.4,65.5,68.7,72.5,76.4,81.2,86,89.3,91.1,91.6,93.6,97,101.6,105.4,109.9,116.2,124.2,134.3,143.3,150.3,157.6,167.8,182.8,198.4,210.7,220.4,220.9,220.3,225.4,233.3
"16","9","        Farm","B1616C1",4.5,4.8,5.1,5.5,6,7,8.3,9.3,10.4,11.6,13.2,15.1,16.6,17.5,17.4,17.1,16.6,16.3,15.9,15.8,16,16.3,16.5,16.5,16.4,16.8,17.3,17.7,18.2,18.8,19.1,19,19,18.8,19,19.7,20.8,21.8,22.5,23.5,24.1,24.4,25.6,26.6
"17","10","        Nonfarm","B1617C1",10.4,11.5,12.6,13.7,15.2,17.4,19.7,21,23,25.9,29.8,34.2,39.6,44.3,46.1,48.4,52.1,56.2,60.5,65.5,70,73,74.6,75.1,77.2,80.2,84.3,87.7,91.7,97.3,105.1,115.3,124.3,131.4,138.6,148.2,162,176.7,188.2,196.9,196.7,195.9,199.8,206.6
"18","11","      Other private business","A1618C1",3.6,3.8,4.1,4.5,5,5.7,6.4,6.9,7.7,8.8,10,11.4,12.5,13.2,13.5,14,14.7,15.8,16.8,17.8,18.6,19.3,19.7,20,20.9,21.6,22.5,23.2,24,24.9,26.2,27.8,29.4,30.6,32.5,35.4,38.8,41.8,43,42.7,41,40.3,40.2,40.4
"19","12","        Rental income of persons","B1620C1",3.2,3.3,3.6,4,4.5,5.1,5.6,6.1,6.7,7.7,8.9,10,11,11.6,11.9,12.5,13.1,14,15,15.9,16.7,17.3,17.7,17.9,18.7,19.4,20.2,20.9,21.7,22.6,23.9,25.5,27.1,28.4,30.4,33.2,36.5,39.5,40.5,40.1,38.4,37.7,37.5,37.7
"20","13","          Nonfarm tenant-occupied housing","B2608C1",2.9,3.1,3.3,3.7,4.1,4.7,5.2,5.7,6.3,7.3,8.4,9.5,10.4,11,11.3,11.8,12.3,13.2,14.1,14.9,15.6,16.2,16.5,16.8,17.5,18.2,18.9,19.6,20.3,21.2,22.4,23.8,25.4,26.5,28.3,31,34.2,37,38,37.5,35.8,35.2,35.1,35.2
"21","14","          Farm tenant-occupied housing","W278RC1",0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"22","15","          Farms owned by nonoperator landlords","B2609C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2
