"","Table 6#9B# Hours Worked by Full-Time and Part-Time Employees by","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Millions of hours]                                                                                                                                                                                                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 3:06:25 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Hours worked by full-time and part-time employees","B4701C0",99119,95610,100064,108525,110757,112184,107712,111238,113637,113304,109709,113164,114721,114607,118097,120093,122889,127604,133972,136172,139143,143024
"9","2","Domestic industries","B4702C0",99104,95641,100072,108639,110898,112346,107976,111525,113932,113581,109975,113443,115018,114867,118286,120243,123020,127648,134003,136203,139176,143070
"10","3","  Private industries","B4703C0",85994,81615,85610,90507,91235,92832,88794,92621,94903,94209,90561,94214,95250,94412,97022,98606,100684,104577,109020,109879,112041,115449
"11","4","    Agriculture, forestry, and fishing","B4704C0",6159,5720,5949,5778,5557,5370,5064,4997,4663,4442,4464,4372,4402,4428,4315,4291,3898,3702,3396,3152,3053,3073
"12","5","      Farms","B4705C0",5870,5434,5656,5465,5237,5064,4758,4693,4350,4129,4157,4068,4076,4079,3942,3898,3482,3256,2934,2668,2549,2552
"13","6","      Agricultural services, forestry, and fishing","B4706C0",289,286,293,313,320,306,306,304,313,313,307,304,326,349,373,393,416,446,462,484,504,521
"14","7","    Mining","B4707C0",1897,1638,1713,1766,1718,1657,1487,1572,1657,1625,1415,1398,1363,1300,1279,1261,1259,1281,1283,1244,1237,1279
"15","8","    Construction","B4708C0",4537,4278,4701,5323,5496,5333,5224,5498,5831,5611,5438,5723,5627,5609,5771,5980,6200,6513,6742,6675,6853,7273
"16","9","    Manufacturing","B4709C0",30409,27750,30123,32600,33219,34716,31815,33621,34139,33570,30636,32734,32607,31762,33201,33510,34212,36047,38540,38440,38928,39544
"17","10","      Durable goods","J4710C0",16411,14469,16213,18385,19003,20243,17956,19241,19673,19373,17063,18534,18457,17717,18819,19117,19642,20981,22876,22768,22968,23385
"18","11","      Nondurable goods","J4711C0",13998,13281,13910,14215,14216,14473,13859,14380,14466,14197,13573,14200,14150,14045,14382,14393,14570,15066,15664,15672,15960,16159
"19","12","    Transportation and public utilities","B4712C0",8506,7931,7848,8266,8233,8330,7946,8140,8338,8285,7735,7809,7802,7613,7640,7660,7788,7966,8235,8301,8440,8691
"20","13","      Transportation","J4713C0",6113,5543,5466,5789,5720,5730,5336,5471,5558,5481,5025,5125,5087,4926,4949,4953,5026,5118,5277,5290,5375,5432
"21","14","      Communication","B4714C0",1367,1347,1330,1394,1429,1493,1500,1550,1639,1658,1549,1530,1553,1526,1533,1541,1588,1654,1748,1779,1810,1970
"22","15","      Electric, gas, and sanitary services","J4715C0",1026,1041,1052,1083,1084,1107,1110,1119,1141,1146,1161,1154,1162,1161,1158,1166,1174,1194,1210,1232,1255,1289
"23","16","    Wholesale trade","J4716C0",5461,5282,5304,5608,5701,5749,5684,5818,6037,6058,6021,6198,6335,6360,6472,6563,6721,6996,7277,7395,7545,7816
"24","17","    Retail trade","J4717C0",13213,13210,13563,14362,14449,14465,14371,14712,15084,15035,14855,15387,15807,15599,15959,16351,16848,17411,17956,18305,18792,19444
"25","18","    Finance, insurance, and real estate","J4718C0",3280,3327,3469,3620,3750,3896,4023,4212,4390,4488,4575,4687,4826,4932,5039,5177,5331,5532,5695,5863,6166,6453
"26","19","    Services","J4719C0",12532,12479,12940,13184,13112,13316,13180,14051,14764,15095,15422,15906,16481,16809,17346,17813,18427,19129,19896,20504,21027,21876
"27","20","  Government","B4720C0",13110,14026,14462,18132,19663,19514,19182,18904,19029,19372,19414,19229,19768,20455,21264,21637,22336,23071,24983,26324,27135,27621
"28","21","    General government","B4721C0",11624,12457,12899,16500,17873,17764,17431,17144,17256,17558,17549,17312,17785,18430,19207,19559,20209,20879,22650,23917,24664,25084
"29","22","    Government enterprises","B4722C0",1486,1569,1563,1632,1790,1750,1751,1760,1773,1814,1865,1917,1983,2025,2057,2078,2127,2192,2333,2407,2471,2537
"30","23","Rest of the world","B4723C0",15,-31,-8,-114,-141,-162,-264,-287,-295,-277,-266,-279,-297,-260,-189,-150,-131,-44,-31,-31,-33,-46
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
