"","Table 3#13# Subsidies                                           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1960 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2004   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2005 9:32:06 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8","1","    Subsidies","A107RC1",1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.2,4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15,21.2,21,21.3,24.8,30.2,29.4,27.2,26.8,27.3,29.9,36.4,32.2,34,34.3,32.9,35.4,44.2,44.3,55.3,38.2,46.7
"9","2","Federal","B096RC1",1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.1,4.5,4.8,4.6,6.6,5.1,3.2,4.3,4.9,6.9,8.7,8.2,9.4,11.1,14.5,20.8,20.6,20.9,24.5,29.9,29,26.8,26.4,26.9,29.5,36,31.8,33.7,34,32.4,35,43.8,43.8,47.6,37.2,46.4
"10","3","  Agricultural","L312041",0.7,1.5,1.7,1.7,2.2,2.5,3.3,3.1,3.5,3.8,3.7,3.1,4,2.6,0.5,0.8,0.7,1.8,3,1.4,1.3,1.9,3.5,9.3,8.4,7.7,11.8,16.7,14.5,10.9,9.3,8.2,9.2,13.4,7.9,7.3,7.3,7.5,12.4,21.5,22.9,20.7,11,15.9
