"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2001 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 28, 2005    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2005 9:43:28 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","      National income without capital consumption adjustment","A422RC1",8893.9,8904.8,8787.2,8833.6,8916.1,9006.7,9030.3,9094.1,9189.3,9287.5,9462.1,9647.7,9744.7,9883.2,9938.5,10178.4,NA
"10","2","Domestic industries","A423RC1",8855.1,8860.3,8770.5,8759,8892.6,8990.8,9005.2,9050.4,9152.6,9242.4,9410.5,9560.6,9671.2,9847,9900.4,10150.5,NA
"11","3","  Private industries","A736RC1",7823.9,7816.9,7710.4,7682.3,7792.1,7876.5,7874.3,7903.4,7984.1,8064.5,8222.2,8363.9,8455.9,8626.4,8670.8,8914.2,NA
"12","4","    Agriculture, forestry, fishing, and hunting","N5004C1",67.6,67.5,68.7,73.6,67.2,68.4,66.7,65.2,67.6,76.9,78.1,80.5,76.5,79.4,74.1,81.1,NA
"13","5","    Mining","N5005C1",112.8,109.4,99.8,82.2,77,76.9,78.9,83.5,91.3,92.7,95.7,99.7,100.3,105.6,108.1,121.2,NA
"14","6","    Utilities","N5006C1",145.6,147.5,155.3,148.3,142.2,146,146.9,148.9,153.3,151.1,156.8,162.9,164.4,165.1,164.8,173.4,NA
"15","7","    Construction","N5007C1",459.8,464.9,466.5,462.1,460.5,458.6,460,464.4,467.9,470.4,479,488.5,492,504.5,518.7,528.9,NA
"16","8","    Manufacturing","N5008C1",1169.4,1133.3,1074.8,998.8,1052,1077.9,1085,1084.3,1092,1090.9,1111.2,1158.2,1145.9,1177.3,1202.9,1258.3,NA
