"","Table 6#5D# Full-Time Equivalent Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9"
"1","[Thousands]",NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2003",NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2004   ",NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2005 9:44:55 AM",NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003
"8","1","      Full-time equivalent employees \1\","A4301C0",118823,121656,124319,124608,123299,122792
"9","2","Domestic industries","A4302C0",119224,122097,124707,125144,123865,123364
"10","3","  Private industries","A4303C0",100521,103248,105579,105670,104014,103353
"11","4","    Agriculture, forestry, fishing, and hunting","N4304C0",1141,1174,1181,1366,1370,1326
"12","5","      Farms \2\","N4305C0",663,662,664,746,759,716
"13","6","      Forestry, fishing, and related activities","N4306C0",478,513,517,620,611,610
"14","7","    Mining","N4307C0",558,510,511,530,503,494
"15","8","      Oil and gas extraction","N4308C0",128,113,118,123,121,120
"16","9","      Mining, except oil and gas","N4309C0",241,231,222,220,210,199
"17","10","      Support activities for mining","N4310C0",189,165,171,187,172,175
"18","11","    Utilities","N4311C0",595,597,593,595,587,569
"19","12","    Construction","N4312C0",6197,6638,6907,6853,6743,6723
"20","13","    Manufacturing","N4313C0",17225,17045,16947,16190,15049,14308
"21","14","      Durable goods","N4314C0",10779,10704,10713,10193,9363,8860
"22","15","        Wood products","N4315C0",597,618,606,576,566,544
"23","16","        Nonmetallic mineral products","N4316C0",531,535,545,535,510,491
"24","17","        Primary metals","N4317C0",625,609,611,560,499,466
"25","18","        Fabricated metal products","N4318C0",1728,1729,1738,1645,1524,1457
"26","19","        Machinery","N4319C0",1479,1433,1420,1348,1211,1136
"27","20","        Computer and electronic products","N4320C0",1831,1786,1813,1728,1480,1337
"28","21","        Electrical equipment, appliances, and components","N4321C0",565,552,568,548,490,456
"29","22","        Motor vehicles, bodies and trailers, and parts","N4322C0",1269,1289,1283,1198,1141,1113
"30","23","        Other transportation equipment","N4323C0",792,769,736,714,666,638
"31","24","        Furniture and related products","N4324C0",637,657,664,630,592,558
"32","25","        Miscellaneous manufacturing","N4325C0",725,727,728,711,684,663
"33","26","      Nondurable goods","N4326C0",6446,6341,6235,5997,5687,5447
"34","27","        Food and beverage and tobacco products","N4327C0",1706,1716,1719,1718,1698,1668
"35","28","        Textile mills and textile product mills","N4328C0",666,620,584,521,476,436
"36","29","        Apparel and leather and allied products","N4329C0",652,596,538,486,408,360
"37","30","        Paper products","N4330C0",616,607,596,564,531,501
"38","31","        Printing and related support activities","N4331C0",774,775,767,764,707,671
"39","32","        Petroleum and coal products","N4332C0",129,126,120,118,117,113
"40","33","        Chemical products","N4333C0",966,967,968,946,912,892
"41","34","        Plastics and rubber products","N4334C0",938,935,942,880,839,805
"42","35","    Wholesale trade","N4335C0",5664,5766,5840,5577,5449,5454
"43","36","      Durable goods","N4336C0",3378,3438,3482,3319,3198,3182
"44","37","      Nondurable goods","N4337C0",2286,2328,2358,2258,2251,2272
"45","38","    Retail trade","N4338C0",12396,12809,13122,13667,13511,13400
"46","39","      Motor vehicle and parts dealers","N4339C0",1529,1584,1618,1673,1687,1687
"47","40","      Food and beverage stores","N4340C0",2382,2459,2522,2641,2577,2547
"48","41","      General merchandise stores","N4341C0",2262,2337,2399,2543,2533,2525
"49","42","      Other retail \3\","N4342C0",6223,6428,6582,6810,6715,6641
"50","43","    Transportation and warehousing","N4343C0",3917,4041,4124,4188,4041,3989
"51","44","      Air transportation","N4344C0",545,566,589,584,533,501
"52","45","      Rail transportation","N4345C0",208,208,198,191,183,178
"53","46","      Water transportation","N4346C0",51,51,53,51,51,52
"54","47","      Truck transportation","N4347C0",1247,1296,1323,1341,1297,1283
"55","48","      Transit and ground passenger transportation","N4348C0",349,361,357,381,383,382
"56","49","      Pipeline transportation","N4349C0",44,45,44,43,40,38
"57","50","      Other transportation and support activities \4\","N4350C0",1020,1049,1086,1113,1069,1060
"58","51","      Warehousing and storage","N4351C0",453,465,474,486,486,495
"59","52","    Information","N4352C0",3066,3194,3343,3398,3182,2995
"60","53","      Publishing industries (includes software)","N4353C0",997,1015,1036,971,913,876
"61","54","      Motion picture and sound recording industries","N4354C0",305,317,316,321,333,322
"62","55","      Broadcasting and telecommunications","N4355C0",1294,1358,1453,1603,1483,1378
"63","56","      Information and data processing services","N4356C0",469,504,538,503,453,419
"64","57","    Finance and insurance","N4357C0",5389,5481,5470,5603,5618,5745
"65","58","      Federal Reserve banks, credit intermediation, and related activities","N4358C0",2404,2438,2396,2505,2574,2686
"66","59","      Securities, commodity contracts, and investments","N4359C0",768,809,859,826,780,753
"67","60","      Insurance carriers and related activities","N4360C0",2139,2154,2134,2189,2181,2226
"68","61","      Funds, trusts, and other financial vehicles","N4361C0",78,80,81,84,83,81
"69","62","    Real estate and rental and leasing","N4362C0",1756,1818,1847,1927,1920,1933
"70","63","      Real estate","N4363C0",1179,1210,1213,1292,1322,1341
"71","64","      Rental and leasing services and lessors of intangible assets \5\","N4364C0",577,609,634,635,599,592
"72","65","    Professional, scientific, and technical services","N4365C0",6485,6795,7114,6933,6697,6652
"73","66","      Legal services","N4366C0",1157,1197,1212,1184,1206,1230
"74","67","      Computer systems design and related services","N4367C0",1129,1211,1294,1220,1081,1043
"75","68","      Miscellaneous professional, scientific, and technical services \6\","N4368C0",4198,4387,4608,4529,4411,4379
"76","69","    Management of companies and enterprises \7\","N4369C0",1595,1621,1647,1638,1616,1621
"77","70","    Administrative and waste management services","N4370C0",6550,6985,7419,7114,6996,6950
"78","71","      Administrative and support services","N4371C0",6258,6687,7118,6805,6688,6643
"79","72","      Waste management and remediation services","N4372C0",292,298,300,308,308,307
"80","73","    Educational services","N4373C0",2039,2117,2199,2285,2369,2417
