"","Table 5#6#5B# Change in Private Inventories by Industry         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 28, 2005    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2005 9:41:06 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","    Change in private inventories","A014RC1",44.4,88.5,72.5,82.7,115.5,46.9,60.7,59.9,82.2,38.1,49.1,98.2,29.9,96.3,58.4,41.4,-9.9,-7,-31.8,-78.2,-8.9,14,19.1,20.4,10.6,-15.3,-3.7,3.5,36.2,59,31.6,46.7,82.4
"10","2","Farm","B018RC1",-0.8,0.5,8.4,4.8,6,-4.7,0.5,3.6,6,-0.5,-10.9,-5.3,-11.5,3.3,-0.8,3.7,3,-5.1,-0.3,2.3,3,-0.9,-4.2,-4,1.9,0.9,-0.9,-0.9,1,-2.4,-0.2,-2.6,-6.4
"11","3","Mining, utilities, and construction","N541RC1",0.4,4.9,4.3,-0.8,5.9,6.5,4.5,8.3,2.6,0.7,-2.3,-3.2,3.8,-2.2,0.3,-8.6,9.7,13.8,9.8,9.4,-0.1,-7.2,-4.4,-5.3,-2.6,-1.8,1.4,3.8,-5.2,-2,5.5,0.9,0.4
"12","4","Manufacturing","N150RC1",15.2,23.4,21.8,23.5,33.1,19,10.8,10,13.3,7.7,15.5,29.4,-2.7,19.8,3.8,10.7,-8.6,-23.9,-28.5,-23.8,-14.5,-11.7,1.3,-4.6,-12.3,-15.1,-20.6,-13.5,3.2,9.6,7.2,5.2,32.4
"13","5","  Durable goods industries","N624RC1",10.5,17,15.6,13.3,29.6,19.6,12.5,10.1,8.4,-0.1,9,16.2,-5.3,14.7,3.5,16.1,-4.4,-16.2,-26.6,-24.6,-18.9,-12.6,-7,1.5,-12.2,-13.6,-17.6,-1.9,-2.2,6,8.2,4,19.2
"14","6","  Nondurable goods industries","N625RC1",4.7,6.5,6.2,10.2,3.5,-0.6,-1.7,-0.2,4.9,7.8,6.5,13.2,2.5,5.1,0.3,-5.4,-4.2,-7.8,-1.9,0.9,4.5,0.9,8.3,-6.1,-0.2,-1.5,-3.1,-11.6,5.4,3.6,-1,1.2,13.2
"15","7","Wholesale trade","N658RC1",23.1,33.6,16.1,30,28.8,10.1,29.5,20.4,19.4,8.7,23.3,25.2,19.4,24.9,14.5,11.6,0.9,2.8,-17.9,-27.9,-14,0.7,9.6,2.4,-2.4,-4.8,2.2,3.8,8.8,21.2,35.3,24.2,34.5
"16","8","  Durable goods industries","N661RC1",16.5,28.9,7.5,16.4,25.5,4.9,20.7,17.6,13,9.9,11.5,18.8,12.8,23.1,5.8,6.1,0.2,-16.8,-20.7,-25.9,-14.8,-3,11.9,2,1.6,-5.7,-6.8,9.6,11.1,16.7,28.1,15.5,25.2
"17","9","  Nondurable goods industries","N664RC1",6.6,4.6,8.6,13.6,3.2,5.2,8.7,2.8,6.3,-1.2,11.8,6.5,6.7,1.8,8.7,5.5,0.7,19.5,2.8,-2,0.8,3.7,-2.4,0.5,-4,0.9,9,-5.8,-2.3,4.5,7.2,8.6,9.3
"18","10","Retail trade","N153RC1",-1.9,21.5,18.9,19.9,38.8,10.9,10,8.4,33.4,12.4,16.4,47.2,8.1,36.4,23.1,18.9,-17.1,5.9,5.3,-37.4,19.9,31.8,18.5,34.5,27.9,1,13.7,9.5,25.6,30.2,-20.4,15.7,17.1
"19","11","  Motor vehicle and parts dealers","N631RC1",-3.9,4.5,7.1,12.3,14.8,-0.3,-3.7,-1.9,20.9,0.4,7.6,22.8,4.2,24.3,16,4.7,-21.2,9.6,7,-30.7,19.6,20.4,5.3,29.3,20.4,0.7,4.1,-0.8,17.9,16.4,-22.2,-7.1,1
"20","12","  Food and beverage stores","N542RC1",0.3,0,1.8,-0.8,2.2,1.9,0,0.7,1.7,0.9,2.8,1.9,0.2,-1.7,0.7,0.1,1.6,0.7,-0.5,1.2,-1.1,1,1.7,1.1,0.3,-0.6,0.8,-2.3,0.3,1.8,-0.1,0.8,0.1
"21","13","  General merchandise stores","N543RC1",-2.9,3.2,-1.2,1.6,1.9,0.5,2.7,-1.6,2.1,0.9,2.4,5.3,0.7,2,-1,2.6,6.3,0.3,-1.9,-5.2,-3,0.8,3.7,4.8,-1.1,0,0.6,3.3,3,2.8,0.3,7.4,3.1
"22","14","  Other retail stores","N558RC1",4.6,13.9,11.2,6.8,19.9,8.8,11,11.3,8.7,10.2,3.6,17.2,3,11.7,7.4,11.5,-3.7,-4.7,0.7,-2.7,4.4,9.6,7.8,-0.8,8.3,1,8.2,9.3,4.4,9.2,1.6,14.6,12.9
"23","15","Other industries","N154RC1",8.5,4.5,3,5.3,2.9,5.1,5.5,9.3,7.6,9.1,7,4.8,12.8,14.2,17.5,5.1,2.2,-0.5,-0.2,-0.7,-3.3,1.3,-1.7,-2.7,-1.9,4.4,0.5,0.8,2.8,2.3,4.2,3.4,4.4
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","16","  Change in private inventories","A014RC1",44.4,88.5,72.5,82.7,115.5,46.9,60.7,59.9,82.2,38.1,49.1,98.2,29.9,96.3,58.4,41.4,-9.9,-7,-31.8,-78.2,-8.9,14,19.1,20.4,10.6,-15.3,-3.7,3.5,36.2,59,31.6,46.7,82.4
"26","17","    Durable goods industries","N355RC1",25.7,55,34.6,44.4,76,28.4,34.1,32.6,48,14.1,32,65.8,18,67.1,29.3,29.8,-23.7,-24.1,-39.4,-79.8,-6.5,6.9,13.3,39,15.6,-15.1,-13.2,14.9,31.2,47.4,16.1,24.4,53.4
"27","18","    Nondurable goods industries","N357RC1",18.7,33.5,37.8,38.3,39.5,18.5,26.7,27.3,34.1,24,17.1,32.4,11.9,29.2,29.1,11.6,13.8,17.1,7.6,1.6,-2.5,7.1,5.8,-18.6,-5,-0.3,9.5,-11.4,5,11.6,15.5,22.3,29
"28","19","  Nonfarm industries","A015RC1",45.2,88,64.1,77.9,109.5,51.6,60.2,56.3,76.2,38.7,60,103.5,41.3,93,59.2,37.7,-12.9,-1.9,-31.5,-80.5,-11.9,14.9,23.3,24.4,8.7,-16.2,-2.8,4.5,35.2,61.4,31.8,49.3,88.8
"29","20","    Nonfarm change in book value \1\","B016RC1",23.5,64,44.3,64.3,75.7,32,31,30.5,51.8,36.8,74.8,122.8,73.5,112.8,68.8,60.7,-14.8,-15,-64.5,-118.4,-30.1,19.9,35.1,43.2,56.7,-21.2,0.3,31.7,82,119.2,73.8,114.5,128.4
"30","21","    Nonfarm inventory valuation adjustment \2\","B017RC1",21.7,23.9,19.8,13.5,33.8,19.6,29.2,25.8,24.4,1.8,-14.8,-19.3,-32.1,-19.8,-9.6,-23,1.8,13.1,33,37.9,18.3,-5,-11.8,-18.8,-48,5,-3.1,-27.2,-46.8,-57.8,-42,-65.2,-39.7
"31","22","  Wholesale trade","N658RC1",23.1,33.6,16.1,30,28.8,10.1,29.5,20.4,19.4,8.7,23.3,25.2,19.4,24.9,14.5,11.6,0.9,2.8,-17.9,-27.9,-14,0.7,9.6,2.4,-2.4,-4.8,2.2,3.8,8.8,21.2,35.3,24.2,34.5
"32","23","    Merchant wholesale trade","N151RC1",19.4,29.4,15.7,27.1,25.9,10.2,27.9,16.7,17.3,5.6,21,24.4,18.1,22.1,11.2,8.9,0.5,3.3,-12.2,-24.9,-12.5,0.7,6.3,0.8,1.9,-4.3,4.4,4.2,7.6,16.5,31.5,23.8,25.6
"33","24","      Durable goods industries","N626RC1",13.3,25.7,7.8,14.7,22.4,5.3,18.9,14.4,11.3,7,10.8,18.6,11.9,21.3,3,3.8,-0.2,-16.3,-16.1,-23,-13.5,-3.3,9.7,1.1,4.5,-4.7,-4.7,9.5,10.4,15.3,24.6,15.8,18.6
