"","Table 7#21# Transactions of Defined Benefit Pension Plans       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1984 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/28/2015 1:25:58 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","Current receipts, accrual basis","Y601RC1",386.4,402.5,432.5,457.7,479.5,521,551.4,570.4,606.9,608.6,634,660.9,663.4,684.1,679.9,681.9,684.8,731.5,792.9,846.1,882.4,897.3,924.5,965.3,1048.6,1118.8,1118.9,1129.9,1163.9,1145.3
"9","2","  Output \1\","Y616RC1",3,3.8,4.2,4.2,4.5,4.7,5.2,5.6,5.9,6.4,7,7.6,9.4,10.3,11,11.4,13.3,14.7,15,15.1,17.1,18.5,21.9,23.9,20.6,17.9,19.7,20.3,21.6,22
"10","3","  Contributions","Y602RC1",242.3,252.8,269.5,282.7,295.9,325.1,342.9,355.7,385.6,386.7,401.6,416.5,419.4,433.2,436.5,442.7,447.8,477,513.2,547.3,575.8,585.2,601.8,628.1,677.7,719.1,728,732.3,748.7,739.6
"11","4","    Claims to benefits accrued through service to employers","Y612RC1",101.3,106.8,110.7,111.8,116.9,133.9,139.6,146.7,170.1,171.2,176.1,179.7,184.8,192.6,204.1,215,224.2,237.3,248.5,263.6,286.2,291.6,300.9,314.9,327.4,337.3,356.8,355,355.1,355.9
"12","5","      Actual employer contributions","Y603RC1",116.6,117.2,112.1,110.4,108,109.4,109.4,119.3,126.1,131.7,140.2,143,137.9,134,138.5,133.7,138.7,155.3,197.8,244,229.9,236.8,249.2,258.9,310.7,333.9,362.1,380.2,382.2,379.2
"13","6","      Imputed employer contributions","Y604RC1",-28.6,-23.4,-14.5,-11.9,-4.6,10.5,15.6,12.3,28.2,23.4,19.6,19.7,30.6,42.3,48.9,63.2,67.8,64.3,31.7,-0.9,37,36.1,34.9,39.2,-5.8,-22.9,-30.1,-51.5,-53.5,-50.6
"14","7","      Actual household contributions","Y605RC1",16.3,16.8,17.3,17.5,18,18.8,19.8,20.8,21.6,22.5,23.3,24.6,25.6,26.6,27.7,29.5,31.1,32.4,33.9,35.6,36.3,37.1,38.7,40.7,43.1,44.1,44.5,46.7,47.9,49.4
"15","8","      Less: Pension service charges \1\","Y616RC1",3,3.8,4.2,4.2,4.5,4.7,5.2,5.6,5.9,6.4,7,7.6,9.4,10.3,11,11.4,13.3,14.7,15,15.1,17.1,18.5,21.9,23.9,20.6,17.9,19.7,20.3,21.6,22
"16","9","    Household pension contribution supplements \2\","Y606RC1",141.1,146,158.8,170.8,179.1,191.2,203.3,209,215.5,215.5,225.5,236.8,234.7,240.6,232.4,227.7,223.6,239.8,264.7,283.7,289.6,293.6,300.9,313.2,350.3,381.8,371.2,377.3,393.7,383.7
"17","10","  Income receipts on assets (including plans' claims on employers)","Y606RC1",141.1,146,158.8,170.8,179.1,191.2,203.3,209,215.5,215.5,225.5,236.8,234.7,240.6,232.4,227.7,223.6,239.8,264.7,283.7,289.6,293.6,300.9,313.2,350.3,381.8,371.2,377.3,393.7,383.7
"18","11","    Interest","Y607RC1",126.9,130,142.1,153.2,160.8,170.9,181.1,184.6,189,187.6,196,205.2,199.8,203.6,195.4,190.8,187.3,204.5,230.5,247.8,246.5,243.3,243.9,250.7,289.1,328.3,318,323.5,336.4,322.2
"19","12","      Monetary interest","Y608RC1",69.2,80.4,88.8,94.5,98,107.3,113.6,119.1,115.7,116.2,125.7,137.6,142.3,154.8,158,161.7,156.6,142.4,137.6,140.8,138.6,138.7,141.4,149.2,142.6,129.3,123.1,128.4,125.9,126.3
"20","13","      Imputed interest on plans' claims on employers \3\","Y609RC1",57.7,49.6,53.3,58.7,62.8,63.6,67.5,65.5,73.3,71.4,70.2,67.7,57.5,48.7,37.4,29.2,30.7,62.1,92.8,107,107.9,104.6,102.6,101.5,146.5,199.1,194.9,195.2,210.5,195.9
"21","14","    Dividends","Y610RC1",14.2,16,16.7,17.6,18.2,20.2,22.2,24.4,26.5,27.9,29.5,31.6,34.9,37.1,37,36.9,36.2,35.2,34.3,35.9,43.1,50.3,56.9,62.5,61.2,53.5,53.2,53.7,57.3,61.5
"22","15","Current expenditures, accrual basis","Y601RC1",386.4,402.5,432.5,457.7,479.5,521,551.4,570.4,606.9,608.6,634,660.9,663.4,684.1,679.9,681.9,684.8,731.5,792.9,846.1,882.4,897.3,924.5,965.3,1048.6,1118.8,1118.9,1129.9,1163.9,1145.3
