"","Table 6#12B# Nonfarm Proprietors' Income by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/28/2015 1:18:14 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","     Nonfarm proprietors' income","B046RC0",64995,65947,71830,78981,85516,92823,98882,116219,130657,148340,159103,161702,157204,154370,167796,185279,189100,197927,228075
"9","2","Agricultural services, forestry, and fishing","J1800C0",1350,1368,1582,1778,1980,2259,2368,2753,2098,2391,2817,3131,3011,3024,3772,3773,4115,4246,5666
"10","3","Mining","J1801C0",451,543,384,691,1129,2934,3806,3163,5111,4482,5328,7424,7832,7162,3130,3677,3846,-2068,-1572
"11","4","Construction","J1802C0",7579,7588,8843,10516,11731,12607,13039,17607,17788,21309,21842,23891,22397,23389,26391,32501,33459,38189,42723
