"","Table 6#11D# Employer Contributions for Employee Pension and Ins","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/28/2015 1:18:10 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","      Employer contributions for employee pension and insurance funds","B040RC0",588970,628964,685496,734124,779455,844099,908912,966789,997575,1041424,1075074,1077473,1114562,1141985,1160515,1193908
"9",NA,"          By industry"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2","Domestic industries","B040RC0",588970,628964,685496,734124,779455,844099,908912,966789,997575,1041424,1075074,1077473,1114562,1141985,1160515,1193908
"11","3","  Private industries","B4903C0",399418,421120,462679,489054,516469,549655,580265,618148,633772,659255,674698,663224,660818,678765,695047,720867
"12","4","    Agriculture, forestry, fishing, and hunting","N4904C0",1598,2641,2095,2710,2704,2662,4043,3212,4265,4418,4204,5052,4204,4243,5005,4626
"13","5","    Mining","N4905C0",4140,4078,4127,3973,3046,3837,4577,4392,6215,5806,6645,6536,6690,6723,8444,8607
"14","6","    Utilities","N4906C0",5932,8919,9284,11413,12044,10821,11818,11405,14420,14021,14934,14844,15495,16826,13960,15668
"15","7","    Construction","N4907C0",23174,24405,28766,29525,28817,32004,33970,36408,35103,38524,38649,35127,33777,31769,34199,35562
"16","8","    Manufacturing","N4908C0",99680,109807,115812,112594,115702,121451,126101,130278,130938,137383,137257,125127,122923,122530,127276,127702
"17","9","      Durable goods","N4909C0",65638,72912,78452,72390,75328,77641,82794,85249,84928,89595,88292,80305,76078,76776,79426,78941
"18","10","      Nondurable goods","N4910C0",34041,36895,37360,40204,40375,43809,43307,45029,46010,47788,48965,44822,46845,45754,47850,48762
"19","11","    Wholesale trade","N4911C0",29144,24115,25660,25443,27060,26725,28031,31744,31493,32827,33906,32008,33043,36292,36700,38006
"20","12","    Retail trade","N4912C0",35925,32117,32632,33700,39779,46780,46107,50592,50080,51024,51305,47522,46038,48969,46619,52817
"21","13","    Transportation and warehousing","N4913C0",21389,22781,24854,25236,25816,27039,28548,30501,29293,32558,30237,31338,32196,33515,34835,34443
"22","14","    Information","N4914C0",17257,19709,18757,21273,23349,29549,30496,30523,28205,31943,29431,35529,30475,31880,32104,31285
"23","15","    Finance, insurance, real estate, rental, and leasing","N4915C0",44567,46472,49894,55406,59447,53224,58395,67646,68357,70649,74407,65029,69309,71781,71918,72900
"24","16","    Professional and business services \1\","N4916C0",48095,44908,66279,76074,76517,82107,80462,89073,99679,99267,105507,105630,109407,108261,111792,120306
"25","17","    Educational services, health care, and social assistance","N4918C0",45415,53515,54252,58843,66791,75560,86049,91842,97749,98411,104538,115265,117988,124957,126612,131502
"26","18","    Arts, entertainment, recreation, accommodation, and food services","N4919C0",9839,14462,15277,16926,17598,20529,22974,22345,20601,23083,22699,22284,21505,22628,26016,26356
"27","19","    Other services, except government","N4929C0",13259,13188,14990,15940,17800,17366,18694,18186,17374,19343,20978,21931,17766,18391,19567,21084
"28","20","  Government","B4918C0",189555,207846,222817,245070,262986,294444,328647,348641,363804,382169,400376,414249,453744,463220,465467,473041
"29","21","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,"          By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
