"","Table 6#16D# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 29, 2015      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/28/2015 1:19:00 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",804.1,830.2,781.2,754,907.2,1056.4,1283.3,1477.7,1646.5,1529,1285.1,1397,1746.4,1816.6,2022.8,2106.9,2089.8
"9","2","Domestic industries","A445RC1",701.3,708.2,635,583.6,748.4,889.7,1078.3,1238.7,1390.3,1175.6,878.4,1039.8,1351.2,1394.7,1621,1703.8,1695.8
"10","3","  Financial \1\","N587RC1",143.5,161.8,154.9,201.7,280,306.3,336.1,367.7,375.3,261,64.1,321.7,368.2,355.7,451.5,490,448.6
"11","4","  Nonfinancial","N463RC1",557.8,546.4,480.1,382,468.4,583.4,742.2,870.9,1015,914.6,814.3,718.1,983,1039,1169.4,1213.8,1247.2
"12","5","Rest of the world","B394RC1",102.8,122,146.2,170.4,158.8,166.6,205,239.1,256.2,353.4,406.7,357.2,395.2,421.9,401.8,403.1,394.1
"13","6","  Receipts from the rest of the world","B933RC1",146.8,177.3,203,183.3,205.3,250,328.2,383.7,433.8,510.4,582,498.1,584.6,644.3,644.3,657.1,668.8
"14","7","  Less: Payments to the rest of the world","B934RC1",44,55.3,56.9,12.9,46.5,83.4,123.1,144.6,177.6,157,175.3,140.9,189.4,222.4,242.5,254,274.8
"15","8","    Corporate profits with inventory valuation adjustment","A052RC1",743.8,762.2,730.3,698.7,795.1,959.9,1215.2,1621.2,1815.7,1708.9,1345.5,1479.2,1799.7,1738.5,2126.6,2238.7,2419.5
"16","9","Domestic industries","A390RC1",641.1,640.2,584.1,528.3,636.3,793.3,1010.1,1382.1,1559.6,1355.5,938.8,1122,1404.5,1316.6,1724.8,1835.6,2025.4
"17","10","  Financial","N392RC1",138.9,154.6,149.7,195,270.7,306.5,349.4,409.7,415.1,301.5,95.4,362.9,406.3,375.9,488.9,533.5,511
"18","11","    Federal Reserve banks","B397RC1",25.6,26.7,31.2,28.9,23.5,20.1,20,26.6,33.8,36,35.1,47.3,71.6,75.9,71.7,79.6,92.5
"19","12","    Other financial \2\","N398RC1",113.3,127.9,118.5,166.1,247.2,286.5,329.4,383.1,381.3,265.5,60.4,315.5,334.8,300,417.2,453.9,418.5
"20","13","  Nonfinancial","N399RC1",502.1,485.6,434.4,333.3,365.6,486.7,660.7,972.4,1144.4,1054,843.4,759.2,998.2,940.7,1235.9,1302.1,1514.5
"21","14","    Utilities","N419RC1",33.3,34.4,24.3,22.5,11.1,13.5,20.5,30.8,55.1,49.5,30.1,23.8,30.3,9.8,12.9,20.9,47.5
"22","15","    Manufacturing","N400RC1",193.5,184.5,175.6,75.1,75.1,125.3,182.7,277.7,349.7,321.9,240.6,171.4,287.6,298.1,404.2,402.4,497.1
"23","16","      Durable goods","N406RC1",114,97,82.3,-9.4,3.1,32.7,50.6,107.1,144,118.9,64.3,34.4,128.1,132.5,204.1,206.3,262.5
"24","17","        Fabricated metal products","N408RC1",16.8,16.4,15.6,9.2,8.7,8.6,12.3,18.2,18.4,21,16.5,11.7,15.3,16.1,23.8,23.3,26.8
"25","18","        Machinery","N409RC1",16.1,12.7,9.4,2.2,3.2,3.2,8.5,18,23.2,25,18.8,9.4,17.4,24.3,32.5,33.2,37.2
"26","19","        Computer and electronic products","N501RC1",19.8,6.6,20.5,-29.1,-24.3,-6.3,1.2,15.7,29,24.7,26.1,26.4,46.9,32.7,45.7,43.7,57.1
"27","20","        Electrical equipment, appliances, and components","N410RC1",8.8,10.2,6.9,1.1,-2.1,1.5,-0.2,-1.8,10.7,-1.5,4.4,8.9,10.2,4.8,11.8,13.1,20
"28","21","        Motor vehicles, bodies and trailers, and parts","N411RC1",16.9,13.8,4,-6.8,-3,7.9,-5,0.3,-5.3,-15.7,-39.6,-54.3,-9.7,-0.3,22.1,22.7,32.6
"29","22","        Other durable goods \3\","N412RC1",35.6,37.4,25.8,14,20.6,17.8,33.8,56.8,68,65.2,38.1,32.3,48,54.8,68.2,70.2,88.9
"30","23","      Nondurable goods","N401RC1",79.4,87.5,93.3,84.5,72,92.6,132.1,170.5,205.7,203,176.3,137,159.5,165.6,200.1,196.1,234.6
"31","24","        Food and beverage and tobacco products","N402RC1",21.9,31.7,25.8,28.5,26.9,25.9,26.8,29.5,35,31.7,31,46.4,46.1,40.6,45.5,54.2,59.5
"32","25","        Petroleum and coal products","N404RC1",4.3,2.4,25.9,27.5,3.8,26,50.1,79.9,73.5,78.7,89.9,13.7,24.8,45.8,54.3,42.9,59.2
"33","26","        Chemical products","N403RC1",33.4,31.8,25.1,22,29.9,32.2,39.2,41.2,70,69.3,50.1,58.6,64.7,58.2,68.9,66.3,75.4
"34","27","        Other nondurable goods \4\","N405RC1",19.8,21.7,16.6,6.6,11.4,8.5,16,19.9,27.1,23.3,5.4,18.2,23.9,20.9,31.4,32.8,40.5
"35","28","    Wholesale trade","N414RC1",57.3,55.6,59.5,51.1,55.8,59.3,74.7,96.2,105.9,103.2,90.6,89.3,102.4,94.4,136.6,154.5,165.5
"36","29","    Retail trade","N415RC1",62.5,59.5,51.3,71.3,83.7,90.5,93.2,121.7,132.5,119,80.3,108.7,118.6,114.3,157.2,171.2,178.3
"37","30","    Transportation and warehousing","N417RC1",12.8,7.2,9.5,-0.7,-6,4.8,12,27.7,41.2,23.9,28.8,22.4,44.7,30.4,51.9,62.6,78.1
"38","31","    Information","N502RC1",33.1,20.8,-11.9,-26.4,-3.1,16.3,52.7,91.3,107,108.4,92.2,81.2,95.1,83.8,101.1,108.3,130.9
"39","32","    Other nonfinancial \5\","N420RC1",109.7,123.5,126.1,140.2,149,177.1,224.9,327.2,353.1,328.2,280.8,262.3,319.5,309.9,372,382.2,417.1
"40","33","Rest of the world","B394RC1",102.8,122,146.2,170.4,158.8,166.6,205,239.1,256.2,353.4,406.7,357.2,395.2,421.9,401.8,403.1,394.1
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Consists of finance and insurance and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2. Consists of credit intermediation and related activities; securities, commodity contracts,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","and other financial investments and related activities; insurance carriers and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","activities; funds, trusts, and other financial vehicles; and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","3. Consists of wood products; nonmetallic mineral products; primary metals; other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","transportation equipment; furniture and related products; and miscellaneous manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","4. Consists of textile mills and textile product mills; apparel; leather and allied products;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","paper products; printing and related support activities; and plastics and rubber products.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","5. Consists of agriculture, forestry, fishing, and hunting; mining; construction; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","estate and rental and leasing; professional, scientific, and  technical services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","administrative and waste management services; educational services; health care and social",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","assistance; arts, entertainment, and recreation; accommodation and food services; and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","services, except government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Note. Estimates in this table are based on the 2002 North American Industry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
