"","Table 7#4#3# Real Housing Sector Output, Real Gross Value Added,","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2009=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2014 2:29:35 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Housing output \1\","A2007A3",6.091,6.019,5.963,5.862,5.753,6.06,6.105,6.196,6.295,6.396,6.545,6.738,7.122,7.491,7.765,8.058,8.222,8.93,9.629,10.227,10.912,11.686,12.552,13.375,14.1,14.791,15.54,16.31,17.139,17.981,18.977,19.982,20.97,22.157,23.168,24.271,25.584,26.743,27.914,29.312,30.896
"9","2","  Nonfarm housing","A2008A3",5.436,5.368,5.315,5.221,5.119,5.42,5.465,5.553,5.649,5.748,5.893,6.078,6.448,6.807,7.076,7.367,7.533,8.23,8.93,9.521,10.198,10.967,11.832,12.657,13.384,14.076,14.828,15.6,16.431,17.277,18.277,19.29,20.283,21.48,22.499,23.612,24.94,26.11,27.293,28.707,30.312
"10","3","    Owner-occupied","DOWNRA3",3.948,3.838,3.724,3.591,3.627,3.671,3.683,3.709,3.726,3.748,3.816,3.92,4.209,4.539,4.885,5.287,5.645,6.353,7.076,7.637,8.246,9,9.834,10.666,11.383,12.13,12.979,13.833,14.642,15.468,16.447,17.439,18.333,19.445,20.348,21.328,22.54,23.618,24.721,25.906,27.409
