"","Table 2#5#6# Real Personal Consumption Expenditures by Function,","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Billions of chained (2009) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/29/2015 9:25:22 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","      Personal consumption expenditures","DPCERX1",7775.9,8170.7,8382.6,8598.8,8867.6,9208.2,9531.8,9821.7,10041.6,10007.2,9847,10036.3,10263.5,10449.7,10699.7
"9","2","Household consumption expenditures \1\","DPHCRX1",7632.9,8014.8,8211.7,8407.2,8662.9,9000,9324.8,9586.6,9800.1,9733.7,9571,9758,9987.9,10160.5,10398.9
"10","3","  Food and beverages purchased for off-premises consumption","DFXARX1",668.1,684.5,694,697,713.3,729.8,757.6,780.8,791.3,781.9,770,786.5,795.1,801.6,809.4
"11","4","    Food and nonalcoholic beverages purchased for off-premises consumption","DTFDRX1",580.9,591.3,597.4,598.8,615.2,629.9,655.3,673.6,682.4,673.7,663.4,674,679,681.4,688.3
"12","5","    Alcoholic beverages purchased for off-premises consumption","DAOPRX1",87.1,92.9,96.2,97.7,97.8,99.6,102,106.8,108.5,107.8,106.1,112.1,115.9,120.2,121
"13","6","    Food produced and consumed on farms","DFFDRX1",0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3
"14","7","  Clothing, footwear, and related services","DCAFRX1",263.4,275.7,277.6,284.7,297.4,309.8,325,335.4,341.3,338.7,321.6,337.5,350.2,352.5,356
"15","8","    Clothing","DCLTRX1",217.2,227.4,229.3,236,246.1,255.6,267.8,274.5,277.8,276.2,263.1,276.5,285.7,286.7,290.5
"16","9","      Garments","DGARRX1",193.8,203.2,205.4,212.4,222.7,232.8,245.6,252.7,256.6,256.1,244.3,258.1,267.2,268.4,271.8
"17","10","        Women's and girls' clothing","DWGCRX1",110.9,118,119.8,124.4,130.8,137.5,146,150,152.7,153,145.8,154.2,159.6,161.2,164.2
"18","11","        Men's and boys' clothing","DMBCRX1",73.4,75.2,75.2,76.9,79.8,81.7,84.5,86.3,86.2,85.2,81.5,86.1,89,89.2,88.9
"19","12","        Children's and infants' clothing","DCICRX1",9.6,10,10.5,11.1,12.3,13.6,15.1,16.4,17.7,18,17.1,17.8,18.6,18,18.7
"20","13","      Other clothing materials","DOCMRX1",3.8,4.1,4.3,4.8,4.8,4.7,4.6,4.5,4.3,4.2,4.1,4.1,4,4,4.3
"21","14","      Cleaning, repair, and rental of clothing","DCRCRX1",21.5,21.8,21.1,19.9,19.3,18.6,17.9,17.6,16.9,15.9,14.7,14.4,14.5,14.4,14.4
"22","15","        Laundry and dry cleaning services","DDRYRX1",13.9,14.5,14.2,13.9,13.5,13.1,12.8,12.7,12.3,11.6,10.9,10.8,10.8,10.8,10.9
"23","16","        Clothing repair, rental, and alterations","DLGRRX1",7.7,7.4,7,6.1,5.8,5.5,5.2,4.9,4.6,4.3,3.8,3.7,3.7,3.6,3.6
"24","17","    Footwear \2\","DFTWRX1",46.2,48.2,48.1,48.5,51.1,54.1,57,60.8,63.5,62.5,58.5,61,64.5,65.9,65.5
"25","18","  Housing, utilities, and fuels","DHUFRX1",1581.2,1629.1,1671.7,1683.2,1705.6,1746.7,1813.8,1846.9,1864.8,1880.5,1905.3,1926.4,1946.5,1956.2,1981.4
"26","19","    Housing","DHSGRX1",1278,1320.5,1364.7,1369.9,1387.7,1428.4,1493.6,1533.6,1547.2,1571.1,1591.6,1608.7,1637.3,1657.7,1678.1
"27","20","      Rental of tenant-occupied nonfarm housing \3\","DTENRX1",303.6,306.4,312.2,309.9,300.3,301.6,306.8,316.6,334.6,343.9,359.7,372.1,395.1,410.4,414.8
"28","21","      Imputed rental of owner-occupied nonfarm housing \4\","DOWNRX1",956.1,993,1031.4,1038.9,1065.5,1104.7,1164.3,1194.6,1190.4,1205.1,1209.9,1214.6,1220.1,1225,1241
"29","22","      Rental value of farm dwellings","DFARRX1",17.9,21,20.8,20.8,21,20.9,20.9,20.9,20.8,20.8,20.7,20.6,20.6,20.6,20.5
"30","23","      Group housing","DGRHRX1",1.3,1.3,1.2,1.1,1.1,1.1,1.1,1.2,1.3,1.3,1.3,1.3,1.4,1.6,1.7
