"","Table 1#1#3# Real Gross Domestic Product, Quantity Indexes      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","  Goods","DGDSRA3",13.203,13.44,13.53,13.58,13.6,13.724,13.71,13.8,13.779,14.081,14.153,14.469,14.749,14.906,16.022,15.178,15.512,14.725,14.887,15.007,14.935,15.27,15.254,16.025,16.236,16.268,16.131,16.033,16.023,16.179,16.35,16.806,17.322,17.81,18.058,18.186,18.105,18.078,18.003,18.261,18.432,18.365,18.519,18.374,17.935,17.99,18.329,18.683,19.117,19.42,19.573,19.414,19.609,19.883,19.756,19.637,19.451,19.745,19.874,20.316,20.554,20.756,20.915,21.242,21.441,21.618,21.835,21.909,22.416,22.888,23.422,23.25,24.007,24.181,24.676,25.627,26.109,25.979,26.353,26.298,26.366,26.825,26.746,26.851,27.706,28.121,28.81,28.763,29.148,29.169
"12","4","    Durable goods","DDURRA3",4.459,4.553,4.616,4.917,4.892,4.925,5.008,4.937,4.846,5.267,5.518,5.737,5.957,6.008,7.432,6.513,6.718,5.754,5.65,5.632,5.664,5.774,5.432,6.368,6.582,6.544,6.503,6.321,6.124,6.421,6.448,6.845,7.46,7.865,8.119,7.906,7.544,7.555,7.421,7.66,7.8,7.616,7.564,7.475,6.978,6.871,7.014,7.271,7.665,7.954,8.108,7.721,7.969,8.15,8.085,7.882,7.449,7.604,7.789,8.167,8.344,8.567,8.63,9.01,9.19,9.387,9.503,9.653,10.029,10.291,10.631,10.304,11.263,11.281,11.666,12.158,12.736,12.228,12.629,12.624,12.385,12.918,12.814,12.847,13.645,13.936,14.563,14.477,14.75,14.71
"13","5","    Nondurable goods","DNDGRA3",21.725,22.097,22.199,21.908,21.98,22.195,22.059,22.346,22.431,22.492,22.294,22.658,22.947,23.213,23.614,23.09,23.515,23.172,23.66,23.937,23.738,24.29,24.717,25.079,25.235,25.351,25.118,25.154,25.396,25.328,25.647,26.079,26.35,26.836,27.017,27.565,27.876,27.806,27.824,28.047,28.217,28.324,28.717,28.529,28.273,28.529,29.05,29.449,29.832,30.08,30.195,30.381,30.457,30.79,30.61,30.631,30.813,31.226,31.249,31.674,31.937,32.065,32.314,32.495,32.673,32.784,33.084,33.042,33.608,34.249,34.919,34.986,35.32,35.658,36.191,37.534,37.807,38.165,38.44,38.333,38.764,39.052,39.016,39.193,39.964,40.455,41.099,41.108,41.565,41.656
"14","6","  Services","DSERRA3",11.757,11.927,11.901,11.839,11.966,12.154,12.219,12.342,12.42,12.483,12.457,12.495,12.65,12.97,13.171,13.254,13.616,13.708,13.88,13.915,14.087,14.307,14.497,14.704,14.854,15.032,15.124,15.012,15.152,15.414,15.682,15.872,16.058,16.176,16.342,16.668,16.828,16.989,17.168,17.392,17.459,17.609,17.738,17.933,17.916,18.175,18.419,18.53,18.769,19.048,19.304,19.537,19.714,19.933,19.909,20.102,20.304,20.6,20.662,21.026,21.225,21.542,21.728,22.002,22.089,22.33,22.721,23.031,23.403,23.729,24.039,24.368,24.645,25.018,25.36,25.791,26.059,26.343,26.56,26.85,27.099,27.361,27.734,27.968,28.406,28.853,29.226,29.55,29.814,30.18
"15","7","Gross private domestic investment","B006RA3",8.686,7.986,7.73,9.332,10.343,11.025,11.143,10.588,8.941,7.69,8.364,7.907,9.891,10.998,11.988,13.581,12.149,12.45,11.488,10.509,10.755,9.862,10.387,11.132,11.353,11.392,11.124,10.248,10.162,10.127,10.645,11.135,12.322,13.101,13.288,13.576,13.12,12.971,12.819,12.667,12.463,12.446,12.743,11.679,10.811,10.555,11.426,12.456,13.159,14.258,13.266,13.73,15.215,13.675,13.594,11.915,12.219,13.129,14.229,14.469,15.332,15.184,15.455,14.936,15.765,15.995,16.517,16.72,17.407,17.327,17.739,17.884,19.683,19.682,20.385,20.479,22.211,21.805,21.589,21.693,21.099,20.199,20.779,21.229,21.691,22.568,21.835,22.062,23.515,23.328
"16","8","  Fixed investment","B007RA3",9.295,9.048,9.355,10.178,10.521,10.512,10.399,10.279,9.691,9.383,9.36,9.696,10.31,11.267,12.108,11.856,11.416,10.89,10.714,10.603,10.729,10.877,10.21,10.987,11.428,11.49,11.499,11.375,11.196,11.379,11.833,12.098,12.587,13.128,13.418,13.431,13.145,13.251,13.229,13.138,13.138,13.011,13.142,12.902,12.103,11.76,11.927,12.662,13.439,13.874,14.044,13.857,14.341,14.052,13.676,13.62,13.449,13.647,13.975,14.446,14.755,15.203,15.325,15.25,15.428,16.144,16.562,17.091,17.743,17.695,17.978,18.11,18.935,19.465,19.992,20.441,21.205,20.931,20.924,20.29,19.813,20.32,20.52,21.16,21.671,21.56,21.878,22.415,23.122,23.223
"17","9","    Nonresidential","B008RA3",7.874,7.75,7.596,7.841,8.327,8.038,8.058,8.264,7.873,7.563,7.187,7.064,7.264,7.914,8.624,8.612,8.389,8.505,8.6,8.422,8.455,8.55,7.777,8.477,8.942,9.003,9.208,9.096,8.825,8.732,8.97,8.944,9.104,9.676,10.171,10.451,10.257,10.417,10.501,10.476,10.551,10.523,10.745,10.466,9.709,9.29,9.15,9.491,9.786,10.085,10.404,10.363,10.762,10.929,10.657,10.598,10.375,10.589,10.677,11.038,11.294,11.631,11.781,11.701,11.683,12.056,12.421,12.829,13.148,13.483,13.941,14.231,15.187,15.759,16.355,17.051,17.794,18.071,18.291,18.244,17.858,17.794,17.704,18.069,18.637,18.313,18.557,19.107,19.672,19.885
"18","10","      Structures","B009RA3",29.902,29.743,29.945,29.515,30.127,30.967,31.892,32.349,31.74,30.997,29.626,28.813,30.186,31.709,33.545,34.404,34.516,35.688,35.472,34.108,34.149,34.395,34.682,36.01,37.095,37.807,38.017,38.688,39.082,39.353,39.267,39.101,40.312,41.312,42.683,43.738,45.096,46.703,46.999,46.887,46.482,46.45,46.458,46.194,45.328,43.825,42.825,43.486,43.334,44.676,46.005,45.655,47.56,48.124,48.216,50.051,49.824,48.994,49.022,48.764,49.678,51.488,52.844,51.563,49.768,52.126,52.488,53.562,54.952,56.815,58.681,59.147,62.18,66.513,67.213,70.307,71.978,70.59,72.162,69.704,70.424,68.421,69.145,69.26,70.618,70.02,69.568,70.99,72.087,72.659
"19","11","      Equipment and software","B010RA3",4.45,4.356,4.209,4.454,4.83,4.509,4.451,4.594,4.305,4.095,3.879,3.836,3.902,4.342,4.809,4.733,4.532,4.54,4.64,4.593,4.619,4.682,3.989,4.49,4.806,4.803,4.965,4.815,4.549,4.448,4.659,4.649,4.692,5.108,5.427,5.586,5.31,5.322,5.372,5.359,5.456,5.434,5.625,5.405,4.824,4.581,4.538,4.777,5.039,5.192,5.362,5.354,5.549,5.648,5.411,5.227,5.056,5.297,5.369,5.692,5.841,5.991,6.017,6.045,6.164,6.303,6.586,6.851,7.018,7.161,7.409,7.622,8.208,8.361,8.82,9.175,9.687,10.04,10.104,10.265,9.867,9.976,9.838,10.149,10.536,10.3,10.555,10.922,11.332,11.474
"20","12","    Residential","B011RA3",14.609,13.882,16.009,19.103,18.876,19.977,19.341,17.908,16.562,16.276,17.671,19.841,22.093,24.235,25.567,24.363,23.068,19.961,18.688,18.861,19.354,19.711,19.513,20.56,20.881,20.94,20.146,19.972,20.182,21.496,22.808,24.245,26.044,26.429,25.865,24.768,24.114,23.97,23.499,23.131,22.801,22.25,21.95,21.918,21.051,21.104,22.643,25.055,27.906,28.897,28.351,27.524,28.314,25.986,25.197,25.164,25.261,25.352,26.721,27.618,28.116,28.995,28.971,28.933,29.978,32.135,32.73,33.726,35.792,33.99,33.435,32.825,32.94,33.197,33.327,32.605,33.346,30.671,29.674,26.561,25.762,28.691,30.129,31.884,32.079,32.889,33.48,33.897,35.118,34.741
"21","13","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","14","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Exports","B020RA3",6.532,6.45,6.122,5.429,5.181,4.697,4.807,4.638,5.193,5.148,4.718,4.084,4.017,4.065,4.171,4.509,4.734,5.2,5.328,5.278,5.559,4.948,4.557,4.588,4.511,4.539,4.721,4.565,4.36,4.987,4.827,5.049,5.236,5.114,5.45,5.474,5.734,6.121,6.324,6.608,7.039,6.83,6.639,6.44,5.801,5.829,5.847,5.829,6.214,6.421,6.625,6.448,7.255,7.716,7.522,7.677,7.625,7.519,7.478,7.709,7.69,8.428,7.957,7.785,7.967,8.9,8.424,8.847,9.389,9.545,9.471,9.753,8.701,10.335,9.743,10.449,10.266,10.715,10.313,10.653,10.859,10.76,10.498,10.797,11.111,11.332,11.998,11.845,10.424,12.76
"24","16","    Goods","B253RA3",7.016,6.82,6.444,5.647,5.413,4.869,4.995,4.795,5.428,5.349,4.922,4.249,4.115,4.163,4.301,4.658,4.847,5.33,5.455,5.357,5.656,4.966,4.606,4.678,4.51,4.59,4.817,4.643,4.379,5.164,4.899,5.169,5.372,5.204,5.542,5.558,5.858,6.265,6.501,6.794,7.266,7.03,6.788,6.345,5.86,5.8,5.838,5.77,5.454,5.61,6.165,5.879,6.816,7.149,7.274,7.286,7.334,6.832,7.188,7.316,7.227,7.698,7.711,7.309,7.335,8.096,8.238,8.627,9.017,9.007,9.254,9.442,8.053,9.563,9.261,10.037,9.927,9.758,9.792,10.002,9.963,9.944,9.794,9.962,10.297,10.446,11.169,10.894,9.429,11.941
"25","17","    Services","B646RA3",4.12,4.469,4.371,4.171,3.875,3.68,3.716,3.683,3.882,3.977,3.567,3.134,3.324,3.373,3.348,3.586,3.934,4.295,4.423,4.575,4.758,4.501,4.019,3.896,4.161,3.993,3.997,3.922,3.949,3.944,4.18,4.209,4.328,4.385,4.685,4.739,4.829,5.107,5.176,5.405,5.651,5.562,5.573,6.284,5.129,5.476,5.421,5.589,8.605,8.967,7.822,8.065,8.334,9.241,7.874,8.551,8.124,9.516,7.985,8.583,8.825,10.478,8.298,8.963,9.692,11.178,8.518,9.031,10.082,10.816,9.61,10.21,10.441,12.405,10.805,11.209,10.769,13.441,11.47,12.262,13.364,12.972,12.316,13.076,13.291,13.76,14.175,14.473,13.303,14.853
"26","18","  Imports","B021RA3",2.514,2.563,2.273,2.395,2.701,2.808,2.955,2.907,2.82,2.779,2.665,2.705,2.781,2.935,3.621,3.628,3.628,3.508,3.211,3.127,3.49,3.472,3.684,4.014,3.916,4.119,4.103,3.901,3.676,4.006,3.765,3.801,4.025,4.253,4.325,4.482,4.67,4.645,4.686,4.471,4.826,4.864,4.77,4.787,4.858,5.066,4.989,5.25,5.385,5.645,5.698,5.554,5.764,5.807,5.637,5.371,5.345,5.41,5.768,5.905,6.085,6.218,6.297,6.374,6.226,6.373,6.534,6.513,6.507,6.653,6.832,7.017,6.764,7.562,7.593,7.964,8.169,8.373,8.842,8.941,9.082,9.009,9.127,9.608,10.174,10.33,10.951,10.858,9.834,11.774
"27","19","    Goods","B255RA3",2.274,2.326,2.013,2.04,2.384,2.477,2.531,2.523,2.455,2.376,2.31,2.386,2.439,2.586,3.335,3.276,3.216,3.075,2.656,2.46,2.787,2.817,2.918,3.113,3.058,3.235,3.141,2.877,2.767,3.043,2.789,2.769,3.067,3.098,3.107,3.42,3.558,3.438,3.399,3.43,3.507,3.554,3.496,3.669,3.511,3.584,3.625,3.904,4.119,4.375,4.415,4.255,4.344,4.404,4.167,3.968,3.926,3.994,4.416,4.523,4.687,4.834,4.921,4.913,4.848,5.014,5.144,5.132,5.091,5.266,5.464,5.646,5.387,6.233,6.289,6.598,6.771,6.876,7.318,7.405,7.43,7.214,7.272,7.948,8.585,8.796,9.404,9.249,8.059,10.206
"28","20","    Services","B656RA3",3.768,3.8,3.651,4.33,4.39,4.57,5.248,4.971,4.771,4.948,4.579,4.417,4.629,4.801,5.036,5.44,5.809,5.826,6.467,7.221,7.745,7.397,8.338,9.548,9.168,9.515,10.037,10.302,9.32,9.968,9.863,10.29,9.941,11.523,12.027,11.031,11.534,12.196,12.799,10.868,13.139,13.097,12.769,11.67,13.33,14.43,13.571,13.685,13.257,13.485,13.602,13.586,14.614,14.533,14.841,14.152,14.229,14.271,14.161,14.488,14.761,14.796,14.822,15.436,14.766,14.792,15.144,15.07,15.285,15.243,15.294,15.489,15.281,15.775,15.653,16.407,16.814,17.625,18.26,18.434,19.289,20.09,20.573,19.874,20.02,19.841,20.557,20.843,20.807,21.523
"29","21","Government consumption expenditures and gross investment","B822RA3",17.184,17.293,17.451,17.193,17.534,18.378,18.735,19.523,20.081,20.99,21.201,20.75,20.403,20.737,20.339,21.635,23.948,27.241,30.332,32.023,33.015,34.134,34.472,35.09,36.281,37.079,36.631,36.517,35.54,34.282,33.455,33.252,33.212,32.882,33.082,32.365,32.347,33.025,32.713,33.563,34.252,34.039,34.3,34.925,34.535,35.4,35.621,36.381,36.145,36.696,37.158,36.753,36.029,36.322,37.197,37.456,37.946,38.037,38.783,39.635,40.336,40.555,41.478,41.538,41.285,41.233,43.001,42.61,42.768,43.045,43.071,42.947,42.843,43.396,44.897,45.862,46.687,47.514,48.8,49.594,51.699,51.418,51.953,52.307,53.22,53.466,53.578,53.622,53.674,53.45
"30","22","  Federal","B823RA3",25.544,25.597,25.611,24.718,25.559,27.116,27.669,29.169,29.756,30.874,30.534,29.021,27.64,28.254,27.251,30.451,36.413,44.208,51.849,56.15,58.6,60.92,62.487,63.469,65.942,68.018,66.162,65.201,61.731,58.425,55.519,54.873,53.552,52.337,52.889,50.91,50.53,51.855,50.911,52.735,53.672,52.858,53.05,53.793,51.864,53.53,53.321,54.566,53.666,54.95,56.085,55.268,52.782,52.58,54.212,54.41,54.339,54.847,56.387,57.381,59.488,59.733,61.53,61.199,59.714,59.161,62.445,60.783,60.473,60.07,59.598,58.76,58.02,58.132,60.48,62.158,63.579,65.262,67.904,68.469,73.163,72.103,73.249,73.097,74.368,73.771,73.136,72.689,72.285,71.132
"31","23","    National defense","B824RA3",31.436,29.376,30.894,31.105,31.023,30.767,30.306,31.82,32.659,33.252,33.158,31.069,29.815,30.075,32.052,36.49,46.253,57.332,69.12,75.329,77.918,82.119,84.015,85.514,88.146,88.851,87.687,86,80.234,76.861,72.895,70.391,70.015,67.475,68.187,65.896,65.645,67.397,67.18,69.335,69.727,70.307,70.885,70.028,69.252,69.937,69.907,70.429,68.471,67.637,69.36,68.473,67.262,66.276,68.396,67.605,69.396,68.962,70.943,72.173,74.862,74.047,75.231,74.353,72.589,71.841,74.401,72.52,71.463,70.08,69.847,68.412,66.894,66.584,68.92,71.525,74.143,75.702,80.666,82.713,87.664,87.721,89.921,88.963,91.161,91.079,89.282,88.483,87.542,85.578
"32","24","    Nondefense","B825RA3",13.977,18.864,15.864,12.865,15.421,20.669,23.35,24.89,24.988,27.223,26.389,26.008,24.348,25.669,18.579,19.298,17.63,19.115,18.678,19.293,21.497,20.147,21.073,21.064,23.251,27.937,24.776,25.207,26.162,22.967,22.101,25.092,21.918,23.265,23.517,22.124,21.481,21.994,19.532,20.745,22.844,19.104,18.53,22.595,18.276,21.963,21.37,24.069,25.209,30.684,30.675,29.984,24.925,26.29,26.983,29.123,25.41,27.746,28.434,28.977,29.969,32.266,35.273,36.001,35.047,34.87,39.556,38.309,39.44,40.91,39.991,40.29,41.029,41.944,44.321,44.216,43.347,45.264,43.469,41.198,45.384,42.201,41.337,42.729,42.237,40.671,42.232,42.448,43.058,43.445
"33","25","  State and local","B829RA3",12.014,12.177,12.461,12.663,12.644,13.008,13.239,13.559,14.12,14.925,15.546,15.843,16.237,16.375,16.387,16.397,16.235,16.511,16.591,16.564,16.616,16.969,16.51,16.9,17.262,17.232,17.693,18.124,18.775,18.848,19.373,19.463,20.28,20.546,20.514,20.634,20.857,21.113,21.218,21.434,21.973,22.158,22.471,23.03,23.681,24.023,24.548,24.996,25.203,25.272,25.294,25.159,25.597,26.223,26.614,26.919,27.792,27.604,27.838,28.61,28.403,28.607,28.972,29.288,29.839,30.11,30.915,31.346,31.813,32.544,32.899,33.247,33.562,34.414,35.383,35.893,36.338,36.619,37.042,37.995,38.465,38.675,38.827,39.504,40.197,40.979,41.568,41.927,42.268,42.623
