"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","Plus: Imports of goods and services","A021RX1",51,52,46.1,48.6,54.8,56.9,59.9,58.9,57.2,56.3,54,54.9,56.4,59.5,73.4,73.6,73.6,71.1,65.1,63.4,70.8,70.4,74.7,81.4,79.4,83.5,83.2,79.1,74.5,81.2,76.3,77.1,81.6,86.2,87.7,90.9,94.7,94.2,95,90.7,97.9,98.6,96.7,97.1,98.5,102.7,101.2,106.5,109.2,114.5,115.6,112.6,116.9,117.8,114.3,108.9,108.4,109.7,117,119.7,123.4,126.1,127.7,129.2,126.3,129.2,132.5,132.1,131.9,134.9,138.5,142.3,137.2,153.3,154,161.5,165.7,169.8,179.3,181.3,184.2,182.7,185.1,194.8,206.3,209.5,222.1,220.2,199.4,238.8
"12","4","Equals: Gross domestic purchases","A712RX1",1726.4,1726.5,1725.2,1771.7,1814,1862.1,1873.2,1878.7,1838.2,1831.3,1858.7,1855.1,1933.9,1995.9,2089.3,2119.4,2141.8,2164.5,2196.9,2199.4,2225.9,2241,2270.1,2353,2396,2418.6,2399.6,2359.9,2347.2,2345.6,2369.3,2413.1,2484.7,2534.1,2562.9,2580.6,2568,2579.8,2573.3,2604.6,2620.6,2619.4,2646.5,2622.9,2565.9,2585.8,2644.4,2712.3,2762.5,2834,2827.9,2838,2890.6,2868.9,2873.6,2827.6,2845,2902.4,2958.4,3017.5,3076.4,3098.9,3138.7,3151.4,3186.1,3211.3,3285.1,3301.6,3365.9,3405.2,3457.2,3465.5,3566.5,3600.6,3686.6,3770.6,3871.8,3880.5,3924.1,3951.4,3985.4,3986.6,4026.2,4061.2,4150.7,4220.2,4249,4268.5,4342.2,4349.5
"13","5","Less: Change in private inventories","A014RX1",4.9,-3.5,-13.4,-2.2,11.4,21.4,25,19.4,-2,-17.4,-3.9,-17.5,7.4,10.8,14.1,44.9,27.9,40.6,26.9,11.6,14.5,-3.6,16,16.1,13,12.8,7.7,-6.7,-5.9,-9.5,-7.6,-2.7,11.2,16.6,15.1,20.8,17.6,12.2,9.5,8.4,4.6,6.5,9.5,-8.9,-11.1,-9.7,4.9,13,10.4,26.5,3.2,15.6,38.8,11.1,15.6,-18.2,-8.3,7.2,23.8,19.8,31.2,19.7,23,13.6,26.7,17.7,21.1,15.4,16.4,15.7,18.9,18,41.4,29.8,33.5,26.9,47.1,45.4,40.4,55.6,51.4,23.2,30.8,30.1,27.3,48.9,26.1,21,37,31.2
"14","6","Equals: Final sales to domestic purchasers","A713RX1",1740.8,1755.7,1770.9,1790.9,1812.2,1839.5,1843.7,1862.5,1856.1,1880.6,1886.2,1907.6,1941.5,1996.8,2084.2,2054.9,2111.2,2108.2,2167.3,2198.6,2221,2270.1,2262,2345,2394.6,2418,2407.8,2392.3,2376.9,2381.9,2402.8,2439.2,2487.8,2528.8,2560.5,2569.3,2562.9,2582.8,2580.6,2614.3,2637.3,2632.7,2654.3,2658.2,2604.4,2622.1,2658.2,2715.9,2767.2,2816.7,2848.1,2837.7,2857.4,2876.6,2872.6,2877.8,2880.5,2915.3,2946.8,3012.7,3054.1,3094.7,3129.9,3156.7,3171.1,3210.2,3280.5,3306.2,3368.5,3409.2,3457.2,3464.9,3535.4,3585,3665.4,3759.8,3831.1,3844.2,3894.5,3901,3939.6,3982.3,4010.3,4050.2,4140.9,4181.5,4241.3,4269.4,4320,4335.8
"15",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","  Final sales of domestic product","A190RX1",1785.5,1797.2,1811.7,1812.3,1820.2,1833.4,1836.6,1852.4,1860,1884,1883.2,1890,1920.4,1972,2043,2020.7,2080.4,2090.3,2159.5,2191.5,2209.5,2245.3,2223.4,2297.1,2346.7,2365.3,2359.5,2346.1,2332.4,2341.9,2365.2,2404.6,2450.5,2482.6,2518.8,2524.2,2518.6,2546.6,2547.6,2591.6,2614.3,2604.7,2624.2,2623.6,2556.5,2569.8,2607.2,2657.6,2712.4,2759.1,2792.7,2782.2,2812.6,2839.4,2835.4,2849.3,2851.6,2882.2,2904.4,2970.4,3006.7,3057.9,3081.6,3102.9,3123.5,3176.5,3232.9,3266.5,3337.9,3377.6,3419.4,3428.3,3482.6,3545.5,3612.1,3710.2,3772.1,3789.2,3820.7,3831.5,3870.3,3911.6,3931.6,3966.4,4049.4,4090.1,4148.7,4175.1,4218.2,4239
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","quantity index and the 2005 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
