"","Table 7#20# Comparison of Income and Outlays of Nonprofit Instit","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 26, 2010  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/27/2011 4:18:26 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"8","1","Revenue of nonprofit institutions, IRS \1\","W430RC1",682.1,728.1,764.5,849.1,917.8,987.3,997.1,1079,1149.8,1155.4,1214.4
"9","2","Less: Nonprofit revenue recorded by the IRS not included in nonprofit institution income and receipts from sales","W431RC1",251.2,264.8,275.3,324.7,359,386.1,361.2,394.3,406.9,342.4,344.3
"10","3","      Capital gains or losses","W432RC1",18.6,22.1,20.3,36.8,52,72.8,60.7,83.9,56.1,-0.8,-13.1
"11","4","      Adjustment for different accounting periods","W433RC1",8.1,4.6,4.8,1.6,8,2,7.7,12.2,13.1,8,4.2
"12","5","      Nonresident institutions","W434RC1",10.5,9.9,12.2,11.9,11.2,11.4,9.9,10.8,11.6,10.9,8.4
"13","6","      Government hospitals and schools \2\","W435RC1",51,55.9,63.3,68.2,64.8,64.2,66.9,60,77,79.6,88.2
"14","7","      Other out-of-scope activity \3\","W436RC1",137.5,145.3,148.4,178.3,190.5,201.4,173.8,179.9,194.1,185.4,196.3
"15","8","      Transfer receipts from nonprofit institutions \4\","W426RC1",25.4,26.9,26.3,28,32.5,34.3,42.2,47.5,55.1,59.3,60.3
"16","9","Plus: Nonprofit institution income not recorded by the IRS","W438RC1",29.3,30.2,33.9,34.8,36.7,36.4,40.7,42.1,47,51.5,51.7
"17","10","      Religious organizations \5\","W439RC1",27.6,29,32.7,33.5,35.1,35,38.7,40,45,48.8,49.7
"18","11","      Other organizations","W440RC1",1.5,1.5,1.6,1.7,1.8,1.9,1.9,1.9,1.8,1.7,1.7
"19","12","      Other accounting differences \6\","W428RC1",0.2,-0.2,-0.4,-0.4,-0.2,-0.5,0.1,0.2,0.3,1,0.3
