"","Table 1#3#3# Real Gross Value Added by Sector, Quantity Indexes ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 26, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/25/2011 10:15:19 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross domestic product","B191RA3",7.733,7.067,6.609,5.745,5.671,6.288,6.846,7.74,8.137,7.857,8.492,9.236,10.813,12.809,14.906,16.109,15.929,14.186,14.059,14.677,14.601,15.878,17.106,17.761,18.579,18.461,19.791,20.182,20.588,20.403,21.866,22.408,22.93,24.319,25.382,26.851,28.575,30.437,31.206,32.717,33.733
"9","2","Business \1\","B195RA3",6.763,6.082,5.63,4.772,4.672,5.224,5.746,6.535,6.968,6.624,7.248,7.949,9.345,10.826,11.996,12.669,12.447,12.341,12.629,13.314,13.186,14.468,15.403,15.877,16.651,16.444,17.775,18.063,18.371,18.043,19.523,19.896,20.285,21.593,22.591,24.023,25.718,27.459,27.985,29.376,30.276
"10","3","  Nonfarm \2\","B358RA3",6.321,5.659,5.1,4.266,4.187,4.843,5.259,6.16,6.479,6.143,6.707,7.493,8.844,10.305,11.572,12.301,12.07,11.939,12.39,12.942,12.858,14.158,15.224,15.667,16.43,16.177,17.542,17.842,18.197,17.824,19.367,19.706,20.1,21.472,22.476,23.983,25.682,27.518,27.992,29.459,30.357
"11","4","  Farm","B359RA3",16.858,15.833,19.168,18.702,17.804,13.951,17.485,15.016,18.326,17.871,19.915,17.43,19.528,21.152,20.577,20.342,20.255,20.517,18.427,21.212,20.321,21.402,20.192,21.245,22.315,23.101,23.634,23.633,22.693,23.508,23.35,24.651,24.875,24.398,25.172,24.369,25.943,25.031,27.02,26.071,26.996
"12","5","Households and institutions","B193RA3",7.806,7.642,7.384,7.091,7.026,7.114,7.178,7.272,7.368,7.357,7.508,7.78,8.055,8.475,8.621,8.989,9.278,9.431,10.009,10.651,11.302,12.197,13.007,13.798,14.62,15.463,16.715,17.755,18.695,19.764,20.875,22.277,23.209,24.488,25.49,26.548,27.861,29.133,30.345,31.871,33.269
"13","6","  Households","B701RA3",8.03,7.779,7.436,7.071,7.023,7.161,7.217,7.291,7.404,7.357,7.529,7.724,7.995,8.513,8.688,9.11,9.483,9.48,10.076,10.509,11.185,12.201,13.131,14.022,14.894,15.799,17.175,18.294,19.288,20.375,21.545,22.822,23.885,25.213,26.249,27.303,28.56,29.707,30.898,31.763,33.078
"14","7","  Nonprofit institutions serving households \3\","B702RA3",7.04,7.241,7.321,7.311,7.183,7.099,7.191,7.351,7.392,7.503,7.587,8.126,8.423,8.512,8.563,8.762,8.785,9.421,9.956,11.185,11.775,12.351,12.841,13.374,14.071,14.754,15.684,16.523,17.331,18.367,19.331,21.06,21.675,22.839,23.762,24.83,26.268,27.806,29.057,31.92,33.473
"15","8","General government \4\","B765RA3",11.994,12.559,12.778,12.611,13.31,15.024,16.019,18.754,17.884,19.288,19.654,20.587,25.297,38.682,63.513,76.972,77.238,41.874,32.993,31.599,31.482,31.92,38.146,41.361,42.137,42.19,42.355,43.152,44.061,44.504,45.115,46.676,48.327,50.213,51.711,53.49,55.29,58.749,61.869,64.297,65.936
"16","9","  Federal","B766RA3",8.711,9.341,8.94,8.547,10.544,14.032,15.563,25.716,22.288,25.17,25.66,28.089,42.743,86.334,167.375,211.768,211.885,99.292,70.06,64.716,61.813,61.819,81.4,90.722,91.169,88.966,86.941,86.058,85.797,83.396,82.691,84.282,86.053,89.614,90.42,91.325,91.934,97.993,104.368,106.147,106.463
"17","10","  State and local","B767RA3",12.832,13.35,13.806,13.742,13.842,14.682,15.392,14.573,15.008,15.626,15.916,16.11,16.241,16.024,15.627,15.268,15.586,16.397,17.429,17.882,19.068,19.73,20.247,20.916,21.828,22.795,23.85,25.344,26.735,28.375,29.558,31.123,32.729,33.923,35.695,37.834,40.136,42.52,44.306,46.962,49.108
"18",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross housing value added","A2009A3",6.946,6.909,6.871,6.818,6.626,6.834,6.832,6.824,6.929,7.172,7.28,7.471,7.838,8.396,8.843,9.211,9.42,9.697,10.204,10.744,11.459,12.262,13.174,14.165,14.996,15.904,16.788,17.677,18.752,19.817,21.197,22.503,23.768,25.23,26.463,27.667,29.132,30.442,31.842,33.043,34.593
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
