"","Table 7#4#3# Real Housing Sector Output, Real Gross Value Added,","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/14/2011 10:44:25 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Housing output \1\","A2007A3",6.485,6.409,6.349,6.242,6.126,6.452,6.501,6.597,6.703,6.81,6.969,7.175,7.583,7.976,8.268,8.58,8.755,9.508,10.253,10.89,11.619,12.443,13.365,14.242,15.013,15.75,16.547,17.367,18.249,19.146,20.207,21.277,22.329,23.593,24.669,25.843,27.242,28.476,29.723,31.211,32.897
"9","2","  Nonfarm housing","A2008A3",5.813,5.74,5.684,5.583,5.474,5.796,5.844,5.939,6.041,6.147,6.301,6.499,6.895,7.279,7.567,7.878,8.056,8.801,9.55,10.181,10.906,11.728,12.652,13.535,14.312,15.052,15.857,16.682,17.57,18.475,19.545,20.628,21.69,22.971,24.06,25.25,26.67,27.922,29.186,30.698,32.415
"10","3","    Owner-occupied","DOWNRA3",4.101,3.987,3.869,3.73,3.768,3.814,3.826,3.853,3.871,3.894,3.965,4.072,4.373,4.715,5.075,5.493,5.865,6.601,7.351,7.934,8.567,9.35,10.217,11.081,11.826,12.602,13.484,14.371,15.212,16.07,17.086,18.117,19.046,20.202,21.14,22.158,23.417,24.537,25.683,26.914,28.475
"11","4","    Tenant-occupied","DTENRA3",12.635,12.729,12.919,12.969,12.294,13.686,13.878,14.24,14.678,15.116,15.603,16.162,16.936,17.485,17.485,17.374,16.778,17.562,18.302,19.127,20.219,21.196,22.35,23.31,24.211,24.808,25.305,25.883,26.964,28.052,29.334,30.628,32.221,33.998,35.691,37.561,39.627,41.401,43.135,45.769,48.106
"12","5","  Farm housing","DFARRA3",47.979,47.791,47.581,47.256,46.961,46.646,46.622,46.652,46.813,46.779,46.946,47.373,47.924,48.169,48.229,48.192,48.045,49.178,50.032,51.173,52.179,52.986,53.692,54.181,54.63,54.968,55.068,55.315,55.5,55.621,55.911,56.048,56.427,56.693,56.976,57.342,57.565,57.929,58.358,58.727,59.023
"13","6","Less: Intermediate goods and services consumed","B1027A3",4.489,4.256,4.109,3.788,3.979,4.768,5.017,5.527,5.634,5.195,5.554,5.815,6.378,6.104,5.762,5.841,5.874,8.534,10.203,11.204,11.968,12.857,13.798,14.2,14.718,14.747,15.175,15.697,15.78,15.973,15.698,15.772,15.921,16.33,16.73,17.763,18.858,19.755,20.339,23.013,25.239
"14","7","Equals: Gross housing value added","A2009A3",6.946,6.909,6.871,6.818,6.626,6.834,6.832,6.824,6.929,7.172,7.28,7.471,7.838,8.396,8.843,9.211,9.42,9.697,10.204,10.744,11.459,12.262,13.174,14.165,14.996,15.904,16.788,17.677,18.752,19.817,21.197,22.503,23.768,25.23,26.463,27.667,29.132,30.442,31.842,33.043,34.593
"15","8","          Nonfarm housing","B499RA3",6.158,6.124,6.09,6.043,5.861,6.067,6.066,6.058,6.159,6.399,6.503,6.685,7.038,7.584,8.026,8.393,8.605,8.882,9.385,9.916,10.626,11.426,12.34,13.341,14.178,15.093,15.986,16.882,17.965,19.04,20.434,21.758,23.037,24.52,25.77,26.99,28.48,29.809,31.248,32.468,34.047
"16","9","            Owner-occupied","B1300A3",4.304,4.205,4.081,3.956,3.967,3.956,3.949,3.932,3.945,4.027,4.073,4.158,4.448,4.844,5.315,5.792,6.18,6.374,6.806,7.267,7.934,8.728,9.676,10.746,11.647,12.659,13.645,14.634,15.661,16.674,17.89,19.138,20.27,21.612,22.678,23.758,25.108,26.368,27.589,28.594,30.084
"17","10","            Tenant-occupied","B1301A3",14.164,14.421,14.781,15.082,14.075,15.208,15.227,15.26,15.747,16.678,17.027,17.635,18.257,19.45,19.753,19.626,19.058,19.691,20.498,21.326,22.224,23.046,23.809,24.504,25.059,25.544,26.024,26.498,27.818,29.148,31.303,32.941,34.848,36.929,38.967,40.786,42.869,44.481,46.853,49.001,50.949
"18","11","          Farm housing","B1302A3",52.588,52.373,52.133,51.767,51.436,51.081,51.045,51.07,51.237,51.191,51.364,51.841,52.435,52.694,52.75,52.7,52.53,52.821,53.728,54.943,56.012,56.867,57.614,58.128,58.597,58.949,59.045,59.298,59.485,59.603,59.902,60.038,60.431,60.704,60.995,61.376,61.602,61.979,61.578,61.955,62.253
"19","12","Less: Consumption of fixed capital","B1028A3",11.601,11.788,11.863,11.853,11.787,11.746,11.763,11.841,11.954,12.061,12.204,12.415,12.666,12.821,12.801,12.726,12.652,12.864,13.45,14.181,14.909,15.7,16.522,17.242,17.964,18.72,19.575,20.483,21.334,22.153,23.1,24.125,25.094,26.096,27.207,28.428,29.666,30.818,31.874,33.003,34.27
"20","13","Equals: Net housing value added","B952RA3",5.943,5.887,5.842,5.789,5.602,5.822,5.817,5.8,5.898,6.145,6.242,6.421,6.787,7.382,7.89,8.327,8.585,8.871,9.356,9.845,10.56,11.367,12.306,13.374,14.233,15.178,16.066,16.949,18.076,19.196,20.672,22.036,23.362,24.92,26.173,27.367,28.874,30.213,31.683,32.896,34.507
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals personal consumption expenditures for housing excluding expenditures for group housing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","as shown in table 2.5.3.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
