"","Table 5#8#6B# Real Gross Government Fixed Investment by Type, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/27/2011 4:10:00 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","      Gross government fixed investment \1\","A782RX1",302.7,313.3,336.5,347.5,362.5,382.5,391.6,395.1,392,404.8,411.6,430.5,431.7,430.6
"9","2","        Federal","A787RX1",75.8,79.5,84.1,82,84.1,93.8,99.9,105.5,110.5,118.5,123.6,141.2,149,160.6
"10","3","          National defense","A788RX1",46.8,47.5,49.3,50.3,52.7,59.6,65.3,71.1,74.2,79.4,84,98.7,104.8,110.2
"11","4","          Nondefense","A798RX1",29,32,34.8,31.6,31.3,34.2,34.6,34.4,36.3,39.1,39.5,42.5,44.1,50.4
"12","5","        State and local","A799RX1",227.1,233.7,252.7,266.6,279.7,289.4,292.2,289.8,281.6,286.4,288.3,291,285.3,274.3
"13","6","Structures \2\","A760RX1",219.3,219.1,232,239.4,251.1,263,265.9,259,246.5,247.7,246.1,248.8,246.7,238.4
"14","7","  Federal","A801RX1",22.5,22.6,21.2,17.2,16.4,18.7,20.4,17.7,15.7,16.3,18.6,21.1,24.9,28.5
"15","8","    National defense","A808RX1",8.7,8.1,7.2,6.9,6.5,7,8.5,7.8,7.5,7.5,8.8,11.5,14.6,14.7
"16","9","      New","A814RX1",8.7,8.1,7.2,6.9,6.5,7,8.5,7.8,7.5,7.5,8.8,11.5,14.6,14.7
"17","10","        Residential","B816RX1",2.1,1.9,1.7,1.4,1.5,1.5,1.7,1.4,1.6,1.4,1.6,1.7,1.2,1.6
"18","11","        Industrial","B817RX1",0.7,0.3,0.3,0.4,0.5,0.4,0.9,0.7,0.6,0.5,0.3,0.5,0.6,0.6
"19","12","        Military facilities \3\","B818RX1",5.9,5.8,5.2,5.1,4.5,5.1,5.8,5.7,5.2,5.5,6.9,9.2,12.5,12.4
"20","13","      Net purchases of used structures","B819RX1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","14","    Nondefense","A830RX1",13.8,14.5,14,10.4,9.8,11.8,11.9,9.9,8.3,8.8,9.8,9.6,10.4,13.7
"22","15","      New","A831RX1",14.2,13.3,12.8,11.8,11.1,11.7,12,12.1,10.6,9.6,9.7,8.7,10,12.2
"23","16","        Residential","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","17","        Office","W182RX1",2.7,2.6,2.3,2,1.8,1.7,2.1,2.7,2,1.6,1.8,1.2,1.1,1.5
"25","18","        Commercial","W183RX1",0.9,1.1,1.1,0.9,0.8,0.6,0.7,1.5,1.2,1.1,1,0.8,0.7,0.6
"26","19","        Health care","W184RX1",1.9,1.4,1.1,1,0.9,1,0.8,0.7,0.8,0.7,0.9,0.8,1.6,2.1
"27","20","        Educational","W185RX1",0.5,0.4,0.4,0.5,0.6,0.9,0.9,0.8,0.3,0.3,0.3,0.3,0.3,0.3
"28","21","        Public safety","W186RX1",2.9,2.8,2.5,2.1,1.5,1.6,0.9,0.5,0.3,0.2,0.5,0.5,0.4,0.3
"29","22","        Amusement and recreation","W187RX1",0.9,0.9,0.8,0.8,0.5,0.5,0.7,0.3,0.2,0.1,0.2,0.2,0.2,0.6
"30","23","        Transportation","W188RX1",0.5,0.5,0.5,0.5,0.5,0.7,0.4,0.5,0.2,0.2,0.2,0.2,0.2,0.2
"31","24","        Power","W189RX1",0.1,0.1,0.1,0.1,0.2,0.4,1.3,1,0.8,0.7,0.4,0.6,0.7,0.7
"32","25","        Highways and streets","W190RX1",0.7,0.6,0.6,0.7,0.7,0.7,0.6,0.8,0.6,0.5,0.5,0.4,0.4,0.7
"33","26","        Conservation and development","W191RX1",2.3,2.3,2.5,2.5,2.7,2.9,2.6,2.6,2.7,3,2.8,2.6,3.3,4.2
"34","27","        Other \4\","W192RX1",0.8,0.8,0.8,0.9,0.9,0.8,0.9,0.8,1.6,1.3,1.2,1,1,1.1
"35","28","      Net purchases of used structures","B841RX1",-0.4,1.2,1.2,-1.5,-1.3,0,-0.1,-2.2,-2.3,-0.8,0,0.9,0.4,1.5
"36","29","  State and local","A842RX1",196.7,196.5,210.9,222.2,234.8,244.2,245.5,241.3,230.8,231.4,227.6,227.9,222.2,210.6
"37","30","    New","A843RX1",192.5,191.4,205.5,217,233,237.8,238.7,235,225.8,226.4,221.4,221.5,215.7,204
"38","31","      Residential","W147RX1",6.5,6.3,6.4,5.6,6.3,6.6,6.4,6.4,6.1,4.2,4.5,4.7,5.7,7.5
"39","32","      Office","W193RX1",15.8,16.9,18,19.6,21.7,23.3,22.5,22.4,20.7,16.5,16.7,16.9,16.7,15.5
"40","33","      Commercial","W194RX1",0.2,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.4
"41","34","      Health care","W195RX1",4.6,4.4,3.9,3.8,4,4.9,4.8,4.8,5,4.2,5,5.3,5.3,5.1
"42","35","      Educational","W148RX1",47.3,47.1,53.2,56.8,61.4,63.5,64.6,64.6,63.5,67.3,65.5,67.1,61.8,53
"43","36","      Public safety","W196RX1",5.6,5.7,5.9,5.8,5.6,5.1,4.5,4.4,4,3.5,4.1,4.1,3.9,3.1
"44","37","      Amusement and recreation","W197RX1",6.6,6.4,6.6,7.8,8.3,8.3,7.2,7,7,5.7,6.5,6.7,6.6,6.2
"45","38","      Transportation","W198RX1",14.7,13.9,15.2,19.2,20.4,21.1,21.4,20.2,17.6,13.2,13.4,14.4,16,16.1
"46","39","      Power","W199RX1",4,3.1,4.1,4.7,4.7,4.8,7.3,6,6.3,7.4,9.6,8.4,9,8
"47","40","      Highways and streets","W149RX1",61.5,62.7,66.6,68.3,73.5,70.6,68.8,68.4,65.2,66,58.8,57.2,56.3,55.5
"48","41","      Sewer systems","W150RX1",12.8,11.6,11.7,10.9,12.2,13.4,14.1,14.5,14.6,19.4,18.3,18.7,17.8,18
"49","42","      Water systems","W168RX1",10.2,10.4,11,10.5,11.6,12.8,12.9,12.7,12.6,15.9,14.9,14.8,13.9,13.3
"50","43","      Conservation and development","W169RX1",2.4,2.4,2.7,3.4,3,2.6,2.5,2.7,2.6,2.4,3,3,2.8,2.6
"51","44","      Other \5\","W200RX1",0.4,0.5,0.2,0.4,0.2,0.8,1.2,0.5,0.3,0.5,1.1,0.5,0.1,0.4
"52","45","    Net purchases of used structures","B870RX1",4.3,5.1,5.4,5.2,1.7,6.4,6.9,6.4,4.9,5,6.3,6.5,6.6,6.8
"53","46","Equipment and software \2\","A871RX1",88.5,96.7,106.3,109.8,113.5,121.4,127.2,136.6,145.5,157.3,166.4,184.4,188.4,197.5
"54","47","  Federal","A872RX1",55.4,58.9,64.3,65.2,68,75.5,80,87.9,94.7,102.2,104.9,120,123.5,131.3
"55","48","    National defense","A873RX1",38.9,40.1,42.4,43.6,46.3,52.7,57,63.3,66.8,71.9,75.1,87,89.7,94.9
"56","49","      Aircraft","B874RX1",5.3,5.4,5.6,6.5,7.6,8.8,8.7,10.8,13.5,13.7,13.1,13.3,13.6,16.6
"57","50","      Missiles","B875RX1",2.9,3.3,3,2.8,3.5,3.5,3.6,4.1,4,4.5,4.2,4.3,4.9,5.6
"58","51","      Ships","B876RX1",7.3,7.7,8.2,7.8,8.5,10.2,11.1,10.6,9.8,9.7,9,9,9.6,9.7
"59","52","      Vehicles","B877RX1",1.3,1.5,1.7,1.8,2,2.7,3.2,2.8,3.9,5,6,8.9,8.5,9.1
"60","53","      Electronics and software","B878RX1",7.5,7.9,8.7,9,8.9,9.4,10.2,11.3,12.6,14.4,16.8,21.1,21.2,21.8
"61","54","      Other equipment","B879RX1",14.9,14.6,15.6,15.7,15.7,18.3,20.5,23.7,22.9,24.7,26.2,30.9,32.3,32.6
"62","55","    Nondefense","B880RX1",16.6,18.7,21.7,21.5,21.6,22.7,23,24.6,28,30.3,29.7,33,33.7,36.3
"63","56","  State and local","B881RX1",33.1,37.7,41.8,44.3,45.3,45.8,47.2,48.6,50.8,55.2,61.6,64.4,64.8,66.2
"64","57","Residual","A967RX1",-5.6,-3,-2.1,-1.6,-1.9,-2.3,-1.5,-0.5,-0.1,-0.5,-1.7,-4,-4.4,-7.2
