"","Table 7#3#6# Real Farm Sector Output, Real Gross Value Added, an","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Billions of chained (2005) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/27/2011 4:16:56 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","Farm output","A2000X1",211.6,215.9,231,232.3,237.6,240.6,237.2,236.2,246.1,250.2,251.5,251.9,255.4,255,265.7,266.9
"9","2","  Cash receipts from farm marketings","A2001X1",218.2,204.7,222.2,223.7,230,234.8,227,231.2,235.5,230.1,240,242.1,244.8,243,257.5,258.2
"10","3","    Crops","B1005X1",105.2,94.4,105.5,106.1,109.1,111.6,105.8,106.6,110.7,107.9,115,114.9,117,113.4,125.9,125.9
"11","4","    Livestock","B1006X1",112.6,111.5,117,117.9,121.2,123.4,121.5,125.1,124.9,122.3,125.1,127.2,127.7,130.5,129.7,130.6
"12","5","  Farm products consumed on farms","B1008X1",0.6,0.5,0.5,0.5,0.5,0.4,0.3,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.3
"13","6","  Other farm income","B1009X1",6.4,5.7,7.2,8.7,10.4,9.3,10.3,9.9,10.6,11.7,11.3,12.3,10.1,9.9,9.4,9.2
"14","7","  Change in farm finished goods inventories","W248RX1",-10.8,7.3,3.1,1.1,-2.2,-2.5,0.8,-4.5,0.4,8.1,-0.2,-3.4,-0.6,1.4,-1.6,-1
"15","8","    Crops","B1010X1",-8.4,6.2,2.7,1.1,-1.2,-1.6,1.2,-3.2,1.1,7.1,-1.5,-3.5,-0.2,1.9,-0.6,-0.1
"16","9","    Livestock","B1011X1",0.4,-1.6,-0.6,-0.4,-0.9,-0.8,-0.5,-0.8,-1,0.6,1.3,0.5,-0.4,-1.6,-0.9,-1.1
"17","10","Less: Intermediate goods and services consumed","A2003X1",164.4,154.5,160.9,167.2,168.5,159.2,162.1,157.2,156,152.7,149.5,152.6,164.7,152.9,150.4,151.9
"18","11","      Other than rent","W249RX1",149.8,139.1,145.2,151.6,156.2,147.1,149.7,146.1,146.8,144,141.5,144.9,157.6,144.1,141.3,143.2
"19","12","        Intermediate goods and services purchased, other than rent","B1012X1",147.3,140.2,145.8,152.2,154.7,147.9,149,147.6,146.5,143.8,141.8,144.6,157.4,143.7,141.3,142.8
"20","13","        Less: Change in farm materials and supplies inventories","W250RX1",-2.4,1,0.6,0.6,-1.4,0.7,-0.7,1.4,-0.3,-0.2,0.3,-0.3,-0.2,-0.4,0.1,-0.4
"21","14","      Rent paid to nonoperator landlords","B1013X1",14.5,15.1,15.5,15.4,12.3,12,12.3,11,9.3,8.7,7.9,7.8,7,9,9.5,9
"22","15","Equals: Gross farm value added","B359RX1",56.4,65.3,72.5,69.4,72.8,83.5,77.7,81.2,91.6,97.9,102,99.1,90.3,101.7,117.1,116.5
"23","16","Less: Consumption of fixed capital","B366RX1",23.1,23.6,24.2,25.2,25.7,26,26.3,26.9,27.7,28.5,29.5,30.3,31,29.5,30,30.6
"24","17","Equals: Net farm value added","A365RX1",35,42.2,48,44.6,47.3,57.8,51.6,54.5,64.1,69.4,72.5,68.7,59.2,71,85.9,84.6
"25",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","18","  Change in farm inventories \1\","B018RX1",-13,8.3,3.7,1.6,-3.7,-1.8,0.1,-3.1,0.1,7.9,0.1,-3.7,-0.8,1,-1.5,-1.4
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","quantity index and the 2005 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
