"","Table 6#15D# Net Interest by Industry                           ","F2","F3","F4","F5","F6","F7","F8"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2002",NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA
"4","Data published February  13, 2004",NA,NA,NA,NA,NA,NA,NA
"5","File created 3/24/2004 6:04:31 PM",NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002
"8","1","      Net interest","B060RC0",478653,486783,547616,554956,570309
"9","2","Domestic industries","A1850C0",555710,569310,649797,676261,696940
"10","3","  Agriculture, forestry, fishing, and hunting","N1851C0",10184,10499,11486,10608,10178
"11","4","  Mining","N1852C0",4167,4572,5999,6857,6715
"12","5","  Utilities","N1853C0",19433,19871,23954,27209,26570
"13","6","  Construction","N1854C0",5825,5762,7558,7780,7058
"14","7","  Manufacturing","N1855C0",47844,56569,65295,62891,69493
"15","8","    Durable goods","N1856C0",14327,19515,24891,23481,29330
"16","9","    Nondurable goods","N1857C0",33517,37054,40404,39410,40163
"17","10","  Wholesale trade","N1858C0",14826,15571,17972,13978,13218
"18","11","  Retail trade","N1859C0",14794,13770,20184,17951,16980
"19","12","  Transportation and warehousing","N1860C0",6653,8611,9440,10085,9705
"20","13","  Information","N1861C0",20839,24273,28245,36357,36726
"21","14","  Finance, insurance, real estate, rental, and leasing","N1862C0",375988,364165,420994,443981,484351
"22","15","    Finance and insurance","N1863C0",126,-37377,-23059,-34499,-9793
"23","16","    Real estate and rental and leasing","N1864C0",375862,401541,444053,478480,494144
"24","17","  Professional and business services","N1865C0",14223,22468,12151,12420,-9048
"25","18","    Professional, scientific, and technical services","N1866C0",728,1582,1124,889,623
"26","19","    Management of companies and enterprises","N1867C0",11566,18079,6504,6972,-13934
"27","20","    Administrative and waste management services","N1868C0",1929,2807,4524,4559,4263
"28","21","  Educational services, health care, and social assistance","N1869C0",5597,6117,6794,6553,6050
"29","22","  Arts, entertainment, recreation, accommodation, and food services","N1870C0",13486,14837,17253,17117,16643
"30","23","  Other services, except government","N1871C0",1851,2224,2471,2475,2301
"31","24","Rest of the world","A1627C0",-77058,-82526,-102182,-121305,-126631
"32","25","  Receipts from the rest of the world","A2067C0",137719,141262,177245,137299,93535
"33","26","  Less: Payments to the rest of the world","B1869C0",214777,223789,279427,258604,220166
"34",NA,NA,NA,NA,NA,NA,NA,NA
"35","Note.  Estimates in this table are based on the 1997 North American Industry",NA,NA,NA,NA,NA,NA,NA
"36","Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA
