"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1946 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 5, 2004  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/24/2004 6:09:44 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8",NA,"          Monetary interest"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Monetary interest paid","A2061C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.1,48.6,54.4,60.4,67.2,74.4,84.1,92.2,104.6,123.4,141.8,151,168.6,213.5,267,276.1,298.2,338.1,412.8,537.9,688.2,915.5,1028.2,1015.8,1182.4,1263.9,1313.1,1375.2,1547.7,1826,1858.9,1756,1569.1,1498.7,1624.6,1872.1,1955.4,2120.7,2304.2,2388.7,2806.4,2700,2449.6,NA
"10","2","  Domestic business \1\","A2062C1",3.9,4.4,5,5.5,6,6.9,7.9,8.7,9.5,10.7,12.3,14.5,15.9,17.9,20.4,22,25.3,28.5,31.9,36,42.1,47.3,54.4,67.3,80.1,85,95.6,127.5,167.4,167.7,174.7,196.8,241.7,325.3,426.8,585.7,646.9,604.4,697.4,738.2,754.2,792.7,913.3,1116.9,1103.5,991.7,828.3,770.3,863.2,1013.7,1057.7,1170,1318.4,1390.2,1712.3,1651.4,1471.8,NA
"11","3","    Corporate business","A2063C1",2.7,3,3.3,3.7,4,4.6,5.3,5.9,6.5,7.3,8.6,10.3,11.4,13,15.1,16.2,19,21.6,24.1,27.4,32.7,37,43.1,54.4,65.3,68.2,76.2,104.2,139.2,136.4,140.6,158.7,197.5,270,358.5,501.9,552.9,506,582.7,611.9,617.8,659.9,766.1,949,936.9,831.5,681.6,627.8,711.6,852.5,888.2,982.8,1107.4,1172.5,1453.5,1379.6,1200,NA
"12","4","      Financial","A1100C1",0.9,1,1.1,1.3,1.4,1.6,2,2.4,2.7,3.2,3.9,4.9,5.4,6.3,7.6,8.2,10,11.7,13.3,15.5,18.5,20.8,24,29.4,34.6,36.5,42.1,60.9,83.6,80.4,83.6,94.5,118.7,167,226,330.9,369,331.3,380,392.6,383.1,416.7,486.8,611.8,590.6,497.3,389.5,355.2,422,522.1,538.5,598.2,704.3,736.3,940.6,882.7,735.7,NA
"13","5","        On deposits \2\","B1305C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,5.5,6.2,7.8,9,10.4,12.1,14.1,16.2,18.2,20.1,21.8,25.5,29.7,38.3,49.2,51.1,55.4,62.7,74.5,95.4,125.2,173.2,187.3,175.1,203.6,200.3,186.7,176.3,195.5,228.6,222.7,192.8,129.4,99,96.7,126.4,131.6,139.7,145.9,141.7,173,157.8,107.9,NA
"14","6","        On other liabilities","B1306C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,2.1,2,2.2,2.6,2.9,3.4,4.4,4.6,5.8,9.2,12.8,11,12.4,22.6,34.4,29.3,28.2,31.8,44.2,71.6,100.8,157.6,181.7,156.1,176.3,192.3,196.4,240.4,291.3,383.2,368,304.6,260.1,256.2,325.3,395.7,406.9,458.5,558.3,594.6,767.6,724.9,627.7,NA
"15","7","      Nonfinancial","B1101C1",1.8,2,2.2,2.4,2.6,3,3.3,3.5,3.8,4.1,4.7,5.5,6,6.7,7.6,8.1,9,9.9,10.8,11.9,14.1,16.2,19.2,25,30.7,31.7,34.2,43.3,55.5,56,57,64.3,78.8,103,132.6,171.1,183.9,174.7,202.7,219.3,234.7,243.2,279.3,337.2,346.3,334.2,292.1,272.6,289.6,330.4,349.8,384.7,403.2,436.3,512.9,496.9,464.3,NA
"16","8","    Sole proprietorships and partnerships","A2064C1",0.6,0.8,0.9,0.9,1.1,1.2,1.4,1.4,1.5,1.7,1.8,2,2.2,2.4,2.6,2.8,3.1,3.4,4,4.4,4.9,5.5,6.1,7.4,8.7,10,11.8,14.7,18.4,20.2,21.9,24.4,29,38.2,48.8,62,70.7,74,87.2,95.4,101.5,95.4,106.9,124.1,121.3,114.3,103.3,102.6,112.5,121.2,129.2,145.4,167.5,171.2,207.1,216.5,214.1,NA
"17","9","      Farm","B1103C1",0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.1,1.3,1.3,1.5,1.7,1.9,2.1,2.3,2.5,2.8,2.9,3.2,3.7,4.6,5.1,5.9,6.8,8.2,10.4,13,15.8,17.3,17,16.7,14.4,12.6,11.8,10.7,10.3,9.8,8.9,8,8,8.7,9.1,9.5,9.6,9.8,9.5,10.2,9.4,9,NA
"18","10","      Nonfarm","B1102C1",0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.8,1,1.1,1.2,1.3,1.4,1.5,1.7,1.9,2.1,2.4,2.7,3,3.4,3.9,4.9,5.9,7.1,8.6,11,13.9,15.1,16,17.6,20.8,27.7,35.9,46.2,53.4,57,70.5,80.9,88.9,83.6,96.2,113.9,111.5,105.4,95.3,94.6,103.8,112.1,119.7,135.8,157.8,161.7,196.8,207.1,205,NA
"19","11","    Other private business","A2065C1",0.6,0.6,0.7,0.9,1,1.1,1.3,1.4,1.6,1.7,1.9,2.1,2.3,2.5,2.7,3,3.2,3.5,3.8,4.2,4.5,4.8,5.2,5.5,6.1,6.8,7.5,8.6,9.8,11.1,12.2,13.6,15.1,17.1,19.5,21.8,23.3,24.5,27.5,30.9,34.9,37.4,40.3,43.8,45.3,45.9,43.3,40,39.1,40,40.3,41.8,43.4,46.4,51.7,55.3,57.7,NA
"20","12","      Rental income of persons","B1130C1",0.6,0.6,0.7,0.8,1,1.1,1.2,1.4,1.5,1.7,1.8,2,2.3,2.4,2.6,2.9,3.1,3.4,3.7,4.1,4.4,4.6,5,5.4,6,6.6,7.4,8.4,9.5,10.5,11.5,12.6,13.9,15.5,17.2,18.8,20.3,21.5,24.7,28.7,32.8,35.4,38.3,41.4,42.9,43.7,41.3,38,37.2,38.6,39,40.5,42.2,45.2,50.5,54.1,56.5,NA
"21","13","      Proprietors' income","B2631C1",0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.3,0.6,0.8,1,1.2,1.7,2.3,3,3,3,2.7,2.3,2.1,2,2.1,2.5,2.4,2.2,2,1.9,1.9,1.4,1.3,1.2,1.2,1.2,1.2,1.2,1.2,NA
"22","14","  Households and nonprofit institutions","W291RC1",1.8,2.3,2.9,3.4,4.2,4.7,5.4,6.4,7.1,8.2,9.5,10.5,11.3,12.6,14.2,15.2,16.6,18.4,20.5,22.7,24.5,25.8,28.3,31.7,34.3,37.5,42.3,48.8,54.5,58.5,65.7,76.8,92.9,112.2,134.8,155.9,177.2,193.7,221.7,248.7,271.5,283.3,301.7,331.8,351.7,359.1,353.7,346.6,355.8,397.7,424,453.2,475.5,499,555,574.7,573,NA
"23","15","    Households","W292RC1",1.7,2.2,2.8,3.3,4.1,4.7,5.3,6.3,7,8.1,9.4,10.4,11.2,12.5,14.1,15.1,16.5,18.2,20.3,22.4,24.2,25.4,27.8,31.1,33.5,36.7,41.4,47.7,53.2,57.1,64.1,75.2,90.8,109.5,131.4,151.6,171.9,187.6,213.6,240.8,262.4,273.8,291,320.1,339.8,346.8,340.9,331.8,341.9,383,408.3,436.8,458.5,481.7,537.4,557.1,557.4,NA
"24","16","      Owner-occupied housing","W498RC1",1,1.2,1.4,1.6,1.8,2.1,2.5,2.8,3.2,3.6,4.3,5,5.7,6.3,7.1,7.7,8.6,9.4,10.3,11.3,12.2,12.9,13.9,15.4,16.7,18.8,21.7,25.3,29,32.6,37.5,44.5,53.3,64.9,77.7,90.7,104.5,115.1,129.8,145.2,159.8,171.1,183.2,198.8,213,220.1,221.5,214.5,216.2,234.6,242.7,257.9,269.7,287.2,316.9,335.9,351.9,NA
