"","Table 2#3#5U# Personal Consumption Expenditures by Major Type of","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56"
"1","[Millions of dollars; quarters and months are seasonally adjusted at annual rates]                                                                                                                                                                        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 30, 2012    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/29/2012 4:23:47 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8",NA,"Personal consumption expenditures by major type of product (From NIPA table 2.3.5):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","      Personal consumption expenditures (PCE)","DPCERC0",317704,331795,342185,363336,382713,411454,443811,480893,507783,558001,605124,648301,701613,770230,852013,932932,1033788,1151254,1277823,1427621,1591167,1755826,1939506,2075495,2288576,2501083,2717608,2896746,3096960,3350056,3594490,3835453,3980073,4236891,4483594,4750806,4987280,5273608,5570626,5918488,6342784,6830371,7148807,7439191,7804120,8270574,8803526,9300999,9772270,10035524,9866119,10245518,10725959
"10","2","Goods","DGDSRC0",172607,177015,178809,188969,198154,212254,229676,249620,258991,284615,304677,318794,342116,373815,416636,451539,491334,546305,600383,663567,737938,799792,869373,899292,973780,1063700,1137606,1195629,1256296,1337308,1423803,1491302,1497435,1563269,1642347,1746554,1815532,1917673,2006764,2110021,2289994,2459132,2534006,2609957,2728045,2892117,3076728,3224733,3363945,3381677,3197468,3387001,3646577
"11","3","  Durable goods","DDURRC0",44887,45626,44206,49464,54228,59557,66391,71745,73981,84827,90482,89988,102447,116444,130527,130177,142165,168624,191963,213349,226340,226390,243940,253032,295029,342156,380363,421440,442021,475052,494328,497080,477185,508082,551532,607171,635738,676297,715530,780006,857356,915778,946347,992102,1019918,1072866,1123352,1154973,1188447,1108861,1029628,1085484,1162863
"12","4","    Motor vehicles and parts","DMOTRC0",18789,19582,17722,21386,24246,25802,29645,29927,29601,35414,37448,34538,43233,49365,54358,48166,52643,68172,79796,89173,90175,84430,93017,100014,122945,147192,170065,187519,188181,202213,207771,205119,185748,204798,224715,249843,255709,273486,293083,320205,350729,363227,383290,401347,401025,403873,408191,394812,399919,339275,316548,340124,378569
"13","5","    Furnishings and durable household equipment","DFDHRC0",15517,15424,15572,16423,17510,19517,20661,22643,23679,26089,27588,28152,29944,33522,37961,40891,42612,47172,53355,59004,65254,67843,71461,71811,79770,88832,94619,103455,109536,115154,121387,120941,118786,124288,131367,140510,146742,153535,160491,173579,191185,208105,214939,225868,231789,246995,261281,271453,271297,257887,235347,243782,253398
"14","6","    Recreational goods and vehicles","DREQRC0",6369,6365,6581,6943,7565,8772,10086,12278,13578,15333,16732,17924,19197,22591,25346,26585,30363,34172,37730,41702,45835,46490,49879,51287,58655,67844,74074,83016,91802,99877,103905,105558,107716,110995,123473,140340,153723,164929,174632,192072,212709,234066,239766,251507,265711,290507,312815,334090,349401,344012,316559,329755,344592
"15","7","    Other durable goods","DODGRC0",4212,4255,4331,4712,4907,5466,5999,6897,7123,7991,8714,9374,10073,10966,12862,14535,16547,19108,21082,23470,25076,27627,29583,29920,33659,38288,41605,47450,52502,57808,61265,65462,64935,68001,71977,76478,79564,84347,87324,94150,102733,110380,108352,113380,121393,131491,141065,154618,167830,167687,161174,171823,186304
"16","8","  Nondurable goods","DNDGRC0",127720,131389,134603,139505,143926,152697,163285,177875,185010,199788,214195,228806,239669,257371,286109,321362,349169,377681,408420,450218,511598,573402,625433,646260,678751,721544,757243,774189,814275,862256,929475,994222,1020250,1055187,1090815,1139383,1179794,1241376,1291234,1330015,1432638,1543354,1587659,1617855,1708127,1819251,1953376,2069760,2175498,2272816,2167840,2301517,2483714
"17","9","    Food and beverages purchased for off-premises consumption","DFXARC0",61597,62556,63747,64656,65870,69491,74442,80610,82559,88831,95371,103506,107125,114472,126715,143038,156566,167297,179770,196112,218370,239167,255339,267141,277036,291102,302953,316415,324312,342807,365388,391176,402953,404465,413472,432109,443747,461879,474776,486506,513569,537457,559707,569607,587529,612963,644493,674192,711207,746394,746046,766356,808593
"18","10","    Clothing and footwear","DCLORC0",25367,25939,26571,27859,28618,31085,32659,35812,37547,41260,44331,45450,49046,53491,59243,62423,66867,72191,79305,89317,96371,103002,113178,116745,126445,137621,146845,157201,167726,178213,190397,195245,199098,211234,219054,227435,231245,239542,247496,257805,271097,280831,277868,278836,286162,298697,314019,327312,335432,330907,318233,334296,350335
"19","11","    Gasoline and other energy goods","DGOERC0",15290,15809,15723,16316,16922,17659,19132,20656,21876,23217,24968,26286,27647,29393,34325,43849,48020,53013,57817,61453,80388,101898,113443,108350,106456,108200,110532,91191,96369,99850,110439,124199,121129,125007,126882,129231,133405,144745,147662,133359,148811,188836,183583,174562,209475,249423,303787,335246,364765,410459,299425,354117,428220
"20","12","    Other nondurable goods","DONGRC0",25466,27085,28562,30674,32516,34462,37052,40797,43028,46480,49525,53564,55851,60015,65826,72052,77716,85180,91528,103336,116469,129335,143473,154024,168814,184621,196913,209382,225868,241386,263251,283602,297070,314481,331407,350608,371397,395210,421300,452345,499161,536230,566501,594850,624961,658168,691077,733010,764094,785056,804136,846748,896566
"21","13","Services","DSERRC0",145097,154780,163376,174367,184559,199200,214135,231273,248792,273386,300447,329507,359497,396415,435377,481393,542454,604949,677440,764054,853229,956034,1070133,1176203,1314796,1437383,1580002,1701117,1840664,2012748,2170687,2344151,2482638,2673622,2841247,3004252,3171748,3355935,3563862,3808467,4052790,4371239,4614801,4829234,5076075,5378457,5726798,6076266,6408325,6653847,6668651,6858517,7079382
"22","14","  Household consumption expenditures (for services)","DHCERC0",140037,149504,157911,168660,178559,192506,206943,223522,240371,264040,290365,318418,347168,382800,420748,464960,524404,584880,655649,739581,825430,924146,1033869,1136113,1271888,1389792,1529656,1645750,1782132,1945987,2098971,2264537,2398393,2581279,2746625,2901883,3064578,3240220,3451614,3677472,3907383,4205871,4428597,4624229,4864814,5169082,5515091,5836289,6154409,6369261,6388394,6578305,6794899
"23","15","    Housing and utilities","DHUTRC0",52849,56720,60301,64476,68208,72148,76618,81226,86344,92748,100982,109421,119981,131185,143486,158579,176527,194663,217806,244279,273403,311818,351952,386968,421162,458269,500668,535685,571808,614452,655601,696356,735540,771188,814503,866466,913779,961246,1009908,1065238,1125044,1198555,1287742,1334765,1393886,1462379,1582577,1686178,1756151,1831039,1871577,1893153,1921310
"24","16","    Health care","DHLCRC0",14831,16030,17120,19135,20978,24150,26038,28678,31929,36576,42059,47663,53725,59842,67175,76083,89000,101849,115691,131202,148840,171661,201914,225182,253125,276478,302195,330160,366011,410051,451209,506202,555759,612785,648809,680461,719886,752067,790949,832046,863590,918425,996565,1082873,1148152,1228489,1308890,1373655,1457692,1532617,1604238,1667370,1730357
"25","17","    Transportation services","DTRSRC0",8696,9180,9562,10133,10621,11350,12133,13067,14275,15872,17977,20043,22359,24544,26078,28472,32045,36155,41395,45200,50705,55366,59790,61729,68899,80016,90145,95009,103098,114150,121848,126372,123674,133622,146099,161896,177946,194955,214308,227160,243284,262252,262724,256730,263207,273708,285961,297494,307022,305911,287065,295491,305137
"26","18","    Recreation services","DRCARC0",5921,6480,6945,7455,7926,8480,8976,9768,10452,11703,12925,14001,15118,16329,18348,20948,23653,26535,29562,32850,36725,40837,47125,52473,59430,66117,73958,80369,87276,99233,110665,121766,127181,139799,153375,164661,181092,195583,208318,220587,238788,255475,263552,272833,290088,313293,328233,351447,375350,381909,371227,382585,400516
"27","19","    Food services and accommodations","DFSARC0",19738,20485,20964,22257,23306,24878,27181,29635,30957,34594,37461,41624,43797,48886,54832,60614,68821,77801,85665,97104,110921,121721,133915,142508,153550,164916,174300,186687,204379,225847,242597,262735,273394,286313,298607,308668,316717,327398,344560,363009,381580,410126,421228,438183,464167,499079,533906,570198,600498,618252,610303,638016,680059
"28","20","    Financial services and insurance","DIFSRC0",12484,13551,14765,15351,15909,17740,19394,21273,22842,25796,28501,31071,34137,38337,41497,45903,54014,59257,67786,80627,87623,95599,101995,116322,145873,156555,180539,196665,207127,219409,235741,253218,281979,311759,341016,349027,364689,393631,431297,469649,514234,569962,562791,576166,602466,651686,698429,732625,790290,806980,747808,780245,804843
"29","21","    Other services","DOTSRC0",25518,27058,28254,29853,31611,33760,36603,39875,43572,46751,50460,54595,58051,63677,69332,74361,80344,88620,97744,108319,117213,127144,137178,150931,169849,187441,207851,221175,242433,262845,281310,297888,300866,325813,344216,370704,390469,415340,452274,499783,540863,591076,633995,662679,702848,740448,777095,824692,867406,892553,896176,921445,952677
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC0",5060,5276,5465,5707,6000,6694,7192,7751,8421,9346,10082,11089,12329,13615,14629,16433,18050,20069,21791,24473,27799,31888,36264,40090,42908,47591,50346,55367,58532,66761,71716,79614,84245,92343,94622,102369,107170,115715,112248,130995,145407,165368,186204,205005,211261,209375,211707,239977,253916,284586,280257,280212,284483
