"","Table 2#7A# Wage and Salary Disbursements by Industry, Monthly","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1959","1959","1959","1959","1959","1959","1959","1959","1959","1959","1959","1959","1960","1960","1960","1960","1960","1960","1960","1960","1960","1960","1960","1960","1961","1961","1961","1961","1961","1961","1961","1961","1961","1961","1961","1961","1962","1962","1962","1962","1962","1962","1962","1962","1962","1962","1962","1962","1963","1963","1963","1963","1963","1963","1963","1963","1963","1963","1963","1963","1964","1964","1964","1964","1964","1964","1964","1964","1964","1964","1964","1964","1965","1965","1965","1965","1965","1965","1965","1965","1965","1965","1965","1965","1966","1966","1966","1966","1966","1966","1966","1966","1966","1966","1966","1966","1967","1967","1967","1967","1967","1967","1967","1967","1967","1967","1967","1967","1968","1968","1968","1968","1968","1968","1968","1968","1968","1968","1968","1968","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12"
"20","1","    Wage and salary disbursements","A576RC1","252,231.0","253,665.0","256,137.0","258,499.0","260,805.0","262,366.0","262,115.0","260,260.0","260,321.0","261,189.0","263,323.0","267,194.0","270,229.0","270,773.0","271,250.0","272,934.0","273,751.0","273,512.0","274,045.0","273,868.0","273,980.0","275,044.0","273,726.0","271,158.0","273,468.0","273,448.0","274,452.0","275,619.0","277,299.0","279,981.0","281,189.0","282,545.0","283,022.0","285,785.0","288,965.0","290,458.0","290,653.0","293,226.0","295,949.0","298,159.0","298,520.0","299,561.0","300,377.0","300,625.0","302,522.0","302,481.0","304,636.0","305,585.0","306,495.0","307,934.0","309,458.0","310,207.0","311,992.0","314,868.0","315,044.0","316,754.0","318,738.0","320,889.0","321,628.0","324,204.0","325,066.0","329,013.0","330,586.0","332,803.0","334,908.0","336,788.0","338,498.0","341,864.0","343,516.0","343,649.0","346,451.0","350,309.0","351,005.0","352,860.0","354,580.0","356,307.0","359,451.0","360,878.0","363,525.0","365,927.0","369,195.0","373,819.0","377,182.0","380,364.0","382,485.0","385,999.0","388,804.0","392,700.0","395,463.0","399,546.0","403,511.0","406,415.0","408,471.0","411,774.0","413,663.0","415,018.0","418,304.0","418,185.0","420,030.0","421,806.0","422,713.0","426,290.0","429,317.0","432,525.0","434,181.0","435,289.0","440,477.0","448,980.0","449,001.0","455,186.0","458,441.0","461,605.0","466,188.0","469,972.0","474,568.0","478,123.0","482,304.0","485,626.0","489,848.0","492,796.0","495,596.0","498,217.0","503,387.0","507,273.0","511,310.0","515,566.0","521,930.0","526,925.0","530,430.0","533,952.0","536,432.0","538,970.0"
"21","2","Private industries","A132RC1","206,835.0","208,185.0","210,645.0","212,851.0","214,953.0","216,334.0","216,023.0","213,976.0","213,989.0","214,713.0","216,595.0","220,358.0","222,781.0","223,109.0","223,226.0","224,562.0","225,043.0","224,684.0","224,641.0","223,912.0","223,724.0","224,632.0","223,206.0","220,566.0","222,612.0","222,304.0","223,140.0","223,995.0","225,627.0","227,877.0","228,821.0","229,841.0","229,718.0","232,145.0","234,665.0","235,834.0","235,753.0","237,822.0","240,353.0","242,431.0","242,708.0","243,173.0","244,001.0","244,165.0","245,894.0","245,433.0","246,868.0","247,529.0","248,163.0","249,290.0","250,574.0","251,107.0","252,784.0","255,036.0","255,284.0","256,502.0","258,210.0","259,281.0","259,720.0","261,948.0","262,258.0","265,857.0","267,178.0","269,131.0","270,768.0","272,120.0","273,818.0","276,080.0","277,348.0","276,893.0","279,695.0","283,205.0","283,781.0","285,396.0","286,912.0","288,087.0","290,943.0","291,962.0","293,853.0","295,667.0","297,663.0","301,483.0","303,982.0","306,444.0","307,953.0","311,035.0","313,516.0","316,596.0","318,615.0","321,870.0","324,383.0","326,567.0","328,047.0","330,474.0","331,691.0","332,434.0","335,240.0","334,761.0","336,162.0","337,350.0","337,789.0","340,682.0","342,857.0","345,453.0","346,509.0","347,005.0","351,533.0","354,960.0","357,165.0","362,414.0","364,769.0","367,153.0","370,992.0","374,008.0","376,384.0","379,303.0","383,088.0","386,026.0","389,816.0","392,272.0","394,736.0","396,925.0","401,687.0","404,817.0","408,206.0","411,790.0","414,818.0","418,589.0","421,386.0","424,524.0","426,620.0","428,690.0"
"22","3","  Goods-producing industries","A206RC1","106,446.0","107,134.0","108,821.0","110,103.0","111,454.0","112,299.0","111,785.0","109,086.0","109,110.0","108,788.0","110,183.0","113,234.0","114,767.0","115,076.0","114,516.0","114,588.0","114,913.0","114,095.0","113,736.0","112,981.0","112,347.0","112,579.0","111,658.0","109,484.0","110,618.0","110,294.0","110,841.0","111,481.0","112,604.0","114,201.0","114,639.0","115,405.0","114,335.0","116,421.0","118,248.0","118,821.0","118,292.0","119,706.0","120,916.0","122,501.0","122,184.0","122,190.0","122,729.0","122,774.0","123,697.0","123,197.0","123,976.0","123,980.0","124,522.0","124,510.0","124,945.0","125,384.0","126,471.0","127,366.0","127,857.0","128,044.0","129,144.0","129,569.0","129,726.0","130,849.0","130,211.0","132,390.0","133,272.0","134,520.0","134,954.0","135,622.0","136,515.0","137,635.0","138,608.0","137,126.0","139,093.0","141,477.0","141,941.0","143,206.0","143,643.0","143,521.0","144,994.0","146,067.0","146,371.0","147,121.0","147,894.0","149,762.0","151,256.0","153,082.0","153,655.0","156,229.0","157,825.0","159,429.0","160,213.0","162,183.0","162,435.0","164,131.0","164,997.0","165,806.0","166,257.0","166,150.0","167,498.0","166,001.0","166,388.0","166,434.0","166,376.0","167,371.0","168,684.0","170,661.0","169,989.0","170,020.0","173,207.0","174,713.0","175,678.0","178,824.0","179,551.0","180,799.0","182,706.0","183,412.0","184,464.0","185,299.0","187,059.0","188,884.0","190,732.0","191,925.0","192,815.0","193,385.0","196,090.0","197,552.0","198,911.0","200,205.0","201,981.0","203,368.0","204,443.0","205,284.0","204,938.0","205,965.0"
"23","4","    Manufacturing","A552RC1","83,750.0","84,651.0","86,128.0","87,100.0","88,337.0","88,998.0","88,902.0","86,235.0","86,475.0","86,018.0","86,823.0","89,826.0","91,437.0","91,485.0","91,425.0","90,861.0","91,053.0","90,393.0","89,949.0","89,253.0","88,641.0","88,786.0","87,861.0","86,168.0","86,949.0","86,865.0","87,093.0","87,911.0","88,981.0","89,955.0","90,533.0","91,220.0","89,924.0","91,921.0","93,533.0","94,063.0","93,932.0","94,931.0","95,870.0","96,954.0","96,776.0","97,066.0","97,296.0","97,106.0","97,864.0","97,553.0","98,046.0","98,119.0","98,599.0","98,683.0","99,115.0","99,187.0","100,101.0","100,738.0","101,063.0","100,920.0","101,761.0","102,278.0","102,819.0","103,612.0","103,336.0","104,430.0","105,164.0","106,138.0","106,547.0","106,872.0","107,653.0","108,746.0","109,803.0","107,543.0","109,657.0","111,687.0","112,142.0","112,778.0","113,486.0","113,484.0","114,181.0","115,022.0","115,875.0","116,200.0","116,801.0","118,220.0","119,446.0","120,504.0","121,563.0","123,499.0","124,559.0","126,316.0","126,955.0","128,266.0","128,735.0","130,393.0","131,138.0","132,232.0","132,544.0","132,267.0","133,252.0","132,145.0","132,469.0","132,564.0","132,334.0","133,031.0","133,450.0","135,780.0","135,023.0","135,047.0","137,534.0","138,912.0","140,191.0","141,998.0","142,447.0","143,280.0","145,023.0","145,908.0","146,332.0","146,710.0","148,101.0","149,902.0","150,970.0","151,696.0","152,324.0","152,655.0","154,796.0","155,445.0","156,189.0","157,513.0","158,961.0","160,286.0","160,906.0","161,469.0","160,735.0","161,342.0"
"24","5","  Distributive industries","A212RC1","63,347.0","63,700.0","64,101.0","64,573.0","65,177.0","65,530.0","65,299.0","65,805.0","65,549.0","65,908.0","66,193.0","66,577.0","67,393.0","67,351.0","68,105.0","68,776.0","68,736.0","68,963.0","69,083.0","68,951.0","68,915.0","69,582.0","68,874.0","68,238.0","68,847.0","68,680.0","68,492.0","68,737.0","68,961.0","69,365.0","69,903.0","69,729.0","70,425.0","70,698.0","70,851.0","70,965.0","71,297.0","71,774.0","72,785.0","72,669.0","73,087.0","73,430.0","73,458.0","73,473.0","74,142.0","73,987.0","74,365.0","74,750.0","74,422.0","75,141.0","75,815.0","75,752.0","76,126.0","77,081.0","76,683.0","77,337.0","77,811.0","77,995.0","78,180.0","78,873.0","79,179.0","79,970.0","80,203.0","80,485.0","81,384.0","81,836.0","82,323.0","83,124.0","83,039.0","83,719.0","84,032.0","85,086.0","85,085.0","85,386.0","85,927.0","86,663.0","87,277.0","86,865.0","87,785.0","88,473.0","89,017.0","90,166.0","90,528.0","91,061.0","91,679.0","92,104.0","92,480.0","93,449.0","94,189.0","94,913.0","96,157.0","95,988.0","96,311.0","97,480.0","97,828.0","98,077.0","99,187.0","99,484.0","99,844.0","100,214.0","100,660.0","101,442.0","101,741.0","101,992.0","103,052.0","103,084.0","103,946.0","104,534.0","105,327.0","106,554.0","107,627.0","108,063.0","109,094.0","110,669.0","111,271.0","112,459.0","113,595.0","113,980.0","115,160.0","115,677.0","115,952.0","116,996.0","118,325.0","119,339.0","120,381.0","121,451.0","122,073.0","123,397.0","124,108.0","125,143.0","126,326.0","126,988.0"
"25","6","  Service industries","A218RC1","37,042.0","37,351.0","37,723.0","38,175.0","38,322.0","38,505.0","38,939.0","39,085.0","39,330.0","40,017.0","40,219.0","40,547.0","40,621.0","40,682.0","40,605.0","41,198.0","41,394.0","41,626.0","41,822.0","41,980.0","42,462.0","42,471.0","42,674.0","42,844.0","43,147.0","43,330.0","43,807.0","43,777.0","44,062.0","44,311.0","44,279.0","44,707.0","44,958.0","45,026.0","45,566.0","46,048.0","46,164.0","46,342.0","46,652.0","47,261.0","47,437.0","47,553.0","47,814.0","47,918.0","48,055.0","48,249.0","48,527.0","48,799.0","49,219.0","49,639.0","49,814.0","49,971.0","50,187.0","50,589.0","50,744.0","51,121.0","51,255.0","51,717.0","51,814.0","52,226.0","52,868.0","53,497.0","53,703.0","54,126.0","54,430.0","54,662.0","54,980.0","55,321.0","55,701.0","56,048.0","56,570.0","56,642.0","56,755.0","56,804.0","57,342.0","57,903.0","58,672.0","59,030.0","59,697.0","60,073.0","60,752.0","61,555.0","62,198.0","62,301.0","62,619.0","62,702.0","63,211.0","63,718.0","64,213.0","64,774.0","65,791.0","66,448.0","66,739.0","67,188.0","67,606.0","68,207.0","68,555.0","69,276.0","69,930.0","70,702.0","70,753.0","71,869.0","72,432.0","72,800.0","73,468.0","73,901.0","74,380.0","75,392.0","76,161.0","77,038.0","77,592.0","78,292.0","79,192.0","79,925.0","80,647.0","81,545.0","82,433.0","83,161.0","83,922.0","84,668.0","85,968.0","86,545.0","87,271.0","87,926.0","88,915.0","90,134.0","90,765.0","91,825.0","92,837.0","94,098.0","95,357.0","95,736.0"
