"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"19","1","    Gross domestic product","A191RX1","4,258,163.0","4,266,295.0","4,409,497.0","4,643,763.0","4,912,813.0","4,885,743.0","4,875,355.0","5,136,908.0","5,373,062.0","5,672,779.0","5,850,052.0","5,833,996.0","5,982,080.0","5,865,934.0","6,130,933.0","6,571,503.0","6,843,419.0","7,080,461.0","7,307,037.0","7,607,391.0","7,879,198.0","8,027,052.0","8,008,303.0","8,280,000.0","8,516,176.0","8,863,103.0","9,085,963.0","9,425,844.0","9,845,924.0","10,274,741.0","10,770,650.0","11,216,398.0","11,337,473.0","11,543,115.0","11,836,427.0","12,246,929.0","12,622,956.0","12,958,492.0","13,206,365.0","13,161,939.0","12,703,117.0","13,087,981.0"
"20","2","       Final sales of domestic product","A190RX1","4,244,959.0","4,284,251.0","4,403,606.0","4,636,663.0","4,883,978.0","4,869,972.0","4,922,086.0","5,115,866.0","5,340,326.0","5,634,916.0","5,836,211.0","5,873,644.0","5,954,422.0","5,918,231.0","6,167,641.0","6,490,046.0","6,833,097.0","7,092,665.0","7,289,926.0","7,601,310.0","7,860,770.0","8,025,796.0","8,027,896.0","8,277,198.0","8,507,967.0","8,801,666.0","9,065,420.0","9,404,420.0","9,774,236.0","10,208,329.0","10,706,515.0","11,157,960.0","11,381,995.0","11,533,643.0","11,820,467.0","12,181,294.0","12,573,004.0","12,899,338.0","13,177,548.0","13,200,544.0","12,852,658.0","13,028,945.0"
"21","3","       Change in private inventories","A014RX1","30,279.0","5,605.0","24,989.0","25,674.0","39,010.0","29,070.0","-12,777.0","34,260.0","43,103.0","45,578.0","27,977.0","-9,328.0","38,959.0","-19,678.0","-7,650.0","78,263.0","25,419.0","8,491.0","33,196.0","21,918.0","30,620.0","16,566.0","-1,428.0","17,898.0","22,250.0","69,285.0","32,072.0","31,183.0","77,370.0","71,625.0","68,533.0","60,233.0","-41,771.0","12,769.0","17,339.0","66,326.0","49,953.0","59,423.0","27,725.0","-36,266.0","-144,938.0","58,781.0"
"22","4","       Residual","A958RX1","-17,100.0","-23,600.0","-19,100.0","-18,600.0","-10,200.0","-13,400.0","-33,900.0","-13,300.0","-10,300.0","-7,700.0","-14,100.0","-30,300.0","-11,300.0","-32,600.0","-29,000.0","3,200.0","-15,100.0","-20,700.0","-16,100.0","-15,800.0","-12,200.0","-15,300.0","-18,200.0","-15,100.0","-14,100.0","-7,900.0","-11,500.0","-9,800.0","-5,700.0","-5,200.0","-4,300.0","-1,800.0","-2,700.0","-3,300.0","-1,400.0","-700.0","0.0","-200.0","1,200.0","-2,300.0","-4,700.0","300.0"
"23","5","Goods","A353RX1","912,581.0","904,954.0","931,819.0","995,475.0","1,101,354.0","1,090,786.0","1,063,517.0","1,146,996.0","1,202,086.0","1,282,897.0","1,335,887.0","1,324,233.0","1,383,952.0","1,312,759.0","1,369,546.0","1,539,323.0","1,576,141.0","1,622,167.0","1,687,549.0","1,792,528.0","1,894,374.0","1,914,194.0","1,881,861.0","1,958,690.0","2,034,074.0","2,177,140.0","2,257,087.0","2,380,420.0","2,566,019.0","2,714,680.0","2,905,101.0","3,046,922.0","2,997,695.0","3,049,880.0","3,160,307.0","3,324,369.0","3,475,732.0","3,659,145.0","3,819,637.0","3,789,698.0","3,566,627.0","3,984,223.0"
"24","6","    Final sales","A325RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,234,168.0","2,356,617.0","2,502,102.0","2,654,832.0","2,846,960.0","2,993,505.0","3,034,211.0","3,038,040.0","3,142,378.0","3,259,060.0","3,425,779.0","3,599,900.0","3,792,121.0","3,834,741.0","3,732,121.0","3,921,934.0"
"25","7","    Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","32,072.0","31,183.0","77,370.0","71,625.0","68,533.0","60,233.0","-41,771.0","12,769.0","17,339.0","66,326.0","49,953.0","59,423.0","27,725.0","-36,266.0","-144,938.0","58,781.0"
"26","8","  Durable goods","A354RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,043,899.0","1,119,628.0","1,251,011.0","1,370,520.0","1,504,536.0","1,617,182.0","1,567,241.0","1,606,642.0","1,672,260.0","1,788,410.0","1,909,021.0","2,014,550.0","2,142,775.0","2,105,116.0","1,873,170.0","2,176,790.0"
"27","9","    Final sales","A326RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,017,907.0","1,105,366.0","1,216,700.0","1,334,849.0","1,469,153.0","1,582,680.0","1,606,677.0","1,588,793.0","1,658,019.0","1,750,374.0","1,873,801.0","1,989,526.0","2,133,067.0","2,129,906.0","1,994,518.0","2,128,404.0"
"28","10","    Change in private inventories \1\","A355RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","31,411.0","17,933.0","40,237.0","40,620.0","39,485.0","37,651.0","-46,426.0","18,125.0","13,514.0","38,127.0","35,220.0","25,249.0","10,778.0","-21,103.0","-105,887.0","41,534.0"
"29","11","  Nondurable goods","A356RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,251,782.0","1,295,199.0","1,338,708.0","1,356,957.0","1,406,211.0","1,429,000.0","1,432,861.0","1,444,491.0","1,488,811.0","1,536,034.0","1,566,711.0","1,644,627.0","1,678,409.0","1,684,798.0","1,683,744.0","1,806,826.0"
"30","12","    Final sales","A334RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,259,334.0","1,286,013.0","1,309,183.0","1,333,565.0","1,384,221.0","1,411,021.0","1,427,354.0","1,451,042.0","1,485,201.0","1,508,757.0","1,551,978.0","1,610,555.0","1,660,713.0","1,704,795.0","1,730,421.0","1,789,858.0"
"31","13","    Change in private inventories \1\","A357RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-3,262.0","12,492.0","36,112.0","29,535.0","27,667.0","21,389.0","7,299.0","-6,365.0","3,624.0","28,052.0","14,733.0","34,134.0","16,852.0","-15,466.0","-41,227.0","18,613.0"
"32","14","Services \2\","A341RX1","2,801,000.0","2,858,390.0","2,926,986.0","3,034,894.0","3,125,662.0","3,194,797.0","3,309,324.0","3,400,399.0","3,517,252.0","3,651,751.0","3,740,375.0","3,811,440.0","3,887,648.0","3,957,118.0","4,120,374.0","4,234,396.0","4,449,049.0","4,635,518.0","4,785,648.0","4,961,655.0","5,115,117.0","5,269,660.0","5,363,376.0","5,522,021.0","5,648,317.0","5,781,542.0","5,902,850.0","6,045,659.0","6,208,738.0","6,422,171.0","6,664,047.0","6,919,180.0","7,095,836.0","7,276,073.0","7,415,898.0","7,598,170.0","7,783,827.0","7,960,964.0","8,131,527.0","8,216,629.0","8,173,134.0","8,261,211.0"
"33","15","Structures","A755RX1","703,345.0","672,997.0","735,497.0","790,200.0","807,134.0","723,431.0","657,626.0","719,197.0","787,158.0","862,769.0","887,409.0","822,998.0","811,924.0","742,584.0","796,292.0","903,863.0","950,957.0","965,118.0","969,348.0","967,644.0","960,970.0","941,878.0","869,065.0","902,434.0","930,525.0","978,447.0","988,918.0","1,053,131.0","1,097,820.0","1,155,105.0","1,202,215.0","1,245,301.0","1,254,074.0","1,223,155.0","1,263,562.0","1,325,569.0","1,363,397.0","1,341,105.0","1,267,047.0","1,169,919.0","971,877.0","886,454.0"
"34","16","Residual","A959RX1","-158,700.0","-170,100.0","-184,800.0","-176,800.0","-121,400.0","-123,300.0","-155,000.0","-129,700.0","-133,500.0","-124,700.0","-113,600.0","-124,600.0","-101,400.0","-146,600.0","-155,300.0","-106,100.0","-132,700.0","-142,300.0","-135,400.0","-114,400.0","-91,300.0","-98,700.0","-106,100.0","-103,100.0","-96,700.0","-73,900.0","-111,100.0","-94,800.0","-62,800.0","-41,100.0","-16,100.0","-900.0","-7,400.0","-7,700.0","-3,400.0","-2,300.0","100.0","-3,000.0","-13,600.0","-22,700.0","-19,700.0","-38,100.0"
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","17","  Motor vehicle output","A953RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","279,094.0","284,031.0","307,784.0","333,129.0","365,080.0","359,692.0","343,753.0","383,283.0","387,335.0","402,987.0","418,937.0","413,974.0","413,903.0","336,949.0","254,507.0","324,211.0"
"37","18","  Gross domestic product excluding motor vehicle output","A962RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8,810,418.0","9,146,820.0","9,540,715.0","9,941,694.0","10,402,549.0","10,857,181.0","10,997,068.0","11,159,521.0","11,449,203.0","11,843,979.0","12,204,018.0","12,544,232.0","12,791,749.0","12,817,088.0","12,432,698.0","12,753,803.0"
"38","19","  Final sales of computers \3\","BB01RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","7,277.0","11,498.0","17,582.0","25,143.0","36,007.0","47,021.0","53,109.0","54,752.0","63,299.0","65,797.0","77,196.0","96,207.0","112,602.0","135,266.0","136,975.0","165,078.0"
"39","20","  Gross domestic product excluding final sales of computers","BB00RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,229,316.0","9,531,235.0","9,912,532.0","10,305,979.0","10,765,254.0","11,182,477.0","11,289,845.0","11,493,241.0","11,774,315.0","12,182,253.0","12,545,759.0","12,863,769.0","13,099,024.0","13,040,844.0","12,582,945.0","12,953,485.0"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","index and the 2005 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","chained-dollar estimates are usually not additive. The residual line following change in private inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","is the difference between gross domestic product and the sum of final sales of domestic product and of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","change in private inventories; the residual line following structures is the difference between gross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","domestic product and the sum of the detailed lines of goods, of services, and of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
