"","Table 3#2# Federal Government Current Receipts and Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    Current receipts","W005RC1","43,400.0","42,460.0","41,628.0","43,768.0","44,048.0","42,496.0","41,616.0","41,352.0","39,932.0","37,920.0","37,432.0","36,164.0","41,368.0","45,536.0","51,816.0","56,500.0","64,512.0","61,640.0","60,884.0","64,636.0","64,736.0","64,812.0","65,284.0","68,424.0","70,120.0","70,464.0","69,536.0","64,316.0","61,636.0","61,700.0","62,332.0","64,388.0","68,336.0","70,304.0","71,972.0","73,692.0","74,196.0","75,576.0","75,388.0","78,224.0","80,420.0","79,900.0","79,864.0","77,104.0","73,592.0","73,492.0","76,736.0","80,428.0","84,912.0","88,644.0","86,848.0","87,456.0","95,608.0","94,252.0","93,708.0","92,176.0","92,212.0","94,156.0","95,996.0","99,560.0","100,984.0","102,524.0","104,868.0","106,072.0","109,096.0","111,380.0","112,536.0","114,148.0","112,744.0","109,068.0","111,768.0","113,592.0","119,492.0","121,396.0","119,792.0","123,168.0","132,532.0","137,316.0","139,688.0","142,356.0","143,244.0","144,308.0","147,868.0","152,192.0","160,952.0","165,700.0","176,836.0","181,592.0","191,052.0","194,176.0"
"21","2","Current tax receipts","W006RC1","36,924.0","36,372.0","36,336.0","38,852.0","39,088.0","37,832.0","36,912.0","36,740.0","34,632.0","32,716.0","32,508.0","31,520.0","36,052.0","40,224.0","46,316.0","50,692.0","57,860.0","54,904.0","54,284.0","57,916.0","57,760.0","57,956.0","58,376.0","61,352.0","63,036.0","63,308.0","62,356.0","57,264.0","53,544.0","53,652.0","54,272.0","56,236.0","59,440.0","61,252.0","62,760.0","64,432.0","64,292.0","65,568.0","65,372.0","68,080.0","69,008.0","68,456.0","68,356.0","65,772.0","62,224.0","62,204.0","65,280.0","68,864.0","71,336.0","74,828.0","73,160.0","73,656.0","78,124.0","76,764.0","76,132.0","74,788.0","74,520.0","76,328.0","77,992.0","80,992.0","80,896.0","82,124.0","84,460.0","85,620.0","86,284.0","88,348.0","89,244.0","90,484.0","89,068.0","85,212.0","87,568.0","89,084.0","94,564.0","96,100.0","94,240.0","97,496.0","100,152.0","104,552.0","106,012.0","108,112.0","107,656.0","107,428.0","110,248.0","113,964.0","120,500.0","124,336.0","134,700.0","139,188.0","145,780.0","148,024.0"
"22","3","  Personal current taxes \1\","A074RC1","18,192.0","18,488.0","18,704.0","19,788.0","20,060.0","17,808.0","17,100.0","17,292.0","16,472.0","15,648.0","14,932.0","14,452.0","15,156.0","16,120.0","17,432.0","21,020.0","22,780.0","24,708.0","26,096.0","27,916.0","29,060.0","29,968.0","30,428.0","31,212.0","31,500.0","31,516.0","31,236.0","30,972.0","28,140.0","27,888.0","27,896.0","28,348.0","29,048.0","30,068.0","30,956.0","31,808.0","32,704.0","33,572.0","34,212.0","35,164.0","35,712.0","36,076.0","36,292.0","35,896.0","35,156.0","34,668.0","35,868.0","36,248.0","37,152.0","38,292.0","38,712.0","39,708.0","41,140.0","41,816.0","42,264.0","42,132.0","42,164.0","42,460.0","42,756.0","43,396.0","44,552.0","45,964.0","47,216.0","48,384.0","48,832.0","49,008.0","49,096.0","49,616.0","47,992.0","43,724.0","45,360.0","46,864.0","50,504.0","51,868.0","50,384.0","51,516.0","54,392.0","58,000.0","59,836.0","62,180.0","62,856.0","62,648.0","65,156.0","66,884.0","68,832.0","71,392.0","81,016.0","84,500.0","90,744.0","93,336.0"
"23","4","  Taxes on production and imports \2\","W007RC1","7,792.0","7,532.0","7,416.0","7,916.0","7,540.0","7,920.0","7,912.0","7,940.0","7,772.0","7,928.0","8,056.0","7,724.0","7,852.0","8,496.0","9,820.0","8,768.0","9,828.0","8,804.0","8,832.0","9,296.0","9,740.0","10,132.0","10,132.0","10,480.0","10,784.0","10,936.0","10,732.0","10,376.0","9,720.0","9,600.0","9,244.0","9,464.0","9,984.0","10,524.0","10,628.0","10,576.0","10,592.0","10,576.0","11,024.0","11,672.0","11,560.0","11,548.0","11,656.0","11,236.0","11,036.0","11,196.0","11,056.0","11,504.0","11,836.0","12,076.0","12,460.0","12,472.0","13,252.0","13,128.0","13,036.0","12,872.0","12,856.0","13,020.0","13,160.0","13,608.0","13,920.0","13,948.0","14,372.0","14,284.0","14,392.0","14,672.0","14,776.0","14,904.0","14,980.0","15,340.0","15,484.0","15,892.0","16,368.0","15,652.0","14,724.0","14,964.0","13,840.0","14,604.0","14,520.0","14,832.0","14,888.0","15,160.0","15,204.0","15,404.0","16,156.0","16,704.0","17,264.0","17,364.0","17,280.0","17,828.0"
"24","5","    Excise taxes","B234RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","10,884.0","11,000.0","11,368.0","11,396.0","12,076.0","12,044.0","12,020.0","11,884.0","11,880.0","12,064.0","12,092.0","12,488.0","12,728.0","12,736.0","13,188.0","13,064.0","13,192.0","13,444.0","13,540.0","13,660.0","13,744.0","14,052.0","14,144.0","14,484.0","14,944.0","14,028.0","13,048.0","13,236.0","12,044.0","12,716.0","12,628.0","12,932.0","12,964.0","13,268.0","13,384.0","13,404.0","14,024.0","14,484.0","14,900.0","15,048.0","15,288.0","15,228.0"
"25","6","    Customs duties","B235RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","952.0","1,076.0","1,092.0","1,076.0","1,176.0","1,084.0","1,016.0","988.0","976.0","956.0","1,068.0","1,120.0","1,192.0","1,212.0","1,184.0","1,220.0","1,200.0","1,228.0","1,236.0","1,244.0","1,236.0","1,288.0","1,340.0","1,408.0","1,424.0","1,624.0","1,676.0","1,728.0","1,796.0","1,888.0","1,892.0","1,900.0","1,924.0","1,892.0","1,820.0","2,000.0","2,132.0","2,220.0","2,364.0","2,316.0","1,992.0","2,600.0"
"26","7","  Taxes on corporate income","B075RC1","10,940.0","10,352.0","10,216.0","11,148.0","11,488.0","12,104.0","11,900.0","11,508.0","10,388.0","9,140.0","9,520.0","9,344.0","13,044.0","15,608.0","19,064.0","20,904.0","25,252.0","21,392.0","19,356.0","20,704.0","18,960.0","17,856.0","17,816.0","19,660.0","20,752.0","20,856.0","20,388.0","15,916.0","15,684.0","16,164.0","17,132.0","18,424.0","20,408.0","20,660.0","21,176.0","22,048.0","20,996.0","21,420.0","20,136.0","21,244.0","21,736.0","20,832.0","20,408.0","18,640.0","16,032.0","16,340.0","18,356.0","21,112.0","22,264.0","24,376.0","21,904.0","21,392.0","23,644.0","21,720.0","20,736.0","19,688.0","19,396.0","20,740.0","21,964.0","23,864.0","22,296.0","22,068.0","22,724.0","22,792.0","22,884.0","24,476.0","25,176.0","25,776.0","25,916.0","25,968.0","26,544.0","26,136.0","27,496.0","28,376.0","28,920.0","30,804.0","31,704.0","31,732.0","31,416.0","30,860.0","29,676.0","29,380.0","29,640.0","31,408.0","35,228.0","35,936.0","36,088.0","36,968.0","37,376.0","36,468.0"
"27","8","    Federal Reserve banks","B677RC1","64.0","56.0","72.0","108.0","136.0","148.0","172.0","212.0","208.0","196.0","184.0","184.0","188.0","200.0","200.0","200.0","232.0","260.0","256.0","272.0","276.0","280.0","300.0","312.0","332.0","348.0","356.0","336.0","308.0","292.0","260.0","244.0","212.0","228.0","268.0","300.0","356.0","392.0","416.0","444.0","480.0","516.0","564.0","612.0","592.0","572.0","480.0","452.0","704.0","772.0","1,008.0","1,160.0","940.0","948.0","892.0","808.0","700.0","668.0","676.0","704.0","760.0","800.0","812.0","824.0","836.0","852.0","888.0","944.0","1,508.0","1,564.0","1,604.0","1,652.0","1,212.0","1,272.0","1,324.0","1,380.0","1,460.0","1,580.0","1,716.0","1,840.0","1,868.0","1,860.0","1,876.0","2,024.0","2,272.0","2,432.0","2,548.0","2,604.0","2,760.0","2,960.0"
"28","9","    Other","A678RC1","10,876.0","10,296.0","10,144.0","11,040.0","11,352.0","11,956.0","11,728.0","11,296.0","10,180.0","8,944.0","9,336.0","9,160.0","12,856.0","15,408.0","18,864.0","20,704.0","25,020.0","21,132.0","19,100.0","20,432.0","18,684.0","17,576.0","17,516.0","19,348.0","20,420.0","20,508.0","20,032.0","15,580.0","15,376.0","15,872.0","16,872.0","18,180.0","20,196.0","20,432.0","20,908.0","21,748.0","20,640.0","21,028.0","19,720.0","20,800.0","21,256.0","20,316.0","19,844.0","18,028.0","15,440.0","15,768.0","17,876.0","20,660.0","21,560.0","23,604.0","20,896.0","20,232.0","22,704.0","20,772.0","19,844.0","18,880.0","18,696.0","20,072.0","21,288.0","23,160.0","21,536.0","21,268.0","21,912.0","21,968.0","22,048.0","23,624.0","24,288.0","24,832.0","24,408.0","24,404.0","24,940.0","24,484.0","26,284.0","27,104.0","27,596.0","29,424.0","30,244.0","30,152.0","29,700.0","29,020.0","27,808.0","27,520.0","27,764.0","29,384.0","32,956.0","33,504.0","33,540.0","34,364.0","34,616.0","33,508.0"
"29","10","  Taxes from the rest of the world","W008RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","84.0","84.0","84.0","84.0","88.0","100.0","96.0","96.0","104.0","108.0","112.0","124.0","128.0","144.0","148.0","160.0","176.0","192.0","196.0","188.0","180.0","180.0","180.0","192.0","196.0","204.0","212.0","212.0","216.0","216.0","240.0","240.0","236.0","240.0","248.0","268.0","284.0","304.0","332.0","356.0","380.0","392.0"
"30","11","Contributions for government social insurance","W780RC1","6,172.0","5,784.0","4,988.0","4,612.0","4,644.0","4,348.0","4,380.0","4,288.0","4,976.0","4,880.0","4,600.0","4,328.0","5,096.0","5,092.0","5,272.0","5,576.0","6,388.0","6,472.0","6,332.0","6,448.0","6,696.0","6,576.0","6,620.0","6,776.0","6,792.0","6,860.0","6,884.0","6,756.0","7,776.0","7,732.0","7,752.0","7,844.0","8,568.0","8,732.0","8,884.0","8,936.0","9,528.0","9,632.0","9,648.0","9,780.0","11,036.0","11,068.0","11,132.0","10,952.0","10,972.0","10,892.0","11,064.0","11,176.0","13,296.0","13,536.0","13,484.0","13,528.0","16,008.0","16,044.0","16,068.0","15,948.0","16,304.0","16,488.0","16,620.0","16,848.0","18,416.0","18,624.0","18,696.0","18,768.0","20,800.0","20,996.0","21,180.0","21,448.0","21,440.0","21,676.0","21,912.0","22,100.0","22,252.0","22,528.0","22,872.0","23,316.0","29,684.0","30,132.0","31,200.0","31,464.0","32,892.0","33,820.0","34,460.0","35,236.0","36,804.0","37,636.0","38,268.0","38,880.0","42,120.0","42,888.0"
"31","12","Income receipts on assets","W009RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","20.0","20.0","24.0","28.0","1,300.0","1,272.0","1,484.0","1,420.0","1,444.0","1,468.0","1,416.0","1,560.0","1,568.0","1,752.0","1,668.0","1,700.0","1,744.0","1,740.0","1,800.0","1,804.0","1,856.0","1,848.0","1,956.0","1,628.0","1,972.0","1,968.0","1,952.0","1,696.0","2,028.0","2,044.0","2,104.0","2,264.0","2,328.0","2,528.0","2,540.0","2,624.0","2,904.0","2,932.0","3,084.0","2,840.0","2,572.0","2,640.0"
"32","13","  Interest receipts \3\","B094RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,268.0","1,232.0","1,440.0","1,372.0","1,392.0","1,408.0","1,356.0","1,496.0","1,500.0","1,680.0","1,592.0","1,620.0","1,660.0","1,656.0","1,712.0","1,712.0","1,760.0","1,748.0","1,856.0","1,528.0","1,876.0","1,872.0","1,856.0","1,596.0","1,924.0","1,932.0","1,980.0","2,128.0","2,176.0","2,364.0","2,360.0","2,436.0","2,700.0","2,728.0","2,876.0","2,636.0","2,384.0","2,456.0"
"33","14","  Dividends","W053RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"34","15","  Rents and royalties \4\","B1040C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","20.0","20.0","24.0","28.0","32.0","40.0","44.0","48.0","52.0","60.0","60.0","64.0","68.0","72.0","76.0","80.0","84.0","84.0","88.0","92.0","96.0","100.0","100.0","100.0","96.0","96.0","96.0","100.0","104.0","112.0","124.0","136.0","152.0","164.0","180.0","188.0","204.0","204.0","208.0","204.0","188.0","184.0"
"35","16","Current transfer receipts","W011RC1","304.0","304.0","304.0","304.0","316.0","316.0","324.0","324.0","324.0","324.0","324.0","316.0","220.0","220.0","228.0","232.0","264.0","264.0","268.0","272.0","280.0","280.0","288.0","296.0","292.0","296.0","296.0","296.0","316.0","316.0","308.0","308.0","328.0","320.0","328.0","324.0","376.0","376.0","368.0","364.0","376.0","376.0","376.0","380.0","396.0","396.0","392.0","388.0","376.0","384.0","376.0","380.0","392.0","408.0","424.0","448.0","464.0","468.0","492.0","504.0","508.0","516.0","524.0","532.0","564.0","612.0","584.0","604.0","588.0","548.0","896.0","964.0","1,016.0","1,048.0","1,092.0","1,120.0","1,128.0","1,144.0","1,156.0","1,176.0","1,044.0","1,088.0","1,132.0","1,156.0","1,120.0","1,112.0","1,072.0","1,060.0","1,100.0","1,132.0"
"36","17","  From business","W012RC1","264.0","264.0","264.0","264.0","284.0","284.0","288.0","288.0","288.0","288.0","288.0","284.0","192.0","192.0","192.0","196.0","220.0","220.0","220.0","224.0","232.0","232.0","232.0","236.0","228.0","232.0","232.0","232.0","248.0","248.0","248.0","252.0","276.0","276.0","276.0","272.0","316.0","316.0","316.0","316.0","332.0","332.0","332.0","332.0","348.0","348.0","344.0","344.0","332.0","340.0","332.0","336.0","348.0","368.0","384.0","408.0","420.0","424.0","448.0","456.0","456.0","464.0","472.0","480.0","512.0","556.0","524.0","544.0","524.0","488.0","840.0","912.0","964.0","996.0","1,040.0","1,068.0","1,080.0","1,096.0","1,108.0","1,128.0","992.0","1,032.0","1,072.0","1,088.0","1,064.0","1,064.0","1,036.0","1,032.0","1,060.0","1,080.0"
