"","Table 7#2#5B# Motor Vehicle Output                              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","[Millions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1967 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 29, 2011     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/8/2011 9:39:27 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2"
"20","1","      Motor vehicle output","A953RC1","32,711.0","35,091.0","35,076.0","35,963.0","41,893.0","44,361.0","43,414.0","45,498.0","45,644.0","42,813.0"
"21","2","        Auto output","A133RC1","25,271.0","28,104.0","28,483.0","29,030.0","34,078.0","35,547.0","34,905.0","36,301.0","36,214.0","33,601.0"
"22","3","        Truck output","A716RC1","7,440.0","6,987.0","6,593.0","6,933.0","7,815.0","8,814.0","8,509.0","9,197.0","9,430.0","9,212.0"
"23","4","Final sales of domestic product","AB60RC1","33,817.0","36,655.0","36,409.0","35,329.0","40,480.0","40,854.0","43,269.0","43,537.0","45,219.0","43,873.0"
"24","5","  Personal consumption expenditures","AB61RC1","23,925.0","26,554.0","26,190.0","25,732.0","29,413.0","29,936.0","32,094.0","31,761.0","32,443.0","31,742.0"
"25","6","    New motor vehicles","AB67RC1","19,799.0","22,216.0","21,472.0","20,837.0","24,972.0","25,297.0","26,848.0","26,843.0","27,134.0","26,628.0"
"26","7","      Autos","A136RC1","18,776.0","21,166.0","20,370.0","19,772.0","23,647.0","23,892.0","25,354.0","25,151.0","25,383.0","24,912.0"
"27","8","      Light trucks (including utility vehicles)","B704RC1","1,023.0","1,050.0","1,102.0","1,065.0","1,325.0","1,405.0","1,494.0","1,692.0","1,751.0","1,716.0"
"28","9","    Net purchases of used autos and used light trucks","W240RC1","4,126.0","4,338.0","4,718.0","4,895.0","4,441.0","4,639.0","5,246.0","4,918.0","5,309.0","5,114.0"
"29","10","      Used autos","A137RC1","3,957.0","4,149.0","4,518.0","4,716.0","4,246.0","4,463.0","5,084.0","4,747.0","5,134.0","4,937.0"
"30","11","      Used light trucks (including utility vehicles)","W241RC1","169.0","189.0","200.0","179.0","195.0","176.0","162.0","171.0","175.0","177.0"
"31","12","  Private fixed investment","AB62RC1","9,220.0","9,435.0","9,660.0","9,394.0","11,099.0","11,427.0","12,136.0","12,886.0","13,229.0","13,503.0"
"32","13","    New motor vehicles","AB68RC1","11,016.0","11,617.0","11,845.0","11,407.0","13,249.0","13,568.0","14,393.0","15,130.0","15,514.0","15,916.0"
"33","14","      Autos","B139RC1","6,072.0","6,827.0","6,896.0","6,661.0","7,700.0","7,843.0","8,418.0","8,675.0","8,602.0","8,838.0"
"34","15","      Trucks","B705RC1","4,944.0","4,790.0","4,949.0","4,746.0","5,549.0","5,725.0","5,975.0","6,455.0","6,912.0","7,078.0"
"35","16","        Light trucks (including utility vehicles)","B196RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"36","17","        Other","B197RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"37","18","    Net purchases of used autos and used light trucks","W242RC1","-1,796.0","-2,182.0","-2,185.0","-2,013.0","-2,150.0","-2,141.0","-2,257.0","-2,244.0","-2,285.0","-2,413.0"
"38","19","      Used autos","B140RC1","-1,776.0","-2,162.0","-2,164.0","-1,994.0","-2,127.0","-2,118.0","-2,233.0","-2,218.0","-2,257.0","-2,384.0"
