"","Table 7#5# Consumption of Fixed Capital by Legal Form of Organiz","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","      Consumption of fixed capital","A262RC1","95,638.0","97,984.0","100,280.0","102,865.0","105,583.0","107,787.0","109,400.0","110,484.0","113,832.0","116,721.0","119,200.0","121,338.0","123,463.0","125,590.0","128,245.0","131,308.0","134,587.0","138,431.0","142,690.0","147,418.0","153,076.0","159,734.0","167,229.0","174,704.0","182,051.0","188,136.0","193,424.0","197,901.0","201,430.0","205,492.0","210,169.0","215,591.0","222,056.0","228,402.0","234,796.0","241,849.0","249,175.0","257,043.0","265,419.0","274,019.0","283,300.0","293,431.0","304,035.0","314,842.0","325,966.0","337,935.0","349,940.0","362,498.0","375,340.0","387,650.0","399,487.0","410,895.0","422,066.0","431,283.0","438,194.0","442,624.0","445,145.0","448,411.0","452,997.0","457,869.0","464,027.0","470,608.0","477,536.0","485,218.0","493,282.0","501,085.0","509,493.0","517,912.0","525,896.0","534,543.0","542,745.0","550,716.0","558,391.0","566,203.0","575,146.0","584,631.0","595,460.0","605,919.0","616,165.0","626,511.0","636,413.0","646,370.0","656,459.0","666,566.0","676,820.0","686,555.0","696,149.0","705,288.0","713,812.0","721,317.0","728,265.0","734,050.0","738,710.0","743,194.0","746,337.0","749,164.0","761,961.0","773,262.0","783,612.0","793,221.0","802,227.0","812,732.0","824,258.0","837,452.0","851,372.0","864,119.0","875,666.0","886,684.0","896,201.0","906,288.0","917,700.0","929,879.0","943,540.0","957,118.0","970,271.0","984,293.0","997,302.0","1,011,941.0","1,027,928.0","1,045,014.0","1,063,156.0","1,083,175.0","1,104,164.0","1,127,062.0","1,151,597.0","1,174,413.0","1,195,845.0","1,215,441.0","1,233,455.0","1,249,951.0","1,264,395.0","1,277,081.0","1,288,286.0","1,299,451.0","1,310,504.0","1,321,674.0","1,333,152.0","1,345,860.0","1,360,414.0","1,376,782.0","1,396,670.0","1,419,536.0","1,444,406.0","1,470,447.0","1,495,671.0","1,524,171.0","1,556,030.0","1,589,628.0","1,617,994.0","1,648,178.0","1,675,221.0","1,701,318.0","1,733,930.0","1,757,645.0","1,778,207.0","1,800,262.0","1,817,437.0","1,842,734.0","1,869,621.0","1,886,516.0","1,885,184.0","1,868,350.0","1,854,099.0","1,857,054.0","1,858,602.0","1,866,868.0","1,878,153.0","1,896,136.0","1,914,284.0","1,939,596.0"
"21","2","Private","A024RC1","71,580.0","73,436.0","75,420.0","77,524.0","79,752.0","81,425.0","82,538.0","83,093.0","85,967.0","88,541.0","90,816.0","92,788.0","94,462.0","96,431.0","98,699.0","101,260.0","104,120.0","107,398.0","111,099.0","115,219.0","119,760.0","124,806.0","130,357.0","136,417.0","142,981.0","148,593.0","153,257.0","156,965.0","159,730.0","163,160.0","167,259.0","172,027.0","177,465.0","183,114.0","188,971.0","195,042.0","201,318.0","208,088.0","215,347.0","223,095.0","231,335.0","239,882.0","248,736.0","257,895.0","267,363.0","277,120.0","287,169.0","297,508.0","308,139.0","318,437.0","328,397.0","338,023.0","347,317.0","354,681.0","360,121.0","363,633.0","365,218.0","367,572.0","370,697.0","374,589.0","379,255.0","384,407.0","390,041.0","396,161.0","402,770.0","409,414.0","416,097.0","422,815.0","429,573.0","436,074.0","442,314.0","448,291.0","454,016.0","460,493.0","467,725.0","475,706.0","484,447.0","493,010.0","501,395.0","509,604.0","517,631.0","525,631.0","533,604.0","541,550.0","549,467.0","557,013.0","564,190.0","570,994.0","577,428.0","583,206.0","588,320.0","592,778.0","596,576.0","599,425.0","601,324.0","602,275.0","612,656.0","622,298.0","631,205.0","639,373.0","646,801.0","655,432.0","665,270.0","676,309.0","688,557.0","699,880.0","710,281.0","719,758.0","728,311.0","737,750.0","748,071.0","759,276.0","771,361.0","783,535.0","795,797.0","808,147.0","820,584.0","833,951.0","848,252.0","863,481.0","879,643.0","897,145.0","915,989.0","936,171.0","957,694.0","977,956.0","996,961.0","1,014,701.0","1,031,187.0","1,045,943.0","1,058,972.0","1,070,270.0","1,079,847.0","1,089,352.0","1,098,786.0","1,108,147.0","1,117,442.0","1,128,553.0","1,141,490.0","1,156,247.0","1,172,825.0","1,190,676.0","1,209,799.0","1,230,196.0","1,251,865.0","1,276,112.0","1,302,934.0","1,332,329.0","1,357,425.0","1,381,050.0","1,403,199.0","1,423,879.0","1,449,582.0","1,468,596.0","1,484,822.0","1,501,780.0","1,514,989.0","1,534,601.0","1,555,546.0","1,566,524.0","1,562,591.0","1,545,189.0","1,530,528.0","1,531,439.0","1,529,603.0","1,534,369.0","1,542,620.0","1,557,030.0","1,570,471.0","1,590,183.0"
