"","Table 6#1B# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    National income without capital consumption adjustment","J422RC1","857,843.0","873,958.0","892,712.0","902,026.0","907,079.0","919,115.0","934,376.0","934,905.0","971,950.0","991,635.0","1,009,008.0","1,030,623.0","1,061,500.0","1,081,528.0","1,111,472.0","1,158,338.0","1,196,555.0","1,222,036.0","1,251,085.0","1,289,959.0","1,303,577.0","1,326,086.0","1,356,046.0","1,374,314.0","1,384,339.0","1,417,817.0","1,478,801.0","1,524,362.0","1,574,712.0","1,601,693.0","1,634,266.0","1,668,407.0","1,714,362.0","1,783,626.0","1,840,201.0","1,888,930.0","1,927,488.0","2,023,364.0","2,070,197.0","2,134,215.0","2,189,358.0","2,229,691.0","2,284,372.0","2,344,912.0","2,392,545.0","2,386,919.0","2,449,039.0","2,577,216.0","2,656,879.0","2,693,322.0","2,781,502.0","2,795,110.0","2,798,588.0","2,845,603.0","2,858,674.0","2,867,974.0","2,919,677.0","2,991,959.0","3,065,027.0","3,161,041.0","3,291,231.0","3,370,743.0","3,431,641.0","3,481,570.0","3,533,822.0","3,571,615.0","3,620,860.0","3,668,367.0","3,731,219.0","3,752,343.0","3,800,047.0","3,847,842.0","3,922,210.0","4,015,540.0","4,112,667.0","4,209,978.0"
"21","2","Domestic industries","J423RC1","851,499.0","867,781.0","886,751.0","896,003.0","900,791.0","912,481.0","927,791.0","928,832.0","964,532.0","983,660.0","1,001,749.0","1,022,899.0","1,053,329.0","1,073,419.0","1,102,543.0","1,149,296.0","1,185,889.0","1,210,407.0","1,237,202.0","1,275,650.0","1,286,508.0","1,309,687.0","1,340,762.0","1,360,965.0","1,372,943.0","1,406,159.0","1,465,800.0","1,508,392.0","1,558,941.0","1,585,046.0","1,617,153.0","1,650,540.0","1,693,595.0","1,762,873.0","1,819,314.0","1,870,164.0","1,905,394.0","2,004,617.0","2,049,300.0","2,109,637.0","2,163,662.0","2,200,237.0","2,248,287.0","2,308,423.0","2,354,588.0","2,351,118.0","2,414,621.0","2,548,658.0","2,625,492.0","2,663,311.0","2,748,796.0","2,757,475.0","2,762,609.0","2,804,678.0","2,823,643.0","2,833,883.0","2,885,610.0","2,955,219.0","3,027,162.0","3,121,360.0","3,254,206.0","3,333,202.0","3,394,274.0","3,448,334.0","3,507,542.0","3,542,961.0","3,596,660.0","3,641,320.0","3,707,641.0","3,735,933.0","3,781,562.0","3,835,858.0","3,908,066.0","3,997,047.0","4,094,640.0","4,190,026.0"
"22","3","  Private industries","J736RC1","737,692.0","751,461.0","764,816.0","771,798.0","772,163.0","781,817.0","794,848.0","794,357.0","824,811.0","840,777.0","856,045.0","875,050.0","899,883.0","918,260.0","944,168.0","984,926.0","1,019,687.0","1,041,627.0","1,065,186.0","1,099,269.0","1,105,897.0","1,125,026.0","1,152,865.0","1,167,140.0","1,173,598.0","1,201,337.0","1,256,810.0","1,293,999.0","1,338,787.0","1,361,093.0","1,389,539.0","1,416,577.0","1,455,632.0","1,520,184.0","1,572,074.0","1,614,875.0","1,645,874.0","1,740,584.0","1,778,962.0","1,831,965.0","1,880,647.0","1,914,024.0","1,955,942.0","2,006,213.0","2,045,923.0","2,034,209.0","2,090,908.0","2,211,779.0","2,281,047.0","2,311,811.0","2,392,932.0","2,388,817.0","2,387,899.0","2,423,431.0","2,437,170.0","2,437,519.0","2,482,765.0","2,546,079.0","2,612,987.0","2,702,103.0","2,815,358.0","2,886,350.0","2,938,659.0","2,985,422.0","3,029,649.0","3,057,136.0","3,102,362.0","3,138,513.0","3,198,829.0","3,220,300.0","3,258,940.0","3,301,933.0","3,366,456.0","3,448,793.0","3,540,380.0","3,626,811.0"
"23","4","    Agriculture, forestry, and fishing","J424RC1","19,756.0","21,134.0","21,904.0","23,089.0","22,557.0","21,520.0","22,459.0","21,934.0","23,122.0","23,522.0","23,770.0","25,458.0","23,503.0","26,232.0","28,527.0","34,356.0","35,245.0","41,602.0","44,694.0","53,724.0","46,416.0","39,225.0","41,053.0","43,621.0","40,280.0","41,308.0","45,528.0","46,748.0","43,093.0","41,526.0","40,923.0","41,389.0","41,313.0","39,782.0","37,676.0","45,438.0","44,510.0","48,868.0","49,830.0","47,984.0","56,202.0","55,210.0","57,647.0","57,473.0","51,399.0","41,908.0","51,007.0","58,753.0","59,452.0","60,582.0","66,478.0","60,370.0","58,899.0","58,420.0","59,969.0","57,727.0","56,941.0","48,629.0","39,977.0","44,329.0","61,043.0","63,036.0","62,742.0","65,254.0","65,605.0","62,927.0","60,520.0","61,544.0","58,354.0","58,407.0","64,583.0","63,885.0","64,026.0","64,694.0","66,500.0","69,470.0"
"24","5","    Mining","J734RC1","9,019.0","9,108.0","9,336.0","9,496.0","9,808.0","10,220.0","10,626.0","11,135.0","11,063.0","10,784.0","10,878.0","10,342.0","11,820.0","11,571.0","11,868.0","12,334.0","12,805.0","13,215.0","14,379.0","15,708.0","17,734.0","20,297.0","22,343.0","22,181.0","24,863.0","24,457.0","24,585.0","25,473.0","26,096.0","25,190.0","25,964.0","27,462.0","29,281.0","32,562.0","32,994.0","32,257.0","29,558.0","36,100.0","35,798.0","38,521.0","36,994.0","40,470.0","44,797.0","47,662.0","53,515.0","60,589.0","67,198.0","76,869.0","83,961.0","85,581.0","93,538.0","93,652.0","88,849.0","85,248.0","77,454.0","71,546.0","66,462.0","63,614.0","62,899.0","63,486.0","65,606.0","68,856.0","67,772.0","66,020.0","64,918.0","61,780.0","59,124.0","55,689.0","50,112.0","44,372.0","41,136.0","36,013.0","38,135.0","42,552.0","43,992.0","47,839.0"
"25","6","    Construction","J735RC1","44,011.0","45,698.0","46,511.0","46,043.0","46,989.0","46,998.0","48,237.0","49,583.0","49,988.0","52,367.0","53,370.0","54,914.0","56,743.0","57,549.0","58,567.0","60,399.0","64,231.0","65,422.0","67,108.0","67,859.0","70,833.0","70,664.0","70,258.0","70,742.0","70,032.0","68,598.0","70,513.0","73,022.0","77,490.0","80,188.0","81,965.0","83,797.0","85,163.0","88,952.0","90,739.0","93,260.0","96,137.0","104,963.0","109,539.0","112,021.0","113,727.0","117,628.0","121,053.0","123,190.0","125,641.0","121,522.0","123,424.0","129,949.0","129,148.0","125,516.0","124,959.0","124,074.0","123,690.0","125,064.0","123,872.0","125,016.0","127,824.0","128,304.0","132,308.0","136,915.0","145,376.0","152,829.0","155,024.0","157,942.0","164,103.0","165,297.0","168,872.0","172,612.0","179,998.0","184,171.0","188,094.0","192,595.0","195,641.0","200,450.0","202,812.0","206,973.0"
"26","7","    Manufacturing","J426RC1","235,385.0","235,905.0","238,795.0","237,191.0","230,984.0","234,381.0","232,838.0","223,153.0","238,822.0","241,831.0","241,377.0","247,601.0","257,607.0","263,474.0","269,361.0","281,052.0","295,364.0","299,578.0","301,647.0","308,272.0","309,246.0","314,007.0","324,238.0","320,120.0","308,372.0","322,542.0","345,856.0","355,880.0","375,910.0","379,748.0","385,330.0","389,663.0","405,853.0","428,996.0","444,915.0","456,757.0","455,792.0","487,798.0","497,850.0","514,829.0","528,228.0","532,039.0","538,071.0","544,216.0","556,005.0","533,147.0","541,709.0","577,913.0","599,109.0","611,348.0","629,199.0","607,929.0","596,273.0","600,610.0","602,693.0","580,764.0","589,460.0","609,194.0","635,698.0","663,515.0","687,863.0","695,880.0","697,361.0","704,048.0","703,619.0","708,272.0","726,734.0","732,694.0","718,567.0","714,125.0","708,652.0","734,341.0","736,891.0","757,152.0","787,048.0","800,407.0"
"27","8","      Durable goods","J428RC1","141,847.0","140,667.0","141,993.0","140,652.0","133,891.0","136,324.0","134,184.0","124,800.0","138,038.0","139,584.0","137,872.0","142,764.0","150,277.0","155,238.0","158,052.0","167,129.0","177,271.0","179,830.0","181,369.0","183,177.0","181,914.0","182,389.0","187,515.0","187,725.0","177,858.0","182,287.0","195,751.0","199,679.0","213,739.0","218,663.0","222,155.0","225,427.0","237,174.0","250,135.0","260,015.0","270,371.0","269,910.0","290,849.0","296,628.0","308,177.0","315,792.0","315,810.0","313,693.0","314,007.0","318,313.0","300,989.0","308,822.0","335,089.0","343,472.0","351,258.0","348,780.0","338,920.0","330,714.0","336,168.0","331,124.0","311,105.0","325,099.0","336,281.0","354,229.0","375,163.0","399,637.0","401,805.0","410,366.0","414,426.0","410,894.0","413,325.0","416,795.0","421,391.0","420,201.0","419,089.0","419,372.0","432,438.0","443,826.0","446,645.0","456,590.0","456,574.0"
"28","9","      Nondurable goods","J427RC1","93,538.0","95,239.0","96,802.0","96,538.0","97,093.0","98,057.0","98,655.0","98,352.0","100,784.0","102,247.0","103,505.0","104,837.0","107,331.0","108,236.0","111,309.0","113,923.0","118,092.0","119,748.0","120,278.0","125,094.0","127,332.0","131,620.0","136,722.0","132,396.0","130,515.0","140,255.0","150,105.0","156,201.0","162,173.0","161,086.0","163,176.0","164,235.0","168,676.0","178,861.0","184,900.0","186,386.0","185,882.0","196,950.0","201,223.0","206,652.0","212,436.0","216,229.0","224,377.0","230,209.0","237,692.0","232,158.0","232,886.0","242,823.0","255,636.0","260,088.0","280,420.0","269,008.0","265,560.0","264,442.0","271,569.0","269,658.0","264,362.0","272,914.0","281,469.0","288,353.0","288,227.0","294,075.0","286,995.0","289,621.0","292,724.0","294,947.0","309,938.0","311,302.0","298,366.0","295,036.0","289,279.0","301,903.0","293,065.0","310,507.0","330,458.0","343,834.0"
"29","10","    Transportation and public utilities","J737RC1","68,071.0","70,013.0","70,617.0","71,392.0","72,823.0","73,248.0","75,797.0","76,177.0","79,471.0","81,870.0","82,818.0","83,465.0","87,018.0","89,159.0","91,046.0","94,644.0","96,083.0","97,672.0","100,633.0","101,821.0","102,834.0","105,888.0","108,523.0","109,703.0","110,387.0","112,750.0","120,245.0","124,563.0","127,687.0","132,791.0","136,704.0","138,176.0","141,278.0","146,517.0","151,781.0","154,813.0","157,298.0","166,363.0","169,218.0","174,751.0","175,391.0","176,301.0","178,017.0","184,165.0","188,699.0","189,865.0","197,245.0","207,900.0","206,173.0","211,807.0","224,257.0","227,591.0","232,021.0","235,642.0","233,527.0","233,704.0","239,379.0","252,958.0","254,046.0","263,659.0","271,596.0","277,903.0","280,419.0","282,552.0","282,712.0","285,570.0","289,371.0","291,369.0","298,728.0","303,071.0","305,402.0","306,220.0","311,468.0","323,242.0","323,490.0","328,730.0"
"30","11","      Transportation","J429RC1","30,440.0","31,629.0","31,675.0","32,155.0","32,479.0","32,187.0","34,025.0","33,623.0","35,040.0","36,481.0","37,193.0","37,151.0","39,287.0","39,563.0","40,634.0","42,704.0","43,992.0","44,430.0","45,491.0","46,821.0","48,771.0","50,254.0","50,920.0","49,326.0","47,388.0","46,930.0","51,230.0","53,565.0","55,828.0","57,903.0","60,428.0","59,665.0","62,008.0","64,562.0","66,568.0","67,599.0","66,645.0","74,322.0","75,520.0","78,250.0","79,015.0","79,745.0","80,528.0","84,400.0","84,748.0","82,184.0","84,043.0","88,526.0","88,322.0","88,097.0","90,448.0","89,570.0","88,117.0","89,104.0","85,942.0","86,542.0","87,477.0","94,000.0","97,675.0","101,165.0","105,804.0","107,927.0","108,856.0","107,877.0","107,730.0","109,104.0","110,051.0","110,907.0","114,855.0","118,535.0","120,716.0","122,417.0","123,644.0","127,178.0","128,125.0","132,124.0"
"31","12","      Communication","J430RC1","19,877.0","20,422.0","20,580.0","20,987.0","21,553.0","22,281.0","22,786.0","23,128.0","23,705.0","24,041.0","23,689.0","24,345.0","25,622.0","26,199.0","26,881.0","27,466.0","27,895.0","28,734.0","29,917.0","29,892.0","30,323.0","31,159.0","31,595.0","32,883.0","32,283.0","33,545.0","34,960.0","35,610.0","36,565.0","37,659.0","38,845.0","39,796.0","39,815.0","41,669.0","42,087.0","44,350.0","46,180.0","47,738.0","48,607.0","49,175.0","49,913.0","51,372.0","52,124.0","52,703.0","55,016.0","56,123.0","59,255.0","62,859.0","63,538.0","64,352.0","67,667.0","69,195.0","70,524.0","72,292.0","73,298.0","73,709.0","76,710.0","78,862.0","74,332.0","78,377.0","79,779.0","81,579.0","80,308.0","80,798.0","81,875.0","84,409.0","86,833.0","88,363.0","91,337.0","91,019.0","91,494.0","91,209.0","91,064.0","93,560.0","95,662.0","95,759.0"
"32","13","      Electric, gas, and sanitary services","J431RC1","17,755.0","17,961.0","18,362.0","18,249.0","18,791.0","18,780.0","18,985.0","19,426.0","20,725.0","21,346.0","21,935.0","21,968.0","22,107.0","23,396.0","23,531.0","24,473.0","24,196.0","24,507.0","25,224.0","25,108.0","23,741.0","24,476.0","26,008.0","27,494.0","30,718.0","32,273.0","34,055.0","35,387.0","35,293.0","37,231.0","37,430.0","38,713.0","39,456.0","40,287.0","43,126.0","42,864.0","44,474.0","44,301.0","45,091.0","47,325.0","46,462.0","45,182.0","45,364.0","47,062.0","48,934.0","51,558.0","53,946.0","56,515.0","54,314.0","59,358.0","66,143.0","68,826.0","73,379.0","74,246.0","74,286.0","73,452.0","75,191.0","80,095.0","82,039.0","84,115.0","86,013.0","88,398.0","91,256.0","93,877.0","93,107.0","92,057.0","92,487.0","92,098.0","92,536.0","93,519.0","93,192.0","92,596.0","96,761.0","102,504.0","99,702.0","100,847.0"
"33","14","    Wholesale trade","J433RC1","62,221.0","63,530.0","64,729.0","66,318.0","66,824.0","67,505.0","68,768.0","69,765.0","71,505.0","72,149.0","74,764.0","76,429.0","78,545.0","80,543.0","83,383.0","85,641.0","89,270.0","88,770.0","91,904.0","97,364.0","98,698.0","104,592.0","103,314.0","108,987.0","110,653.0","110,773.0","114,093.0","117,132.0","119,587.0","119,254.0","120,839.0","122,463.0","124,921.0","132,792.0","138,980.0","134,826.0","141,199.0","147,905.0","152,644.0","157,742.0","162,099.0","167,693.0","171,760.0","175,636.0","176,479.0","176,673.0","178,145.0","185,905.0","194,326.0","196,328.0","198,218.0","207,210.0","202,017.0","203,118.0","202,674.0","203,565.0","204,481.0","212,654.0","218,820.0","225,563.0","240,124.0","244,263.0","253,519.0","258,322.0","258,352.0","258,514.0","261,648.0","260,289.0","265,149.0","268,084.0","279,138.0","276,918.0","281,533.0","283,315.0","289,535.0","290,969.0"
"34","15","    Retail trade","J434RC1","86,881.0","89,226.0","90,928.0","91,560.0","93,120.0","94,919.0","96,364.0","97,120.0","100,283.0","101,714.0","105,504.0","107,866.0","108,882.0","110,525.0","112,541.0","118,934.0","120,867.0","122,841.0","125,762.0","128,076.0","127,164.0","129,655.0","131,950.0","131,934.0","137,259.0","142,772.0","148,553.0","153,337.0","160,070.0","162,298.0","166,362.0","169,406.0","172,704.0","178,471.0","185,516.0","190,424.0","194,339.0","202,957.0","204,392.0","211,625.0","215,311.0","218,032.0","221,053.0","226,371.0","221,785.0","223,219.0","230,632.0","233,098.0","246,810.0","248,256.0","252,614.0","250,848.0","255,238.0","261,805.0","265,226.0","274,046.0","281,325.0","287,925.0","296,832.0","303,089.0","316,977.0","327,511.0","330,090.0","330,679.0","342,349.0","348,020.0","355,602.0","356,349.0","370,867.0","372,273.0","382,247.0","382,782.0","390,360.0","396,056.0","405,915.0","410,650.0"
"35","16","    Finance, insurance, and real estate","J435RC1","111,975.0","113,637.0","115,614.0","117,404.0","118,610.0","120,261.0","124,506.0","127,969.0","130,398.0","134,610.0","139,174.0","141,497.0","144,452.0","144,343.0","150,151.0","154,139.0","157,792.0","160,207.0","162,586.0","166,521.0","169,453.0","173,466.0","179,611.0","184,483.0","190,633.0","192,929.0","196,864.0","201,872.0","206,074.0","211,038.0","216,226.0","221,254.0","225,473.0","234,563.0","242,963.0","251,774.0","260,563.0","270,464.0","277,307.0","285,105.0","292,339.0","297,992.0","304,597.0","318,784.0","334,650.0","334,825.0","338,842.0","368,960.0","374,588.0","380,254.0","399,777.0","405,854.0","408,886.0","422,444.0","428,968.0","441,254.0","454,971.0","468,114.0","483,712.0","496,844.0","502,622.0","519,115.0","541,278.0","556,991.0","568,684.0","575,678.0","576,235.0","591,472.0","618,831.0","627,987.0","628,830.0","633,201.0","644,003.0","661,428.0","681,957.0","699,033.0"
"36","17","    Services","J437RC1","100,373.0","103,210.0","106,382.0","109,305.0","110,448.0","112,765.0","115,253.0","117,521.0","120,159.0","121,930.0","124,390.0","127,478.0","131,313.0","134,864.0","138,724.0","143,427.0","148,030.0","152,320.0","156,473.0","159,924.0","163,519.0","167,232.0","171,575.0","175,369.0","181,119.0","185,208.0","190,573.0","195,972.0","202,780.0","209,060.0","215,226.0","222,967.0","229,646.0","237,549.0","246,510.0","255,326.0","266,478.0","275,166.0","282,384.0","289,387.0","300,356.0","308,659.0","318,947.0","328,716.0","337,750.0","352,461.0","362,706.0","372,432.0","387,480.0","392,139.0","403,892.0","411,289.0","422,026.0","431,080.0","442,787.0","449,897.0","461,922.0","474,687.0","488,695.0","504,703.0","524,151.0","536,957.0","550,454.0","563,614.0","579,307.0","591,078.0","604,256.0","616,495.0","638,223.0","647,810.0","660,858.0","675,978.0","704,399.0","719,904.0","739,131.0","772,740.0"
