"","Table 7#14# Relation of Nonfarm Proprietors' Income in the Natio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/8/2011 9:40:05 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","Net profit (less loss) of nonfarm proprietorships and partnerships, plus payments to partners, IRS","B1200C1","28,191.0","27,203.0","28,540.0","29,557.0","30,337.0","32,849.0","34,864.0","37,079.0","38,901.0","41,143.0","41,926.0"
"20","2","Plus: Adjustments for misreporting on income tax returns","B2636C1","9,439.0","9,989.0","10,867.0","11,895.0","12,455.0","13,706.0","14,294.0","15,522.0","16,438.0","18,122.0","19,065.0"
"21","3","      Posttabulation amendments and revisions \1\","B1201C1","1,541.0","1,492.0","1,379.0","1,381.0","1,341.0","1,503.0","1,520.0","1,557.0","1,684.0","2,480.0","2,705.0"
"22","4","      Depletion on domestic minerals","B1202C1","210.0","360.0","240.0","231.0","236.0","265.0","248.0","264.0","348.0","338.0","418.0"
"23","5","      Adjustment to depreciate expenditures for mining exploration, shafts, and wells","B1203C1","72.0","58.0","53.0","58.0","33.0","40.0","34.0","31.0","26.0","24.0","34.0"
"24","6","      Bad debt expense","B1205C1","338.0","377.0","380.0","402.0","444.0","426.0","430.0","435.0","419.0","431.0","495.0"
"25","7","      Income received by fiduciaries","B1206C1","175.0","140.0","145.0","101.0","145.0","200.0","277.0","319.0","361.0","372.0","379.0"
"26","8","      Income of tax-exempt cooperatives","B1207C1","378.0","395.0","429.0","462.0","482.0","490.0","493.0","509.0","524.0","520.0","512.0"
"27","9","      Disaster adjustments (net) \2\","W778RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"28","10","Equals: Nonfarm proprietors' income, NIPAs","B046RC1","40,344.0","40,014.0","42,033.0","44,087.0","45,473.0","49,479.0","52,160.0","55,716.0","58,701.0","63,430.0","65,533.0"
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Consists largely of an adjustment to expense all meals and entertainment, of oilwell bonus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","payments written off, of adjustments for corporate partners and statutory employees, of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","interest income, and of margins on owner-built housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2. Consists of disaster losses valued at historic-cost less net insurance receipts for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","disaster-related losses valued at replacement-cost.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
