"","Table 3#23# State and Local Government Current Receipts and Expe","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Current receipts","W023RU1","3,493.0","3,669.0","3,776.0","3,942.0","4,017.0","4,142.0","4,231.0","4,360.0","4,414.0","4,514.0","4,638.0","4,734.0","4,810.0","4,909.0","5,098.0","5,139.0","5,408.0","5,438.0","5,442.0","5,638.0","5,747.0","5,867.0","5,962.0","6,140.0","6,045.0","6,535.0","6,392.0","6,517.0","6,536.0","6,749.0","6,757.0","6,879.0","6,940.0","7,350.0","7,443.0","7,655.0","7,762.0","8,097.0","8,188.0","8,321.0","8,454.0","8,825.0","8,827.0","8,910.0","8,835.0","9,289.0","9,265.0","9,686.0","9,377.0","10,749.0","9,038.0","11,484.0","10,312.0","11,871.0","9,745.0","12,530.0","11,130.0","12,717.0","10,541.0","13,678.0","12,109.0","13,685.0","11,426.0","14,777.0","12,991.0","14,584.0","12,373.0","16,079.0","14,564.0","15,724.0","13,686.0","17,287.0","15,132.0","17,341.0","14,839.0","19,220.0","17,281.0","19,721.0","16,910.0","21,022.0","18,972.0","20,678.0","19,154.0","23,717.0","21,424.0","24,561.0","21,083.0","26,450.0","24,017.0","26,749.0","24,909.0","29,780.0"
"21","2","Current tax receipts","W070RU1","2,858.0","2,967.0","3,027.0","3,191.0","3,321.0","3,426.0","3,429.0","3,533.0","3,644.0","3,757.0","3,748.0","3,847.0","3,969.0","4,044.0","4,223.0","4,230.0","4,495.0","4,501.0","4,506.0","4,617.0","4,803.0","4,897.0","4,910.0","5,054.0","5,114.0","5,387.0","5,282.0","5,356.0","5,415.0","5,633.0","5,547.0","5,652.0","5,787.0","6,155.0","6,121.0","6,333.0","6,524.0","6,824.0","6,764.0","6,882.0","7,045.0","7,439.0","7,247.0","7,297.0","7,404.0","7,768.0","7,602.0","7,815.0","7,769.0","9,170.0","7,132.0","9,755.0","8,537.0","9,979.0","7,775.0","10,664.0","9,081.0","10,657.0","8,362.0","11,554.0","9,831.0","11,470.0","9,022.0","12,456.0","10,491.0","12,147.0","9,680.0","13,449.0","11,732.0","12,909.0","10,708.0","14,424.0","12,162.0","14,018.0","11,636.0","16,040.0","13,515.0","15,545.0","12,760.0","16,949.0","14,570.0","16,178.0","14,297.0","18,928.0","16,700.0","19,019.0","16,204.0","21,475.0","18,818.0","20,821.0","19,116.0","23,704.0"
"22","3","  Personal current taxes","W071RU1","334.0","272.0","204.0","188.0","385.0","321.0","227.0","207.0","446.0","387.0","283.0","241.0","504.0","367.0","342.0","269.0","551.0","457.0","367.0","307.0","604.0","487.0","383.0","363.0","553.0","613.0","385.0","385.0","607.0","611.0","453.0","420.0","663.0","728.0","506.0","491.0","755.0","784.0","607.0","533.0","823.0","914.0","602.0","554.0","880.0","955.0","627.0","603.0","1,037.0","1,275.0","678.0","833.0","1,144.0","1,412.0","749.0","926.0","1,217.0","1,510.0","816.0","1,012.0","1,346.0","1,667.0","903.0","1,111.0","1,459.0","1,779.0","977.0","1,200.0","1,780.0","1,913.0","1,080.0","1,311.0","1,711.0","2,073.0","1,302.0","1,512.0","1,983.0","2,495.0","1,564.0","1,735.0","2,196.0","2,573.0","1,766.0","2,039.0","2,675.0","3,362.0","2,164.0","2,351.0","3,130.0","3,896.0","2,655.0","3,126.0"
"23","4","  Taxes on production and imports","W072RU1","2,378.0","2,553.0","2,677.0","2,834.0","2,782.0","2,939.0","3,028.0","3,149.0","3,046.0","3,227.0","3,312.0","3,449.0","3,330.0","3,503.0","3,660.0","3,723.0","3,703.0","3,819.0","3,941.0","4,092.0","3,994.0","4,204.0","4,327.0","4,475.0","4,352.0","4,554.0","4,685.0","4,803.0","4,627.0","4,830.0","4,903.0","5,022.0","4,902.0","5,182.0","5,372.0","5,584.0","5,510.0","5,769.0","5,912.0","6,081.0","5,960.0","6,262.0","6,393.0","6,502.0","6,309.0","6,584.0","6,716.0","6,913.0","6,460.0","7,569.0","6,172.0","8,640.0","7,067.0","8,240.0","6,725.0","9,443.0","7,593.0","8,822.0","7,219.0","10,174.0","8,134.0","9,417.0","7,745.0","10,955.0","8,670.0","9,936.0","8,288.0","11,806.0","9,523.0","10,515.0","9,166.0","12,641.0","10,007.0","11,440.0","9,846.0","13,989.0","10,996.0","12,463.0","10,648.0","14,655.0","11,758.0","12,932.0","11,898.0","16,186.0","13,270.0","14,794.0","13,227.0","18,245.0","14,795.0","15,961.0","15,601.0","19,688.0"
"24","5","  Taxes on corporate income","B102RU1","146.0","143.0","146.0","169.0","154.0","166.0","174.0","177.0","152.0","143.0","153.0","157.0","135.0","175.0","222.0","238.0","241.0","225.0","198.0","219.0","204.0","206.0","200.0","216.0","209.0","220.0","212.0","168.0","181.0","192.0","191.0","209.0","222.0","245.0","243.0","258.0","259.0","271.0","246.0","268.0","262.0","263.0","253.0","241.0","216.0","230.0","259.0","299.0","272.0","326.0","282.0","282.0","326.0","327.0","301.0","295.0","271.0","324.0","327.0","368.0","351.0","386.0","374.0","391.0","362.0","433.0","416.0","442.0","429.0","481.0","462.0","472.0","445.0","505.0","488.0","539.0","536.0","587.0","548.0","559.0","616.0","673.0","633.0","703.0","755.0","863.0","813.0","879.0","894.0","964.0","861.0","891.0"
"25","6","Contributions for government social insurance","B104RU1","44.0","45.0","43.0","43.0","51.0","51.0","50.0","49.0","50.0","48.0","49.0","47.0","54.0","55.0","56.0","58.0","59.0","59.0","62.0","62.0","67.0","68.0","69.0","74.0","74.0","75.0","78.0","79.0","79.0","81.0","82.0","82.0","83.0","84.0","84.0","86.0","89.0","91.0","94.0","96.0","98.0","98.0","100.0","101.0","98.0","99.0","98.0","100.0","101.0","102.0","104.0","106.0","112.0","111.0","119.0","119.0","121.0","117.0","124.0","130.0","131.0","135.0","139.0","143.0","149.0","156.0","160.0","164.0","166.0","168.0","172.0","176.0","181.0","188.0","191.0","198.0","200.0","204.0","207.0","210.0","213.0","217.0","222.0","225.0","229.0","231.0","238.0","244.0","245.0","254.0","260.0","267.0"
"26","7","Income receipts on assets","W074RU1","106.0","110.0","112.0","112.0","116.0","115.0","114.0","114.0","120.0","121.0","122.0","122.0","131.0","133.0","136.0","139.0","148.0","152.0","154.0","157.0","161.0","163.0","165.0","168.0","177.0","181.0","183.0","185.0","198.0","200.0","202.0","205.0","208.0","212.0","217.0","223.0","235.0","242.0","248.0","254.0","267.0","271.0","274.0","274.0","281.0","282.0","286.0","292.0","277.0","278.0","284.0","294.0","332.0","352.0","322.0","317.0","345.0","355.0","357.0","360.0","369.0","386.0","397.0","386.0","385.0","404.0","419.0","429.0","457.0","489.0","477.0","489.0","523.0","559.0","547.0","571.0","624.0","639.0","673.0","684.0","699.0","700.0","779.0","830.0","838.0","849.0","876.0","920.0","996.0","1,056.0","1,115.0","1,170.0"
"27","8","Current transfer receipts","W075RU1","388.0","447.0","498.0","503.0","440.0","464.0","556.0","582.0","506.0","490.0","618.0","614.0","550.0","568.0","577.0","603.0","592.0","607.0","597.0","674.0","584.0","611.0","694.0","719.0","549.0","757.0","709.0","750.0","686.0","669.0","755.0","765.0","669.0","691.0","805.0","793.0","699.0","724.0","863.0","872.0","830.0","803.0","984.0","1,019.0","835.0","925.0","1,065.0","1,261.0","972.0","933.0","1,229.0","1,024.0","1,033.0","1,117.0","1,214.0","1,110.0","1,258.0","1,250.0","1,369.0","1,297.0","1,449.0","1,355.0","1,530.0","1,421.0","1,571.0","1,476.0","1,698.0","1,626.0","1,814.0","1,760.0","1,913.0","1,766.0","1,841.0","2,140.0","2,052.0","1,996.0","2,542.0","2,933.0","2,870.0","2,773.0","3,091.0","3,181.0","3,489.0","3,356.0","3,261.0","4,086.0","3,393.0","3,447.0","3,593.0","4,252.0","4,052.0","4,265.0"
"28","9","  Federal grants-in-aid","B089RU1","334.0","389.0","436.0","436.0","366.0","386.0","473.0","495.0","416.0","398.0","524.0","518.0","453.0","470.0","477.0","501.0","488.0","502.0","490.0","565.0","474.0","499.0","580.0","603.0","431.0","636.0","585.0","622.0","552.0","533.0","617.0","626.0","533.0","555.0","667.0","652.0","553.0","573.0","706.0","708.0","659.0","627.0","802.0","833.0","640.0","732.0","879.0","1,087.0","873.0","838.0","1,135.0","929.0","925.0","1,003.0","1,093.0","982.0","1,104.0","1,087.0","1,200.0","1,123.0","1,271.0","1,176.0","1,350.0","1,241.0","1,391.0","1,295.0","1,516.0","1,441.0","1,616.0","1,559.0","1,711.0","1,564.0","1,630.0","1,928.0","1,836.0","1,773.0","2,301.0","2,681.0","2,604.0","2,494.0","2,761.0","2,839.0","3,138.0","2,999.0","2,896.0","3,717.0","3,021.0","3,072.0","3,201.0","3,856.0","3,651.0","3,857.0"
"29","10","  From business (net)","W076RU1","14.0","15.0","16.0","17.0","19.0","20.0","20.0","21.0","21.0","22.0","23.0","24.0","27.0","28.0","29.0","30.0","30.0","30.0","31.0","32.0","33.0","34.0","35.0","35.0","34.0","35.0","37.0","38.0","42.0","43.0","44.0","44.0","42.0","42.0","43.0","43.0","45.0","46.0","47.0","47.0","46.0","47.0","49.0","52.0","60.0","60.0","55.0","47.0","26.0","26.0","27.0","28.0","41.0","42.0","43.0","44.0","58.0","58.0","57.0","56.0","57.0","56.0","57.0","57.0","64.0","64.0","64.0","63.0","64.0","64.0","65.0","66.0","85.0","85.0","84.0","81.0","80.0","77.0","76.0","76.0","113.0","114.0","115.0","115.0","121.0","121.0","121.0","121.0","133.0","133.0","132.0","132.0"
"30","11","  From persons","B246RU1","41.0","43.0","46.0","50.0","55.0","59.0","63.0","66.0","69.0","71.0","72.0","72.0","70.0","70.0","71.0","72.0","74.0","75.0","77.0","77.0","77.0","78.0","80.0","81.0","84.0","86.0","88.0","90.0","92.0","93.0","94.0","95.0","93.0","94.0","95.0","98.0","101.0","105.0","111.0","117.0","125.0","130.0","133.0","134.0","135.0","134.0","131.0","128.0","73.0","69.0","67.0","67.0","67.0","72.0","78.0","84.0","97.0","105.0","112.0","118.0","121.0","124.0","124.0","123.0","117.0","117.0","118.0","122.0","134.0","137.0","137.0","137.0","126.0","127.0","132.0","142.0","161.0","175.0","190.0","204.0","217.0","228.0","236.0","242.0","244.0","248.0","251.0","255.0","259.0","264.0","269.0","276.0"
"31","12","Current surplus of government enterprises","B115RU1","97.0","101.0","96.0","94.0","90.0","86.0","83.0","82.0","95.0","98.0","101.0","104.0","107.0","109.0","106.0","110.0","115.0","119.0","123.0","128.0","132.0","129.0","124.0","125.0","131.0","136.0","141.0","148.0","159.0","166.0","171.0","176.0","194.0","209.0","216.0","220.0","216.0","217.0","219.0","217.0","215.0","215.0","223.0","219.0","217.0","214.0","214.0","217.0","258.0","266.0","289.0","305.0","299.0","313.0","315.0","321.0","325.0","339.0","329.0","338.0","330.0","339.0","338.0","371.0","394.0","402.0","415.0","412.0","395.0","399.0","416.0","432.0","426.0","436.0","414.0","416.0","400.0","401.0","400.0","406.0","399.0","403.0","367.0","378.0","396.0","377.0","373.0","364.0","365.0","365.0","366.0","374.0"
"32","13","    Current expenditures","W024RU1","3,120.0","3,273.0","3,490.0","3,569.0","3,771.0","3,842.0","3,947.0","3,962.0","4,062.0","4,129.0","4,273.0","4,377.0","4,556.0","4,736.0","4,657.0","4,697.0","4,749.0","4,781.0","4,867.0","4,960.0","5,006.0","5,250.0","5,179.0","5,292.0","5,419.0","5,442.0","5,565.0","5,569.0","5,698.0","5,842.0","6,031.0","6,122.0","6,326.0","6,422.0","6,505.0","6,628.0","6,749.0","6,891.0","7,070.0","7,260.0","7,400.0","7,607.0","7,818.0","8,001.0","8,260.0","8,485.0","8,638.0","8,812.0","9,029.0","9,134.0","9,259.0","9,445.0","9,752.0","10,012.0","10,107.0","10,289.0","10,608.0","10,909.0","11,015.0","11,250.0","11,463.0","11,623.0","11,735.0","11,937.0","12,197.0","12,444.0","12,680.0","13,003.0","13,325.0","13,633.0","13,800.0","14,116.0","14,462.0","14,843.0","15,179.0","15,520.0","16,019.0","16,544.0","17,029.0","17,584.0","17,935.0","18,493.0","19,194.0","19,909.0","20,543.0","21,202.0","21,764.0","22,517.0","23,186.0","23,927.0","24,717.0","25,644.0"
"33","14","Consumption expenditures","A991RU1","2,583.0","2,673.0","2,773.0","2,879.0","2,939.0","3,012.0","3,136.0","3,243.0","3,317.0","3,358.0","3,462.0","3,518.0","3,622.0","3,671.0","3,755.0","3,834.0","3,908.0","3,963.0","4,061.0","4,149.0","4,131.0","4,330.0","4,280.0","4,377.0","4,508.0","4,500.0","4,596.0","4,634.0","4,734.0","4,856.0","5,025.0","5,094.0","5,273.0","5,335.0","5,417.0","5,532.0","5,638.0","5,775.0","5,938.0","6,089.0","6,196.0","6,375.0","6,551.0","6,703.0","6,900.0","7,103.0","7,248.0","7,372.0","7,511.0","7,621.0","7,737.0","7,877.0","8,116.0","8,348.0","8,457.0","8,626.0","8,872.0","9,121.0","9,192.0","9,374.0","9,533.0","9,686.0","9,796.0","9,969.0","10,166.0","10,368.0","10,581.0","10,826.0","11,093.0","11,332.0","11,553.0","11,812.0","12,085.0","12,379.0","12,716.0","13,015.0","13,415.0","13,796.0","14,224.0","14,666.0","15,000.0","15,383.0","15,880.0","16,313.0","16,856.0","17,299.0","17,824.0","18,403.0","18,964.0","19,611.0","20,289.0","20,985.0"
"34","15","Government social benefit payments to persons","B109RU1","410.0","475.0","593.0","567.0","709.0","707.0","686.0","593.0","616.0","640.0","678.0","723.0","795.0","923.0","757.0","715.0","689.0","662.0","646.0","647.0","708.0","749.0","722.0","734.0","724.0","750.0","770.0","728.0","749.0","761.0","772.0","785.0","800.0","825.0","815.0","812.0","817.0","812.0","817.0","846.0","869.0","887.0","912.0","933.0","993.0","1,005.0","1,001.0","1,036.0","1,092.0","1,086.0","1,069.0","1,092.0","1,120.0","1,127.0","1,143.0","1,171.0","1,232.0","1,234.0","1,240.0","1,276.0","1,318.0","1,340.0","1,323.0","1,359.0","1,403.0","1,424.0","1,419.0","1,451.0","1,507.0","1,538.0","1,534.0","1,575.0","1,618.0","1,667.0","1,668.0","1,698.0","1,766.0","1,896.0","1,918.0","2,041.0","2,102.0","2,260.0","2,348.0","2,522.0","2,671.0","2,864.0","2,882.0","3,029.0","3,172.0","3,238.0","3,312.0","3,495.0"
"35","16","Interest payments","B111RU1","127.0","125.0","124.0","123.0","123.0","124.0","124.0","126.0","129.0","131.0","134.0","136.0","139.0","142.0","145.0","149.0","152.0","156.0","160.0","164.0","168.0","172.0","176.0","182.0","187.0","192.0","199.0","207.0","215.0","224.0","234.0","243.0","253.0","263.0","273.0","283.0","294.0","304.0","315.0","325.0","335.0","345.0","355.0","364.0","367.0","377.0","390.0","404.0","426.0","427.0","453.0","476.0","516.0","537.0","507.0","492.0","504.0","554.0","582.0","600.0","612.0","597.0","616.0","609.0","627.0","649.0","677.0","722.0","722.0","760.0","711.0","727.0","757.0","793.0","790.0","801.0","831.0","846.0","882.0","872.0","828.0","845.0","959.0","1,067.0","1,009.0","1,032.0","1,051.0","1,079.0","1,044.0","1,073.0","1,111.0","1,157.0"
