"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    Gross domestic product","A191RX1","1,770,691.0","1,767,976.0","1,766,523.0","1,793,310.0","1,821,809.0","1,855,345.0","1,865,320.0","1,868,184.0","1,842,240.0","1,835,512.0","1,856,103.0","1,838,679.0","1,912,998.0","1,971,217.0","2,048,351.0","2,084,390.0","2,110,731.0","2,145,746.0","2,188,503.0","2,192,210.0","2,214,268.0","2,216,709.0","2,231,561.0","2,305,276.0","2,348,408.0","2,366,180.0","2,351,793.0","2,314,567.0","2,303,523.0","2,306,413.0","2,332,418.0","2,379,125.0","2,447,657.0","2,488,149.0","2,521,394.0","2,535,472.0","2,523,902.0","2,543,752.0","2,540,555.0","2,582,070.0","2,597,939.0","2,591,671.0","2,616,638.0","2,589,110.0","2,519,019.0","2,534,480.0","2,593,867.0","2,654,348.0","2,708,036.0","2,776,430.0","2,773,119.0","2,782,827.0","2,845,268.0","2,831,971.0","2,836,599.0","2,800,224.0","2,816,858.0","2,869,554.0","2,915,929.0","2,975,288.0","3,028,654.0","3,062,094.0","3,090,408.0","3,097,917.0","3,138,407.0","3,177,733.0","3,237,567.0","3,262,180.0","3,335,397.0","3,373,705.0","3,419,548.0","3,429,028.0","3,513,250.0","3,560,919.0","3,633,182.0","3,720,836.0","3,812,167.0","3,824,857.0","3,850,012.0","3,881,205.0","3,915,396.0","3,916,211.0","3,947,455.0","3,977,573.0","4,059,545.0","4,128,472.0","4,156,717.0","4,174,727.0","4,240,478.0","4,252,828.0"
"21","2","       Final sales of domestic product","A190RX1","1,785,511.0","1,797,168.0","1,811,719.0","1,812,339.0","1,820,203.0","1,833,439.0","1,836,573.0","1,852,397.0","1,859,967.0","1,884,004.0","1,883,164.0","1,890,049.0","1,920,376.0","1,972,028.0","2,043,048.0","2,020,732.0","2,080,437.0","2,090,299.0","2,159,465.0","2,191,488.0","2,209,488.0","2,245,259.0","2,223,373.0","2,297,105.0","2,346,736.0","2,365,299.0","2,359,514.0","2,346,132.0","2,332,444.0","2,341,917.0","2,365,150.0","2,404,562.0","2,450,487.0","2,482,645.0","2,518,831.0","2,524,199.0","2,518,600.0","2,546,567.0","2,547,576.0","2,591,581.0","2,614,280.0","2,604,677.0","2,624,202.0","2,623,632.0","2,556,496.0","2,569,791.0","2,607,219.0","2,657,576.0","2,712,404.0","2,759,137.0","2,792,681.0","2,782,190.0","2,812,636.0","2,839,424.0","2,835,444.0","2,849,314.0","2,851,551.0","2,882,151.0","2,904,366.0","2,970,435.0","3,006,651.0","3,057,856.0","3,081,615.0","3,102,899.0","3,123,549.0","3,176,516.0","3,232,891.0","3,266,480.0","3,337,936.0","3,377,605.0","3,419,429.0","3,428,331.0","3,482,551.0","3,545,493.0","3,612,141.0","3,710,180.0","3,772,057.0","3,789,169.0","3,820,709.0","3,831,492.0","3,870,272.0","3,911,606.0","3,931,562.0","3,966,383.0","4,049,448.0","4,090,130.0","4,148,694.0","4,175,050.0","4,218,203.0","4,238,958.0"
"22","3","       Change in private inventories","A014RX1","4,852.0","-3,472.0","-13,430.0","-2,201.0","11,442.0","21,430.0","25,026.0","19,413.0","-2,040.0","-17,426.0","-3,861.0","-17,464.0","7,383.0","10,775.0","14,054.0","44,897.0","27,928.0","40,633.0","26,851.0","11,572.0","14,476.0","-3,555.0","15,977.0","16,136.0","12,969.0","12,812.0","7,733.0","-6,692.0","-5,937.0","-9,480.0","-7,558.0","-2,728.0","11,231.0","16,593.0","15,140.0","20,845.0","17,583.0","12,224.0","9,476.0","8,385.0","4,569.0","6,536.0","9,496.0","-8,887.0","-11,141.0","-9,698.0","4,901.0","12,964.0","10,441.0","26,521.0","3,175.0","15,570.0","38,847.0","11,082.0","15,645.0","-18,246.0","-8,320.0","7,186.0","23,828.0","19,766.0","31,223.0","19,651.0","23,035.0","13,646.0","26,681.0","17,743.0","21,147.0","15,436.0","16,387.0","15,744.0","18,883.0","18,025.0","41,442.0","29,753.0","33,500.0","26,904.0","47,146.0","45,446.0","40,359.0","55,614.0","51,441.0","23,162.0","30,811.0","30,123.0","27,265.0","48,865.0","26,064.0","20,965.0","37,013.0","31,210.0"
"23","4","       Residual","A958RX1","-19,700.0","-25,700.0","-31,800.0","-16,800.0","-9,800.0","500.0","3,700.0","-3,600.0","-15,800.0","-31,100.0","-23,200.0","-33,800.0","-14,800.0","-11,600.0","-8,700.0","18,800.0","2,400.0","14,800.0","2,100.0","-10,900.0","-9,700.0","-25,000.0","-7,800.0","-7,900.0","-11,300.0","-11,900.0","-15,400.0","-24,800.0","-23,000.0","-26,000.0","-25,200.0","-22,800.0","-14,000.0","-11,100.0","-12,500.0","-9,500.0","-12,300.0","-15,000.0","-16,500.0","-17,900.0","-21,000.0","-19,500.0","-17,100.0","-25,600.0","-26,400.0","-25,600.0","-18,200.0","-16,300.0","-14,800.0","-9,200.0","-22,800.0","-15,000.0","-6,100.0","-18,500.0","-14,400.0","-30,900.0","-26,400.0","-19,800.0","-12,300.0","-14,900.0","-9,200.0","-15,500.0","-14,200.0","-18,600.0","-11,800.0","-16,500.0","-16,400.0","-19,700.0","-18,900.0","-19,600.0","-18,800.0","-17,300.0","-10,700.0","-14,400.0","-12,400.0","-16,300.0","-7,000.0","-9,700.0","-11,100.0","-5,900.0","-6,300.0","-18,600.0","-14,900.0","-18,900.0","-17,200.0","-10,500.0","-18,100.0","-21,400.0","-14,700.0","-17,400.0"
"24","5","Goods","A353RX1","418,221.0","413,459.0","406,125.0","414,861.0","426,819.0","429,575.0","431,807.0","430,671.0","417,191.0","409,428.0","416,580.0","406,267.0","429,724.0","441,500.0","473,245.0","480,637.0","477,981.0","481,578.0","487,324.0","486,689.0","483,226.0","470,996.0","474,959.0","499,963.0","508,218.0","510,788.0","507,312.0","488,829.0","485,763.0","486,976.0","490,611.0","506,685.0","528,552.0","550,473.0","558,424.0","562,761.0","556,813.0","556,195.0","558,289.0","564,021.0","567,969.0","564,026.0","573,009.0","547,661.0","524,306.0","522,397.0","543,921.0","558,041.0","572,887.0","589,675.0","582,919.0","587,135.0","616,047.0","604,364.0","607,151.0","577,888.0","582,187.0","598,722.0","616,017.0","628,408.0","644,772.0","643,727.0","652,135.0","648,793.0","663,435.0","666,260.0","679,486.0","682,982.0","701,533.0","711,443.0","730,016.0","729,313.0","761,378.0","762,597.0","782,238.0","807,244.0","842,504.0","837,445.0","845,282.0","858,656.0","853,846.0","844,948.0","848,348.0","846,141.0","866,083.0","886,304.0","890,024.0","886,530.0","916,601.0","908,791.0"
"25","6","    Final sales","A325RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"26","7","    Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"27","8","  Durable goods","A354RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"28","9","    Final sales","A326RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"29","10","    Change in private inventories \1\","A355RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
