"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"1","[Millions of dollars; quarterly totals not seasonally adjusted]; Quarterly totals not seasonally adjusted                                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1968 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 07, 2010  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/8/2011 9:37:49 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4"
"20",NA,"      Current receipts"," ",NA,NA,NA,NA,NA,NA,NA,NA
"21","1","Budget receipts","M318011","36,142.0","50,348.0","43,647.0","39,234.0","44,162.0","60,749.0","47,956.0","42,877.0"
"22","2","Less: Coverage differences","M318021","1,109.0","1,388.0","1,064.0","1,065.0","1,450.0","1,476.0","1,187.0","1,210.0"
"23","3","        Contributions received by federal employee retirement plans \1\","M318041","321.0","379.0","359.0","371.0","372.0","348.0","432.0","392.0"
"24","4","        Capital transfers received \2\","M318051","669.0","1,046.0","688.0","725.0","813.0","1,258.0","731.0","761.0"
"25","5","        Financial transactions","M318061","1.0","13.0","3.0","4.0","5.0","4.0","0.0","0.0"
"26","6","        Other \3\","M318071","118.0","-50.0","14.0","-35.0","260.0","-134.0","24.0","57.0"
"27","7","Less: Netting and grossing differences","M318081","-1,177.0","-1,065.0","-1,051.0","-1,268.0","-1,382.0","-948.0","-869.0","-1,281.0"
"28","8","        Supplementary medical insurance premiums","M318091",".....",".....",".....",".....",".....",".....",".....","....."
"29","9","        Interest receipts","W704MC1","-607.0","-638.0","-667.0","-703.0","-514.0","-574.0","-554.0","-688.0"
"30","10","        Current surplus of government enterprises","W705MC1","90.0","89.0","183.0","-24.0","118.0","129.0","221.0","-19.0"
"31","11","        Other \4\","M318111","-660.0","-516.0","-567.0","-541.0","-986.0","-503.0","-536.0","-574.0"
"32","12","Plus: Timing differences","M318121","3,395.0","-3,096.0","95.0","1,570.0","2,507.0","-5,415.0","95.0","567.0"
"33","13","        Taxes on corporate income","M318131","1,956.0","-3,401.0","517.0","2,027.0","886.0","-5,856.0","719.0","1,285.0"
"34","14","        Federal and state unemployment insurance taxes","M318141","325.0","-69.0","-194.0","-59.0","334.0","-65.0","-181.0","-53.0"
"35","15","        Withheld personal income tax and social security contributions","M318151","1,129.0","258.0","-82.0","-367.0","1,160.0","371.0","-351.0","-463.0"
"36","16","        Excise taxes","M318161","-40.0","112.0","-172.0","-35.0","110.0","119.0","-108.0","-209.0"
"37","17","        Other","M318171","25.0","4.0","26.0","4.0","17.0","16.0","16.0","7.0"
"38","18","Equals: Federal government current receipts, NIPAs","M318181","39,605.0","46,929.0","43,729.0","41,007.0","46,601.0","54,806.0","47,733.0","43,515.0"
"39",NA,"      Current expenditures"," ",NA,NA,NA,NA,NA,NA,NA,NA
"40","19","Budget outlays","M318191","44,867.0","47,438.0","46,832.0","46,354.0","46,131.0","45,231.0","50,417.0","48,501.0"
"41","20","Less: Coverage differences","M318201","4,237.0","4,825.0","3,565.0","3,206.0","3,478.0","-80.0","2,427.0","2,984.0"
"42","21","        Federal employee retirement plan transactions \1\","M318221","730.0","444.0","759.0","394.0","847.0","628.0","819.0","581.0"
"43","22","          Interest received","M318231","-26.0","-344.0","-29.0","-352.0","-31.0","-407.0","-35.0","-416.0"
"44","23","          Contributions received (employer)","M318241","-321.0","-345.0","-387.0","-466.0","-361.0","-264.0","-472.0","-402.0"
"45","24","          Benefits paid","M318251","1,076.0","1,132.0","1,174.0","1,211.0","1,238.0","1,298.0","1,325.0","1,397.0"
"46","25","          Administrative expenses","M318261","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0"
"47","26","        Financing disbursements from credit programs \5\","M318271",".....",".....",".....",".....",".....",".....",".....","....."
